Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1979;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
22.;02.06.;4;1;7;2;5;2;6;13.142.342,00;JP;;1.200.194,50   ;10 x           ;106 x         ;1.150 x         ;12.029 x        ;120.208 x    ;;;;
23.;09.06.;9;3;4;7;3;8;5;10.770.936,00;1 x;1.777.777,70   ;260.156,30   ;9 x           ;99 x         ;949 x         ;9.867 x        ;97.013 x    ;;;;
24.;16.06.;6;3;5;5;5;7;9;10.789.188,00;JP;;1.099.315,40   ;13 x           ;111 x         ;955 x         ;9.686 x        ;98.505 x    ;;;;
25.;23.06.;8;5;7;4;0;4;1;10.753.870,00;JP;;1.935.727,50   ;12 x           ;112 x         ;952 x         ;9.407 x        ;97.237 x    ;;;;
26.;30.06.;8;7;7;7;2;5;9;10.734.381,00;2 x;1.377.777,70   ;15.068,40   ;8 x           ;96 x         ;988 x         ;9.660 x        ;96.946 x    ;;;;
27.;07.07.;7;7;6;7;6;3;1;10.596.858,00;JP;;839.268,50   ;10 x           ;86 x         ;917 x         ;9.641 x        ;95.783 x    ;;;;
28.;14.07.;3;9;0;5;7;9;0;10.682.217,00;4 x;377.777,70   ;158.996,80   ;7 x           ;93 x         ;927 x         ;9.344 x        ;94.365 x    ;;;;
29.;21.07.;6;7;9;6;6;2;2;10.607.022,00;2 x;477.777,70   ;28.432,00   ;13 x           ;110 x         ;949 x         ;9.341 x        ;95.260 x    ;;;;
30.;28.07.;8;2;9;8;2;1;1;10.525.908,00;3 x;277.777,70   ;13.780,60   ;9 x           ;102 x         ;941 x         ;9.495 x        ;95.146 x    ;;;;
31.;04.08.;3;7;7;8;8;3;3;10.584.368,00;1 x;777.777,70   ;59.231,50   ;14 x           ;78 x         ;997 x         ;10.015 x        ;98.812 x    ;;;;
32.;11.08.;0;0;7;7;2;2;9;10.573.149,00;1 x;877.777,70   ;3.809,80   ;8 x           ;92 x         ;999 x         ;9.656 x        ;97.577 x    ;;;;
33.;18.08.;6;2;9;1;3;5;5;10.759.343,00;2 x;377.777,70   ;85.092,20   ;11 x           ;99 x         ;1.029 x         ;10.077 x        ;101.985 x    ;;;;
34.;25.08.;9;2;9;8;3;0;1;10.750.719,00;1 x;877.777,70   ;43.481,50   ;10 x           ;92 x         ;933 x         ;9.604 x        ;92.872 x    ;;;;
35.;01.09.;8;7;3;9;3;5;0;10.647.676,00;JP;;871.634,10   ;5 x           ;94 x         ;958 x         ;9.422 x        ;94.812 x    ;;;;
36.;08.09.;9;0;4;9;6;1;8;10.786.920,00;2 x;777.777,70   ;155.061,40   ;11 x           ;97 x         ;977 x         ;9.556 x        ;97.327 x    ;;;;
37.;15.09.;6;6;5;5;3;3;6;10.896.908,00;2 x;477.777,70   ;47.043,30   ;6 x           ;99 x         ;1.006 x         ;9.853 x        ;99.273 x    ;;;;
38.;22.09.;1;9;2;7;5;9;1;13.569.624,00;1 x;1.077.777,70   ;24.680,80   ;15 x           ;125 x         ;1.173 x         ;11.922 x        ;121.364 x    ;;;;
39.;29.09.;2;1;1;6;7;8;1;12.161.523,00;1 x;877.777,70   ;92.799,30   ;11 x           ;122 x         ;1.121 x         ;10.807 x        ;108.827 x    ;;;;
40.;06.10.;7;3;8;4;9;5;3;12.343.726,00;JP;;1.052.866,90   ;11 x           ;112 x         ;1.136 x         ;11.469 x        ;112.049 x    ;;;;
41.;13.10.;0;7;2;7;5;3;3;12.531.346,00;4 x;477.777,70   ;116.416,30   ;6 x           ;108 x         ;1.169 x         ;11.281 x        ;113.070 x    ;;;;
42.;20.10.;9;7;6;8;9;1;7;12.452.377,00;1 x;1.077.777,70   ;7.156,80   ;15 x           ;102 x         ;1.089 x         ;11.187 x        ;111.564 x    ;;;;
43.;27.10.;7;8;2;3;0;5;0;12.417.077,00;2 x;477.777,70   ;17.374,00   ;7 x           ;113 x         ;1.032 x         ;10.758 x        ;109.914 x    ;;;;
44.;03.11.;6;8;3;9;3;5;8;12.514.325,00;1 x;977.777,70   ;12.932,70   ;13 x           ;123 x         ;1.168 x         ;11.539 x        ;113.775 x    ;;;;
45.;10.11.;0;5;8;6;8;8;7;12.608.741,00;3 x;277.777,70   ;160.279,40   ;12 x           ;95 x         ;1.176 x         ;11.216 x        ;113.189 x    ;;;;
46.;17.11.;3;4;8;3;9;5;8;12.567.846,00;2 x;477.777,70   ;182.223,10   ;10 x           ;91 x         ;1.134 x         ;11.616 x        ;114.413 x    ;;;;
47.;24.11.;5;3;3;7;9;8;7;12.435.163,00;JP;;1.149.402,40   ;14 x           ;124 x         ;1.179 x         ;11.401 x        ;114.129 x    ;;;;
48.;01.12.;9;7;0;7;8;2;3;18.227.230,00;2 x;1.277.777,70   ;11.520,40   ;18 x           ;163 x         ;1.631 x         ;17.091 x        ;166.020 x    ;;;;
49.;08.12.;4;0;7;2;3;1;3;13.317.966,00;1 x;977.777,70   ;69.584,50   ;10 x           ;145 x         ;1.264 x         ;12.291 x        ;121.698 x    ;;;;
50.;15.12.;0;3;5;4;7;5;5;14.351.247,00;1 x;1.177.777,70   ;8.014,90   ;16 x           ;123 x         ;1.246 x         ;12.879 x        ;129.293 x    ;;;;
51.;22.12.;3;6;5;5;3;9;4;11.825.641,00;JP;;927.787,00   ;14 x           ;102 x         ;1.085 x         ;10.722 x        ;107.180 x    ;;;;
52.;29.12.;8;8;0;8;3;5;6;11.489.242,00;JP;;1.821.394,70   ;16 x           ;111 x         ;1.062 x         ;10.776 x        ;107.035 x    ;;;;
;;;;;;;Gewinne Gesamt;;;56 x;;;548 x;5.469 x;54.385 x;542.710 x;5.423.581 x;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
