Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1975;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
VA;1975;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
;;;;;;;;ziffer;DM;DM 777.777,70 ;;;DM 77.777,70 ;DM 7.777,70 ;DM 777,70 ;DM 77,70 ;DM 7,70 ;;;;
;;;;;;;;;;Gewinne;;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
36.;06.09.;6;6;4;0;8;1;0;3.742.005,50;JP;;1.034.546,90   ;2 x           ;32 x         ;298 x         ;3.053 x;30.730 x    ;;;;
37.;13.09.;5;8;6;8;6;9;1;3.714.351,00;1 x;1.277.777,70   ;45.663,20   ;5 x           ;26 x         ;341 x         ;3.292 x        ;34.091 x    ;;;;
38.;20.09.;7;2;0;9;8;2;5;3.770.746,00;JP;;338.943,40   ;1 x           ;32 x         ;316 x         ;3.440 x        ;34.286 x    ;;;;
39.;27.09.;7;6;4;5;5;2;8;3.797.360,00;JP;;634.293,60   ;5 x           ;29 x         ;346 x         ;3.479 x        ;33.948 x    ;;;;
40.;04.10.;3;8;8;9;5;6;3;3.764.871,00;JP;;927.116,90   ;1 x           ;41 x         ;344 x         ;3.455 x        ;34.298 x    ;;;;
41.;11.10.;9;8;5;7;7;8;9;3.794.028,00;2 x;577.777,70   ;66.652,60   ;3 x           ;34 x         ;348 x         ;3.668 x        ;36.203 x    ;;;;
42.;18.10.;4;3;9;2;5;3;3;3.730.031,00;JP;;356.766,10   ;3 x           ;34 x         ;350 x         ;3.402 x        ;34.318 x    ;;;;
43.;25.10.;6;1;3;9;6;8;9;3.671.864,00;JP;;642.355,50   ;5 x           ;30 x         ;312 x         ;3.363 x        ;33.788 x    ;;;;
44.;01.11.;5;3;6;2;9;8;2;3.728.865,00;1 x;877.777,70   ;54.600,60   ;1 x           ;33 x         ;334 x         ;3.255 x        ;33.320 x    ;;;;
45.;08.11.;8;5;1;4;6;7;2;3.755.950,00;JP;;346.730,00   ;4 x           ;28 x         ;325 x         ;3.192 x        ;32.079 x    ;;;;
46.;15.11.;9;8;0;9;0;9;8;3.727.923,00;1 x;577.777,70   ;58.901,90   ;4 x           ;32 x         ;311 x         ;3.286 x;33.775 x    ;;;;
47.;22.11.;1;3;1;2;1;3;1;3.730.019,00;JP;;349.014,50   ;5 x           ;44 x         ;372 x         ;3.592 x        ;35.479 x    ;;;;
48.;29.11.;2;4;9;5;9;1;3;3.927.698,00;JP;;654.502,10   ;5 x           ;37 x         ;344 x         ;3.763 x        ;37.480 x    ;;;;
49.;06.12.;3;7;6;8;1;8;2;6.604.548,00;1 x;1.077.777,70   ;90.411,50   ;13 x           ;47 x         ;552 x         ;5.475 x        ;55.150 x    ;;;;
50.;13.12.;0;0;4;2;0;4;6;4.212.844,00;JP;;418.077,10   ;4 x           ;35 x         ;352 x         ;3.538 x        ;36.046 x    ;;;;
51.;20.12.;9;6;5;9;3;5;2;4.123.958,00;JP;;738.829,40   ;1 x           ;38 x         ;313 x         ;3.398 x        ;34.497 x    ;;;;
52.;27.12.;8;6;4;9;8;4;1;3.511.702,00;1 x;977.777,70   ;34.184,10   ;4 x           ;32 x         ;334 x         ;3.274 x        ;32.715 x    ;;;;
;;;;;;;Gewinne Gesamt;;;19 x;;;77.921 x;9.312 x;16.011 x;153.987 x;1.541.512 x;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
