Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1980;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
19.;10.05.;7;1;4;2;9;3;8;11.460.059,00;2 x;1.277.777,70   ;92.157,80   ;16 x           ;108 x         ;1.075 x         ;10.566 x        ;104.405 x    ;;;;
20.;17.05.;0;6;3;0;7;1;9;10.951.315,00;1 x;877.777,70   ;66.149,00   ;6 x           ;98 x         ;995 x         ;10.047 x        ;99.776 x    ;;;;
21.;24.05.;4;0;0;4;6;9;1;11.081.016,00;JP;;928.005,80   ;13 x           ;105 x         ;979 x         ;9.965 x        ;98.893 x    ;;;;
22.;31.05.;0;4;0;8;8;0;5;11.128.703,00;1 x;1.777.777,70   ;15.793,90   ;5 x           ;93 x         ;955 x         ;9.556 x        ;94.311 x    ;;;;
23.;07.06.;0;0;0;9;7;2;1;10.812.790,00;1 x;777.777,70   ;79.011,00   ;10 x           ;98 x         ;970 x         ;9.838 x        ;97.721 x    ;;;;
24.;14.06.;2;9;9;7;9;7;0;12.565.798,00;1 x;977.777,70   ;78.573,10   ;17 x           ;129 x         ;1.197 x         ;11.456 x        ;113.447 x    ;;;;
25.;21.06.;7;5;6;7;2;4;8;10.955.117,00;JP;;930.637,70   ;11 x           ;110 x         ;991 x         ;10.173 x        ;100.687 x    ;;;;
26.;28.06.;7;2;9;7;8;6;9;10.951.878,00;1 x;1.777.777,70   ;4.672,70   ;12 x           ;113 x         ;976 x         ;9.858 x        ;99.512 x    ;;;;
27.;05.07.;4;6;3;4;0;7;2;10.901.153,00;JP;;852.540,10   ;12 x           ;91 x         ;896 x         ;9.646 x        ;99.119 x    ;;;;
28.;12.07.;9;7;0;6;0;3;8;10.886.057,00;5 x;277.777,70   ;310.344,90   ;12 x           ;107 x         ;959 x         ;9.579 x        ;97.750 x    ;;;;
29.;19.07.;3;4;4;6;7;0;5;10.924.976,00;JP;;1.160.065,20   ;13 x           ;103 x         ;918 x         ;9.420 x        ;93.475 x    ;;;;
30.;26.07.;4;3;6;1;7;1;7;10.502.446,00;JP;;1.976.922,10   ;9 x           ;97 x         ;979 x         ;9.466 x        ;95.072 x    ;;;;
31.;02.08.;9;4;7;4;3;9;4;10.478.481,00;1 x;1.777.777,70   ;1.014.137,40   ;11 x           ;91 x         ;975 x         ;9.364 x        ;93.907 x    ;;;;
32.;09.08.;3;4;6;3;3;1;5;10.453.303,00;JP;;1.827.172,10   ;15 x           ;87 x         ;949 x         ;9.455 x        ;94.276 x    ;;;;
33.;16.08.;9;9;7;1;6;6;1;10.722.450,00;1 x;1.777.777,70   ;883.362,70   ;10 x           ;85 x         ;917 x         ;9.194 x        ;93.029 x    ;;;;
34.;23.08.;3;1;6;3;2;5;5;10.821.216,00;2 x;777.777,70   ;169.457,40   ;11 x           ;100 x         ;950 x         ;9.742 x        ;96.937 x    ;;;;
35.;30.08.;8;9;6;7;7;2;3;11.286.139,00;JP;;1.047.268,20   ;11 x           ;108 x         ;950 x         ;10.077 x        ;99.415 x    ;;;;
36.;06.09.;6;4;9;1;2;8;9;11.006.130,00;1 x;1.777.777,70   ;125.522,80   ;9 x           ;100 x         ;957 x         ;9.909 x        ;98.670 x    ;;;;
37.;13.09.;7;3;2;8;5;5;0;11.196.718,00;JP;;996.378,60   ;14 x           ;92 x         ;945 x         ;9.971 x        ;99.233 x    ;;;;
38.;20.09.;3;7;3;4;2;6;2;13.868.218,00;2 x;977.777,70   ;119.462,40   ;17 x           ;130 x         ;1.320 x         ;12.519 x        ;125.955 x    ;;;;
39.;27.09.;1;0;1;5;8;8;8;12.504.204,00;1 x;1.077.777,70   ;14.233,90   ;9 x           ;96 x         ;1.137 x         ;11.347 x        ;111.962 x    ;;;;
40.;04.10.;6;4;6;3;1;4;3;12.573.079,00;1 x;977.777,70   ;14.362,30   ;9 x           ;115 x         ;1.106 x         ;11.385 x        ;112.986 x    ;;;;
41.;11.10.;4;3;8;0;9;4;6;12.674.788,00;3 x;277.777,70   ;166.846,00   ;10 x           ;97 x         ;1.101 x         ;11.538 x        ;115.328 x    ;;;;
42.;18.10.;4;7;0;9;3;7;8;15.501.192,00;1 x;1.277.777,70   ;94.716,60   ;13 x           ;146 x         ;1.464 x         ;14.421 x        ;141.936 x    ;;;;
43.;25.10.;6;3;5;7;9;2;9;13.201.725,00;1 x;1.077.777,70   ;43.739,70   ;7 x           ;117 x         ;1.240 x         ;12.330 x        ;119.921 x    ;;;;
44.;01.11.;0;8;2;6;2;0;4;13.523.049,00;1 x;1.077.777,70   ;17.754,70   ;13 x           ;123 x         ;1.176 x         ;11.805 x        ;117.485 x    ;;;;
45.;08.11.;2;2;0;7;7;2;8;13.380.778,00;JP;;1.058.481,90   ;8 x           ;141 x         ;1.211 x         ;12.253 x        ;122.392 x    ;;;;
46.;15.11.;1;3;2;7;9;9;8;13.769.883,00;JP;;2.129.472,80   ;14 x           ;118 x         ;1.236 x         ;12.428 x        ;124.302 x    ;;;;
47.;22.11.;0;0;5;4;0;4;8;13.628.774,00;JP;;3.189.488,50   ;14 x           ;146 x         ;1.214 x         ;11.814 x        ;123.080 x    ;;;;
48.;29.11.;2;9;5;1;7;3;4;14.483.472,00;JP;;4.315.980,80   ;13 x           ;137 x         ;1.301 x         ;13.166 x        ;131.502 x    ;;;;
49.;06.12.;3;0;5;1;3;1;2;18.357.879,00;2 x;1.777.777,70   ;2.188.260,40   ;20 x           ;164 x         ;1.697 x         ;17.240 x        ;168.144 x    ;;;;
50.;13.12.;0;9;0;5;6;7;2;15.531.356,00;1 x;1.777.777,70   ;1.618.477,00   ;22 x           ;151 x         ;1.458 x         ;13.937 x        ;139.030 x    ;;;;
51.;20.12.;3;2;2;3;2;1;4;12.542.020,00;3 x;777.777,70   ;260.634,30   ;17 x           ;132 x         ;1.116 x         ;11.420 x        ;113.640 x    ;;;;
52.;27.12.;5;0;2;2;6;0;7;11.249.577,00;2 x;477.777,70   ;180.046,00   ;13 x           ;96 x         ;974 x         ;10.047 x        ;99.749 x    ;;;;
;;;;;;;Gewinne Gesamt;;;49 x;;;576 x;5.658 x;56.342 x;562.302 x;5.626.253 x;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
