Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2005;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2005;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;05.01.;MI;6;1;8;3;4;3;0;6.380.965,50   ;1  x   ;570.000,00   ;35.704,70   ;3  x   ;33  x   ;306  x   ;2.964  x   ;30.886  x   ;313.498  x   ;;;;
;08.01.;SA;4;4;4;4;5;1;1;14.084.835,00   ;JP;;975.163,20   ;4  x   ;73  x   ;734  x   ;7.745  x   ;78.147  x   ;748.469  x   ;;;;
2.;12.01.;MI;3;7;4;5;9;7;3;4.929.123,00   ;1  x   ;1.270.000,00   ;33.935,70   ;3  x   ;28  x   ;315  x   ;3.094  x   ;30.137  x   ;302.406  x   ;;;;
;15.01.;SA;2;4;6;2;8;5;1;14.037.603,00   ;1  x   ;970.000,00   ;243,80   ;5  x   ;86  x   ;729  x   ;7.889  x   ;77.808  x   ;747.023  x   ;;;;
3.;19.01.;MI;0;1;7;9;9;9;8;4.802.266,50   ;JP;;320.555,00   ;3  x   ;30  x   ;296  x   ;3.048  x   ;30.773  x   ;321.603  x   ;;;;
;22.01.;SA;6;7;6;9;6;6;2;13.759.887,00   ;JP;;1.238.339,50   ;3  x   ;83  x   ;776  x   ;7.222  x   ;74.520  x   ;728.782  x   ;;;;
4.;26.01.;MI;7;4;6;2;1;8;4;5.197.446,00   ;JP;;1.585.009,10   ;4  x   ;24  x   ;302  x   ;2.949  x   ;29.042  x   ;302.278  x   ;;;;
;29.01.;SA;6;7;1;2;8;4;9;14.855.037,00   ;3  x   ;770.000,00   ;265.840,10   ;14  x   ;89  x   ;903  x   ;9.561  x   ;93.580  x   ;891.867  x   ;;;;
5.;02.02.;MI;2;6;0;7;8;6;7;6.364.956,00   ;1  x   ;670.000,00   ;20.382,70   ;4  x   ;49  x   ;442  x   ;4.307  x   ;41.823  x   ;422.286  x   ;;;;
;05.02.;SA;4;6;6;7;4;8;1;13.887.280,50   ;JP;;946.664,30   ;10  x   ;79  x   ;740  x   ;7.417  x   ;73.738  x   ;754.586  x   ;;;;
6.;09.02.;MI;9;4;6;9;6;1;8;5.070.415,50   ;JP;;1.284.861,00   ;1  x   ;41  x   ;342  x   ;3.266  x   ;32.220  x   ;336.969  x   ;;;;
;12.02.;SA;7;0;9;0;8;0;4;14.132.088,00   ;JP;;2.227.471,30   ;5  x   ;63  x   ;658  x   ;7.257  x   ;70.715  x   ;816.109  x   ;;;;
7.;16.02.;MI;7;6;3;0;7;3;2;6.279.478,50   ;JP;;2.646.312,50   ;5  x   ;29  x   ;330  x   ;3.456  x   ;34.154  x   ;339.766  x   ;;;;
;19.02.;SA;8;7;7;8;0;0;7;14.074.183,50   ;1  x   ;3.570.000,00   ;15.060,50   ;2  x   ;83  x   ;859  x   ;8.188  x   ;80.965  x   ;956.648  x   ;;;;
8.;23.02.;MI;5;2;2;6;1;9;7;5.062.659,00   ;1  x   ;270.000,00   ;82.739,90   ;4  x   ;29  x   ;300  x   ;3.303  x   ;31.608  x   ;341.056  x   ;;;;
;26.02.;SA;3;2;7;0;5;2;2;14.124.157,50   ;JP;;1.024.821,20   ;6  x   ;96  x   ;757  x   ;7.652  x   ;75.949  x   ;752.522  x   ;;;;
9.;02.03.;MI;4;6;4;1;9;1;6;5.816.670,00   ;1  x   ;1.370.000,00   ;42.793,10   ;5  x   ;35  x   ;291  x   ;3.495  x   ;36.051  x   ;372.580  x   ;;;;
;05.03.;SA;8;5;9;2;6;0;2;15.561.733,50   ;1  x   ;1.070.000,00   ;10.760,70   ;9  x   ;74  x   ;752  x   ;7.724  x   ;75.092  x   ;847.004  x   ;;;;
10.;09.03.;MI;7;9;7;8;5;4;2;7.306.728,00   ;JP;;498.119,50   ;4  x   ;50  x   ;376  x   ;4.100  x   ;40.127  x   ;401.113  x   ;;;;
;12.03.;SA;5;2;5;2;4;7;9;18.589.344,00   ;2  x   ;770.000,00   ;198.028,70   ;13  x   ;105  x   ;1.045  x   ;11.345  x   ;112.974  x   ;1.126.291  x   ;;;;
11.;16.03.;MI;1;3;9;2;7;2;0;5.293.239,00   ;JP;;551.087,70   ;6  x   ;28  x   ;218  x   ;2.535  x   ;25.040  x   ;261.779  x   ;;;;
;19.03.;SA;6;3;9;4;9;4;6;13.898.536,50   ;JP;;1.478.120,10   ;21  x   ;100  x   ;939  x   ;9.339  x   ;91.272  x   ;874.521  x   ;;;;
12.;23.03.;MI;9;5;7;2;4;1;3;4.927.278,00   ;1  x   ;1.770.000,00   ;36.769,50   ;6  x   ;35  x   ;347  x   ;3.638  x   ;35.921  x   ;295.346  x   ;;;;
;26.03.;SA;9;6;6;5;4;1;5;13.624.947,00   ;JP;;945.553,50   ;8  x   ;115  x   ;860  x   ;9.078  x   ;88.367  x   ;919.433  x   ;;;;
13.;30.03.;MI;8;5;8;8;1;6;5;4.583.299,50   ;JP;;1.251.259,60   ;2  x   ;14  x   ;306  x   ;3.098  x   ;30.359  x   ;306.672  x   ;;;;
