Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1976;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
15.;10.04.;5;3;4;5;4;6;5;4.869.440,00     ;2 x;177.777,70   ;46.629,80   ;6 x           ;57 x         ;430 x         ;4.361 x        ;44.214 x    ;;;;
16.;17.04.;0;2;4;7;3;9;8;4.765.439,00     ;JP;;417.275,10   ;3 x           ;41 x         ;446 x         ;4.385 x        ;43.701 x    ;;;;
17.;24.04.;5;3;9;8;3;3;2;4.711.301,00     ;1 x;777.777,70   ;5.931,90   ;4 x           ;31 x         ;460 x         ;4.342 x        ;42.742 x    ;;;;
18.;01.05.;6;4;1;2;1;9;1;5.556.299,00     ;JP;;438.088,50   ;3 x           ;55 x         ;492 x         ;5.117 x        ;50.871 x    ;;;;
19.;08.05.;3;9;4;6;2;7;5;4.955.792,00     ;1 x;777.777,70   ;45.761,30   ;5 x           ;37 x         ;436 x         ;4.507 x        ;45.453 x    ;;;;
20.;15.05.;1;6;5;9;0;8;0;4.897.280,00     ;JP;;426.660,90   ;7 x           ;40 x         ;437 x         ;4.210 x        ;43.043 x    ;;;;
21.;22.05.;5;4;4;5;2;2;0;4.806.063,00     ;JP;;800.465,80   ;3 x           ;51 x         ;385 x         ;4.249 x        ;42.091 x    ;;;;
22.;29.05.;5;8;1;3;0;3;9;4.722.655,00     ;JP;;1.167.783,40   ;1 x           ;40 x         ;413 x         ;4.262 x        ;44.038 x    ;;;;
23.;05.06.;5;3;9;0;7;5;8;5.146.302,00     ;JP;;1.568.051,30   ;7 x           ;47 x         ;428 x         ;4.634 x        ;45.532 x    ;;;;
24.;12.06.;2;9;8;4;9;0;3;4.577.116,00     ;1 x;1.777.777,70   ;146.271,50   ;5 x           ;47 x         ;370 x         ;4.007 x        ;40.092 x    ;;;;
25.;19.06.;8;5;6;0;6;4;3;4.589.904,00     ;JP;;503.264,00   ;4 x           ;53 x         ;420 x         ;4.347 x        ;42.323 x    ;;;;
26.;26.06.;3;4;2;1;7;0;4;5.151.051,00     ;1 x;877.777,70   ;26.123,60   ;5 x           ;49 x         ;456 x         ;4.515 x        ;44.309 x    ;;;;
27.;03.07.;9;3;4;1;6;3;0;6.530.773,00     ;1 x;477.777,70   ;56.294,90   ;6 x           ;64 x         ;566 x         ;5.774 x        ;58.429 x    ;;;;
28.;10.07.;1;9;7;2;7;3;5;6.432.417,00     ;JP;;556.594,00   ;6 x           ;51 x         ;643 x         ;6.056 x        ;60.216 x    ;;;;
29.;17.07.;5;3;5;7;0;2;0;6.325.941,00     ;JP;;1.048.611,60   ;8 x           ;49 x         ;566 x         ;5.496 x        ;55.819 x    ;;;;
30.;24.07.;0;1;7;4;9;7;5;6.265.631,00     ;1 x;1.477.777,70   ;58.160,70   ;5 x           ;60 x         ;563 x         ;5.735 x        ;57.309 x    ;;;;
31.;31.07.;9;4;5;8;1;0;3;6.300.316,00     ;JP;;548.185,30   ;4 x           ;43 x         ;584 x         ;5.672 x        ;55.358 x    ;;;;
32.;07.08.;1;1;8;1;9;3;1;6.388.356,00     ;2 x;477.777,70   ;89.502,00   ;8 x           ;51 x         ;586 x         ;5.849 x        ;59.668 x    ;;;;
33.;14.08.;9;5;6;2;1;3;1;6.370.284,00     ;JP;;584.968,50   ;3 x           ;65 x         ;572 x         ;5.567 x        ;55.743 x    ;;;;
34.;21.08.;4;7;4;0;9;8;7;6.319.157,00     ;1 x;977.777,70   ;98.680,80   ;3 x           ;60 x         ;565 x         ;5.785 x        ;56.782 x    ;;;;
35.;28.08.;5;3;9;5;5;1;9;6.541.176,00     ;JP;;629.661,20   ;4 x           ;57 x         ;597 x         ;5.965 x        ;59.068 x    ;;;;
36.;04.09.;0;9;6;5;6;0;7;6.658.199,00     ;1 x;1.077.777,70   ;69.743,40   ;10 x           ;67 x         ;628 x         ;6.062 x        ;61.261 x    ;;;;
37.;11.09.;4;9;8;4;7;7;9;6.537.356,00     ;JP;;578.204,40   ;5 x           ;60 x         ;586 x         ;6.025 x        ;60.355 x    ;;;;
38.;18.09.;2;5;8;3;0;1;1;7.229.779,00     ;1 x;1.077.777,70   ;62.742,80   ;12 x           ;80 x         ;627 x         ;6.460 x        ;65.086 x    ;;;;
39.;25.09.;8;5;6;4;1;7;8;6.807.150,00     ;2 x;277.777,70   ;36.632,40   ;8 x           ;51 x         ;610 x         ;6.195 x        ;61.112 x    ;;;;
40.;02.10.;6;8;6;9;5;3;2;7.032.615,00     ;JP;;583.613,60   ;7 x           ;66 x         ;638 x         ;6.069 x        ;61.736 x    ;;;;
41.;09.10.;1;2;0;9;1;2;3;7.289.319,00     ;2 x;477.777,70   ;195.005,20   ;6 x           ;66 x         ;699 x         ;6.800 x        ;67.698 x    ;;;;
42.;16.10.;2;8;5;1;9;9;5;7.384.940,00     ;JP;;769.389,40   ;5 x           ;73 x         ;676 x         ;6.512 x        ;66.619 x    ;;;;
43.;23.10.;5;0;9;8;6;6;7;7.395.189,00     ;JP;;1.344.570,80   ;5 x           ;74 x         ;647 x         ;6.869 x        ;67.470 x    ;;;;
44.;30.10.;6;0;3;9;6;0;3;7.610.748,00     ;JP;;1.936.517,90   ;13 x           ;76 x         ;705 x         ;6.967 x        ;68.474 x    ;;;;
45.;06.11.;2;7;3;2;9;8;2;7.718.800,00     ;JP;;2.536.869,00   ;3 x           ;74 x         ;633 x         ;6.975 x        ;69.064 x    ;;;;
46.;13.11.;2;1;3;6;2;6;4;8.009.996,00     ;1 x;1.777.777,70   ;1.382.091,00   ;10 x           ;72 x         ;701 x         ;7.062 x        ;71.558 x    ;;;;
47.;20.11.;4;8;6;5;5;2;7;7.653.964,00     ;1 x;1.777.777,70   ;199.621,60   ;4 x           ;81 x         ;653 x         ;7.054 x        ;70.601 x    ;;;;
48.;27.11.;3;3;1;5;8;1;7;8.061.647,00     ;JP;;826.638,60   ;10 x           ;62 x         ;682 x         ;7.366 x        ;73.089 x    ;;;;
49.;04.12.;7;2;9;3;6;9;0;12.457.191,00     ;3 x;577.777,70   ;62.198,10   ;13 x           ;108 x         ;1.167 x         ;11.122 x        ;112.839 x    ;;;;
50.;11.12.;9;3;1;0;9;0;4;8.613.974,00     ;2 x;277.777,70   ;176.618,40   ;6 x           ;67 x         ;691 x         ;7.296 x        ;73.796 x    ;;;;
51.;18.12.;6;7;5;8;5;5;4;7.461.055,00     ;2 x;377.777,70   ;1.367,30   ;9 x           ;69 x         ;691 x         ;6.728 x        ;66.910 x    ;;;;
52.;25.12.;4;6;7;8;4;1;8;7.163.632,00     ;1 x;477.777,70   ;80.761,00   ;7 x           ;72 x         ;715 x         ;6.687 x        ;66.409 x    ;;;;
;;;;;;;Gewinne Gesamt;;;31 x;;;287 x;2.757 x;27.150 x;273.467 x;2.737.763 x;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
