Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2016;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
;13.02.;SA;2;4;3;6;6;8;5;14.089.455,00   ;JP;;3.745.464,00   ;unbesetzt;53  x   ;616  x   ;5.906  x   ;58.469  x   ;594.670  x   ;;;;
7.;17.02.;MI;9;8;0;9;7;2;1;5.484.742,50   ;JP;;4.135.429,20   ;1  x   ;16  x   ;174  x   ;1.746  x   ;17.097  x   ;164.253  x   ;;;;
;20.02.;SA;0;7;3;3;5;0;4;12.878.822,50   ;JP;;5.051.113,50   ;3  x   ;37  x   ;418  x   ;3.703  x   ;37.371  x   ;431.484  x   ;;;;
8.;24.02.;MI;9;6;1;6;6;0;4;5.347.827,50   ;JP;;5.431.344,00   ;unbesetzt;18  x   ;143  x   ;1.590  x   ;16.143  x   ;178.441  x   ;;;;
;27.02.;SA;0;9;8;1;9;1;1;12.979.037,50   ;JP;;6.354.153,60   ;10  x   ;43  x   ;439  x   ;4.267  x   ;40.341  x   ;386.527  x   ;;;;
9.;02.03.;MI;2;2;2;4;3;1;7;5.485.577,50   ;JP;;6.744.178,20   ;unbesetzt;23  x   ;248  x   ;2.401  x   ;23.691  x   ;237.264  x   ;;;;
;05.03.;SA;1;7;3;4;2;9;5;13.279.440,00   ;JP;;7.688.346,40   ;5  x   ;40  x   ;540  x   ;5.279  x   ;53.064  x   ;573.207  x   ;;;;
10.;09.03.;MI;7;8;5;1;4;5;3;5.833.080,00   ;JP;;8.103.078,40   ;unbesetzt;29  x   ;232  x   ;2.497  x   ;24.469  x   ;227.931  x   ;;;;
;12.03.;SA;0;8;7;4;8;4;9;13.698.380,00   ;JP;;0,40   ;11  x   ;41  x   ;535  x   ;5.082  x   ;48.873  x   ;477.033  x   ;;;;
11.;16.03.;MI;8;6;5;7;0;9;9;5.453.432,50   ;JP;;387.739,50   ;2  x   ;19  x   ;182  x   ;1.734  x   ;18.872  x   ;181.188  x   ;;;;
;19.03.;SA;7;3;5;3;2;9;9;13.219.932,50   ;JP;;1.327.676,70   ;7  x   ;56  x   ;397  x   ;4.441  x   ;45.982  x   ;467.241  x   ;;;;
12.;23.03.;MI;2;2;3;7;3;0;3;5.672.112,50   ;JP;;1.730.963,90   ;2  x   ;22  x   ;214  x   ;1.949  x   ;18.718  x   ;228.616  x   ;;;;
;26.03.;SA;9;1;9;8;9;0;9;13.149.320,00   ;JP;;2.665.880,60   ;3  x   ;46  x   ;412  x   ;4.178  x   ;40.830  x   ;473.073  x   ;;;;
13.;30.03.;MI;2;8;6;3;4;1;0;5.183.332,50   ;JP;;3.034.415,50   ;1  x   ;12  x   ;135  x   ;1.382  x   ;14.416  x   ;145.748  x   ;;;;
;02.04.;SA;5;0;8;0;1;1;5;12.543.455,00   ;JP;;3.926.255,20   ;1  x   ;64  x   ;473  x   ;5.007  x   ;53.618  x   ;545.734  x   ;;;;
14.;06.04.;MI;3;8;3;1;3;0;1;5.365.260,00   ;JP;;4.307.725,20   ;unbesetzt;18  x   ;135  x   ;1.441  x   ;14.437  x   ;160.988  x   ;;;;
;09.04.;SA;0;1;7;7;1;8;4;12.756.160,00   ;3  x   ;1.677.777,00   ;181.357,20   ;3  x   ;54  x   ;424  x   ;4.251  x   ;42.830  x   ;420.972  x   ;;;;
15.;13.04.;MI;2;3;7;4;7;1;7;5.462.777,50   ;JP;;569.760,70   ;2  x   ;25  x   ;271  x   ;2.571  x   ;23.543  x   ;237.494  x   ;;;;
;16.04.;SA;6;9;8;3;7;3;8;12.997.507,50   ;1  x   ;1.477.777,00   ;16.106,50   ;3  x   ;58  x   ;541  x   ;5.222  x   ;52.490  x   ;519.453  x   ;;;;
16.;20.04.;MI;1;4;2;9;8;7;9;5.780.262,50   ;JP;;427.083,20   ;3  x   ;17  x   ;172  x   ;2.039  x   ;19.687  x   ;194.989  x   ;;;;
;23.04.;SA;9;3;3;2;0;8;7;13.334.325,00   ;1  x   ;1.277.777,00   ;97.376,70   ;9  x   ;50  x   ;512  x   ;5.016  x   ;55.986  x   ;576.496  x   ;;;;
17.;27.04.;MI;8;6;3;7;0;1;8;6.172.895,00   ;1  x   ;477.777,00   ;58.492,50   ;1  x   ;18  x   ;194  x   ;2.107  x   ;23.676  x   ;237.566  x   ;;;;
;30.04.;SA;2;8;4;6;0;8;4;14.070.347,50   ;JP;;1.058.894,20   ;5  x   ;51  x   ;435  x   ;4.519  x   ;48.458  x   ;473.345  x   ;;;;
18.;04.05.;MI;5;2;6;4;7;3;6;6.832.702,50   ;JP;;1.544.699,30   ;3  x   ;21  x   ;265  x   ;2.593  x   ;25.349  x   ;252.222  x   ;;;;
;07.05.;SA;7;8;7;8;2;9;6;13.747.760,00   ;JP;;2.522.165,00   ;4  x   ;60  x   ;468  x   ;4.985  x   ;49.698  x   ;512.039  x   ;;;;
19.;11.05.;MI;9;8;6;2;2;7;7;7.252.182,50   ;JP;;3.037.795,20   ;5  x   ;43  x   ;388  x   ;3.502  x   ;39.326  x   ;303.132  x   ;;;;
;14.05.;SA;2;9;8;1;7;9;3;16.131.730,00   ;1  x   ;4.177.777,00   ;6.984,20   ;3  x   ;64  x   ;595  x   ;5.579  x   ;55.576  x   ;608.846  x   ;;;;
20.;18.05.;MI;1;6;5;9;6;6;6;5.463.820,00   ;JP;;395.461,80   ;4  x   ;27  x   ;330  x   ;3.713  x   ;21.984  x   ;202.810  x   ;;;;
;21.05.;SA;2;2;9;1;8;8;5;12.358.405,00   ;1  x   ;1.177.777,00   ;96.367,40   ;5  x   ;48  x   ;516  x   ;5.036  x   ;53.802  x   ;539.577  x   ;;;;
21.;25.05.;MI;6;0;8;4;4;5;6;5.430.037,50   ;1  x   ;477.777,00   ;4.666,10   ;unbesetzt;23  x   ;197  x   ;2.303  x   ;21.727  x   ;205.010  x   ;;;;
;28.05.;SA;3;9;1;5;6;2;1;12.348.812,50   ;1  x   ;877.777,00   ;4.889,70   ;12  x   ;34  x   ;369  x   ;3.709  x   ;37.802  x   ;360.774  x   ;;;;
22.;01.06.;MI;6;3;2;0;9;9;3;5.586.997,50   ;JP;;402.125,20   ;1  x   ;22  x   ;170  x   ;1.896  x   ;19.647  x   ;220.197  x   ;;;;
;04.06.;SA;2;7;6;3;0;4;3;12.411.795,00   ;JP;;1.284.603,80   ;2  x   ;41  x   ;421  x   ;4.244  x   ;45.027  x   ;461.427  x   ;;;;
23.;08.06.;MI;3;5;0;9;2;8;0;5.279.622,50   ;JP;;1.659.985,00   ;1  x   ;12  x   ;149  x   ;1.421  x   ;14.414  x   ;146.975  x   ;;;;
;11.06.;SA;6;1;5;3;0;2;4;12.427.747,50   ;1  x   ;2.477.777,00   ;65.820,80   ;3  x   ;41  x   ;379  x   ;3.875  x   ;43.206  x   ;415.481  x   ;;;;
24.;15.06.;MI;9;4;5;3;2;5;4;5.454.712,50   ;JP;;453.650,90   ;1  x   ;27  x   ;164  x   ;1.922  x   ;19.363  x   ;182.881  x   ;;;;
;18.06.;SA;6;6;6;7;2;7;9;12.224.207,50   ;1  x   ;1.277.777,00   ;45.015,10   ;5  x   ;42  x   ;419  x   ;4.626  x   ;44.780  x   ;435.672  x   ;;;;
25.;22.06.;MI;9;4;7;0;5;9;3;5.000.297,50   ;1  x   ;377.777,00   ;22.759,30   ;unbesetzt;16  x   ;177  x   ;1.817  x   ;17.827  x   ;201.289  x   ;;;;
;25.06.;SA;6;0;9;8;9;8;4;11.976.570,00   ;1  x   ;777.777,00   ;96.516,40   ;3  x   ;54  x   ;396  x   ;4.175  x   ;41.488  x   ;402.567  x   ;;;;
26.;29.06.;MI;6;3;7;9;5;2;6;5.162.052,50   ;JP;;463.538,30   ;3  x   ;17  x   ;191  x   ;2.046  x   ;20.005  x   ;197.590  x   ;;;;
;02.07.;SA;2;7;7;0;4;2;6;12.779.732,50   ;JP;;1.372.177,30   ;6  x   ;42  x   ;497  x   ;5.121  x   ;48.525  x   ;482.779  x   ;;;;
;;;;;;;;Gewinne Gesamt;;;17   ;;;173   ;1.753   ;17.280   ;174.215   ;1.751.560   ;17.679.923   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Veranstaltung 2016;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2016;Ziehung;;;;;;;ziffer;;        ab 177.777,00 Euro;;Euro;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
27.;06.07.;MI;8;3;7;1;5;8;7;5.656.577,50   ;1  x   ;1.677.777,00   ;96.583,00   ;2  x   ;35  x   ;257  x   ;2.433  x   ;23.046  x   ;248.853  x   ;;;;
;09.07.;SA;3;2;2;3;8;8;5;13.060.042,50   ;JP;;1.025.152,00   ;9  x   ;52  x   ;566  x   ;5.363  x   ;56.889  x   ;567.395  x   ;;;;
28.;13.07.;MI;1;9;7;6;4;2;0;5.915.522,50   ;JP;;1.445.745,60   ;1  x   ;14  x   ;146  x   ;1.464  x   ;15.211  x   ;163.820  x   ;;;;
;16.07.;SA;1;9;9;5;8;3;7;13.508.767,50   ;JP;;2.406.219,00   ;2  x   ;63  x   ;546  x   ;5.669  x   ;56.476  x   ;582.852  x   ;;;;
29.;20.07.;MI;8;6;7;1;6;3;1;6.215.245,00   ;1  x   ;2.777.777,00   ;70.345,90   ;1  x   ;18  x   ;201  x   ;1.865  x   ;18.926  x   ;185.110  x   ;;;;
;23.07.;SA;8;9;7;6;5;2;2;13.853.545,00   ;JP;;1.055.332,90   ;5  x   ;49  x   ;427  x   ;4.578  x   ;45.047  x   ;447.520  x   ;;;;
30.;27.07.;MI;1;3;1;7;2;4;9;6.549.885,00   ;JP;;1.521.029,70   ;1  x   ;21  x   ;200  x   ;2.331  x   ;22.204  x   ;221.876  x   ;;;;
;30.07.;SA;6;5;0;2;0;3;2;14.875.950,00   ;3  x   ;777.777,00   ;245.378,70   ;6  x   ;44  x   ;453  x   ;4.628  x   ;49.028  x   ;483.146  x   ;;;;
31.;03.08.;MI;5;9;1;5;6;1;4;5.426.092,50   ;JP;;631.173,90   ;unbesetzt;14  x   ;209  x   ;1.871  x   ;18.429  x   ;183.685  x   ;;;;
;06.08.;SA;5;8;5;5;9;6;8;12.454.940,00   ;1  x   ;1.477.777,00   ;38.943,10   ;4  x   ;60  x   ;469  x   ;5.492  x   ;51.400  x   ;488.362  x   ;;;;
32.;10.08.;MI;6;6;8;4;7;6;8;5.388.152,50   ;JP;;422.040,70   ;1  x   ;17  x   ;198  x   ;2.123  x   ;21.398  x   ;205.059  x   ;;;;
;13.08.;SA;3;8;6;5;7;4;4;12.571.440,00   ;JP;;1.315.870,10   ;3  x   ;49  x   ;417  x   ;4.209  x   ;43.315  x   ;424.532  x   ;;;;
33.;17.08.;MI;8;9;1;0;2;2;7;5.546.700,00   ;JP;;1.710.240,50   ;2  x   ;25  x   ;246  x   ;2.330  x   ;24.317  x   ;245.382  x   ;;;;
;20.08.;SA;6;0;5;4;2;7;3;12.813.735,00   ;1  x   ;2.577.777,00   ;43.520,10   ;8  x   ;47  x   ;501  x   ;4.800  x   ;49.015  x   ;482.818  x   ;;;;
34.;24.08.;MI;9;9;3;2;6;4;6;5.691.957,50   ;JP;;448.218,30   ;3  x   ;21  x   ;210  x   ;2.214  x   ;22.268  x   ;217.781  x   ;;;;
;27.08.;SA;0;6;8;1;5;0;2;12.889.435,00   ;1  x   ;1.277.777,00   ;86.880,10   ;2  x   ;45  x   ;388  x   ;3.895  x   ;36.620  x   ;423.584  x   ;;;;
35.;31.08.;MI;9;3;8;0;2;1;0;6.159.835,00   ;JP;;524.844,40   ;3  x   ;13  x   ;169  x   ;1.772  x   ;16.839  x   ;171.604  x   ;;;;
;03.09.;SA;6;8;9;2;5;4;7;13.812.632,50   ;1  x   ;1.477.777,00   ;29.145,60   ;10  x   ;55  x   ;648  x   ;6.129  x   ;60.279  x   ;595.528  x   ;;;;
36.;07.09.;MI;0;9;2;7;0;0;3;6.498.075,00   ;1  x   ;477.777,00   ;13.381,70   ;1  x   ;21  x   ;176  x   ;1.976  x   ;21.543  x   ;258.667  x   ;;;;
;10.09.;SA;1;4;9;3;6;8;1;14.141.017,50   ;JP;;1.018.808,00   ;5  x   ;41  x   ;444  x   ;4.342  x   ;41.916  x   ;420.034  x   ;;;;
37.;14.09.;MI;8;2;6;0;1;7;0;7.788.737,50   ;JP;;1.572.587,20   ;2  x   ;16  x   ;240  x   ;2.153  x   ;21.400  x   ;218.526  x   ;;;;
;17.09.;SA;7;9;1;8;6;8;3;13.166.575,00   ;JP;;2.508.730,70   ;6  x   ;53  x   ;471  x   ;5.173  x   ;50.273  x   ;493.487  x   ;;;;
38.;21.09.;MI;8;7;2;3;9;0;4;5.365.637,50   ;1  x   ;2.877.777,00   ;12.450,50   ;unbesetzt;16  x   ;165  x   ;1.630  x   ;16.732  x   ;184.634  x   ;;;;
;24.09.;SA;9;2;9;8;3;2;9;12.899.002,50   ;JP;;929.569,60   ;4  x   ;58  x   ;450  x   ;4.656  x   ;45.704  x   ;454.877  x   ;;;;
39.;28.09.;MI;3;7;9;4;1;3;4;5.145.077,50   ;JP;;1.295.384,60   ;2  x   ;21  x   ;167  x   ;1.788  x   ;16.827  x   ;173.370  x   ;;;;
;01.10.;SA;1;3;2;4;9;4;5;13.259.190,00   ;1  x   ;2.177.777,00   ;60.336,00   ;6  x   ;61  x   ;625  x   ;6.160  x   ;60.025  x   ;569.700  x   ;;;;
40.;05.10.;MI;7;2;3;9;6;1;9;5.333.212,50   ;JP;;439.527,40   ;2  x   ;11  x   ;144  x   ;1.692  x   ;16.609  x   ;180.252  x   ;;;;
;08.10.;SA;5;2;1;4;7;1;7;13.812.632,50   ;2  x   ;677.777,00   ;66.051,60   ;10  x   ;73  x   ;594  x   ;6.380  x   ;58.478  x   ;597.929  x   ;;;;
41.;12.10.;MI;6;6;6;9;8;2;3;5.692.677,50   ;2  x   ;177.777,00   ;115.247,00   ;4  x   ;22  x   ;217  x   ;2.225  x   ;21.948  x   ;225.780  x   ;;;;
;15.10.;SA;5;3;3;9;1;1;7;14.038.850,00   ;1  x   ;1.077.777,00   ;35.632,20   ;6  x   ;57  x   ;570  x   ;5.894  x   ;60.891  x   ;608.431  x   ;;;;
42.;19.10.;MI;3;1;3;0;8;0;9;5.215.467,50   ;1  x   ;377.777,00   ;28.674,90   ;3  x   ;13  x   ;148  x   ;1.588  x   ;15.698  x   ;178.143  x   ;;;;
;22.10.;SA;4;7;7;4;1;7;9;12.450.422,50   ;JP;;913.899,90   ;6  x   ;46  x   ;488  x   ;4.691  x   ;45.725  x   ;441.105  x   ;;;;
43.;26.10.;MI;1;7;3;4;3;4;2;5.240.980,00   ;JP;;1.286.533,60   ;3  x   ;14  x   ;177  x   ;1.745  x   ;16.834  x   ;167.872  x   ;;;;
;29.10.;SA;0;6;3;1;3;2;0;12.694.160,00   ;JP;;2.189.088,40   ;4  x   ;32  x   ;323  x   ;3.286  x   ;32.420  x   ;342.994  x   ;;;;
44.;02.11.;MI;5;0;6;4;4;4;0;5.088.295,00   ;JP;;2.550.866,20   ;unbesetzt;14  x   ;140  x   ;1.443  x   ;13.520  x   ;142.362  x   ;;;;
;05.11.;SA;2;2;3;9;4;2;9;12.543.680,00   ;1  x   ;3.377.777,00   ;64.944,80   ;3  x   ;48  x   ;469  x   ;4.532  x   ;45.377  x   ;450.050  x   ;;;;
45.;09.11.;MI;5;8;8;2;4;4;8;5.237.855,00   ;JP;;437.356,30   ;3  x   ;13  x   ;220  x   ;1.909  x   ;20.580  x   ;195.089  x   ;;;;
;12.11.;SA;5;3;7;7;6;4;7;12.600.417,50   ;JP;;1.333.246,00   ;5  x   ;57  x   ;597  x   ;5.639  x   ;56.432  x   ;552.809  x   ;;;;
46.;16.11.;MI;9;2;7;0;5;6;6;5.048.817,50   ;JP;;1.692.216,90   ;4  x   ;24  x   ;181  x   ;2.128  x   ;21.864  x   ;186.470  x   ;;;;
;19.11.;SA;5;5;1;4;0;1;9;12.461.352,50   ;JP;;2.578.219,10   ;3  x   ;46  x   ;393  x   ;4.027  x   ;42.490  x   ;452.628  x   ;;;;
47.;23.11.;MI;3;5;4;2;1;5;2;5.228.182,50   ;JP;;2.949.942,90   ;3  x   ;21  x   ;176  x   ;1.792  x   ;17.837  x   ;168.380  x   ;;;;
;26.11.;SA;3;7;7;9;3;7;6;12.454.550,00   ;JP;;3.835.461,40   ;6  x   ;45  x   ;450  x   ;4.656  x   ;46.444  x   ;460.019  x   ;;;;
48.;30.11.;MI;4;9;2;4;2;6;1;5.442.975,00   ;JP;;4.222.456,90   ;1  x   ;16  x   ;158  x   ;1.702  x   ;16.944  x   ;160.567  x   ;;;;
;03.12.;SA;4;0;2;0;0;8;3;13.428.390,00   ;1  x   ;5.077.777,00   ;99.438,40   ;3  x   ;36  x   ;421  x   ;4.676  x   ;51.555  x   ;500.628  x   ;;;;
49.;07.12.;MI;8;6;4;1;3;1;0;5.382.320,00   ;JP;;482.121,40   ;1  x   ;16  x   ;150  x   ;1.452  x   ;14.928  x   ;150.193  x   ;;;;
;10.12.;SA;7;6;4;2;0;8;8;13.169.265,00   ;JP;;1.418.456,10   ;1  x   ;53  x   ;464  x   ;4.828  x   ;54.727  x   ;506.869  x   ;;;;
50.;14.12.;MI;0;1;4;7;7;0;6;5.237.697,50   ;1  x   ;1.777.777,00   ;13.079,40   ;1  x   ;6  x   ;174  x   ;1.644  x   ;16.622  x   ;201.404  x   ;;;;
;17.12.;SA;3;5;2;2;1;4;2;13.115.200,00   ;1  x   ;877.777,00   ;67.793,10   ;4  x   ;49  x   ;442  x   ;4.337  x   ;43.575  x   ;426.461  x   ;;;;
51.;21.12.;MI;6;5;0;7;1;9;7;5.423.197,50   ;1  x   ;377.777,00   ;75.605,40   ;3  x   ;19  x   ;224  x   ;2.218  x   ;21.817  x   ;242.866  x   ;;;;
;24.12.;SA;8;6;8;7;0;6;6;14.336.752,50   ;2  x   ;477.777,00   ;139.394,50   ;7  x   ;49  x   ;532  x   ;5.213  x   ;58.145  x   ;526.854  x   ;;;;
52.;28.12.;MI;8;6;5;8;8;6;4;5.595.917,50   ;JP;;537.264,20   ;unbesetzt;18  x   ;170  x   ;1.928  x   ;19.583  x   ;185.955  x   ;;;;
;31.12.;SA;5;5;8;4;4;2;1;14.590.690,00   ;2  x   ;777.777,00   ;19.108,30   ;3  x   ;35  x   ;459  x   ;4.809  x   ;45.678  x   ;438.930  x   ;;;;
;;;;;;;;Gewinne Gesamt;;;27   ;;;178   ;1.762   ;17.470   ;177.478   ;1.781.848   ;17.803.242   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
