Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2016;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2016;Ziehung;;;;;;;ziffer;;        ab 177.777,00 Euro;;Euro;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;06.01.;MI;7;1;8;2;0;7;3;5.743.955,00   ;1  x   ;1.777.777,00   ;57.287,90   ;4  x   ;17  x   ;195  x   ;2.106  x   ;23.090  x   ;225.010  x   ;;;;
;09.01.;SA;6;0;4;4;6;4;2;13.493.132,50   ;1  x   ;977.777,00   ;38.872,60   ;9  x   ;44  x   ;464  x   ;4.714  x   ;46.170  x   ;453.113  x   ;737224;;;
2.;13.01.;MI;3;3;6;4;3;9;8;5.370.457,50   ;JP;;420.712,10   ;7  x   ;12  x   ;197  x   ;1.937  x   ;18.402  x   ;204.823  x   ;;;;
;16.01.;SA;7;1;5;0;9;9;0;12.756.250,00   ;JP;;1.327.681,50   ;unbesetzt;32  x   ;325  x   ;3.260  x   ;32.009  x   ;345.572  x   ;;;;
3.;20.01.;MI;4;0;4;9;7;0;2;5.219.122,50   ;JP;;1.698.761,10   ;1  x   ;15  x   ;146  x   ;1.650  x   ;15.145  x   ;180.374  x   ;;;;
;23.01.;SA;5;8;2;8;3;8;3;12.566.497,50   ;JP;;2.592.239,10   ;3  x   ;61  x   ;504  x   ;4.813  x   ;47.146  x   ;465.839  x   ;;;;
4.;27.01.;MI;7;1;7;1;5;3;8;5.430.830,00   ;1  x   ;2.977.777,00   ;594,10   ;1  x   ;14  x   ;220  x   ;2.189  x   ;20.823  x   ;207.711  x   ;;;;
;30.01.;SA;9;5;3;8;6;9;0;13.083.285,00   ;JP;;930.815,70   ;3  x   ;27  x   ;323  x   ;3.447  x   ;34.138  x   ;363.983  x   ;;;;
5.;03.02.;MI;6;1;5;7;1;9;8;5.858.882,50   ;JP;;1.347.382,20   ;4  x   ;22  x   ;207  x   ;2.046  x   ;20.924  x   ;225.915  x   ;;;;
;06.02.;SA;0;5;2;9;0;2;5;13.492.137,50   ;JP;;2.306.673,20   ;3  x   ;46  x   ;537  x   ;5.350  x   ;59.854  x   ;570.545  x   ;;;;
6.;10.02.;MI;9;1;6;8;8;0;0;6.146.702,50   ;JP;;2.743.703,70   ;5  x   ;19  x   ;229  x   ;1.812  x   ;21.252  x   ;172.057  x   ;;;;
