Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1987;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
VA;1987;Gewinnzahl;;;;;;End-;Spieleinsatz;Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
;;;;;;;;ziffer;DM;ab 2 x 177.777,70 DM;;DM;2 x 77.777,70 DM;2 x 7.777,70 DM;2 x 777,70 DM;2 x 77,70 DM;2 x 7,70 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
34.;22.08.;7;3;8;7;2;1;0;13.668.798,00;1 x;1.155.555,40   ;41.740,10   ;5 x           ;61 x         ;600 x         ;6.092 x        ;60.622 x    ;;;;
35.;29.08.;8;0;7;7;7;7;8;13.906.888,00;JP;;1.122.305,30   ;5 x           ;51 x         ;677 x         ;6.251 x        ;63.083 x    ;;;;
36.;05.09.;3;8;8;8;0;2;2;16.360.104,00;JP;;2.393.485,40   ;5 x           ;63 x         ;738 x         ;7.298 x        ;74.389 x    ;;;;
37.;12.09.;8;3;8;4;2;5;2;16.771.786,00;1 x;3.555.555,40   ;141.097,80   ;11 x           ;79 x         ;742 x         ;7.567 x        ;75.179 x    ;;;;
38.;19.09.;7;6;9;3;9;8;0;17.056.612,00;1 x;1.355.555,40   ;110.841,20   ;9 x           ;58 x         ;735 x         ;7.347 x        ;73.377 x    ;;;;
39.;26.09.;8;9;6;1;4;4;4;17.473.902,00;1 x;1.355.555,40   ;113.008,00   ;13 x           ;92 x         ;833 x         ;8.177 x        ;79.318 x    ;;;;
40.;03.10.;0;1;9;3;1;4;2;20.726.802,00;JP;;1.723.480,50   ;14 x           ;100 x         ;969 x         ;9.196 x        ;92.386 x    ;;;;
41.;10.10.;0;7;6;3;0;3;7;17.425.356,00;1 x;2.955.555,40   ;121.875,30   ;9 x           ;80 x         ;812 x         ;7.813 x        ;80.235 x    ;;;;
42.;17.10.;4;7;8;0;4;2;2;17.157.506,00;1 x;1.355.555,40   ;99.458,10   ;6 x           ;72 x         ;766 x         ;7.810 x        ;78.146 x    ;;;;
43.;24.10.;0;4;7;1;3;6;6;17.334.838,00;1 x;1.355.555,40   ;90.819,60   ;1 x           ;57 x         ;773 x         ;7.896 x        ;78.786 x    ;;;;
