Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1989;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
VA;1989;Gewinnzahl;;;;;;End-;Spieleinsatz;Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
;;;;;;;;ziffer;DM;ab 2 x 177.777,70 DM;;DM;2 x 77.777,70 DM;2 x 7.777,70 DM;2 x 777,70 DM;2 x 77,70 DM;2 x 7,70 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;07.01.;2;7;3;2;4;8;7;15.111.316,00;2 x;1.155.555,40   ;283.560,30   ;3 x           ;72 x         ;719 x         ;6.863 x        ;69.595 x    ;;;;
2.;14.01.;5;2;5;9;6;3;5;15.630.908,00;JP;;1.498.081,80   ;9 x           ;65 x         ;703 x         ;7.086 x        ;70.802 x    ;;;;
3.;21.01.;8;4;5;3;1;3;6;15.786.858,00;1 x;2.555.555,40   ;169.165,20   ;7 x           ;70 x         ;685 x         ;7.173 x        ;70.589 x    ;;;;
4.;28.01.;8;4;5;0;5;7;2;15.488.418,00;2 x;555.555,40   ;261.504,40   ;11 x           ;64 x         ;689 x         ;7.133 x        ;70.667 x    ;;;;
5.;04.02.;4;4;1;5;1;4;8;15.289.642,00;JP;;1.449.509,50   ;10 x           ;62 x         ;720 x         ;7.173 x        ;69.991 x    ;;;;
6.;11.02.;2;1;0;4;9;7;3;15.330.500,00;1 x;2.555.555,40   ;85.133,90   ;4 x           ;63 x         ;667 x         ;6.999 x        ;69.312 x    ;;;;
7.;18.02.;7;4;6;6;5;9;0;15.601.652,00;1 x;1.155.555,40   ;141.826,80   ;3 x           ;56 x         ;674 x         ;6.798 x        ;67.704 x    ;;;;
8.;25.02.;1;8;7;5;0;6;4;15.493.988,00;1 x;1.155.555,40   ;190.154,20   ;6 x           ;68 x         ;646 x         ;7.036 x        ;70.432 x    ;;;;
