Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1989;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
VA;1989;Gewinnzahl;;;;;;End-;Spieleinsatz;Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
9.;04.03.;3;5;2;8;2;5;1;18.452.854,00;JP;;1.623.940,90   ;13 x           ;77 x         ;834 x         ;8.382 x        ;83.152 x    ;;;;
10.;11.03.;1;6;2;5;3;5;1;15.538.938,00;2 x;1.355.555,40   ;120.205,50   ;4 x           ;57 x         ;664 x         ;6.706 x        ;67.016 x    ;;;;
11.;18.03.;0;5;3;3;9;6;0;15.469.306,00;2 x;555.555,40   ;211.059,70   ;8 x           ;65 x         ;655 x         ;6.781 x        ;67.238 x    ;;;;
12.;25.03.;6;0;8;8;1;5;5;14.983.848,00;JP;;1.375.304,60   ;5 x           ;70 x         ;684 x         ;6.731 x        ;68.451 x    ;;;;
13.;01.04.;5;2;2;4;7;1;3;15.220.824,00;1 x;2.555.555,40   ;2.407,20   ;5 x           ;69 x         ;709 x         ;7.246 x        ;71.366 x    ;;;;
14.;08.04.;7;4;5;6;5;6;9;15.642.716,00;JP;;1.217.846,20   ;6 x           ;71 x         ;697 x         ;7.049 x        ;70.637 x    ;;;;
15.;15.04.;0;3;2;5;0;6;7;15.341.874,00;1 x;2.355.555,40   ;54.354,40   ;5 x           ;63 x         ;737 x         ;6.808 x        ;69.104 x    ;;;;
16.;22.04.;1;3;0;2;2;3;1;15.898.480,00;1 x;1.155.555,40   ;134.110,80   ;9 x           ;79 x         ;721 x         ;7.129 x        ;71.759 x    ;;;;
17.;29.04.;0;5;7;9;0;3;5;15.280.412,00;2 x;555.555,40   ;210.288,00   ;11 x           ;77 x         ;702 x         ;6.939 x        ;69.420 x    ;;;;
18.;06.05.;8;8;1;9;3;4;1;14.115.846,00;JP;;1.307.089,20   ;6 x           ;72 x         ;681 x         ;6.383 x        ;63.555 x    ;;;;
19.;13.05.;2;5;2;0;4;1;2;14.905.214,00;1 x;2.355.555,40   ;109.668,90   ;7 x           ;63 x         ;700 x         ;6.924 x        ;67.856 x    ;;;;
20.;20.05.;9;6;6;8;2;2;8;14.217.410,00;1 x;1.155.555,40   ;58.806,20   ;5 x           ;62 x         ;621 x         ;6.698 x        ;65.314 x    ;;;;
21.;27.05.;2;6;6;9;7;4;5;13.845.092,00;1 x;955.555,40   ;179.014,40   ;7 x           ;53 x         ;660 x         ;6.197 x        ;62.842 x    ;;;;
22.;03.06.;4;3;0;5;0;0;0;14.878.180,00;1 x;1.155.555,40   ;179.493,50   ;9 x           ;69 x         ;633 x         ;6.151 x        ;64.761 x    ;;;;
23.;10.06.;1;1;6;0;4;7;4;14.627.656,00;JP;;1.316.062,30   ;6 x           ;62 x         ;676 x         ;6.616 x        ;66.247 x    ;;;;
24.;17.06.;0;7;1;9;2;6;2;14.599.040,00;1 x;2.355.555,40   ;94.852,30   ;7 x           ;63 x         ;683 x         ;6.560 x        ;66.381 x    ;;;;
25.;24.06.;0;3;7;1;0;7;0;14.305.668,00;2 x;555.555,40   ;95.291,90   ;3 x           ;66 x         ;640 x         ;6.245 x        ;63.045 x    ;;;;
26.;01.07.;7;2;3;3;4;0;2;14.604.604,00;1 x;1.155.555,40   ;74.514,20   ;6 x           ;68 x         ;639 x         ;6.442 x        ;63.736 x    ;;;;
27.;08.07.;8;6;6;6;2;7;2;14.025.708,00;1 x;1.155.555,40   ;8.756,30   ;9 x           ;66 x         ;629 x         ;6.176 x        ;62.995 x    ;;;;
28.;15.07.;4;6;8;1;2;7;3;14.274.844,00;1 x;955.555,40   ;162.356,20   ;7 x           ;62 x         ;614 x         ;6.316 x        ;62.717 x    ;;;;
29.;22.07.;5;3;6;2;1;1;7;14.071.802,00;2 x;555.555,40   ;144.624,40   ;3 x           ;63 x         ;629 x         ;6.390 x        ;64.604 x    ;;;;
30.;29.07.;6;4;9;3;0;3;9;14.207.036,00;1 x;1.155.555,40   ;92.955,60   ;7 x           ;70 x         ;656 x         ;6.278 x        ;65.400 x    ;;;;
31.;05.08.;1;5;8;0;0;6;5;14.253.822,00;3 x;355.555,40   ;133.811,30   ;12 x           ;72 x         ;686 x         ;6.361 x        ;64.661 x    ;;;;
32.;12.08.;6;9;8;6;7;9;9;14.208.694,00;3 x;355.555,40   ;171.160,60   ;5 x           ;60 x         ;628 x         ;6.481 x        ;63.944 x    ;;;;
33.;19.08.;4;5;5;3;0;9;9;14.218.464,00;2 x;555.555,40   ;164.824,40   ;5 x           ;61 x         ;575 x         ;5.885 x        ;60.456 x    ;;;;
34.;26.08.;2;2;7;5;6;0;6;15.495.902,00;JP;;1.368.855,90   ;9 x           ;58 x         ;664 x         ;6.719 x        ;67.188 x    ;;;;
35.;02.09.;5;6;3;8;0;6;0;20.041.422,00;JP;;2.926.074,30   ;5 x           ;84 x         ;826 x         ;8.559 x        ;87.048 x    ;;;;
36.;09.09.;0;7;3;3;9;9;0;17.276.052,00;1 x;4.155.555,40   ;112.868,10   ;6 x           ;70 x         ;776 x         ;7.546 x        ;74.447 x    ;;;;
37.;16.09.;3;1;8;1;5;3;2;17.544.602,00;JP;;1.476.083,60   ;10 x           ;71 x         ;762 x         ;7.761 x        ;79.525 x    ;;;;
38.;23.09.;1;2;4;8;7;1;1;17.166.620,00;2 x;1.355.555,40   ;98.819,10   ;11 x           ;80 x         ;764 x         ;7.792 x        ;77.056 x    ;;;;
39.;30.09.;5;0;9;4;1;3;8;17.150.272,00;JP;;1.431.395,20   ;9 x           ;81 x         ;800 x         ;7.904 x        ;77.909 x    ;;;;
40.;07.10.;4;1;9;6;2;8;9;17.447.720,00;JP;;2.787.083,00   ;8 x           ;68 x         ;844 x         ;7.931 x        ;79.172 x    ;;;;
41.;14.10.;2;2;2;0;9;6;3;17.515.142,00;1 x;3.955.555,40   ;192.454,10   ;6 x           ;82 x         ;834 x         ;8.164 x        ;80.860 x    ;;;;
42.;21.10.;9;2;8;2;4;1;8;17.060.928,00;1 x;1.355.555,40   ;162.532,80   ;8 x           ;63 x         ;762 x         ;7.800 x        ;76.876 x    ;;;;
43.;28.10.;9;8;9;4;5;3;2;16.990.116,00;JP;;1.482.664,80   ;6 x           ;81 x         ;761 x         ;7.887 x        ;77.544 x    ;;;;
44.;04.11.;1;4;3;9;9;4;2;18.087.756,00;JP;;2.888.083,40   ;6 x           ;79 x         ;783 x         ;8.191 x        ;81.944 x    ;;;;
45.;11.11.;8;1;7;2;7;6;7;17.522.280,00;1 x;4.155.555,40   ;94.009,10   ;3 x           ;83 x         ;789 x         ;8.081 x        ;79.803 x    ;;;;
46.;18.11.;4;3;5;7;5;9;7;17.095.222,00;JP;;1.422.307,80   ;3 x           ;66 x         ;723 x         ;7.678 x        ;76.365 x    ;;;;
47.;25.11.;7;8;9;5;9;4;6;16.812.174,00;JP;;2.728.613,70   ;11 x           ;78 x         ;781 x         ;7.830 x        ;76.361 x    ;;;;
48.;02.12.;6;8;9;7;2;0;6;22.011.212,00;JP;;4.438.884,80   ;10 x           ;96 x         ;987 x         ;9.534 x        ;94.912 x    ;;;;
49.;09.12.;1;8;9;4;8;4;4;18.309.550,00;2 x;2.755.555,40   ;350.426,00   ;14 x           ;80 x         ;823 x         ;8.225 x        ;82.548 x    ;;;;
50.;16.12.;6;5;4;8;9;9;6;18.370.612,00;JP;;1.777.822,50   ;12 x           ;85 x         ;839 x         ;8.167 x        ;83.563 x    ;;;;
51.;23.12.;1;7;7;6;5;6;7;17.271.156,00;JP;;3.119.791,30   ;12 x           ;91 x         ;754 x         ;7.858 x        ;78.548 x    ;;;;
52.;30.12.;5;1;1;4;8;8;6;16.970.190,00;JP;;4.438.375,00   ;9 x           ;67 x         ;763 x         ;7.752 x        ;76.693 x    ;;;;
;;;;;;;Gewinne Gesamt;;;46 x;;;381 x           ;3.643 x         ;37.291 x         ;373.514 x        ;3.734.111 x    ;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
