Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2002;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
KW;2002;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;
1.;02.01.;MI;0;6;6;8;7;9;5;4.613.427,00   ;JP;;1.635.508,80   ;3  x   ;27  x   ;283  x   ;3.021  x   ;29.499  x   ;309.058  x   ;
;05.01.;SA;4;9;3;2;7;9;7;15.590.604,00   ;1  x   ;2.670.000,00   ;5.402,10   ;6  x   ;89  x   ;947  x   ;9.927  x   ;96.835  x   ;1.015.473  x   ;
2.;09.01.;MI;1;0;7;7;6;3;6;4.503.313,50   ;JP;;305.773,10   ;3  x   ;25  x   ;283  x   ;2.798  x   ;28.821  x   ;279.968  x   ;
;12.01.;SA;5;8;9;1;2;5;4;15.544.584,00   ;JP;;1.342.596,90   ;5  x   ;75  x   ;880  x   ;9.315  x   ;92.459  x   ;889.241  x   ;
3.;16.01.;MI;1;5;1;6;4;1;4;4.674.012,00   ;1  x   ;1.570.000,00   ;84.353,50   ;2  x   ;27  x   ;265  x   ;2.714  x   ;26.325  x   ;266.971  x   ;
;19.01.;SA;5;5;6;7;6;8;6;15.851.623,50   ;2  x   ;570.000,00   ;1.656,80   ;10  x   ;120  x   ;981  x   ;10.040  x   ;98.664  x   ;984.185  x   ;
4.;23.01.;MI;5;7;0;0;0;7;7;5.033.989,50   ;JP;;337.423,90   ;1  x   ;44  x   ;388  x   ;3.734  x   ;40.268  x   ;325.772  x   ;
;26.01.;SA;1;1;7;6;8;9;2;16.729.806,00   ;2  x   ;670.000,00   ;113.302,00   ;8  x   ;76  x   ;981  x   ;9.275  x   ;89.853  x   ;913.601  x   ;
5.;30.01.;MI;7;4;5;4;9;5;5;4.631.967,00   ;1  x   ;370.000,00   ;52.254,20   ;3  x   ;27  x   ;340  x   ;3.474  x   ;34.829  x   ;304.617  x   ;
;02.02.;SA;2;6;9;9;7;5;1;15.617.388,00   ;1  x   ;1.070.000,00   ;23.934,00   ;8  x   ;85  x   ;781  x   ;8.005  x   ;78.086  x   ;771.339  x   ;
6.;06.02.;MI;7;8;3;5;8;7;6;4.540.195,50   ;2  x   ;170.000,00   ;0,00   ;1  x   ;29  x   ;277  x   ;2.946  x   ;28.562  x   ;286.310  x   ;
;09.02.;SA;9;6;4;1;4;4;8;15.430.434,00   ;JP;;1.029.209,90   ;9  x   ;124  x   ;1.020  x   ;10.565  x   ;109.784  x   ;1.050.866  x   ;
7.;13.02.;MI;0;1;5;7;7;1;5;4.449.675,00   ;JP;;1.326.003,20   ;5  x   ;22  x   ;299  x   ;2.882  x   ;28.680  x   ;299.459  x   ;
;16.02.;SA;6;0;4;9;8;0;9;15.276.645,00   ;JP;;2.344.955,40   ;7  x   ;92  x   ;840  x   ;8.210  x   ;82.622  x   ;965.720  x   ;
8.;20.02.;MI;5;7;7;2;5;7;3;4.551.493,50   ;3  x   ;870.000,00   ;38.540,00   ;unbesetzt;32  x   ;285  x   ;2.935  x   ;28.793  x   ;292.638  x   ;
;23.02.;SA;6;7;7;7;9;1;8;15.470.215,50   ;JP;;1.070.403,40   ;13  x   ;102  x   ;1.025  x   ;10.377  x   ;102.943  x   ;1.056.808  x   ;
9.;27.02.;MI;2;0;0;4;1;5;5;4.913.463,00   ;JP;;1.398.131,40   ;1  x   ;26  x   ;373  x   ;3.751  x   ;37.502  x   ;324.847  x   ;
;02.03.;SA;3;6;0;9;2;6;6;16.370.764,50   ;3  x   ;770.000,00   ;180.061,40   ;12  x   ;94  x   ;1.029  x   ;10.649  x   ;107.226  x   ;1.022.910  x   ;
