Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1994;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
VA;1994;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
26.;02.07.;7;6;4;4;2;9;1;21.991.267,50;1 x;7.977.777,00   ;7.564,90   ;2 x           ;81 x         ;721 x         ;7.527 x        ;74.835 x    ;749.799 x    ;;;;
27.;09.07.;6;9;2;2;6;3;0;22.018.142,50;JP;;1.573.054,80   ;5 x           ;80 x         ;769 x         ;7.616 x        ;76.105 x    ;758.999 x    ;;;;
28.;16.07.;6;4;0;0;1;3;2;21.726.967,50;1 x;3.077.777,00   ;40.065,20   ;5 x           ;79 x         ;738 x         ;7.742 x        ;78.406 x    ;784.191 x    ;;;;
29.;23.07.;9;6;8;6;7;2;4;21.612.417,50;2 x;777.777,00   ;21.154,10   ;13 x           ;72 x         ;834 x         ;8.100 x        ;79.472 x    ;787.726 x    ;;;;
30.;30.07.;7;2;4;5;9;8;6;23.046.355,00;JP;;1.659.749,90   ;5 x           ;103 x         ;888 x         ;8.220 x        ;83.291 x    ;831.668 x    ;;;;
31.;06.08.;1;9;3;1;6;7;7;24.736.507,50;1 x;3.377.777,00   ;40.738,60   ;12 x           ;95 x         ;936 x         ;9.338 x        ;94.056 x    ;915.589 x    ;;;;
32.;13.08.;2;8;2;8;9;6;7;31.965.027,50;JP;;2.313.452,10   ;10 x           ;119 x         ;1.144 x         ;11.428 x        ;113.362 x    ;1.132.639 x    ;;;;
33.;20.08.;9;1;1;9;6;9;2;48.042.102,50;JP;;5.729.245,60   ;10 x           ;174 x         ;1.692 x         ;17.513 x        ;173.918 x    ;1.734.917 x    ;;;;
34.;27.08.;3;0;0;0;9;9;9;55.853.487,50;2 x;4.777.777,00   ;144.874,60   ;22 x           ;189 x         ;2.023 x         ;20.184 x        ;201.187 x    ;2.025.364 x    ;;;;
35.;03.09.;9;5;9;5;0;7;1;69.466.442,50;2 x;2.477.777,00   ;128.384,70   ;21 x           ;269 x         ;2.366 x         ;24.196 x        ;243.067 x    ;2.426.595 x    ;;;;
36.;10.09.;8;3;1;9;5;6;5;66.166.440,00;4 x;1.177.777,00   ;121.710,60   ;19 x           ;225 x         ;2.343 x         ;23.439 x        ;232.680 x    ;2.314.095 x    ;;;;
37.;17.09.;3;1;3;8;3;7;1;31.484.670,00;2 x;1.177.777,00   ;4.716,60   ;6 x           ;96 x         ;1.105 x         ;10.979 x        ;109.104 x    ;1.089.270 x    ;;;;
38.;24.09.;2;2;3;0;2;4;1;28.172.090,50;1 x;1.977.777,00   ;29.975,20   ;12 x           ;90 x         ;941 x         ;9.647 x        ;96.077 x    ;959.065 x    ;;;;
39.;01.10.;2;8;5;7;5;2;3;27.513.470,00;1 x;1.977.777,00   ;8.405,90   ;10 x           ;93 x         ;997 x         ;9.827 x        ;98.898 x    ;988.795 x    ;;;;
40.;08.10.;6;9;4;3;3;6;6;26.035.947,50;2 x;877.777,00   ;104.007,80   ;9 x           ;102 x         ;996 x         ;9.497 x        ;95.558 x    ;946.832 x    ;;;;
41.;15.10.;6;7;9;7;6;4;0;26.722.202,50;1 x;1.977.777,00   ;26.179,40   ;7 x           ;92 x         ;948 x         ;9.164 x        ;91.351 x    ;910.302 x    ;;;;
42.;22.10.;0;2;8;3;5;6;8;24.791.432,50;4 x;377.777,00   ;277.742,30   ;11 x           ;81 x         ;906 x         ;9.204 x        ;91.130 x    ;910.750 x    ;;;;
43.;29.10.;4;2;6;0;8;9;9;24.827.665,00;1 x;1.977.777,00   ;65.212,30   ;10 x           ;85 x         ;875 x         ;8.908 x        ;91.600 x    ;907.904 x    ;;;;
44.;05.11.;2;0;2;7;0;4;8;25.182.330,00;1 x;1.777.777,00   ;77.899,00   ;12 x           ;84 x         ;914 x         ;9.079 x        ;93.290 x    ;915.975 x    ;;;;
45.;12.11.;2;9;9;4;3;6;6;24.734.397,50;3 x;577.777,00   ;103.183,70   ;7 x           ;86 x         ;931 x         ;9.203 x        ;92.039 x    ;906.827 x    ;;;;
46.;19.11.;0;1;6;3;0;5;0;24.402.842,50;1 x;1.777.777,00   ;60.448,80   ;8 x           ;94 x         ;810 x         ;8.002 x        ;82.162 x    ;815.554 x    ;;;;
47.;26.11.;7;1;1;5;4;3;0;26.035.522,50;1 x;877.777,00   ;156.020,40   ;7 x           ;92 x         ;887 x         ;8.583 x        ;86.692 x    ;861.548 x    ;;;;
48.;03.12.;8;7;4;9;9;0;5;34.346.497,50;2 x;1.277.777,00   ;42.502,40   ;12 x           ;131 x         ;1.204 x         ;12.085 x        ;120.265 x    ;1.257.837 x    ;;;;
49.;10.12.;0;5;9;8;6;5;7;31.134.787,50;JP;;2.256.185,80   ;8 x           ;114 x         ;1.159 x         ;11.840 x        ;117.725 x    ;1.166.450 x    ;;;;
50.;17.12.;7;2;6;7;0;9;6;34.878.377,50;JP;;4.736.038,40   ;15 x           ;135 x         ;1.267 x         ;12.550 x        ;128.632 x    ;1.274.717 x    ;;;;
51.;24.12.;0;4;8;0;0;1;3;30.288.982,50;1 x;6.877.777,00   ;11.808,10   ;6 x           ;88 x         ;750 x         ;10.963 x        ;113.220 x    ;1.077.136 x    ;;;;
52.;31.12.;5;1;8;4;4;9;9;28.523.055,00;1 x;1.977.777,00   ;62.020,30   ;12 x           ;106 x         ;1.019 x         ;10.558 x        ;104.915 x    ;1.035.091 x    ;;;;
53.;;;;;;;;;;;;;;;;;;;1.151.702;;;
;;;;;;;Gewinne Gesamt;;;50   ;;;502 x           ;5.203 x         ;51.740 x         ;522.376 x        ;5.229.177;52.050.688;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
