Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1994;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
VA;1994;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
;;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;08.01.;5;1;6;6;5;8;9;23.826.730,00;1 x;1.677.777,00   ;61.971,30   ;8 x           ;79 x         ;867 x         ;8.878 x        ;87.507 x    ;872.441 x    ;;;;
2.;15.01.;8;6;2;5;5;4;8;30.733.265,00;JP;;2.247.106,40   ;11 x           ;103 x         ;1.128 x         ;11.422 x        ;113.887 x    ;1.129.344 x    ;;;;
3.;22.01.;7;1;2;3;7;3;7;25.395.410,00;1 x;3.977.777,00   ;74.943,10   ;10 x           ;102 x         ;923 x         ;9.505 x        ;96.011 x    ;953.574 x    ;;;;
4.;29.01.;5;1;4;8;4;5;1;24.180.717,50;1 x;1.177.777,00   ;16.415,10   ;11 x           ;90 x         ;807 x         ;8.760 x        ;84.859 x    ;848.209 x    ;;;;
5.;05.02.;4;6;4;7;6;2;7;25.200.055,00;JP;;1.808.139,00   ;9 x           ;103 x         ;895 x         ;9.481 x        ;92.908 x    ;922.949 x    ;;;;
6.;12.02.;8;3;6;0;3;6;5;24.100.367,50;JP;;3.521.675,10   ;7 x           ;80 x         ;903 x         ;8.902 x        ;89.240 x    ;885.678 x    ;;;;
7.;19.02.;1;2;3;6;2;9;6;24.744.757,50;JP;;5.281.027,40   ;6 x           ;79 x         ;876 x         ;8.502 x        ;85.567 x    ;845.722 x    ;;;;
8.;26.02.;9;1;4;5;3;8;2;27.017.895,00;1 x;7.177.777,00   ;24.222,70   ;11 x           ;108 x         ;968 x         ;9.690 x        ;96.310 x    ;959.748 x    ;;;;
9.;05.03.;9;3;9;4;1;7;4;26.401.292,50;JP;;1.901.354,60   ;7 x           ;102 x         ;974 x         ;9.855 x        ;97.317 x    ;966.542 x    ;;;;
10.;12.03.;0;7;6;0;0;2;4;24.387.010,00;1 x;3.577.777,00   ;57.494,00   ;9 x           ;87 x         ;764 x         ;8.460 x        ;87.014 x    ;859.080 x    ;;;;
11.;19.03.;3;3;0;8;6;3;3;23.890.997,50;1 x;1.677.777,00   ;78.366,90   ;10 x           ;64 x         ;901 x         ;8.773 x        ;87.138 x    ;869.649 x    ;;;;
12.;26.03.;2;3;3;6;8;3;9;23.647.862,50;2 x;877.777,00   ;4.175,90   ;12 x           ;86 x         ;818 x         ;8.813 x        ;87.699 x    ;866.433 x    ;;;;
13.;02.04.;7;0;2;7;1;9;9;23.157.405,00;JP;;1.650.667,40   ;6 x           ;74 x         ;821 x         ;8.182 x        ;81.358 x    ;809.414 x    ;;;;
14.;09.04.;5;0;8;8;4;2;0;22.888.485,00;2 x;1.577.777,00   ;122.484,70   ;6 x           ;88 x         ;779 x         ;7.541 x        ;76.434 x    ;769.177 x    ;;;;
15.;16.04.;7;7;0;4;7;8;0;23.117.880,00;1 x;1.677.777,00   ;88.389,00   ;10 x           ;94 x         ;753 x         ;7.340 x        ;74.300 x    ;744.077 x    ;;;;
16.;23.04.;6;5;7;9;1;1;7;22.617.462,50;JP;;1.696.490,60   ;12 x           ;87 x         ;894 x         ;8.294 x        ;84.720 x    ;844.987 x    ;;;;
17.;30.04.;9;1;7;9;2;6;8;22.734.665,00;JP;;3.312.925,30   ;8 x           ;72 x         ;834 x         ;8.432 x        ;83.183 x    ;830.950 x    ;;;;
18.;07.05.;9;2;4;6;3;1;8;27.862.755,00;JP;;5.293.967,20   ;14 x           ;95 x         ;1.045 x         ;9.972 x        ;99.673 x    ;994.962 x    ;;;;
19.;14.05.;8;1;0;3;1;4;3;22.782.495,00;1 x;6.877.777,00   ;36.025,60   ;7 x           ;79 x         ;854 x         ;8.292 x        ;82.500 x    ;825.321 x    ;;;;
20.;21.05.;3;2;4;9;8;3;7;22.581.522,50;2 x;777.777,00   ;86.017,80   ;7 x           ;77 x         ;872 x         ;8.467 x        ;84.497 x    ;838.823 x    ;;;;
21.;28.05.;2;5;9;0;8;6;0;22.195.307,50;1 x;1.577.777,00   ;86.327,20   ;8 x           ;81 x         ;750 x         ;7.655 x        ;76.268 x    ;760.507 x    ;;;;
22.;04.06.;9;1;9;3;7;6;1;21.869.412,50;JP;;1.641.242,40   ;4 x           ;77 x         ;761 x         ;7.730 x        ;75.347 x    ;756.626 x    ;;;;
23.;11.06.;1;1;5;5;0;9;3;22.692.845,00;JP;;3.254.703,70   ;15 x           ;74 x         ;784 x         ;8.027 x        ;81.841 x    ;820.537 x    ;;;;
24.;18.06.;2;3;2;9;5;2;9;22.413.340,00;JP;;4.848.292,20   ;7 x           ;88 x         ;821 x         ;8.179 x        ;82.920 x    ;819.545 x    ;;;;
25.;25.06.;4;7;4;3;9;2;1;22.130.387,50;JP;;6.421.762,80   ;11 x           ;79 x         ;785 x         ;7.832 x        ;77.642 x    ;770.758 x    ;;;;
