Spiel 77 Samstag / Spiel 77;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Kalenderwoche 2000;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
KW;2000;Ziehung;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;;
;;;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;;
;;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;
28.;15.07.;;3;5;7;1;1;8;1;27.053.295,00      ;2  x  ;977.777,00   ;25.021,40   ;10  x  ;90  x  ;863  x  ;8.114  x  ;82.696  x  ;842.225  x  ;;;;;
29.;22.07.;;5;9;4;9;3;8;4;26.517.575,00      ;1  x  ;1.877.777,00   ;32.644,00   ;7  x  ;88  x  ;863  x  ;8.956  x  ;88.834  x  ;884.963  x  ;;;;;
30.;29.07.;;4;0;5;6;0;9;4;26.788.665,00      ;2  x  ;877.777,00   ;181.764,10   ;9  x  ;92  x  ;826  x  ;8.300  x  ;87.069  x  ;895.911  x  ;;;;;
31.;05.08.;;5;1;2;2;7;0;5;27.802.300,00      ;1  x  ;2.077.777,00   ;80.730,60   ;7  x  ;82  x  ;938  x  ;9.254  x  ;92.023  x  ;1.058.520  x  ;;;;;
32.;12.08.;;0;9;2;8;4;4;4;30.070.522,50      ;1  x  ;2.177.777,00   ;40.967,70   ;6  x  ;109  x  ;1.113  x  ;11.430  x  ;104.340  x  ;1.017.418  x  ;;;;;
33.;19.08.;;4;2;6;5;2;7;8;26.994.292,50      ;1  x  ;1.877.777,00   ;82.484,90   ;10  x  ;126  x  ;1.092  x  ;11.695  x  ;113.464  x  ;1.131.812  x  ;;;;;
34.;26.08.;;8;5;2;8;2;0;6;27.220.990,00      ;JP;;2.017.897,30   ;6  x  ;78  x  ;879  x  ;8.960  x  ;89.548  x  ;1.019.458  x  ;;;;;
35.;02.09.;;0;5;4;3;1;6;9;30.414.462,50      ;1  x  ;4.177.777,00   ;2.588,60   ;9  x  ;127  x  ;1.128  x  ;11.732  x  ;115.030  x  ;1.136.076  x  ;;;;;
36.;09.09.;;6;8;6;0;2;2;3;27.924.980,00      ;1  x  ;1.977.777,00   ;10.277,70   ;17  x  ;105  x  ;1.012  x  ;10.345  x  ;108.968  x  ;1.073.381  x  ;;;;;
37.;16.09.;;2;7;2;0;5;5;4;28.614.940,00      ;1  x  ;1.977.777,00   ;67.022,90   ;7  x  ;81  x  ;962  x  ;9.785  x  ;100.201  x  ;971.088  x  ;;;;;
38.;23.09.;;3;7;7;4;5;0;9;29.865.895,00      ;1  x  ;2.177.777,00   ;12.711,00   ;9  x  ;97  x  ;995  x  ;10.132  x  ;100.231  x  ;1.125.197  x  ;;;;;
39.;30.09.;;2;1;1;2;4;6;7;27.444.817,50      ;2  x  ;977.777,00   ;8.483,50   ;12  x  ;98  x  ;1.017  x  ;10.573  x  ;105.288  x  ;1.075.050  x  ;;;;;
40.;07.10.;;8;1;2;6;1;3;9;26.897.057,50      ;JP;;1.920.864,30   ;12  x  ;94  x  ;1.057  x  ;10.415  x  ;103.421  x  ;1.008.994  x  ;;;;;
41.;14.10.;;9;7;6;1;8;1;0;28.462.010,00      ;JP;;3.944.513,20   ;8  x  ;62  x  ;851  x  ;8.547  x  ;84.499  x  ;850.979  x  ;;;;;
42.;21.10.;;3;6;4;2;9;7;8;27.205.570,00      ;1  x  ;5.877.777,00   ;1.052,20   ;13  x  ;105  x  ;1.142  x  ;11.408  x  ;115.530  x  ;1.136.639  x  ;;;;;
43.;28.10.;;8;1;7;2;3;9;0;26.953.315,00      ;JP;;1.917.432,90   ;6  x  ;75  x  ;748  x  ;7.743  x  ;77.435  x  ;805.147  x  ;;;;;
44.;04.11.;;7;2;7;1;7;5;5;28.857.695,00      ;3  x  ;1.277.777,00   ;135.884,00   ;17  x  ;99  x  ;1.045  x  ;10.935  x  ;112.655  x  ;1.073.688  x  ;;;;;
45.;11.11.;;7;8;1;4;1;4;9;28.711.980,00      ;1  x  ;2.077.777,00   ;99.528,80   ;5  x  ;113  x  ;1.122  x  ;11.173  x  ;112.405  x  ;1.089.738  x  ;;;;;
46.;18.11.;;9;5;4;3;1;4;7;27.289.807,50      ;1  x  ;1.977.777,00   ;62.057,10   ;12  x  ;104  x  ;1.105  x  ;10.771  x  ;108.743  x  ;1.065.529  x  ;;;;;
47.;25.11.;;8;3;9;4;6;3;6;27.165.907,50      ;1  x  ;1.977.777,00   ;15.776,10   ;12  x  ;110  x  ;1.022  x  ;10.303  x  ;102.160  x  ;995.965  x  ;;;;;
48.;02.12.;;2;7;9;8;0;7;0;28.954.822,50      ;JP;;2.074.464,00   ;4  x  ;80  x  ;865  x  ;8.370  x  ;85.351  x  ;868.940  x  ;;;;;
49.;06.12.;MI;3;7;7;1;0;8;2;7.236.227,50      ;1  x  ;6.377.777,00   ;48.998,90   ;2  x  ;17  x  ;237  x  ;2.285  x  ;23.348  x  ;236.400  x  ;;;;;
;09.12.;SA;3;3;6;9;3;9;2;30.749.097,50      ;2  x  ;1.077.777,00   ;79.705,70   ;9  x  ;107  x  ;1.020  x  ;10.170  x  ;101.615  x  ;1.023.652  x  ;;;;;
50.;13.12.;MI;3;5;7;6;8;5;6;6.688.667,50      ;2  x  ;377.777,00   ;0,00   ;4  x  ;28  x  ;262  x  ;2.519  x  ;24.550  x  ;242.956  x  ;;;;;
;16.12.;SA;8;1;3;7;8;1;8;28.178.302,50      ;JP;;2.003.477,30   ;12  x  ;132  x  ;1.185  x  ;11.659  x  ;115.113  x  ;1.185.790  x  ;;;;;
51.;20.12.;MI;6;7;7;8;8;1;6;7.023.910,00      ;JP;;2.502.877,30   ;5  x  ;27  x  ;246  x  ;2.448  x  ;24.675  x  ;255.222  x  ;;;;;
;23.12.;SA;2;6;4;0;2;5;3;30.713.615,00      ;3  x  ;1.477.777,00   ;253.284,30   ;7  x  ;124  x  ;1.180  x  ;11.906  x  ;117.508  x  ;1.155.899  x  ;;;;;
52.;27.12.;MI;7;5;7;4;4;0;5;6.405.827,50      ;1  x  ;677.777,00   ;30.961,60   ;2  x  ;29  x  ;215  x  ;2.169  x  ;22.184  x  ;252.078  x  ;;;;;
;30.12.;SA;8;1;4;4;0;8;6;29.558.077,50      ;JP;;2.132.540,90   ;12  x  ;85  x  ;1.079  x  ;10.465  x  ;109.634  x  ;1.094.847  x  ;;;;;
;;;;;;;;Gewinne Gesamt;;;57   ;;;556;5.318;53.926;540.545;5.405.365;54.317.648;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
