Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2013;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
KW;2013;Ziehung;;;;;;;ziffer;;        ab 177.777,00 Euro;;Euro;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;
1.;02.01.;MI;2;8;9;4;2;3;1;6.274.330,00   ;JP;;541.210,20   ;1  x   ;21  x   ;187  x   ;1.987  x   ;19.724  x   ;191.795  x   ;
;05.01.;SA;1;0;4;1;5;6;3;14.728.562,50   ;JP;;1.588.411,00   ;4  x   ;41  x   ;574  x   ;5.626  x   ;55.391  x   ;544.776  x   ;737224
2.;09.01.;MI;8;3;0;9;5;5;3;6.192.432,50   ;JP;;2.028.693,00   ;5  x   ;27  x   ;229  x   ;2.520  x   ;25.482  x   ;243.383  x   ;
;12.01.;SA;4;2;7;6;7;2;4;14.857.587,50   ;3  x   ;977.777,00   ;151.736,50   ;5  x   ;51  x   ;507  x   ;5.173  x   ;51.769  x   ;501.250  x   ;
3.;16.01.;MI;2;5;0;8;9;7;4;6.255.130,00   ;1  x   ;577.777,00   ;18.699,20   ;1  x   ;21  x   ;211  x   ;2.179  x   ;20.908  x   ;215.587  x   ;
;19.01.;SA;3;6;8;2;2;3;8;15.005.817,50   ;3  x   ;277.777,00   ;252.281,80   ;7  x   ;68  x   ;525  x   ;5.872  x   ;59.173  x   ;584.509  x   ;
4.;23.01.;MI;8;9;5;7;2;1;7;6.699.510,00   ;JP;;728.617,00   ;4  x   ;35  x   ;274  x   ;2.881  x   ;29.267  x   ;292.050  x   ;
;26.01.;SA;7;8;0;0;4;0;7;14.465.985,00   ;JP;;1.757.148,50   ;3  x   ;56  x   ;519  x   ;5.411  x   ;54.684  x   ;649.732  x   ;
5.;30.01.;MI;6;4;4;2;0;4;7;6.154.022,50   ;JP;;2.194.699,50   ;2  x   ;31  x   ;257  x   ;2.611  x   ;28.492  x   ;272.046  x   ;
;02.02.;SA;0;3;3;1;8;0;1;14.786.575,00   ;JP;;3.246.025,00   ;5  x   ;43  x   ;397  x   ;4.004  x   ;40.014  x   ;447.863  x   ;
6.;06.02.;MI;9;4;0;5;2;3;1;6.178.072,50   ;JP;;3.685.286,00   ;1  x   ;20  x   ;188  x   ;1.934  x   ;19.683  x   ;187.452  x   ;
;09.02.;SA;9;5;4;0;5;6;1;14.772.152,50   ;JP;;4.735.586,00   ;7  x   ;52  x   ;457  x   ;4.537  x   ;45.055  x   ;445.104  x   ;
7.;13.02.;MI;7;7;2;0;6;4;0;6.410.847,50   ;JP;;5.191.397,30   ;1  x   ;15  x   ;159  x   ;1.645  x   ;16.873  x   ;175.413  x   ;
;16.02.;SA;1;7;2;3;4;1;7;15.333.452,50   ;1  x   ;6.277.777,00   ;3.828,80   ;7  x   ;76  x   ;738  x   ;6.717  x   ;66.885  x   ;680.942  x   ;
8.;20.02.;MI;5;0;2;1;1;5;7;6.938.312,50   ;1  x   ;477.777,00   ;19.365,80   ;3  x   ;31  x   ;294  x   ;2.933  x   ;31.326  x   ;311.266  x   ;
;23.02.;SA;2;1;6;9;9;0;7;15.683.432,50   ;2  x   ;477.777,00   ;178.903,90   ;4  x   ;58  x   ;594  x   ;6.139  x   ;60.711  x   ;712.130  x   ;
9.;27.02.;MI;8;6;9;6;8;6;5;7.428.730,00   ;JP;;707.086,60   ;3  x   ;40  x   ;318  x   ;3.250  x   ;31.951  x   ;304.425  x   ;
;02.03.;SA;6;9;1;1;7;7;3;16.758.485,00   ;JP;;1.898.614,90   ;3  x   ;57  x   ;600  x   ;6.060  x   ;63.515  x   ;618.309  x   ;
10.;06.03.;MI;8;1;4;2;7;9;1;8.405.397,50   ;JP;;2.496.238,70   ;unbesetzt;25  x   ;266  x   ;2.541  x   ;24.679  x   ;264.358  x   ;
;09.03.;SA;5;2;6;0;1;2;2;18.031.535,00   ;JP;;3.778.280,80   ;2  x   ;64  x   ;578  x   ;5.865  x   ;59.885  x   ;589.975  x   ;
11.;13.03.;MI;5;1;8;7;5;3;0;6.519.385,00   ;JP;;4.241.809,10   ;1  x   ;18  x   ;197  x   ;1.772  x   ;17.928  x   ;179.096  x   ;
;16.03.;SA;6;3;8;3;1;7;7;14.973.335,00   ;JP;;5.306.413,20   ;4  x   ;71  x   ;762  x   ;7.586  x   ;79.881  x   ;669.410  x   ;
12.;20.03.;MI;0;6;2;8;6;1;4;6.477.075,00   ;JP;;5.766.933,20   ;2  x   ;17  x   ;206  x   ;2.294  x   ;22.031  x   ;219.931  x   ;
;23.03.;SA;1;0;5;3;2;1;2;15.168.880,00   ;2  x   ;3.377.777,00   ;89.886,60   ;4  x   ;40  x   ;488  x   ;5.083  x   ;50.069  x   ;492.073  x   ;
13.;27.03.;MI;2;4;4;2;2;1;2;6.711.620,00   ;JP;;567.082,80   ;4  x   ;22  x   ;223  x   ;2.334  x   ;22.277  x   ;215.401  x   ;
;30.03.;SA;9;8;2;7;6;0;8;15.908.287,50   ;JP;;1.698.162,00   ;11  x   ;64  x   ;524  x   ;5.121  x   ;51.022  x   ;635.113  x   ;
14.;03.04.;MI;0;3;4;6;3;5;3;6.837.860,00   ;JP;;2.184.333,80   ;5  x   ;17  x   ;269  x   ;2.850  x   ;27.763  x   ;263.402  x   ;
;06.04.;SA;2;0;1;3;5;6;5;16.000.465,00   ;4  x   ;777.777,00   ;210.858,90   ;6  x   ;77  x   ;694  x   ;7.243  x   ;71.443  x   ;671.929  x   ;
15.;10.04.;MI;8;2;0;1;9;5;9;6.163.465,00   ;1  x   ;577.777,00   ;71.304,30   ;6  x   ;19  x   ;279  x   ;2.023  x   ;19.453  x   ;191.348  x   ;
;13.04.;SA;9;3;4;4;4;5;0;14.542.037,50   ;JP;;1.105.243,20   ;5  x   ;43  x   ;401  x   ;4.185  x   ;40.383  x   ;383.334  x   ;
16.;17.04.;MI;2;1;8;7;0;0;2;6.017.712,50   ;JP;;1.533.102,60   ;2  x   ;19  x   ;150  x   ;1.506  x   ;16.930  x   ;197.031  x   ;
;20.04.;SA;3;0;6;9;9;5;0;14.426.152,50   ;JP;;2.558.802,00   ;2  x   ;50  x   ;394  x   ;4.017  x   ;40.683  x   ;382.020  x   ;
17.;24.04.;MI;5;3;0;6;6;1;3;6.129.410,00   ;JP;;2.994.603,10   ;1  x   ;36  x   ;281  x   ;2.820  x   ;28.249  x   ;232.698  x   ;
;27.04.;SA;5;4;8;5;3;8;3;14.708.550,00   ;3  x   ;1.277.777,00   ;207.050,00   ;4  x   ;47  x   ;565  x   ;5.279  x   ;51.923  x   ;545.379  x   ;
18.;01.05.;MI;7;8;4;9;3;5;9;6.424.780,00   ;JP;;663.851,90   ;unbesetzt;20  x   ;199  x   ;2.063  x   ;20.728  x   ;199.443  x   ;
;04.05.;SA;2;2;1;7;3;9;8;15.642.870,00   ;3  x   ;577.777,00   ;42.729,00   ;10  x   ;89  x   ;668  x   ;5.831  x   ;59.406  x   ;620.030  x   ;
19.;08.05.;MI;2;7;9;2;0;6;9;6.182.037,50   ;JP;;482.271,90   ;1  x   ;19  x   ;205  x   ;1.962  x   ;20.726  x   ;192.341  x   ;
;11.05.;SA;5;8;5;2;0;5;4;14.272.245,00   ;JP;;1.497.028,50   ;4  x   ;41  x   ;492  x   ;4.648  x   ;50.796  x   ;478.624  x   ;
20.;15.05.;MI;1;4;4;5;9;0;8;5.839.942,50   ;1  x   ;1.877.777,00   ;34.471,40   ;unbesetzt;18  x   ;205  x   ;1.924  x   ;18.760  x   ;233.273  x   ;
;18.05.;SA;0;4;4;2;4;6;1;14.299.642,50   ;JP;;1.051.176,00   ;4  x   ;46  x   ;464  x   ;4.552  x   ;43.942  x   ;425.459  x   ;
21.;22.05.;MI;3;9;8;7;3;2;6;5.745.465,00   ;JP;;1.459.678,60   ;1  x   ;27  x   ;246  x   ;2.232  x   ;22.396  x   ;221.844  x   ;
;25.05.;SA;6;5;5;6;8;0;2;14.377.050,00   ;JP;;2.481.886,90   ;3  x   ;47  x   ;443  x   ;4.162  x   ;41.092  x   ;481.948  x   ;
22.;29.05.;MI;1;0;0;7;5;2;5;6.521.462,50   ;JP;;2.945.562,90   ;2  x   ;25  x   ;249  x   ;2.741  x   ;27.500  x   ;269.213  x   ;
