Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2013;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
;01.06.;SA;1;7;2;8;8;6;9;14.948.480,00   ;JP;;4.008.399,80   ;3  x   ;55  x   ;511  x   ;5.355  x   ;52.995  x   ;485.510  x   ;
23.;05.06.;MI;2;4;6;0;5;8;1;7.055.527,50   ;JP;;4.510.047,80   ;2  x   ;22  x   ;185  x   ;2.167  x   ;21.406  x   ;218.115  x   ;
;08.06.;SA;2;9;1;6;9;7;7;15.616.950,00   ;JP;;5.620.412,90   ;7  x   ;82  x   ;732  x   ;7.615  x   ;81.098  x   ;682.297  x   ;
24.;12.06.;MI;5;5;7;6;3;1;5;5.931.487,50   ;JP;;6.042.141,70   ;2  x   ;12  x   ;248  x   ;2.380  x   ;23.779  x   ;245.789  x   ;
;15.06.;SA;9;6;5;6;1;2;9;13.804.720,00   ;2  x   ;3.477.777,00   ;68.103,30   ;5  x   ;37  x   ;456  x   ;4.443  x   ;44.750  x   ;451.439  x   ;
25.;19.06.;MI;2;1;0;7;6;1;7;5.631.535,00   ;JP;;468.505,40   ;3  x   ;30  x   ;252  x   ;2.635  x   ;25.417  x   ;253.064  x   ;
;22.06.;SA;6;4;9;0;1;8;4;13.685.342,50   ;2  x   ;677.777,00   ;85.979,30   ;3  x   ;55  x   ;448  x   ;4.745  x   ;46.186  x   ;463.249  x   ;
26.;26.06.;MI;6;9;4;4;3;2;1;5.479.927,50   ;JP;;475.602,10   ;2  x   ;25  x   ;224  x   ;1.826  x   ;17.446  x   ;169.490  x   ;
;29.06.;SA;5;7;2;6;5;1;7;13.834.310,00   ;1  x   ;1.377.777,00   ;81.444,50   ;17  x   ;54  x   ;626  x   ;6.076  x   ;62.029  x   ;623.159  x   ;1931
;;;;;;;;Gewinne Gesamt;;;30   ;;;194   ;2.076   ;20.158   ;201.355   ;2.025.954   ;20.224.817   ;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2013;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
KW;2013;Ziehung;;;;;;;ziffer;;        ab 177.777,00 Euro;;Euro;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;
27.;03.07.;MI;0;5;2;6;7;4;7;5.490.365,00   ;JP;;471.809,50   ;2  x   ;32  x   ;272  x   ;2.874  x   ;25.368  x   ;249.396  x   ;
;06.07.;SA;6;2;4;5;6;3;4;13.302.647,50   ;1  x   ;1.377.777,00   ;39.850,70   ;4  x   ;54  x   ;433  x   ;4.787  x   ;46.062  x   ;449.522  x   ;
28.;10.07.;MI;8;8;9;0;2;6;0;5.336.102,50   ;JP;;419.247,60   ;5  x   ;16  x   ;130  x   ;1.400  x   ;14.403  x   ;143.857  x   ;
;13.07.;SA;5;1;7;0;7;5;8;13.242.652,50   ;1  x   ;1.277.777,00   ;83.023,20   ;5  x   ;47  x   ;569  x   ;5.951  x   ;56.537  x   ;529.935  x   ;
29.;17.07.;MI;3;1;2;1;1;7;3;5.273.997,50   ;1  x   ;377.777,00   ;80.227,40   ;3  x   ;23  x   ;198  x   ;2.135  x   ;20.977  x   ;203.059  x   ;
;20.07.;SA;3;3;0;4;7;8;8;12.977.810,00   ;JP;;1.002.949,70   ;7  x   ;51  x   ;529  x   ;5.247  x   ;55.636  x   ;522.701  x   ;
30.;24.07.;MI;2;4;3;4;0;1;1;5.180.762,50   ;JP;;1.371.301,90   ;2  x   ;21  x   ;139  x   ;1.558  x   ;17.723  x   ;159.346  x   ;
;27.07.;SA;4;2;6;2;5;1;5;12.792.952,50   ;JP;;2.280.880,80   ;2  x   ;60  x   ;513  x   ;5.410  x   ;52.191  x   ;537.653  x   ;
31.;31.07.;MI;3;9;6;0;4;4;5;5.564.870,00   ;JP;;2.676.543,10   ;6  x   ;32  x   ;224  x   ;2.212  x   ;24.118  x   ;230.607  x   ;
;03.08.;SA;8;2;0;4;0;6;5;13.489.730,00   ;JP;;3.635.662,90   ;5  x   ;63  x   ;556  x   ;5.443  x   ;61.190  x   ;560.002  x   ;
32.;07.08.;MI;3;1;5;8;0;1;4;5.368.632,50   ;JP;;4.017.372,70   ;2  x   ;24  x   ;182  x   ;1.723  x   ;18.422  x   ;180.744  x   ;
;10.08.;SA;4;5;0;4;3;7;1;13.178.467,50   ;JP;;4.954.361,70   ;4  x   ;36  x   ;415  x   ;4.015  x   ;38.745  x   ;402.624  x   ;
33.;14.08.;MI;8;5;4;5;9;6;4;5.616.662,50   ;JP;;5.353.706,40   ;1  x   ;21  x   ;180  x   ;2.127  x   ;19.675  x   ;189.230  x   ;
;17.08.;SA;7;4;7;6;3;8;4;13.504.852,50   ;JP;;6.313.901,40   ;4  x   ;52  x   ;473  x   ;4.739  x   ;46.428  x   ;459.624  x   ;
34.;21.08.;MI;1;3;4;5;2;0;8;6.209.600,00   ;JP;;6.755.404,00   ;1  x   ;25  x   ;196  x   ;2.014  x   ;20.070  x   ;243.910  x   ;
;24.08.;SA;5;6;6;6;2;6;6;14.300.930,00   ;1  x   ;7.677.777,00   ;94.423,10   ;3  x   ;51  x   ;565  x   ;5.790  x   ;57.515  x   ;532.158  x   ;
35.;28.08.;MI;3;2;8;8;4;0;4;6.540.002,50   ;JP;;559.417,30   ;unbesetzt;24  x   ;208  x   ;2.274  x   ;20.014  x   ;228.690  x   ;
;31.08.;SA;7;2;9;2;8;2;5;15.308.295,00   ;2  x   ;777.777,00   ;92.283,10   ;7  x   ;60  x   ;613  x   ;6.628  x   ;66.057  x   ;638.440  x   ;
36.;04.09.;MI;9;2;0;6;5;1;2;7.529.200,00   ;1  x   ;577.777,00   ;49.832,20   ;5  x   ;33  x   ;263  x   ;2.584  x   ;25.736  x   ;247.611  x   ;
;07.09.;SA;7;9;7;2;3;6;6;16.109.142,50   ;2  x   ;577.777,00   ;39.638,20   ;4  x   ;68  x   ;614  x   ;6.353  x   ;64.411  x   ;597.693  x   ;
37.;11.09.;MI;6;8;0;2;4;8;3;5.723.705,00   ;JP;;446.593,60   ;1  x   ;20  x   ;204  x   ;2.096  x   ;21.383  x   ;220.799  x   ;
;14.09.;SA;8;8;7;2;7;5;9;13.805.810,00   ;1  x   ;1.377.777,00   ;50.409,70   ;13  x   ;50  x   ;497  x   ;5.010  x   ;47.890  x   ;459.464  x   ;
38.;18.09.;MI;6;2;1;2;9;0;8;5.448.575,00   ;1  x   ;377.777,00   ;60.026,40   ;1  x   ;17  x   ;187  x   ;1.820  x   ;17.760  x   ;217.017  x   ;
;21.09.;SA;7;0;9;3;7;7;9;13.321.472,50   ;JP;;1.007.183,10   ;6  x   ;32  x   ;433  x   ;4.400  x   ;45.944  x   ;450.988  x   ;
39.;25.09.;MI;1;6;2;5;9;4;7;5.668.952,50   ;JP;;1.410.245,60   ;3  x   ;35  x   ;230  x   ;2.645  x   ;26.283  x   ;252.301  x   ;
;28.09.;SA;6;9;7;0;9;0;5;13.797.467,50   ;JP;;2.391.245,50   ;4  x   ;54  x   ;519  x   ;4.947  x   ;48.089  x   ;592.738  x   ;
40.;02.10.;MI;1;4;7;4;1;9;3;6.424.932,50   ;JP;;2.848.058,20   ;unbesetzt;21  x   ;223  x   ;2.193  x   ;22.042  x   ;251.000  x   ;
;05.10.;SA;1;9;0;6;7;7;5;14.120.515,00   ;1  x   ;3.777.777,00   ;74.249,80   ;7  x   ;48  x   ;605  x   ;5.907  x   ;63.104  x   ;593.348  x   ;
41.;09.10.;MI;6;9;8;5;8;2;7;6.725.417,50   ;2  x   ;177.777,00   ;196.873,00   ;3  x   ;22  x   ;305  x   ;3.030  x   ;29.876  x   ;297.542  x   ;
;12.10.;SA;1;1;4;0;3;1;8;15.066.667,50   ;JP;;1.268.113,10   ;5  x   ;64  x   ;628  x   ;6.005  x   ;58.094  x   ;612.760  x   ;
42.;16.10.;MI;2;1;1;2;0;0;9;5.595.485,00   ;JP;;1.665.952,10   ;4  x   ;21  x   ;191  x   ;1.460  x   ;16.409  x   ;186.514  x   ;
;19.10.;SA;3;9;1;4;7;1;0;13.351.180,00   ;JP;;2.615.221,00   ;2  x   ;47  x   ;362  x   ;3.390  x   ;34.357  x   ;348.967  x   ;
43.;23.10.;MI;9;2;1;8;2;7;8;5.385.542,50   ;1  x   ;2.977.777,00   ;20.356,10   ;5  x   ;18  x   ;219  x   ;2.196  x   ;21.507  x   ;212.638  x   ;
;26.10.;SA;0;5;3;4;6;2;8;13.124.862,50   ;1  x   ;877.777,00   ;75.756,80   ;5  x   ;54  x   ;542  x   ;5.504  x   ;53.564  x   ;541.031  x   ;
44.;30.10.;MI;6;1;6;4;6;5;9;5.626.402,50   ;JP;;475.794,00   ;1  x   ;27  x   ;187  x   ;1.935  x   ;19.454  x   ;184.243  x   ;
;02.11.;SA;9;0;1;9;3;4;0;13.660.470,00   ;JP;;1.447.053,40   ;5  x   ;35  x   ;341  x   ;3.501  x   ;35.286  x   ;356.586  x   ;
45.;06.11.;MI;1;1;9;3;1;2;6;6.214.192,50   ;JP;;1.888.882,50   ;unbesetzt;23  x   ;240  x   ;2.354  x   ;23.370  x   ;229.687  x   ;
;09.11.;SA;9;9;2;7;7;1;4;14.834.842,50   ;JP;;2.943.639,80   ;7  x   ;48  x   ;507  x   ;5.134  x   ;50.634  x   ;507.362  x   ;
46.;13.11.;MI;3;7;3;7;2;8;2;7.002.855,00   ;1  x   ;3.377.777,00   ;63.765,80   ;3  x   ;30  x   ;217  x   ;2.259  x   ;22.119  x   ;230.953  x   ;
;16.11.;SA;6;9;1;8;5;8;3;15.671.845,00   ;1  x   ;1.177.777,00   ;257,00   ;3  x   ;56  x   ;527  x   ;5.743  x   ;55.723  x   ;577.591  x   ;
47.;20.11.;MI;6;6;5;9;8;2;6;5.632.690,00   ;JP;;400.741,30   ;4  x   ;17  x   ;232  x   ;2.232  x   ;21.112  x   ;206.693  x   ;
;23.11.;SA;4;4;9;9;7;3;2;13.463.315,00   ;JP;;1.357.983,00   ;7  x   ;51  x   ;495  x   ;4.694  x   ;44.388  x   ;446.014  x   ;
48.;27.11.;MI;1;0;3;8;6;3;5;5.729.935,00   ;JP;;1.765.381,40   ;3  x   ;27  x   ;260  x   ;2.409  x   ;23.637  x   ;240.294  x   ;
;30.11.;SA;5;9;8;2;7;6;4;14.082.400,00   ;JP;;2.766.640,00   ;8  x   ;46  x   ;522  x   ;5.207  x   ;50.245  x   ;479.351  x   ;
49.;04.12.;MI;0;6;6;3;5;0;7;7.138.920,00   ;JP;;3.274.217,20   ;3  x   ;20  x   ;288  x   ;2.629  x   ;27.572  x   ;319.389  x   ;
;07.12.;SA;6;7;9;4;0;8;1;16.064.752,50   ;1  x   ;4.377.777,00   ;38.644,10   ;3  x   ;50  x   ;491  x   ;4.681  x   ;49.479  x   ;490.215  x   ;
50.;11.12.;MI;6;1;2;1;3;1;0;7.101.207,50   ;1  x   ;477.777,00   ;65.763,00   ;4  x   ;14  x   ;182  x   ;1.870  x   ;18.958  x   ;191.706  x   ;
;14.12.;SA;2;7;8;8;5;5;8;15.963.362,50   ;2  x   ;577.777,00   ;45.204,10   ;12  x   ;68  x   ;672  x   ;6.735  x   ;69.322  x   ;640.823  x   ;
51.;18.12.;MI;3;6;8;6;1;6;3;8.034.597,50   ;JP;;616.464,00   ;8  x   ;35  x   ;311  x   ;3.169  x   ;31.784  x   ;308.252  x   ;
;21.12.;SA;5;0;9;9;5;5;5;14.626.010,00   ;JP;;1.656.373,30   ;8  x   ;71  x   ;716  x   ;7.653  x   ;64.089  x   ;617.248  x   ;
52.;25.12.;MI;6;1;8;1;3;5;1;6.410.232,50   ;JP;;2.112.140,80   ;4  x   ;14  x   ;197  x   ;1.982  x   ;19.921  x   ;196.643  x   ;
;28.12.;SA;6;4;4;9;7;4;1;14.362.840,00   ;JP;;3.133.338,70   ;6  x   ;48  x   ;436  x   ;4.284  x   ;42.069  x   ;435.264  x   ;
;;;;;;;;Gewinne Gesamt;;;22   ;;;220   ;1.976   ;19.238   ;194.338   ;1.926.742   ;19.202.223   ;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
