Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2010;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
KW;2010;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;
1.;06.01.;MI;8;1;8;2;5;6;4;4.449.526,50   ;JP;;1.354.894,10   ;4  x   ;20  x   ;273  x   ;2.691  x   ;26.259  x   ;252.363  x   ;
;09.01.;SA;9;6;4;5;2;6;9;10.860.441,00   ;JP;;2.079.285,50   ;8  x   ;71  x   ;634  x   ;6.743  x   ;66.638  x   ;637.071  x   ;737224
2.;13.01.;MI;4;8;1;5;7;0;5;4.973.928,00   ;JP;;2.411.046,50   ;3  x   ;37  x   ;348  x   ;3.044  x   ;30.413  x   ;369.249  x   ;
;16.01.;SA;9;6;4;8;6;3;3;11.736.976,50   ;JP;;3.193.902,80   ;11  x   ;59  x   ;676  x   ;7.163  x   ;71.081  x   ;702.970  x   ;
3.;20.01.;MI;2;1;3;0;8;8;3;4.403.953,50   ;JP;;3.487.646,50   ;3  x   ;37  x   ;221  x   ;2.380  x   ;25.218  x   ;265.452  x   ;
;23.01.;SA;8;1;6;8;1;6;8;10.691.041,50   ;1  x   ;4.170.000,00   ;30.739,00   ;14  x   ;70  x   ;771  x   ;7.479  x   ;75.566  x   ;712.655  x   ;
4.;27.01.;MI;9;0;5;7;7;3;3;4.423.900,50   ;JP;;325.813,20   ;unbesetzt;20  x   ;311  x   ;2.869  x   ;28.142  x   ;265.368  x   ;
;30.01.;SA;9;5;7;4;6;3;4;10.943.755,50   ;JP;;1.055.761,70   ;8  x   ;64  x   ;655  x   ;6.197  x   ;62.469  x   ;620.276  x   ;
