Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2006;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2006;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;04.01.;MI;3;5;7;4;0;1;6;4.942.366,50   ;1  x   ;1.770.000,00   ;48.084,40   ;2  x   ;30  x   ;277  x   ;2.893  x   ;31.423  x   ;320.417  x   ;;;;
;07.01.;SA;3;7;8;7;0;2;1;13.337.593,50   ;2  x   ;370.000,00   ;197.701,90   ;5  x   ;78  x   ;699  x   ;7.148  x   ;75.358  x   ;718.294  x   ;;;;
2.;11.01.;MI;3;4;4;7;2;6;1;4.592.977,50   ;JP;;504.053,50   ;2  x   ;25  x   ;233  x   ;2.551  x   ;24.868  x   ;250.015  x   ;;;;
;14.01.;SA;8;1;3;7;0;8;2;13.416.784,50   ;3  x   ;370.000,00   ;288.953,00   ;10  x   ;57  x   ;741  x   ;7.199  x   ;74.521  x   ;744.063  x   ;;;;
3.;18.01.;MI;0;8;6;3;6;6;8;4.532.842,50   ;JP;;591.293,60   ;3  x   ;24  x   ;294  x   ;2.880  x   ;30.494  x   ;305.724  x   ;;;;
;21.01.;SA;3;0;5;5;7;2;5;12.856.477,50   ;1  x   ;1.370.000,00   ;78.820,60   ;10  x   ;82  x   ;891  x   ;9.222  x   ;89.860  x   ;880.640  x   ;;;;
4.;25.01.;MI;1;5;3;7;4;7;3;4.753.903,50   ;1  x   ;370.000,00   ;25.906,00   ;1  x   ;41  x   ;300  x   ;2.933  x   ;28.834  x   ;292.744  x   ;;;;
;28.01.;SA;1;5;9;5;9;9;6;13.598.079,00   ;3  x   ;270.000,00   ;122.897,90   ;14  x   ;69  x   ;804  x   ;8.158  x   ;83.425  x   ;858.434  x   ;;;;
5.;01.02.;MI;6;6;0;7;6;3;5;6.051.702,00   ;JP;;526.546,40   ;3  x   ;47  x   ;451  x   ;4.439  x   ;43.880  x   ;408.892  x   ;;;;
;04.02.;SA;7;7;8;1;8;4;4;15.739.057,50   ;JP;;1.576.341,50   ;6  x   ;102  x   ;934  x   ;9.240  x   ;92.636  x   ;912.437  x   ;;;;
6.;08.02.;MI;7;5;5;7;6;3;3;7.746.787,50   ;JP;;2.093.052,20   ;7  x   ;49  x   ;491  x   ;4.709  x   ;48.403  x   ;475.805  x   ;;;;
;11.02.;SA;3;4;7;8;0;0;9;18.482.544,00   ;1  x   ;3.270.000,00   ;55.837,90   ;8  x   ;118  x   ;908  x   ;8.837  x   ;98.822  x   ;1.106.731  x   ;;;;
7.;15.02.;MI;0;5;4;4;1;0;1;11.146.768,50   ;2  x   ;370.000,00   ;59.327,40   ;4  x   ;46  x   ;608  x   ;5.856  x   ;58.038  x   ;622.384  x   ;;;;
;18.02.;SA;1;8;0;0;2;7;8;14.405.898,00   ;4  x   ;170.000,00   ;340.200,80   ;12  x   ;78  x   ;983  x   ;10.208  x   ;100.103  x   ;973.074  x   ;;;;
8.;22.02.;MI;1;3;9;0;8;1;8;5.015.068,50   ;2  x   ;270.000,00   ;134.705,90   ;4  x   ;35  x   ;307  x   ;3.482  x   ;33.073  x   ;340.813  x   ;;;;
;25.02.;SA;5;9;4;8;2;0;3;13.176.517,50   ;1  x   ;970.000,00   ;43.579,60   ;4  x   ;62  x   ;682  x   ;6.840  x   ;67.224  x   ;803.535  x   ;;;;
9.;01.03.;MI;2;6;2;0;5;4;9;5.206.464,00   ;JP;;390.850,70   ;2  x   ;36  x   ;300  x   ;3.107  x   ;30.461  x   ;289.414  x   ;;;;
;04.03.;SA;2;5;4;4;4;3;7;13.770.814,50   ;1  x   ;1.270.000,00   ;39.364,00   ;14  x   ;101  x   ;900  x   ;9.241  x   ;91.633  x   ;916.455  x   ;;;;
10.;08.03.;MI;5;0;2;8;2;8;3;6.260.685,00   ;JP;;456.951,70   ;2  x   ;42  x   ;349  x   ;3.940  x   ;37.828  x   ;392.810  x   ;;;;
;11.03.;SA;1;9;1;4;2;2;3;15.401.629,50   ;1  x   ;1.470.000,00   ;14.240,40   ;8  x   ;78  x   ;870  x   ;8.980  x   ;93.680  x   ;931.410  x   ;;;;
11.;15.03.;MI;1;3;8;3;3;6;6;5.049.586,50   ;JP;;351.047,80   ;9  x   ;39  x   ;411  x   ;3.262  x   ;35.096  x   ;320.725  x   ;;;;
;18.03.;SA;0;7;5;4;7;3;1;13.034.958,00   ;1  x   ;1.170.000,00   ;50.479,50   ;7  x   ;74  x   ;744  x   ;7.643  x   ;71.549  x   ;698.832  x   ;;;;
12.;22.03.;MI;4;1;7;3;3;7;2;4.955.043,00   ;JP;;380.980,90   ;4  x   ;31  x   ;249  x   ;2.682  x   ;26.205  x   ;266.994  x   ;;;;
;25.03.;SA;0;2;4;6;6;0;3;12.783.148,50   ;1  x   ;1.170.000,00   ;63.616,90   ;6  x   ;71  x   ;611  x   ;6.693  x   ;66.107  x   ;784.833  x   ;;;;
13.;29.03.;MI;6;7;2;2;6;1;4;4.859.484,00   ;JP;;387.744,50   ;3  x   ;25  x   ;269  x   ;2.808  x   ;27.503  x   ;281.958  x   ;;;;
;01.04.;SA;3;8;6;7;9;0;7;13.453.573,50   ;2  x   ;570.000,00   ;145.097,90   ;6  x   ;82  x   ;795  x   ;7.837  x   ;79.051  x   ;906.978  x   ;;;;
14.;05.04.;MI;3;9;3;4;1;0;5;5.489.856,00   ;JP;;511.271,30   ;2  x   ;35  x   ;322  x   ;3.355  x   ;32.807  x   ;387.200  x   ;;;;
;08.04.;SA;7;4;7;5;6;4;6;14.282.269,50   ;1  x   ;1.370.000,00   ;93.898,70   ;10  x   ;101  x   ;893  x   ;9.508  x   ;93.263  x   ;883.902  x   ;;;;
15.;12.04.;MI;8;0;4;3;8;4;4;4.863.325,50   ;JP;;418.282,50   ;6  x   ;31  x   ;285  x   ;2.828  x   ;29.817  x   ;280.170  x   ;;;;
;15.04.;SA;3;7;9;8;8;2;4;12.956.166,00   ;2  x   ;570.000,00   ;142.458,80   ;6  x   ;78  x   ;774  x   ;8.029  x   ;77.353  x   ;742.042  x   ;;;;
16.;19.04.;MI;3;0;7;0;6;1;1;4.476.705,00   ;JP;;441.055,00   ;3  x   ;18  x   ;263  x   ;2.485  x   ;26.640  x   ;242.246  x   ;;;;
;22.04.;SA;3;8;4;3;0;5;8;12.553.072,50   ;3  x   ;370.000,00   ;168.344,90   ;14  x   ;81  x   ;859  x   ;8.127  x   ;91.869  x   ;857.263  x   ;;;;
17.;26.04.;MI;2;8;3;8;9;1;9;4.477.534,50   ;JP;;466.996,50   ;unbesetzt;29  x   ;227  x   ;2.518  x   ;24.104  x   ;246.494  x   ;;;;
;29.04.;SA;4;2;0;6;4;8;8;12.874.182,00   ;JP;;1.325.704,40   ;12  x   ;87  x   ;941  x   ;8.958  x   ;90.516  x   ;880.585  x   ;;;;
18.;03.05.;MI;1;5;1;8;8;2;9;4.439.547,00   ;JP;;1.621.822,20   ;2  x   ;31  x   ;213  x   ;2.516  x   ;24.136  x   ;243.585  x   ;;;;
;06.05.;SA;3;5;4;4;7;3;4;12.541.956,00   ;2  x   ;1.170.000,00   ;118.370,70   ;8  x   ;87  x   ;774  x   ;7.334  x   ;73.225  x   ;721.264  x   ;;;;
19.;10.05.;MI;0;1;1;0;2;2;4;4.507.894,50   ;1  x   ;370.000,00   ;49.047,30   ;2  x   ;23  x   ;286  x   ;2.627  x   ;27.380  x   ;260.770  x   ;;;;
;13.05.;SA;8;2;4;5;0;7;4;12.598.761,00   ;JP;;889.384,70   ;3  x   ;71  x   ;674  x   ;6.842  x   ;72.701  x   ;728.157  x   ;;;;
20.;17.05.;MI;5;5;5;7;7;1;3;4.410.733,50   ;JP;;1.183.580,60   ;2  x   ;37  x   ;347  x   ;3.481  x   ;33.196  x   ;275.564  x   ;;;;
;20.05.;SA;0;4;3;7;6;3;3;12.365.818,50   ;1  x   ;1.970.000,00   ;38.380,70   ;7  x   ;93  x   ;739  x   ;7.351  x   ;74.815  x   ;753.352  x   ;;;;
21.;24.05.;MI;0;0;7;7;0;5;1;4.448.941,50   ;1  x   ;270.000,00   ;65.125,10   ;3  x   ;24  x   ;249  x   ;2.331  x   ;24.822  x   ;240.682  x   ;;;;
;27.05.;SA;3;9;7;6;7;0;0;12.087.537,00   ;1  x   ;870.000,00   ;1.363,80   ;6  x   ;55  x   ;585  x   ;5.688  x   ;58.982  x   ;554.231  x   ;;;;
22.;31.05.;MI;4;5;8;6;8;8;1;4.723.882,50   ;JP;;316.446,80   ;3  x   ;18  x   ;279  x   ;2.411  x   ;24.945  x   ;259.374  x   ;;;;
;03.06.;SA;9;4;1;2;7;5;5;13.235.568,00   ;JP;;1.199.259,20   ;10  x   ;102  x   ;976  x   ;9.621  x   ;96.657  x   ;899.588  x   ;;;;
23.;07.06.;MI;6;6;3;7;0;0;6;4.424.911,50   ;2  x   ;670.000,00   ;154.400,80   ;5  x   ;25  x   ;217  x   ;2.449  x   ;25.264  x   ;287.915  x   ;;;;
;10.06.;SA;0;5;8;5;2;8;1;12.096.372,00   ;JP;;961.228,80   ;6  x   ;61  x   ;612  x   ;6.274  x   ;63.880  x   ;651.341  x   ;;;;
24.;14.06.;MI;3;1;4;5;6;8;3;4.351.612,50   ;JP;;1.251.481,40   ;3  x   ;24  x   ;287  x   ;2.697  x   ;26.374  x   ;280.726  x   ;;;;
;17.06.;SA;6;8;3;3;2;5;6;12.000.594,00   ;1  x   ;1.970.000,00   ;81.921,00   ;9  x   ;77  x   ;789  x   ;7.863  x   ;78.788  x   ;743.278  x   ;;;;
25.;21.06.;MI;1;4;4;0;3;7;5;4.516.866,00   ;JP;;383.196,00   ;7  x   ;29  x   ;328  x   ;3.209  x   ;31.501  x   ;312.992  x   ;;;;
;24.06.;SA;0;0;1;2;4;7;3;12.472.908,00   ;1  x   ;1.170.000,00   ;45.139,00   ;8  x   ;78  x   ;813  x   ;7.669  x   ;75.535  x   ;769.066  x   ;;;;
26.;28.06.;MI;5;3;6;7;5;8;7;5.360.677,50   ;JP;;402.696,20   ;4  x   ;29  x   ;346  x   ;3.346  x   ;33.013  x   ;351.430  x   ;;;;
;01.07.;SA;7;1;0;4;4;0;6;13.849.479,00   ;JP;;1.326.456,40   ;14  x   ;82  x   ;739  x   ;7.559  x   ;76.332  x   ;877.163  x   ;;;;
