Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2007;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2007;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
15.;11.04.;MI;8;4;4;0;8;6;5;4.623.268,50   ;1  x   ;270.000,00   ;62.837,50   ;2  x   ;35  x   ;301  x   ;3.142  x   ;32.646  x   ;309.552  x   ;;;;
;14.04.;SA;2;1;6;4;6;4;7;12.326.766,00   ;JP;;885.032,80   ;8  x   ;87  x   ;867  x   ;8.704  x   ;87.838  x   ;827.109  x   ;;;;
16.;18.04.;MI;2;3;7;1;3;6;1;4.530.454,50   ;1  x   ;1.170.000,00   ;17.214,10   ;5  x   ;17  x   ;242  x   ;2.506  x   ;24.316  x   ;243.058  x   ;;;;
;21.04.;SA;3;6;2;2;9;3;3;12.134.572,50   ;2  x   ;370.000,00   ;86.590,10   ;7  x   ;78  x   ;750  x   ;7.453  x   ;74.747  x   ;744.312  x   ;;;;
17.;25.04.;MI;4;4;4;6;4;8;8;4.412.875,50   ;JP;;380.928,90   ;3  x   ;30  x   ;373  x   ;3.437  x   ;34.021  x   ;311.249  x   ;;;;
;28.04.;SA;3;0;1;6;0;5;8;11.770.113,00   ;4  x   ;270.000,00   ;85.995,40   ;12  x   ;83  x   ;822  x   ;8.148  x   ;88.172  x   ;832.862  x   ;;;;
18.;02.05.;MI;8;8;1;5;4;0;4;4.305.628,50   ;JP;;373.180,80   ;4  x   ;26  x   ;248  x   ;2.355  x   ;21.975  x   ;250.850  x   ;;;;
;05.05.;SA;3;7;9;3;6;7;0;11.979.628,50   ;JP;;1.172.222,00   ;8  x   ;46  x   ;585  x   ;5.404  x   ;54.636  x   ;551.987  x   ;;;;
19.;09.05.;MI;0;3;6;0;8;4;9;4.892.239,50   ;JP;;1.498.534,40   ;3  x   ;34  x   ;268  x   ;2.970  x   ;28.705  x   ;273.022  x   ;;;;
;12.05.;SA;7;9;6;4;2;7;9;13.038.745,50   ;1  x   ;2.270.000,00   ;98.218,70   ;3  x   ;102  x   ;790  x   ;7.841  x   ;77.148  x   ;761.999  x   ;;;;
20.;16.05.;MI;2;5;5;3;2;6;2;4.630.584,00   ;JP;;407.078,70   ;1  x   ;26  x   ;266  x   ;2.577  x   ;24.514  x   ;245.547  x   ;;;;
;19.05.;SA;1;8;7;7;9;1;4;11.905.225,50   ;JP;;1.201.157,20   ;5  x   ;59  x   ;674  x   ;6.735  x   ;66.512  x   ;688.944  x   ;;;;
21.;23.05.;MI;0;0;4;1;1;3;4;4.724.371,50   ;JP;;1.516.272,80   ;1  x   ;21  x   ;274  x   ;2.674  x   ;28.081  x   ;272.347  x   ;;;;
