Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2009;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2009;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;31.12.;MI;8;1;7;8;1;5;0;6.134.196,00   ;1  x   ;470.000,00   ;13.656,40   ;2  x   ;27  x   ;303  x   ;3.024  x   ;30.904  x   ;298.003  x   ;;;;
;03.01.;SA;2;5;1;5;0;1;7;11.877.444,00   ;JP;;805.881,90   ;5  x   ;73  x   ;741  x   ;7.250  x   ;78.722  x   ;808.688  x   ;;;;
2.;07.01.;MI;9;4;6;6;3;5;8;5.280.129,00   ;1  x   ;1.070.000,00   ;88.066,50   ;2  x   ;37  x   ;362  x   ;3.556  x   ;35.274  x   ;344.236  x   ;;;;
;10.01.;SA;9;6;7;6;3;8;1;12.251.730,00   ;1  x   ;870.000,00   ;35.256,90   ;12  x   ;55  x   ;645  x   ;6.349  x   ;63.140  x   ;636.937  x   ;;;;
3.;14.01.;MI;3;8;9;6;3;5;7;6.106.914,00   ;JP;;442.588,10   ;4  x   ;39  x   ;438  x   ;4.232  x   ;41.673  x   ;404.241  x   ;;;;
;17.01.;SA;8;4;7;4;6;0;2;13.460.787,00   ;1  x   ;1.270.000,00   ;70.422,60   ;10  x   ;50  x   ;639  x   ;6.846  x   ;65.833  x   ;740.350  x   ;;;;
4.;21.01.;MI;8;2;1;0;5;6;1;7.875.288,00   ;2  x   ;270.000,00   ;55.704,30   ;4  x   ;47  x   ;430  x   ;4.409  x   ;43.272  x   ;420.787  x   ;;;;
;24.01.;SA;9;6;0;4;6;7;7;16.570.405,50   ;JP;;1.160.950,30   ;7  x   ;111  x   ;1.170  x   ;11.533  x   ;119.077  x   ;1.097.956  x   ;;;;
