Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1995;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
VA;1995;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
;;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
30.;29.07.;5;0;6;2;6;5;3;23.469.042,50;1 x;1.677.777,00   ;61.253,20   ;12 x           ;87 x         ;875 x         ;8.396 x        ;84.344 x    ;839.941 x    ;;;;
31.;05.08.;4;6;7;9;3;3;9;23.253.463,00;JP;;1.714.574,40   ;7 x           ;78 x         ;833 x         ;8.426 x        ;84.237 x    ;834.646 x    ;;;;
32.;12.08.;1;0;9;6;2;2;0;23.225.702,50;JP;;3.365.921,80   ;7 x           ;88 x         ;860 x         ;8.151 x        ;79.935 x    ;801.874 x    ;;;;
33.;19.08.;1;5;2;8;9;7;5;23.421.705,00;2 x;2.477.777,00   ;75.651,00   ;11 x           ;85 x         ;826 x         ;8.558 x        ;85.430 x    ;852.529 x    ;;;;
34.;26.08.;3;3;3;5;6;8;0;23.562.797,50;JP;;1.750.965,90   ;13 x           ;81 x         ;827 x         ;8.006 x        ;80.571 x    ;808.222 x    ;;;;
35.;02.09.;8;1;0;4;3;2;2;30.436.567,50;2 x;1.877.777,00   ;159.451,80   ;17 x           ;110 x         ;1.068 x         ;10.995 x        ;109.081 x    ;1.091.056 x    ;;;;
36.;09.09.;6;6;5;3;1;8;6;24.763.177,50;1 x;1.877.777,00   ;42.336,70   ;3 x           ;77 x         ;931 x         ;9.239 x        ;90.809 x    ;907.186 x    ;;;;
37.;16.09.;5;7;2;6;0;7;2;24.498.625,00;1 x;1.777.777,00   ;6.411,90   ;4 x           ;86 x         ;868 x         ;8.635 x        ;87.324 x    ;865.183 x    ;;;;
38.;23.09.;1;7;2;3;6;8;3;24.332.985,00;1 x;1.677.777,00   ;58.710,10   ;7 x           ;84 x         ;941 x         ;8.639 x        ;87.437 x    ;877.824 x    ;;;;
39.;30.09.;7;4;9;4;8;5;6;24.701.620,50;1 x;1.777.777,00   ;37.218,30   ;9 x           ;98 x         ;863 x         ;9.104 x        ;90.361 x    ;897.269 x    ;;;;
