Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1984;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;;;;;;;;;;;
VA;1984;Gewinnzahl;;;;;;End-;Spieleinsatz;von 2 x 177.777,70 DM;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
;;;;;;;;ziffer;DM;bis 2 x 1.777.777,70 DM;;DM;2 x 77.777,70 DM;2 x 7.777,70 DM;2 x 777,70 DM;2 x 77,70 DM;2 x 7,70 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;07.01.;1;6;8;1;7;8;8;11.547.682,00;JP;;3.092.822,70   ;5 x           ;63 x         ;539 x         ;5.416 x        ;53.008 x    ;;;;
2.;14.01.;3;9;3;0;1;9;2;12.616.166,00;1 x;3.555.555,40   ;517.543,40   ;2 x           ;64 x         ;600 x         ;5.965 x        ;57.753 x    ;;;;
3.;21.01.;0;1;8;2;1;6;0;12.391.884,00;1 x;1.355.555,40   ;124.837,40   ;6 x           ;61 x         ;569 x         ;5.422 x        ;54.738 x    ;;;;
4.;28.01.;9;1;8;3;4;2;7;12.371.596,00;1 x;955.555,40   ;130.555,00   ;5 x           ;48 x         ;551 x         ;5.356 x        ;54.452 x    ;;;;
5.;04.02.;8;2;3;1;7;4;5;12.382.576,00;2 x;355.555,40   ;381.570,40   ;3 x           ;50 x         ;603 x         ;5.459 x        ;54.837 x    ;;;;
6.;11.02.;6;4;6;4;7;3;0;12.346.638,00;JP;;1.340.904,20   ;14 x           ;66 x         ;558 x         ;5.430 x        ;55.173 x    ;;;;
7.;18.02.;0;0;7;9;8;7;5;12.102.048,00;JP;;2.281.233,30   ;4 x           ;44 x         ;545 x         ;5.364 x        ;53.475 x    ;;;;
8.;25.02.;7;0;5;2;0;2;6;12.076.538,00;JP;;3.219.580,30   ;8 x           ;41 x         ;592 x         ;5.436 x        ;55.968 x    ;;;;
