;;;;;;;;;;;;;;;;;;;;;;;
Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1996;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
VA;1996;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;;
;;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;
30.;27.07.;7;7;9;9;0;6;3;23.286.200,00;JP;;3.364.119,40   ;3 x           ;82 x         ;897 x         ;8.295 x        ;84.319 x    ;841.013 x    ;;;;;
31.;03.08.;8;1;2;5;9;7;5;23.487.437,50;1 x;4.977.777,00   ;57.299,20   ;6 x           ;73 x         ;894 x         ;8.923 x        ;89.421 x    ;884.945 x    ;;;;;
32.;10.08.;7;2;6;7;3;1;5;24.005.785,00;1 x;1.677.777,00   ;86.333,50   ;13 x           ;93 x         ;893 x         ;8.899 x        ;87.239 x    ;887.047 x    ;;;;;
33.;17.08.;3;5;8;0;8;5;5;23.393.095,00;1 x;1.677.777,00   ;71.805,60   ;10 x           ;86 x         ;844 x         ;8.768 x        ;87.117 x    ;863.566 x    ;;;;;
34.;24.08.;2;0;8;2;5;0;7;23.110.285,00;1 x;1.677.777,00   ;37.169,90   ;10 x           ;77 x         ;858 x         ;8.335 x        ;82.613 x    ;883.968 x    ;;;;;
35.;31.08.;8;3;3;8;4;7;8;23.749.927,50;JP;;1.725.789,70   ;7 x           ;97 x         ;874 x         ;8.892 x        ;87.376 x    ;865.627 x    ;;;;;
36.;07.09.;8;0;7;1;1;0;4;28.546.442,50;3 x;1.177.777,00   ;222.110,80   ;6 x           ;114 x         ;945 x         ;9.928 x        ;96.487 x    ;1.026.777 x    ;;;;;
37.;14.09.;8;2;9;8;9;0;8;25.345.702,50;1 x;1.977.777,00   ;46.413,20   ;6 x           ;90 x         ;906 x         ;8.729 x        ;86.858 x    ;922.712 x    ;;;;;
38.;21.09.;6;6;5;8;5;3;0;24.478.777,50;2 x;877.777,00   ;31.300,30   ;11 x           ;78 x         ;846 x         ;8.286 x        ;83.672 x    ;831.631 x    ;;;;;
39.;28.09.;8;7;9;7;8;2;1;24.741.520,00;JP;;1.790.422,40   ;15 x           ;96 x         ;837 x         ;8.440 x        ;85.636 x    ;842.873 x    ;;;;;
