Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1991;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
VA;1991;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
;;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;05.01.;4;2;8;4;0;7;2;20.476.745,00;JP;;3.425.883,50   ;6 x           ;83 x         ;736 x         ;7.387 x        ;74.162 x    ;734.486 x    ;;;;
2.;12.01.;7;3;6;1;2;6;7;20.928.602,50;JP;;4.913.907,10   ;8 x           ;80 x         ;809 x         ;7.782 x        ;77.335 x    ;767.673 x    ;;;;
3.;19.01.;2;5;1;7;0;0;4;21.623.275,00;3 x;2.077.777,00   ;217.991,00   ;6 x           ;82 x         ;753 x         ;6.898 x        ;75.481 x    ;789.807 x    ;;;;
4.;26.01.;6;9;8;3;0;2;8;21.051.132,50;2 x;777.777,00   ;159.172,50   ;5 x           ;84 x         ;824 x         ;7.585 x        ;77.719 x    ;768.798 x    ;;;;
5.;02.02.;7;9;3;9;9;9;8;21.689.607,50;1 x;1.677.777,00   ;23.526,60   ;5 x           ;91 x         ;655 x         ;7.597 x        ;76.802 x    ;764.907 x    ;;;;
6.;09.02.;9;1;5;7;1;3;7;20.386.805,00;JP;;1.473.028,40   ;6 x           ;76 x         ;768 x         ;7.521 x        ;74.851 x    ;748.406 x    ;;;;
7.;16.02.;9;8;6;5;6;1;8;20.159.345,00;1 x;2.877.777,00   ;28.580,80   ;6 x           ;73 x         ;760 x         ;7.323 x        ;73.606 x    ;733.015 x    ;;;;
8.;23.02.;6;3;1;2;4;4;1;23.178.822,50;2 x;777.777,00   ;121.041,10   ;5 x           ;81 x         ;795 x         ;8.072 x        ;82.386 x    ;820.772 x    ;;;;
9.;02.03.;1;9;7;5;2;9;8;27.790.400,00;3 x;677.777,00   ;63.607,50   ;10 x           ;99 x         ;1.040 x         ;10.257 x        ;102.756 x    ;1.017.116 x    ;;;;
10.;09.03.;3;4;9;5;0;2;8;24.234.979,00;1 x;1.777.777,00   ;8.937,50   ;7 x           ;97 x         ;813 x         ;8.530 x        ;88.359 x    ;863.997 x    ;;;;
11.;16.03.;8;5;0;9;8;1;0;24.017.008,50;JP;;1.716.546,80   ;15 x           ;84 x         ;811 x         ;8.243 x        ;81.614 x    ;813.338 x    ;;;;
12.;23.03.;2;9;5;5;7;0;4;23.689.675,00;JP;;3.400.882,70   ;11 x           ;80 x         ;790 x         ;8.334 x        ;81.753 x    ;858.228 x    ;;;;
13.;30.03.;0;9;1;3;8;3;1;23.500.835,00;3 x;1.677.777,00   ;38.461,10   ;8 x           ;86 x         ;872 x         ;8.509 x        ;84.599 x    ;830.985 x    ;;;;
14.;06.04.;2;0;7;7;2;8;4;23.327.097,50;JP;;1.697.017,70   ;9 x           ;76 x         ;795 x         ;8.259 x        ;84.226 x    ;842.406 x    ;;;;
15.;13.04.;1;9;4;3;1;5;3;23.470.087,50;2 x;1.677.777,00   ;10.186,90   ;6 x           ;80 x         ;863 x         ;8.639 x        ;84.479 x    ;852.596 x    ;;;;
16.;20.04.;3;3;3;4;1;5;4;24.947.507,50;1 x;1.777.777,00   ;6.177,70   ;16 x           ;97 x         ;894 x         ;8.985 x        ;89.535 x    ;899.954 x    ;;;;
17.;27.04.;8;2;9;0;8;4;8;24.200.687,50;2 x;777.777,00   ;171.292,60   ;16 x           ;84 x         ;898 x         ;8.847 x        ;89.812 x    ;889.291 x    ;;;;
18.;04.05.;5;3;7;8;3;3;7;23.273.670,00;2 x;877.777,00   ;70.496,50   ;11 x           ;116 x         ;839 x         ;8.565 x        ;86.627 x    ;855.330 x    ;;;;
19.;11.05.;5;3;5;9;3;0;4;22.659.170,00;JP;;1.681.563,50   ;8 x           ;61 x         ;819 x         ;7.859 x        ;78.264 x    ;830.269 x    ;;;;
20.;18.05.;1;0;5;8;7;4;5;23.256.845,00;JP;;3.335.125,20   ;10 x           ;98 x         ;841 x         ;8.435 x        ;84.651 x    ;844.187 x    ;;;;
21.;25.05.;8;5;2;4;2;2;3;22.786.055,00;JP;;4.955.213,70   ;13 x           ;74 x         ;834 x         ;8.103 x        ;83.849 x    ;823.929 x    ;;;;
22.;01.06.;8;5;8;5;8;0;3;22.654.237,50;4 x;1.577.777,00   ;254.822,00   ;4 x           ;69 x         ;776 x         ;7.735 x        ;75.948 x    ;801.243 x    ;;;;
23.;08.06.;3;2;6;9;8;2;6;28.886.400,00;1 x;2.277.777,00   ;30.868,00   ;10 x           ;114 x         ;1.060 x         ;10.707 x        ;106.663 x    ;1.059.721 x    ;;;;
24.;15.06.;5;4;9;2;0;9;6;23.479.307,50;JP;;1.700.246,80   ;6 x           ;79 x         ;784 x         ;8.043 x        ;83.809 x    ;832.452 x    ;;;;
25.;22.06.;9;4;0;5;4;0;0;22.947.985,00;1 x;3.277.777,00   ;54.071,50   ;5 x           ;71 x         ;785 x         ;7.739 x        ;77.914 x    ;786.074 x    ;;;;
