Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2015;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2015;Ziehung;;;;;;;ziffer;;        ab 177.777,00 Euro;;Euro;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;31.12.;MI;1;7;8;6;0;3;5;6.633.150,00   ;JP;;2.861.957,40   ;5  x   ;23  x   ;260  x   ;2.479  x   ;27.711  x   ;277.524  x   ;;;;
;03.01.;SA;0;6;7;0;7;1;2;13.372.497,50   ;2  x   ;1.877.777,00   ;57.188,00   ;4  x   ;38  x   ;467  x   ;4.468  x   ;44.165  x   ;431.219  x   ;737224;;;
2.;07.01.;MI;7;4;5;3;6;9;0;5.749.232,50   ;JP;;465.958,40   ;4  x   ;10  x   ;135  x   ;1.435  x   ;14.065  x   ;156.915  x   ;;;;
;10.01.;SA;0;2;4;3;6;3;2;13.641.937,50   ;1  x   ;1.377.777,00   ;58.123,20   ;4  x   ;46  x   ;465  x   ;4.516  x   ;44.644  x   ;445.122  x   ;;;;
3.;14.01.;MI;1;5;3;3;2;1;1;5.376.992,50   ;1  x   ;377.777,00   ;62.650,40   ;4  x   ;16  x   ;168  x   ;1.697  x   ;18.474  x   ;164.478  x   ;;;;
;17.01.;SA;1;6;1;9;7;7;7;13.018.067,50   ;5  x   ;177.777,00   ;99.350,00   ;10  x   ;97  x   ;943  x   ;11.149  x   ;65.926  x   ;561.779  x   ;;;;
4.;21.01.;MI;9;9;8;6;2;0;5;5.261.142,50   ;JP;;473.417,20   ;2  x   ;13  x   ;188  x   ;1.819  x   ;18.553  x   ;229.229  x   ;;;;
;24.01.;SA;7;0;8;7;0;3;8;12.816.905,00   ;JP;;1.384.699,10   ;7  x   ;55  x   ;535  x   ;4.813  x   ;52.735  x   ;516.946  x   ;;;;
5.;28.01.;MI;5;0;3;7;6;5;7;5.201.077,50   ;JP;;1.754.495,70   ;1  x   ;23  x   ;220  x   ;2.265  x   ;22.747  x   ;228.353  x   ;;;;
;31.01.;SA;4;5;9;0;9;3;5;13.042.100,00   ;1  x   ;2.677.777,00   ;4.012,00   ;2  x   ;63  x   ;588  x   ;5.660  x   ;55.713  x   ;563.526  x   ;;;;
6.;04.02.;MI;4;5;7;1;9;8;7;5.540.170,00   ;JP;;397.918,10   ;unbesetzt;32  x   ;229  x   ;2.286  x   ;22.450  x   ;245.461  x   ;;;;
;07.02.;SA;2;6;4;8;4;7;9;13.277.375,00   ;JP;;1.341.939,50   ;7  x   ;39  x   ;486  x   ;4.712  x   ;45.928  x   ;449.298  x   ;;;;
7.;11.02.;MI;8;4;9;3;9;5;3;5.859.020,00   ;1  x   ;1.677.777,00   ;80.738,80   ;2  x   ;21  x   ;255  x   ;2.572  x   ;24.917  x   ;230.836  x   ;;;;
;14.02.;SA;1;5;2;7;8;2;3;13.962.265,00   ;1  x   ;977.777,00   ;95.678,80   ;3  x   ;66  x   ;538  x   ;5.145  x   ;51.171  x   ;525.790  x   ;;;;
8.;18.02.;MI;7;1;4;0;5;5;4;6.240.995,00   ;1  x   ;477.777,00   ;61.636,50   ;1  x   ;28  x   ;195  x   ;2.056  x   ;22.536  x   ;211.987  x   ;;;;
;21.02.;SA;0;4;1;5;1;5;6;14.191.327,50   ;JP;;1.070.639,90   ;8  x   ;67  x   ;512  x   ;5.728  x   ;56.542  x   ;520.295  x   ;;;;
9.;25.02.;MI;3;5;9;1;1;3;9;5.366.702,50   ;1  x   ;1.377.777,00   ;74.435,40   ;1  x   ;19  x   ;172  x   ;1.753  x   ;17.255  x   ;174.750  x   ;;;;
