Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2015;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
;28.02.;SA;3;1;4;1;3;1;1;13.117.540,00   ;1  x   ;977.777,00   ;29.315,50   ;5  x   ;40  x   ;391  x   ;3.951  x   ;41.228  x   ;392.903  x   ;;;;
10.;04.03.;MI;6;5;6;8;3;2;1;5.702.885,00   ;JP;;434.790,60   ;3  x   ;22  x   ;193  x   ;1.876  x   ;17.860  x   ;174.442  x   ;;;;
;07.03.;SA;6;9;8;1;7;8;3;12.966.640,00   ;JP;;1.356.718,70   ;5  x   ;47  x   ;521  x   ;4.877  x   ;48.447  x   ;486.212  x   ;;;;
11.;11.03.;MI;8;3;4;0;6;8;4;5.417.397,50   ;JP;;1.741.895,70   ;2  x   ;16  x   ;190  x   ;1.847  x   ;18.106  x   ;183.489  x   ;;;;
;14.03.;SA;1;1;3;3;3;9;8;13.198.172,50   ;1  x   ;2.677.777,00   ;2.508,80   ;3  x   ;52  x   ;528  x   ;5.303  x   ;49.804  x   ;532.848  x   ;;;;
12.;18.03.;MI;6;6;3;2;4;1;8;5.186.537,50   ;1  x   ;277.777,00   ;93.494,60   ;unbesetzt;22  x   ;166  x   ;1.959  x   ;19.847  x   ;201.861  x   ;;;;
;21.03.;SA;9;6;0;2;4;6;9;12.606.952,50   ;1  x   ;977.777,00   ;12.071,90   ;2  x   ;59  x   ;496  x   ;4.767  x   ;47.000  x   ;424.636  x   ;;;;
13.;25.03.;MI;2;7;3;3;8;0;7;5.095.295,00   ;JP;;374.347,40   ;1  x   ;22  x   ;181  x   ;1.765  x   ;19.221  x   ;226.342  x   ;;;;
;28.03.;SA;9;5;5;0;8;2;6;12.609.470,00   ;JP;;1.270.880,70   ;3  x   ;42  x   ;505  x   ;4.762  x   ;47.368  x   ;464.758  x   ;;;;
14.;01.04.;MI;0;3;3;9;0;9;3;5.469.912,50   ;1  x   ;1.577.777,00   ;82.014,50   ;2  x   ;13  x   ;176  x   ;1.775  x   ;19.539  x   ;222.743  x   ;;;;
;04.04.;SA;2;8;5;6;4;2;3;13.195.342,50   ;JP;;1.020.203,40   ;6  x   ;42  x   ;485  x   ;5.098  x   ;48.537  x   ;498.070  x   ;;;;
15.;08.04.;MI;1;5;2;4;8;9;9;5.479.322,50   ;JP;;1.409.783,20   ;2  x   ;18  x   ;181  x   ;1.814  x   ;18.063  x   ;180.701  x   ;;;;
;11.04.;SA;7;4;0;5;1;9;7;13.231.252,50   ;JP;;2.350.525,30   ;7  x   ;58  x   ;557  x   ;5.530  x   ;54.323  x   ;585.539  x   ;;;;
16.;15.04.;MI;7;6;0;4;2;3;2;5.991.555,00   ;JP;;2.776.524,90   ;2  x   ;20  x   ;179  x   ;1.918  x   ;19.610  x   ;195.212  x   ;;;;
;18.04.;SA;7;6;4;3;5;5;2;13.837.545,00   ;JP;;3.760.374,30   ;2  x   ;51  x   ;477  x   ;4.772  x   ;48.847  x   ;453.320  x   ;;;;
17.;22.04.;MI;6;7;5;8;4;8;3;6.596.615,00   ;JP;;4.229.393,60   ;1  x   ;41  x   ;278  x   ;2.585  x   ;26.456  x   ;263.200  x   ;;;;
;25.04.;SA;7;3;8;9;7;9;6;14.579.755,00   ;JP;;5.266.014,20   ;6  x   ;57  x   ;529  x   ;5.218  x   ;52.305  x   ;542.483  x   ;;;;
18.;29.04.;MI;9;9;5;8;4;0;0;7.245.970,00   ;JP;;5.781.202,70   ;3  x   ;16  x   ;202  x   ;2.091  x   ;22.750  x   ;194.723  x   ;;;;
;02.05.;SA;7;7;1;3;2;3;5;15.398.840,00   ;1  x   ;6.777.777,00   ;98.283,20   ;5  x   ;73  x   ;645  x   ;6.569  x   ;65.323  x   ;653.063  x   ;;;;
19.;06.05.;MI;1;4;8;1;2;0;7;5.606.550,00   ;1  x   ;477.777,00   ;19.131,90   ;7  x   ;24  x   ;207  x   ;2.052  x   ;21.069  x   ;247.940  x   ;;;;
;09.05.;SA;4;5;9;3;1;5;8;13.979.737,50   ;JP;;1.013.091,20   ;6  x   ;46  x   ;624  x   ;5.936  x   ;60.143  x   ;555.075  x   ;;;;
20.;13.05.;MI;1;4;9;8;9;6;5;5.776.540,00   ;1  x   ;1.377.777,00   ;46.026,20   ;4  x   ;18  x   ;263  x   ;2.732  x   ;25.813  x   ;246.381  x   ;;;;
;16.05.;SA;8;1;1;7;1;3;4;13.501.672,50   ;JP;;1.005.995,10   ;4  x   ;36  x   ;476  x   ;4.554  x   ;45.789  x   ;449.962  x   ;;;;
21.;20.05.;MI;5;7;3;1;5;0;8;5.813.277,50   ;JP;;1.419.319,10   ;3  x   ;21  x   ;178  x   ;1.829  x   ;18.527  x   ;227.947  x   ;;;;
;23.05.;SA;5;7;5;4;1;0;3;13.424.022,50   ;JP;;2.373.767,10   ;unbesetzt;47  x   ;453  x   ;4.383  x   ;42.048  x   ;513.444  x   ;;;;
22.;27.05.;MI;1;5;8;7;0;0;4;5.145.647,50   ;1  x   ;2.677.777,00   ;61.845,60   ;unbesetzt;11  x   ;133  x   ;1.362  x   ;15.591  x   ;172.178  x   ;;;;
;30.05.;SA;8;2;4;2;2;7;6;12.705.722,50   ;JP;;965.222,50   ;6  x   ;50  x   ;454  x   ;4.686  x   ;47.339  x   ;474.697  x   ;;;;
23.;03.06.;MI;5;2;3;4;0;6;2;5.487.242,50   ;1  x   ;1.277.777,00   ;77.588,40   ;1  x   ;16  x   ;139  x   ;1.624  x   ;18.014  x   ;174.849  x   ;;;;
;06.06.;SA;4;7;5;2;2;4;5;12.598.117,50   ;1  x   ;877.777,00   ;95.537,60   ;9  x   ;67  x   ;561  x   ;5.526  x   ;56.458  x   ;540.640  x   ;;;;
24.;10.06.;MI;4;6;8;3;6;4;8;5.567.600,00   ;JP;;491.394,00   ;1  x   ;35  x   ;235  x   ;2.258  x   ;22.116  x   ;213.861  x   ;;;;
;13.06.;SA;5;9;2;4;6;0;5;12.969.192,50   ;1  x   ;1.377.777,00   ;35.726,60   ;3  x   ;61  x   ;429  x   ;4.672  x   ;46.495  x   ;570.279  x   ;;;;
25.;17.06.;MI;8;7;8;8;8;0;0;5.887.267,50   ;JP;;454.311,30   ;3  x   ;26  x   ;193  x   ;1.725  x   ;19.272  x   ;157.243  x   ;;;;
;20.06.;SA;9;7;1;9;6;7;8;13.418.512,50   ;2  x   ;677.777,00   ;52.813,50   ;8  x   ;77  x   ;534  x   ;5.497  x   ;53.613  x   ;538.664  x   ;;;;
26.;24.06.;MI;2;6;2;9;0;0;0;6.260.787,50   ;JP;;497.955,50   ;5  x   ;29  x   ;262  x   ;3.218  x   ;19.095  x   ;169.499  x   ;;;;
;27.06.;SA;1;5;7;6;3;8;2;13.764.690,00   ;JP;;1.476.625,00   ;7  x   ;54  x   ;500  x   ;4.388  x   ;43.845  x   ;447.074  x   ;;;;
;;;;;;;;Gewinne Gesamt;;;28   ;;;192   ;1.985   ;18.877   ;189.472   ;1.845.393   ;18.509.786   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 53. Kalenderwoche 2015;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2015;Ziehung;;;;;;;ziffer;;        ab 177.777,00 Euro;;Euro;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
27.;01.07.;MI;0;1;5;7;6;4;5;6.702.297,50   ;JP;;1.953.158,40   ;3  x   ;26  x   ;298  x   ;3.076  x   ;29.007  x   ;282.908  x   ;;;;
;04.07.;SA;6;9;7;5;4;1;5;14.126.382,50   ;4  x   ;677.777,00   ;246.436,20   ;6  x   ;53  x   ;649  x   ;6.251  x   ;58.869  x   ;610.186  x   ;;;;
28.;08.07.;MI;2;0;8;7;3;0;0;8.481.867,50   ;JP;;849.497,00   ;3  x   ;23  x   ;251  x   ;2.503  x   ;27.861  x   ;238.418  x   ;;;;
;11.07.;SA;4;0;7;2;1;7;2;13.000.962,50   ;JP;;1.773.865,40   ;4  x   ;41  x   ;421  x   ;4.279  x   ;42.237  x   ;421.477  x   ;;;;
29.;15.07.;MI;1;0;4;1;5;5;6;5.323.572,50   ;1  x   ;2.077.777,00   ;74.594,40   ;1  x   ;28  x   ;187  x   ;2.062  x   ;21.623  x   ;199.702  x   ;;;;
;20.07.;SA;6;2;8;6;5;9;4;12.499.655,00   ;JP;;963.319,90   ;6  x   ;44  x   ;397  x   ;4.032  x   ;38.769  x   ;418.292  x   ;;;;
30.;22.07.;MI;9;5;6;5;1;9;2;5.148.205,00   ;JP;;1.329.357,30   ;3  x   ;19  x   ;152  x   ;1.661  x   ;15.520  x   ;167.474  x   ;;;;
;25.07.;SA;8;7;9;5;6;7;0;12.447.072,50   ;JP;;2.214.344,20   ;3  x   ;31  x   ;340  x   ;3.330  x   ;33.326  x   ;335.309  x   ;;;;
31.;29.07.;MI;7;6;7;7;8;8;7;5.369.167,50   ;JP;;2.596.092,00   ;1  x   ;20  x   ;210  x   ;1.995  x   ;21.999  x   ;236.248  x   ;;;;
;01.08.;SA;5;2;3;0;8;4;3;12.804.685,00   ;JP;;3.506.505,10   ;8  x   ;58  x   ;493  x   ;4.656  x   ;46.336  x   ;479.348  x   ;;;;
32.;05.08.;MI;2;3;4;8;6;8;6;5.765.255,00   ;2  x   ;1.877.777,00   ;160.860,70   ;3  x   ;21  x   ;203  x   ;2.287  x   ;21.277  x   ;218.844  x   ;;;;
;08.08.;SA;1;5;8;7;3;5;9;12.984.712,50   ;2  x   ;477.777,00   ;128.519,80   ;5  x   ;47  x   ;481  x   ;4.664  x   ;46.210  x   ;440.826  x   ;;;;
33.;12.08.;MI;6;0;4;8;0;4;0;5.172.705,00   ;JP;;496.299,10   ;unbesetzt;12  x   ;134  x   ;1.421  x   ;13.792  x   ;144.624  x   ;;;;
;15.08.;SA;2;6;0;8;1;5;3;12.205.937,50   ;JP;;1.364.141,30   ;4  x   ;51  x   ;477  x   ;4.724  x   ;47.717  x   ;451.040  x   ;;;;
34.;19.08.;MI;6;5;9;8;0;1;9;5.305.020,00   ;JP;;1.741.328,20   ;unbesetzt;15  x   ;161  x   ;1.475  x   ;16.556  x   ;174.264  x   ;;;;
;22.08.;SA;0;4;0;2;8;8;5;12.506.380,00   ;JP;;2.630.531,80   ;7  x   ;39  x   ;458  x   ;5.053  x   ;53.593  x   ;544.786  x   ;;;;
35.;26.08.;MI;4;2;8;4;2;3;2;5.586.632,50   ;JP;;3.027.741,40   ;2  x   ;18  x   ;173  x   ;1.778  x   ;18.159  x   ;181.193  x   ;;;;
;29.08.;SA;8;5;5;7;1;9;9;13.051.427,50   ;1  x   ;3.877.777,00   ;77.920,90   ;2  x   ;40  x   ;406  x   ;4.161  x   ;43.822  x   ;448.613  x   ;;;;
36.;02.09.;MI;8;1;0;7;8;6;6;6.023.055,00   ;JP;;506.160,10   ;4  x   ;19  x   ;235  x   ;2.318  x   ;25.936  x   ;225.285  x   ;;;;
;05.09.;SA;4;3;6;6;0;5;8;13.638.555,00   ;JP;;1.475.861,40   ;12  x   ;59  x   ;585  x   ;5.363  x   ;58.937  x   ;535.721  x   ;;;;
37.;09.09.;MI;8;1;4;5;6;5;8;6.467.335,00   ;JP;;1.935.688,90   ;1  x   ;40  x   ;275  x   ;2.605  x   ;26.578  x   ;242.905  x   ;;;;
;12.09.;SA;8;6;6;0;7;4;9;14.046.430,00   ;JP;;2.934.390,10   ;6  x   ;41  x   ;478  x   ;5.076  x   ;49.491  x   ;485.785  x   ;;;;
38.;16.09.;MI;3;9;5;9;4;7;6;7.416.177,50   ;2  x   ;1.677.777,00   ;106.126,30   ;3  x   ;33  x   ;303  x   ;2.847  x   ;28.505  x   ;282.259  x   ;;;;
;19.09.;SA;6;8;5;0;5;1;5;15.457.275,00   ;1  x   ;1.177.777,00   ;27.361,60   ;8  x   ;65  x   ;603  x   ;6.677  x   ;64.062  x   ;651.998  x   ;;;;
39.;23.09.;MI;0;3;7;3;6;9;7;9.867.185,00   ;1  x   ;677.777,00   ;51.141,50   ;4  x   ;39  x   ;437  x   ;3.927  x   ;38.236  x   ;419.906  x   ;;;;
;26.09.;SA;1;4;8;5;0;0;9;13.213.490,00   ;1  x   ;977.777,00   ;12.843,60   ;4  x   ;39  x   ;385  x   ;3.547  x   ;41.360  x   ;466.513  x   ;;;;
40.;30.09.;MI;4;6;9;7;8;9;9;5.647.305,00   ;1  x   ;377.777,00   ;36.590,00   ;3  x   ;18  x   ;207  x   ;1.924  x   ;19.587  x   ;190.090  x   ;;;;
;03.10.;SA;6;7;7;8;4;2;5;12.333.545,00   ;JP;;913.505,00   ;6  x   ;62  x   ;586  x   ;5.714  x   ;54.329  x   ;535.257  x   ;;;;
41.;07.10.;MI;2;5;2;9;5;2;7;5.317.092,50   ;JP;;1.291.550,30   ;unbesetzt;23  x   ;254  x   ;2.421  x   ;23.069  x   ;235.314  x   ;;;;
;10.10.;SA;2;6;4;3;8;7;9;12.786.825,00   ;JP;;2.200.693,60   ;2  x   ;49  x   ;435  x   ;4.674  x   ;45.932  x   ;447.368  x   ;;;;
42.;14.10.;MI;7;0;8;3;4;2;3;5.524.435,00   ;JP;;2.593.480,90   ;2  x   ;17  x   ;211  x   ;2.144  x   ;20.820  x   ;217.164  x   ;;;;
;17.10.;SA;0;2;9;0;6;6;2;12.868.307,50   ;2  x   ;1.677.777,00   ;152.863,60   ;3  x   ;45  x   ;386  x   ;4.062  x   ;43.172  x   ;418.084  x   ;;;;
43.;21.10.;MI;6;1;9;5;0;6;7;5.725.610,00   ;JP;;559.954,50   ;1  x   ;34  x   ;244  x   ;2.226  x   ;24.950  x   ;251.890  x   ;;;;
;24.10.;SA;7;6;0;5;3;6;0;13.154.092,50   ;1  x   ;1.477.777,00   ;17.433,50   ;2  x   ;34  x   ;349  x   ;3.488  x   ;35.476  x   ;352.497  x   ;;;;
44.;28.10.;MI;9;7;3;4;6;3;3;6.049.155,00   ;JP;;447.528,40   ;3  x   ;29  x   ;232  x   ;2.300  x   ;24.251  x   ;236.223  x   ;;;;
;31.10.;SA;9;4;4;8;7;4;2;12.791.420,00   ;JP;;1.356.998,40   ;1  x   ;43  x   ;450  x   ;4.394  x   ;42.473  x   ;420.537  x   ;;;;
45.;04.11.;MI;2;3;3;7;3;4;5;5.312.227,50   ;JP;;1.734.697,80   ;4  x   ;20  x   ;235  x   ;2.360  x   ;23.391  x   ;224.283  x   ;;;;
;07.11.;SA;4;8;7;8;5;8;3;12.748.890,00   ;JP;;2.641.143,90   ;6  x   ;48  x   ;477  x   ;4.920  x   ;48.080  x   ;478.481  x   ;;;;
46.;11.11.;MI;9;9;6;5;5;3;6;5.296.017,50   ;JP;;3.017.690,70   ;3  x   ;20  x   ;216  x   ;2.093  x   ;19.561  x   ;196.663  x   ;;;;
;14.11.;SA;6;4;2;0;8;2;9;13.018.057,50   ;1  x   ;3.877.777,00   ;65.497,60   ;8  x   ;52  x   ;467  x   ;4.484  x   ;45.585  x   ;458.021  x   ;;;;
47.;18.11.;MI;0;5;8;6;6;6;1;5.453.840,00   ;JP;;453.265,60   ;1  x   ;7  x   ;172  x   ;1.653  x   ;17.126  x   ;164.136  x   ;;;;
;21.11.;SA;2;1;8;4;9;7;6;12.862.127,50   ;JP;;1.367.762,90   ;4  x   ;46  x   ;473  x   ;4.822  x   ;47.063  x   ;472.664  x   ;;;;
48.;25.11.;MI;4;5;5;4;3;4;5;5.688.325,00   ;JP;;1.772.202,80   ;6  x   ;22  x   ;273  x   ;2.605  x   ;25.206  x   ;240.470  x   ;;;;
;28.11.;SA;7;0;7;6;0;8;2;13.341.020,00   ;1  x   ;2.677.777,00   ;42.972,30   ;6  x   ;32  x   ;443  x   ;4.158  x   ;43.839  x   ;443.361  x   ;;;;
49.;02.12.;MI;1;1;1;3;3;8;0;6.926.287,50   ;JP;;535.431,30   ;unbesetzt;21  x   ;169  x   ;1.809  x   ;19.019  x   ;193.240  x   ;;;;
;05.12.;SA;2;8;6;4;8;3;2;15.529.310,00   ;JP;;1.639.565,20   ;8  x   ;65  x   ;539  x   ;5.262  x   ;52.861  x   ;522.877  x   ;;;;
50.;09.12.;MI;4;2;7;6;2;7;2;5.640.775,00   ;JP;;2.040.624,30   ;1  x   ;24  x   ;188  x   ;1.881  x   ;19.483  x   ;191.827  x   ;;;;
;12.12.;SA;9;1;5;3;7;2;9;13.071.227,50   ;JP;;2.969.988,60   ;unbesetzt;45  x   ;424  x   ;4.792  x   ;45.826  x   ;460.126  x   ;;;;
51.;16.12.;MI;7;7;8;3;3;9;7;5.783.170,00   ;JP;;3.381.172,00   ;2  x   ;24  x   ;226  x   ;2.308  x   ;22.964  x   ;253.861  x   ;;;;
;19.12.;SA;3;3;2;8;9;3;9;13.238.367,50   ;JP;;4.322.419,90   ;7  x   ;59  x   ;489  x   ;4.719  x   ;46.545  x   ;469.775  x   ;;;;
52.;23.12.;MI;5;2;5;5;3;4;5;6.257.310,00   ;JP;;4.767.314,60   ;3  x   ;26  x   ;288  x   ;2.910  x   ;27.644  x   ;262.430  x   ;;;;
;26.12.;SA;4;2;6;2;9;2;0;12.982.472,50   ;1  x   ;5.677.777,00   ;12.591,40   ;2  x   ;36  x   ;339  x   ;3.419  x   ;33.073  x   ;354.445  x   ;;;;
53.;30.12.;MI;6;7;3;7;8;9;4;6.172.950,00   ;JP;;451.488,10   ;unbesetzt;10  x   ;190  x   ;1.939  x   ;18.859  x   ;206.049  x   ;;;;
;02.01.;SA;6;2;8;7;0;5;7;13.715.635,00   ;JP;;1.426.669,70   ;4  x   ;55  x   ;583  x   ;5.417  x   ;60.425  x   ;588.886  x   ;;;;
;;;;;;;;Gewinne Gesamt;;;22   ;;;191   ;1.887   ;18.737   ;186.666   ;1.880.387   ;18.789.943   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;
