Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1986;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
VA;1986;Gewinnzahl;;;;;;End-;Spieleinsatz;Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
;;;;;;;;ziffer;DM;ab 2 x 177.777,70 DM;;DM;2 x 77.777,70 DM;2 x 7.777,70 DM;2 x 777,70 DM;2 x 77,70 DM;2 x 7,70 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;04.01.;7;8;3;3;2;6;4;13.816.342,00;2 x;555.555,40   ;23.582,90   ;3 x           ;55 x         ;607 x         ;6.208 x        ;62.203 x    ;;;;
2.;11.01.;0;2;9;7;6;6;0;17.931.602,00;JP;;1.416.686,40   ;13 x           ;83 x         ;800 x         ;8.006 x        ;80.430 x    ;;;;
3.;18.01.;5;6;7;4;3;9;1;15.642.818,00;2 x;1.155.555,40   ;321.204,60   ;3 x           ;75 x         ;755 x         ;6.960 x        ;68.975 x    ;;;;
4.;25.01.;1;2;8;8;1;9;3;14.857.868,00;JP;;1.475.660,90   ;4 x           ;88 x         ;613 x         ;6.655 x        ;64.911 x    ;;;;
5.;01.02.;9;0;7;3;5;9;6;15.020.672,00;JP;;2.642.767,10   ;9 x           ;74 x         ;719 x         ;7.129 x        ;69.787 x    ;;;;
6.;08.02.;1;1;9;5;8;6;6;14.788.676,00;1 x;3.755.555,40   ;36.291,80   ;9 x           ;68 x         ;705 x         ;6.699 x        ;67.646 x    ;;;;
7.;15.02.;4;3;4;0;8;0;7;14.907.036,00;JP;;1.194.568,50   ;8 x           ;70 x         ;642 x         ;6.592 x        ;65.707 x    ;;;;
8.;22.02.;1;3;8;6;0;7;6;14.650.742,00;JP;;2.332.931,20   ;8 x           ;63 x         ;611 x         ;6.631 x        ;67.866 x    ;;;;
