Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1990;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
VA;1990;Gewinnzahl;;;;;;End-;Spieleinsatz;Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;;;;;
;;;;;;;;ziffer;DM;ab 2 x 177.777,70 DM;;DM;2 x 77.777,70 DM;2 x 7.777,70 DM;2 x 777,70 DM;2 x 77,70 DM;2 x 7,70 DM;;;;;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;;;;
31.;04.08.;7;1;5;3;7;7;9;14.727.234,00;3 x;355.555,40   ;113.222,50   ;5 x           ;61 x         ;708 x         ;6.739 x        ;67.575 x    ;;;;;;;;
32.;11.08.;6;2;5;2;9;1;6;14.480.368,00;2 x;555.555,40   ;127.236,20   ;9 x           ;64 x         ;662 x         ;6.610 x        ;64.792 x    ;;;;;;;;
33.;18.08.;2;5;7;7;3;6;6;14.528.086,00;JP;;1.256.068,40   ;12 x           ;71 x         ;668 x         ;6.589 x        ;65.835 x    ;;;;;;;;
34.;25.08.;3;5;0;0;3;8;4;14.672.898,00;1 x;2.355.555,40   ;40.597,10   ;4 x           ;62 x         ;690 x         ;6.660 x        ;66.060 x    ;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;;;;
VA;1990;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;;;
35.;01.09.;6;4;8;7;9;4;6;29.520.771,50;2 x;977.777,00   ;183.969,90   ;7 x           ;103 x         ;1.086 x         ;10.872 x        ;107.220 x    ;1.065.098 x        ;;;;;;;
36.;08.09.;8;7;6;9;6;7;2;24.076.972,50;1 x;1.877.777,00   ;18.065,60   ;9 x           ;98 x         ;885 x         ;8.879 x        ;87.392 x    ;867.231 x        ;;;;;;;
37.;15.09.;2;2;7;3;7;4;1;24.403.920,00;2 x;777.777,00   ;197.630,30   ;8 x           ;98 x         ;903 x         ;8.785 x        ;86.705 x    ;863.876 x        ;;;;;;;
38.;22.09.;7;9;7;1;4;6;5;24.442.415,00;JP;;1.935.486,00   ;9 x           ;93 x         ;871 x         ;8.959 x        ;89.581 x    ;891.857 x        ;;;;;;;
39.;29.09.;6;8;2;1;3;3;3;23.981.202,50;2 x;1.777.777,00   ;84.995,50   ;10 x           ;82 x         ;879 x         ;8.988 x        ;87.622 x    ;877.307 x        ;;;;;;;
40.;06.10.;4;5;1;0;1;3;0;24.463.032,50;1 x;1.777.777,00   ;46.540,10   ;7 x           ;69 x         ;834 x         ;8.417 x        ;84.042 x    ;837.736 x        ;;;;;;;
41.;13.10.;2;5;6;1;1;9;2;24.709.362,50;JP;;1.803.375,80   ;7 x           ;86 x         ;866 x         ;8.931 x        ;89.309 x    ;892.464 x        ;;;;;;;
42.;20.10.;0;2;0;5;2;3;7;23.939.485,00;JP;;3.505.473,20   ;10 x           ;82 x         ;835 x         ;8.863 x        ;88.945 x    ;886.902 x        ;;;;;;;
43.;27.10.;1;5;8;7;9;4;9;24.931.315,00;1 x;5.277.777,00   ;312,70   ;15 x           ;99 x         ;897 x         ;9.455 x        ;91.248 x    ;901.259 x        ;;;;;;;
