Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2014;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2014;Ziehung;;;;;;;ziffer;;        ab 177.777,00 Euro;;Euro;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;01.01.;MI;9;1;1;6;7;0;4;6.359.002,50   ;JP;;3.585.463,80   ;unbesetzt;19  x   ;182  x   ;2.023  x   ;19.449  x   ;220.949  x   ;;;;
;04.01.;SA;8;0;2;2;8;4;5;13.972.040,00   ;2  x   ;2.277.777,00   ;23.321,80   ;3  x   ;74  x   ;639  x   ;6.302  x   ;62.655  x   ;598.747  x   ;737224;;;
2.;08.01.;MI;8;0;9;0;3;0;9;5.987.940,00   ;JP;;449.064,30   ;2  x   ;18  x   ;176  x   ;1.688  x   ;17.019  x   ;195.378  x   ;;;;
;11.01.;SA;0;0;1;5;0;1;7;14.168.147,50   ;JP;;1.456.419,60   ;7  x   ;51  x   ;596  x   ;5.867  x   ;63.535  x   ;630.548  x   ;;;;
3.;15.01.;MI;4;0;0;4;6;7;5;6.535.997,50   ;1  x   ;1.877.777,00   ;43.352,00   ;3  x   ;28  x   ;303  x   ;3.003  x   ;29.872  x   ;276.369  x   ;;;;
;18.01.;SA;5;2;2;0;0;7;3;14.698.377,50   ;JP;;1.088.406,60   ;2  x   ;55  x   ;454  x   ;5.073  x   ;56.724  x   ;540.115  x   ;;;;
4.;22.01.;MI;6;3;2;4;5;5;0;7.096.360,00   ;JP;;1.592.957,80   ;unbesetzt;22  x   ;201  x   ;1.997  x   ;19.864  x   ;189.506  x   ;;;;
;25.01.;SA;7;5;2;3;6;6;8;15.549.325,00   ;JP;;2.698.514,80   ;2  x   ;61  x   ;634  x   ;6.278  x   ;66.133  x   ;621.339  x   ;;;;
5.;29.01.;MI;9;5;2;9;8;3;1;8.047.757,50   ;1  x   ;3.177.777,00   ;92.933,40   ;1  x   ;19  x   ;241  x   ;2.563  x   ;25.931  x   ;254.633  x   ;;;;
;01.02.;SA;9;0;2;7;5;3;7;14.020.102,50   ;1  x   ;1.077.777,00   ;11.985,70   ;5  x   ;54  x   ;630  x   ;6.357  x   ;60.057  x   ;622.752  x   ;;;;
6.;05.02.;MI;5;7;7;0;7;1;2;6.053.975,00   ;JP;;442.423,30   ;1  x   ;17  x   ;211  x   ;2.069  x   ;20.561  x   ;198.139  x   ;;;;
;08.02.;SA;2;7;0;0;5;8;8;13.958.467,50   ;JP;;1.434.870,30   ;6  x   ;47  x   ;508  x   ;5.858  x   ;61.070  x   ;567.928  x   ;;;;
7.;12.02.;MI;3;6;5;8;1;0;5;6.789.167,50   ;JP;;1.917.580,10   ;1  x   ;30  x   ;254  x   ;2.519  x   ;23.950  x   ;295.905  x   ;;;;
;15.02.;SA;2;3;6;9;1;7;0;15.232.347,50   ;JP;;3.000.600,00   ;5  x   ;47  x   ;389  x   ;4.008  x   ;40.091  x   ;402.509  x   ;;;;
8.;19.02.;MI;3;5;8;5;9;4;1;7.014.010,00   ;JP;;3.499.296,10   ;3  x   ;29  x   ;215  x   ;2.109  x   ;21.388  x   ;222.560  x   ;;;;
;22.02.;SA;5;3;6;4;2;9;7;15.317.720,00   ;3  x   ;1.477.777,00   ;155.055,00   ;5  x   ;62  x   ;638  x   ;6.366  x   ;61.772  x   ;682.133  x   ;;;;
9.;26.02.;MI;1;6;4;3;5;8;6;7.523.645,00   ;JP;;689.986,20   ;2  x   ;23  x   ;285  x   ;2.735  x   ;26.595  x   ;274.716  x   ;;;;
;01.03.;SA;0;8;7;1;2;0;1;16.218.140,00   ;JP;;1.843.096,00   ;6  x   ;44  x   ;406  x   ;4.545  x   ;46.448  x   ;508.677  x   ;;;;
10.;05.03.;MI;3;7;8;6;7;3;1;5.977.775,00   ;JP;;2.268.115,80   ;3  x   ;23  x   ;203  x   ;2.040  x   ;19.797  x   ;191.893  x   ;;;;
;08.03.;SA;1;1;7;2;5;5;8;13.807.247,50   ;JP;;3.249.811,10   ;11  x   ;60  x   ;576  x   ;6.175  x   ;62.037  x   ;566.097  x   ;;;;
11.;12.03.;MI;3;0;3;5;6;1;2;5.997.537,50   ;JP;;3.676.236,00   ;unbesetzt;21  x   ;203  x   ;2.031  x   ;20.744  x   ;195.797  x   ;;;;
;15.03.;SA;1;2;9;4;5;8;4;14.034.212,50   ;JP;;4.674.068,50   ;5  x   ;54  x   ;545  x   ;4.929  x   ;49.012  x   ;478.443  x   ;;;;
12.;19.03.;MI;1;4;2;0;0;0;0;6.421.787,50   ;JP;;5.130.657,60   ;3  x   ;47  x   ;460  x   ;2.710  x   ;18.790  x   ;169.211  x   ;;;;
;22.03.;SA;9;0;1;9;3;9;7;13.588.720,00   ;1  x   ;6.077.777,00   ;19.038,60   ;2  x   ;51  x   ;577  x   ;5.622  x   ;55.362  x   ;609.553  x   ;;;;
13.;26.03.;MI;6;3;6;5;8;5;3;5.508.015,00   ;2  x   ;177.777,00   ;55.104,50   ;1  x   ;19  x   ;242  x   ;2.381  x   ;22.235  x   ;212.256  x   ;;;;
;29.03.;SA;7;7;9;6;1;8;3;13.537.110,00   ;JP;;1.017.593,00   ;1  x   ;43  x   ;453  x   ;4.885  x   ;48.743  x   ;495.288  x   ;;;;
14.;02.04.;MI;2;5;0;8;7;6;7;5.784.002,50   ;JP;;1.428.835,60   ;2  x   ;26  x   ;254  x   ;2.521  x   ;24.789  x   ;257.798  x   ;;;;
;05.04.;SA;8;0;0;6;0;7;7;13.462.770,00   ;JP;;2.386.038,50   ;5  x   ;61  x   ;637  x   ;6.460  x   ;72.549  x   ;589.416  x   ;;;;
15.;09.04.;MI;0;2;7;7;1;8;3;5.453.097,50   ;JP;;2.773.753,70   ;unbesetzt;21  x   ;194  x   ;2.134  x   ;21.189  x   ;214.766  x   ;;;;
;12.04.;SA;9;0;5;0;2;1;1;13.111.827,50   ;JP;;3.706.004,60   ;3  x   ;31  x   ;376  x   ;4.058  x   ;41.562  x   ;402.499  x   ;;;;
16.;16.04.;MI;1;1;5;0;9;1;3;5.456.925,00   ;JP;;4.093.992,00   ;2  x   ;26  x   ;270  x   ;2.652  x   ;25.735  x   ;211.791  x   ;;;;
;19.04.;SA;6;8;8;0;5;8;5;13.104.955,00   ;JP;;5.025.754,30   ;5  x   ;65  x   ;554  x   ;5.736  x   ;56.048  x   ;573.536  x   ;;;;
17.;23.04.;MI;7;0;9;7;1;1;4;5.194.077,50   ;JP;;5.395.053,20   ;2  x   ;20  x   ;174  x   ;1.769  x   ;18.400  x   ;177.313  x   ;;;;
;26.04.;SA;6;2;1;5;2;0;3;12.799.955,00   ;JP;;6.305.130,00   ;4  x   ;47  x   ;387  x   ;3.902  x   ;38.906  x   ;483.850  x   ;;;;
18.;30.04.;MI;1;8;0;4;0;6;1;5.793.027,50   ;JP;;6.717.014,30   ;unbesetzt;17  x   ;195  x   ;1.690  x   ;19.134  x   ;182.343  x   ;;;;
;03.05.;SA;2;9;1;1;5;1;8;13.057.262,50   ;1  x   ;7.577.777,00   ;67.608,70   ;6  x   ;57  x   ;530  x   ;5.253  x   ;51.603  x   ;540.855  x   ;;;;
19.;07.05.;MI;0;5;8;0;6;6;4;5.461.677,50   ;JP;;455.934,00   ;unbesetzt;23  x   ;184  x   ;1.851  x   ;20.084  x   ;186.629  x   ;;;;
;10.05.;SA;9;6;0;5;8;3;8;13.202.187,50   ;1  x   ;1.377.777,00   ;16.832,50   ;6  x   ;46  x   ;556  x   ;5.653  x   ;54.964  x   ;546.755  x   ;;;;
20.;14.05.;MI;0;5;3;8;1;4;6;5.720.062,50   ;JP;;423.528,90   ;3  x   ;24  x   ;196  x   ;2.171  x   ;21.005  x   ;202.934  x   ;;;;
;17.05.;SA;6;3;9;4;7;0;2;13.418.210,00   ;JP;;1.377.563,60   ;1  x   ;41  x   ;393  x   ;3.895  x   ;37.860  x   ;442.226  x   ;;;;
21.;21.05.;MI;6;2;7;9;0;2;1;5.974.282,50   ;JP;;1.802.335,10   ;3  x   ;17  x   ;192  x   ;1.854  x   ;20.087  x   ;191.116  x   ;;;;
;24.05.;SA;5;5;4;7;9;3;0;13.789.025,00   ;JP;;2.782.734,80   ;6  x   ;30  x   ;362  x   ;3.546  x   ;34.991  x   ;358.640  x   ;;;;
22.;28.05.;MI;8;9;8;9;6;7;8;6.854.187,50   ;JP;;3.270.067,50   ;3  x   ;25  x   ;273  x   ;2.849  x   ;26.781  x   ;268.233  x   ;;;;
;31.05.;SA;2;0;1;3;3;9;7;14.357.122,50   ;JP;;4.290.858,90   ;6  x   ;63  x   ;597  x   ;6.223  x   ;59.245  x   ;642.696  x   ;;;;
23.;04.06.;MI;8;6;1;9;9;8;6;5.560.802,50   ;1  x   ;4.677.777,00   ;8.455,00   ;3  x   ;30  x   ;159  x   ;1.929  x   ;19.479  x   ;199.616  x   ;;;;
;07.06.;SA;5;9;9;7;8;3;4;13.032.555,00   ;JP;;935.069,70   ;5  x   ;36  x   ;480  x   ;4.567  x   ;45.506  x   ;448.374  x   ;;;;
24.;11.06.;MI;4;7;5;0;0;2;9;5.351.740,00   ;JP;;1.315.578,40   ;1  x   ;15  x   ;128  x   ;1.537  x   ;16.944  x   ;170.181  x   ;;;;
;14.06.;SA;0;3;3;4;5;4;4;13.165.860,00   ;JP;;2.251.671,00   ;5  x   ;49  x   ;491  x   ;4.446  x   ;46.096  x   ;457.234  x   ;;;;
25.;18.06.;MI;3;2;4;9;0;0;1;5.345.432,50   ;JP;;2.631.731,30   ;1  x   ;11  x   ;170  x   ;1.612  x   ;15.254  x   ;172.661  x   ;;;;
;21.06.;SA;9;4;5;8;1;6;0;12.698.500,00   ;JP;;3.534.594,70   ;4  x   ;26  x   ;330  x   ;3.311  x   ;32.955  x   ;325.821  x   ;;;;
26.;25.06.;MI;1;2;3;7;4;8;4;5.455.735,00   ;JP;;3.922.497,50   ;1  x   ;31  x   ;195  x   ;1.995  x   ;18.653  x   ;190.543  x   ;;;;
;28.06.;SA;1;8;9;9;8;3;0;13.067.730,00   ;1  x   ;4.777.777,00   ;73.836,10   ;1  x   ;38  x   ;332  x   ;3.301  x   ;33.443  x   ;341.327  x   ;;;;
;;;;;;;;Gewinne Gesamt;;;15   ;;;158   ;1.894   ;18.830   ;189.048   ;1.893.096   ;19.000.594   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2014;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2014;Ziehung;;;;;;;ziffer;;        ab 177.777,00 Euro;;Euro;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
27.;02.07.;MI;7;9;0;3;5;7;0;5.886.950,00   ;JP;;492.398,20   ;2  x   ;13  x   ;170  x   ;1.534  x   ;15.773  x   ;158.709  x   ;;;;
;05.07.;SA;8;0;9;2;6;2;9;12.734.805,00   ;JP;;1.397.842,80   ;3  x   ;41  x   ;456  x   ;4.218  x   ;42.181  x   ;424.511  x   ;;;;
28.;09.07.;MI;1;6;1;6;3;6;1;5.386.802,50   ;JP;;1.780.844,50   ;2  x   ;13  x   ;189  x   ;1.785  x   ;17.969  x   ;171.890  x   ;;;;
;12.07.;SA;5;2;8;0;1;5;5;12.947.152,50   ;JP;;2.701.387,00   ;8  x   ;57  x   ;546  x   ;5.763  x   ;59.990  x   ;556.954  x   ;;;;
29.;16.07.;MI;9;1;5;9;6;3;8;5.213.892,50   ;JP;;3.072.094,80   ;3  x   ;27  x   ;216  x   ;2.139  x   ;20.552  x   ;204.901  x   ;;;;
;21.07.;SA;1;1;2;0;4;0;2;12.492.872,50   ;JP;;3.960.338,00   ;2  x   ;29  x   ;341  x   ;3.508  x   ;35.253  x   ;405.701  x   ;;;;
30.;23.07.;MI;9;0;4;8;4;5;0;5.351.075,00   ;JP;;4.340.799,40   ;4  x   ;16  x   ;151  x   ;1.591  x   ;15.104  x   ;143.441  x   ;;;;
;26.07.;SA;1;4;2;2;1;7;4;12.465.475,00   ;JP;;5.227.094,70   ;5  x   ;49  x   ;420  x   ;4.294  x   ;42.359  x   ;433.292  x   ;;;;
31.;30.07.;MI;8;8;5;4;8;4;0;5.377.310,00   ;JP;;5.609.421,40   ;2  x   ;13  x   ;134  x   ;1.438  x   ;14.053  x   ;147.704  x   ;;;;
;02.08.;SA;0;9;9;3;9;2;9;13.043.075,00   ;JP;;6.536.784,00   ;3  x   ;45  x   ;420  x   ;4.550  x   ;43.708  x   ;436.980  x   ;;;;
32.;06.08.;MI;9;4;5;1;3;3;8;5.810.222,50   ;JP;;6.949.890,80   ;3  x   ;24  x   ;216  x   ;2.195  x   ;23.295  x   ;228.492  x   ;;;;
;09.08.;SA;6;8;3;2;9;8;9;13.513.440,00   ;1  x   ;7.877.777,00   ;32.919,40   ;4  x   ;53  x   ;422  x   ;4.655  x   ;44.854  x   ;456.984  x   ;;;;
33.;13.08.;MI;6;0;0;4;3;5;3;5.312.352,50   ;1  x   ;377.777,00   ;32.850,70   ;4  x   ;23  x   ;224  x   ;2.175  x   ;22.499  x   ;208.304  x   ;;;;
;16.08.;SA;9;2;7;9;1;5;6;12.679.617,50   ;1  x   ;877.777,00   ;56.594,50   ;7  x   ;46  x   ;481  x   ;4.769  x   ;48.326  x   ;442.798  x   ;;;;
34.;20.08.;MI;9;5;2;0;3;6;3;5.408.522,50   ;1  x   ;377.777,00   ;63.363,40   ;2  x   ;24  x   ;213  x   ;2.183  x   ;22.199  x   ;213.575  x   ;;;;
;23.08.;SA;2;5;5;3;2;2;7;12.936.620,00   ;JP;;983.157,10   ;5  x   ;68  x   ;595  x   ;5.861  x   ;58.208  x   ;569.603  x   ;;;;
35.;27.08.;MI;1;0;9;8;6;8;0;5.175.155,00   ;JP;;1.351.110,60   ;3  x   ;14  x   ;137  x   ;1.355  x   ;13.784  x   ;141.063  x   ;;;;
;30.08.;SA;3;6;2;1;5;6;9;12.795.295,00   ;1  x   ;2.177.777,00   ;83.079,10   ;5  x   ;37  x   ;517  x   ;4.802  x   ;47.671  x   ;430.427  x   ;;;;
36.;03.09.;MI;4;0;2;9;0;2;6;5.445.360,00   ;JP;;470.244,20   ;1  x   ;17  x   ;191  x   ;1.738  x   ;20.224  x   ;193.505  x   ;;;;
;06.09.;SA;9;3;1;5;9;8;0;12.885.542,50   ;JP;;1.386.406,30   ;5  x   ;50  x   ;372  x   ;3.369  x   ;34.079  x   ;343.216  x   ;;;;
37.;10.09.;MI;8;2;3;7;8;4;5;5.373.152,50   ;1  x   ;1.677.777,00   ;90.660,40   ;3  x   ;25  x   ;238  x   ;2.442  x   ;23.824  x   ;228.054  x   ;;;;
;13.09.;SA;7;7;4;9;3;7;1;13.124.187,50   ;JP;;1.023.790,10   ;3  x   ;37  x   ;384  x   ;4.125  x   ;39.504  x   ;408.904  x   ;;;;
38.;17.09.;MI;7;6;6;1;9;3;7;5.208.995,00   ;JP;;1.394.149,60   ;unbesetzt;27  x   ;251  x   ;2.202  x   ;21.804  x   ;229.305  x   ;;;;
;20.09.;SA;2;4;8;2;6;8;3;12.535.310,00   ;JP;;2.285.410,10   ;6  x   ;49  x   ;498  x   ;4.582  x   ;46.426  x   ;465.525  x   ;;;;
39.;24.09.;MI;3;0;2;4;8;1;6;5.338.120,00   ;JP;;2.664.950,40   ;3  x   ;17  x   ;194  x   ;1.730  x   ;18.040  x   ;191.420  x   ;;;;
;27.09.;SA;2;2;5;1;6;3;0;12.884.012,50   ;JP;;3.581.003,70   ;5  x   ;34  x   ;335  x   ;3.500  x   ;33.348  x   ;342.539  x   ;;;;
40.;01.10.;MI;9;4;5;2;7;2;6;5.292.650,00   ;JP;;3.957.311,10   ;3  x   ;18  x   ;195  x   ;2.037  x   ;19.876  x   ;190.523  x   ;;;;
;04.10.;SA;5;0;5;4;8;0;2;12.530.307,50   ;1  x   ;4.777.777,00   ;70.439,00   ;4  x   ;33  x   ;337  x   ;3.681  x   ;35.711  x   ;411.614  x   ;;;;
41.;08.10.;MI;0;9;1;7;3;9;2;5.392.132,50   ;JP;;453.819,60   ;3  x   ;15  x   ;174  x   ;1.702  x   ;16.398  x   ;176.331  x   ;;;;
;11.10.;SA;0;6;9;6;5;3;3;12.988.302,50   ;1  x   ;1.277.777,00   ;99.510,90   ;7  x   ;45  x   ;471  x   ;4.687  x   ;48.040  x   ;485.797  x   ;;;;
42.;15.10.;MI;2;7;8;5;9;0;2;5.689.695,00   ;JP;;504.048,20   ;3  x   ;12  x   ;164  x   ;1.628  x   ;16.506  x   ;188.812  x   ;;;;
;18.10.;SA;4;0;2;3;8;7;6;13.476.347,50   ;JP;;1.462.216,50   ;5  x   ;56  x   ;496  x   ;4.881  x   ;47.530  x   ;485.332  x   ;;;;
43.;22.10.;MI;4;9;5;6;4;7;7;6.105.620,00   ;JP;;1.896.326,10   ;3  x   ;32  x   ;314  x   ;2.948  x   ;33.731  x   ;257.008  x   ;;;;
;25.10.;SA;1;8;7;0;8;5;3;12.783.467,50   ;1  x   ;2.777.777,00   ;27.453,60   ;3  x   ;41  x   ;543  x   ;5.284  x   ;49.484  x   ;476.699  x   ;;;;
44.;29.10.;MI;1;4;8;4;4;5;1;5.333.360,00   ;JP;;406.655,50   ;3  x   ;22  x   ;172  x   ;1.771  x   ;17.109  x   ;165.640  x   ;;;;
;01.11.;SA;6;0;8;1;8;0;6;12.419.285,00   ;JP;;1.289.666,70   ;3  x   ;29  x   ;354  x   ;3.763  x   ;37.607  x   ;455.954  x   ;;;;
45.;05.11.;MI;4;0;3;4;9;0;9;5.212.912,50   ;JP;;1.660.304,80   ;3  x   ;14  x   ;164  x   ;1.588  x   ;14.742  x   ;169.850  x   ;;;;
;08.11.;SA;2;4;5;9;4;0;5;13.067.662,50   ;JP;;2.589.415,60   ;4  x   ;54  x   ;443  x   ;4.796  x   ;46.197  x   ;572.674  x   ;;;;
46.;12.11.;MI;3;2;2;7;0;5;5;5.488.637,50   ;JP;;2.979.657,70   ;3  x   ;20  x   ;247  x   ;2.413  x   ;26.134  x   ;229.211  x   ;;;;
;15.11.;SA;3;9;3;9;9;4;0;13.279.070,00   ;JP;;3.923.799,60   ;4  x   ;30  x   ;338  x   ;3.543  x   ;34.913  x   ;355.654  x   ;;;;
47.;19.11.;MI;1;7;1;6;5;8;3;5.872.687,50   ;JP;;4.341.347,70   ;6  x   ;27  x   ;251  x   ;2.375  x   ;23.513  x   ;236.256  x   ;;;;
;22.11.;SA;5;9;3;6;5;5;5;13.700.642,50   ;JP;;5.315.463,40   ;7  x   ;63  x   ;685  x   ;7.534  x   ;61.352  x   ;581.800  x   ;;;;
48.;26.11.;MI;9;2;8;5;6;9;8;5.369.157,50   ;1  x   ;5.677.777,00   ;19.433,50   ;3  x   ;14  x   ;212  x   ;2.089  x   ;18.880  x   ;213.309  x   ;;;;
;29.11.;SA;3;5;7;9;7;4;6;13.194.912,50   ;JP;;957.591,80   ;4  x   ;52  x   ;507  x   ;5.114  x   ;48.781  x   ;475.875  x   ;;;;
49.;03.12.;MI;9;3;4;8;6;1;0;6.207.765,00   ;JP;;1.398.963,90   ;2  x   ;18  x   ;158  x   ;1.696  x   ;17.064  x   ;171.082  x   ;;;;
;06.12.;SA;2;5;7;9;3;7;7;14.949.480,00   ;2  x   ;1.177.777,00   ;106.317,90   ;8  x   ;81  x   ;704  x   ;7.383  x   ;78.150  x   ;634.670  x   ;;;;
50.;10.12.;MI;7;4;6;9;8;9;6;6.108.307,50   ;JP;;540.618,60   ;1  x   ;23  x   ;215  x   ;2.094  x   ;21.120  x   ;227.489  x   ;;;;
;13.12.;SA;4;8;9;6;1;0;3;14.026.690,00   ;JP;;1.537.916,30   ;6  x   ;46  x   ;439  x   ;4.446  x   ;43.127  x   ;533.984  x   ;;;;
51.;17.12.;MI;8;3;7;8;1;0;3;5.588.177,50   ;1  x   ;1.877.777,00   ;57.458,70   ;2  x   ;16  x   ;213  x   ;2.025  x   ;18.516  x   ;227.051  x   ;;;;
;20.12.;SA;8;2;7;7;3;9;2;13.565.937,50   ;JP;;1.021.996,90   ;4  x   ;31  x   ;399  x   ;4.248  x   ;42.016  x   ;440.875  x   ;;;;
52.;24.12.;MI;8;1;6;4;6;5;5;6.379.260,00   ;JP;;1.475.562,30   ;3  x   ;47  x   ;293  x   ;2.804  x   ;30.170  x   ;262.847  x   ;;;;
;27.12.;SA;5;3;3;9;2;0;9;12.866.077,50   ;JP;;2.390.340,40   ;4  x   ;39  x   ;408  x   ;3.990  x   ;37.972  x   ;441.119  x   ;;;;
53.;;MI;;;;;;;;;;;;;;;;;;;;;
;;SA;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Gewinne Gesamt;;;13   ;;;194   ;1.726   ;17.207   ;173.023   ;1.709.666   ;17.245.253   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;
