Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1993;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
VA;1993;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
;;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;09.01.;4;0;1;5;1;3;0;24.536.490,00;1 x;3.377.777,00   ;59.135,20   ;12 x           ;84 x         ;844 x         ;8.176 x        ;83.060 x    ;822.658 x    ;;;;
2.;16.01.;8;2;6;6;7;6;0;31.604.755,00;JP;;2.306.233,30   ;13 x           ;112 x         ;1.035 x         ;10.387 x        ;104.895 x    ;1.050.702 x    ;;;;
3.;23.01.;2;3;0;2;5;0;7;24.661.235,00;JP;;4.059.647,10   ;6 x           ;76 x         ;851 x         ;8.611 x        ;88.007 x    ;911.825 x    ;;;;
4.;30.01.;6;6;7;5;9;9;9;24.421.857,50;2 x;2.877.777,00   ;40.487,20   ;6 x           ;90 x         ;929 x         ;8.937 x        ;89.232 x    ;893.258 x    ;;;;
5.;06.02.;4;3;6;6;6;3;0;24.671.020,00;2 x;877.777,00   ;39.042,70   ;11 x           ;70 x         ;876 x         ;8.543 x        ;84.194 x    ;839.396 x    ;;;;
6.;13.02.;5;2;8;5;0;7;3;23.934.350,00;1 x;1.677.777,00   ;62.998,00   ;8 x           ;72 x         ;834 x         ;8.421 x        ;87.053 x    ;873.787 x    ;;;;
7.;20.02.;7;9;2;0;6;0;8;23.673.825,00;JP;;1.746.207,00   ;11 x           ;79 x         ;793 x         ;8.440 x        ;82.512 x    ;871.541 x    ;;;;
8.;27.02.;3;7;3;2;4;9;5;23.696.597,50;JP;;3.431.035,10   ;11 x           ;69 x         ;878 x         ;8.907 x        ;87.181 x    ;870.401 x    ;;;;
9.;06.03.;5;5;0;7;8;7;2;26.610.732,50;2 x;2.577.777,00   ;167.504,20   ;7 x           ;101 x         ;925 x         ;9.655 x        ;96.763 x    ;955.536 x    ;;;;
10.;13.03.;1;3;2;2;5;1;9;24.276.455,00;1 x;1.877.777,00   ;15.783,20   ;14 x           ;90 x         ;896 x         ;8.735 x        ;88.292 x    ;886.470 x    ;;;;
11.;20.03.;8;2;4;9;5;1;9;23.372.610,00;JP;;1.677.575,80   ;10 x           ;78 x         ;800 x         ;7.953 x        ;81.759 x    ;822.959 x    ;;;;
12.;27.03.;7;8;5;2;8;7;0;23.927.437,50;JP;;3.378.816,60   ;8 x           ;86 x         ;840 x         ;8.274 x        ;82.702 x    ;825.299 x    ;;;;
13.;03.04.;9;0;8;7;2;5;2;23.853.357,50;2 x;2.477.777,00   ;119.236,30   ;5 x           ;93 x         ;861 x         ;8.492 x        ;86.332 x    ;853.813 x    ;;;;
14.;10.04.;1;1;0;0;6;8;9;22.422.080,00;1 x;1.677.777,00   ;35.669,20   ;6 x           ;77 x         ;839 x         ;8.360 x        ;81.671 x    ;818.726 x    ;;;;
15.;17.04.;4;6;4;9;1;8;3;22.518.310,00;1 x;1.577.777,00   ;58.944,00   ;9 x           ;93 x         ;795 x         ;8.007 x        ;80.889 x    ;817.883 x    ;;;;
16.;24.04.;6;1;8;1;0;9;5;22.472.437,50;JP;;1.656.734,30   ;11 x           ;81 x         ;849 x         ;7.989 x        ;82.575 x    ;822.708 x    ;;;;
17.;01.05.;7;4;3;1;6;4;5;22.894.592,50;1 x;3.277.777,00   ;6.762,80   ;5 x           ;97 x         ;851 x         ;8.135 x        ;81.109 x    ;808.281 x    ;;;;
18.;08.05.;2;4;4;4;3;3;9;27.257.892,50;JP;;1.944.799,00   ;9 x           ;96 x         ;1.045 x         ;9.987 x        ;101.122 x    ;999.749 x    ;;;;
19.;15.05.;4;0;3;1;7;4;7;22.816.742,50;1 x;3.477.777,00   ;89.292,40   ;16 x           ;89 x         ;835 x         ;8.588 x        ;85.013 x    ;844.366 x    ;;;;
20.;22.05.;3;5;0;1;2;7;2;21.794.627,50;4 x;377.777,00   ;127.782,40   ;5 x           ;59 x         ;751 x         ;7.892 x        ;78.342 x    ;775.107 x    ;;;;
21.;29.05.;7;7;5;1;2;5;2;22.475.012,50;JP;;1.725.755,80   ;10 x           ;97 x         ;801 x         ;7.981 x        ;79.410 x    ;785.435 x    ;;;;
22.;05.06.;3;5;5;9;8;2;5;23.198.840,00;1 x;3.277.777,00   ;97.416,30   ;8 x           ;89 x         ;827 x         ;8.502 x        ;84.987 x    ;838.620 x    ;;;;
23.;12.06.;4;6;2;3;5;2;5;21.432.862,50;1 x;1.577.777,00   ;43.515,80   ;13 x           ;66 x         ;782 x         ;7.541 x        ;75.425 x    ;750.458 x    ;;;;
24.;19.06.;9;3;8;2;1;8;7;22.292.290,00;JP;;1.628.497,60   ;10 x           ;102 x         ;804 x         ;8.203 x        ;82.161 x    ;825.155 x    ;;;;
25.;26.06.;7;0;4;3;1;4;7;22.318.237,50;3 x;977.777,00   ;281.993,30   ;13 x           ;79 x         ;735 x         ;8.037 x        ;79.368 x    ;792.646 x    ;;;;
