Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2001;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
KW;2001;Ziehung;;;;;;;ziffer;;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;
;;;;;;;;;;DM;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;
1.;03.01.;MI;5;5;0;1;7;9;1;6.520.480,00   ;1  x   ;2.577.777,00   ;18.370,00   ;1  x   ;20  x   ;204  x   ;2.072  x   ;19.855  x   ;206.853  x   ;
;06.01.;SA;8;2;5;1;3;4;4;27.074.767,50   ;2  x   ;877.777,00   ;187.832,00   ;11  x   ;92  x   ;953  x   ;9.307  x   ;95.121  x   ;905.230  x   ;
2.;10.01.;MI;0;7;7;6;7;6;5;6.697.462,50   ;2  x   ;377.777,00   ;0,00   ;4  x   ;29  x   ;283  x   ;2.647  x   ;27.131  x   ;260.700  x   ;
;13.01.;SA;9;3;4;6;9;7;7;28.048.817,50   ;1  x   ;1.977.777,00   ;16.493,90   ;10  x   ;136  x   ;1.186  x   ;12.176  x   ;124.681  x   ;1.093.394  x   ;
3.;17.01.;MI;0;6;1;7;4;0;3;6.774.400,00   ;JP;;498.153,70   ;3  x   ;20  x   ;219  x   ;2.244  x   ;22.153  x   ;253.417  x   ;
;20.01.;SA;4;7;3;3;5;4;9;27.694.505,00   ;1  x   ;2.377.777,00   ;89.456,00   ;12  x   ;125  x   ;1.117  x   ;11.148  x   ;110.038  x   ;1.057.701  x   ;
4.;24.01.;MI;3;6;8;1;9;6;4;6.974.590,00   ;4  x   ;377.777,00   ;0,00   ;2  x   ;27  x   ;283  x   ;2.422  x   ;23.747  x   ;234.694  x   ;
;27.01.;SA;6;1;8;3;4;8;3;28.035.432,50   ;2  x   ;977.777,00   ;37.765,30   ;9  x   ;116  x   ;1.040  x   ;10.386  x   ;102.946  x   ;1.064.588  x   ;
5.;31.01.;MI;3;5;7;5;1;0;0;7.720.042,50   ;JP;;586.660,30   ;4  x   ;25  x   ;272  x   ;2.523  x   ;25.345  x   ;230.350  x   ;
;03.02.;SA;5;9;6;3;1;3;1;29.747.797,50   ;1  x   ;2.677.777,00   ;23.951,70   ;10  x   ;92  x   ;1.048  x   ;9.299  x   ;94.075  x   ;918.915  x   ;
6.;07.02.;MI;6;6;0;6;6;5;5;10.574.545,00   ;1  x   ;677.777,00   ;98.024,80   ;1  x   ;55  x   ;432  x   ;4.264  x   ;43.175  x   ;407.584  x   ;
;10.02.;SA;1;2;8;5;0;7;6;29.231.712,50   ;1  x   ;2.077.777,00   ;98.622,60   ;12  x   ;108  x   ;1.057  x   ;10.627  x   ;109.027  x   ;1.093.438  x   ;
7.;14.02.;MI;5;8;8;6;7;5;3;7.259.820,00   ;1  x   ;577.777,00   ;37.018,80   ;4  x   ;27  x   ;252  x   ;2.759  x   ;26.839  x   ;268.973  x   ;
