Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1997;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VA;1997;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;;;;;;;;
;;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;;;;;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;;;;;;;
19.;10.05.;0;8;7;8;9;7;2;24.356.480,00;1 x;5.277.777,00   ;56.385,10   ;10 x           ;88 x         ;823 x         ;8.496 x        ;85.424 x    ;839.127 x    ;;1.055.054;;5.277.777;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
20.;17.05.;3;7;1;4;0;3;1;24.658.035,00;2 x;877.777,00   ;54.017,40   ;11 x           ;79 x         ;856 x         ;8.145 x        ;83.507 x    ;828.083 x    ;;933.969;;1.755.554;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
21.;24.05.;0;3;8;8;6;3;0;24.037.712,50;1 x;1.677.777,00   ;85.321,80   ;6 x           ;81 x         ;791 x         ;7.923 x        ;79.889 x    ;792.995 x    ;;920.683;;1.677.777;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
22.;31.05.;4;2;5;9;3;3;9;24.199.182,50;2 x;877.777,00   ;50.329,70   ;9 x           ;113 x         ;868 x         ;8.950 x        ;89.957 x    ;888.428 x    ;;881.686;;1.755.554;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
23.;07.06.;8;5;2;1;3;5;1;23.954.345,00;JP;;1.753.483,60   ;7 x           ;84 x         ;821 x         ;8.168 x        ;79.894 x    ;794.418 x    ;;988.327;;0;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
24.;14.06.;3;4;6;0;5;4;6;24.702.075,00;2 x;1.677.777,00   ;154.247,10   ;9 x           ;88 x         ;891 x         ;9.552 x        ;93.992 x    ;927.123 x    ;;883.392;;3.355.554;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
25.;21.06.;3;6;4;5;0;8;3;24.038.087,50;2 x;877.777,00   ;107.801,10   ;4 x           ;79 x         ;854 x         ;8.442 x        ;85.618 x    ;871.459 x    ;;1.031.657;;1.755.554;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
26.;28.06.;3;0;7;5;5;8;8;24.292.120,00;JP;;1.834.970,80   ;6 x           ;88 x         ;942 x         ;9.028 x        ;89.807 x    ;907.558 x    ;;966.458;;0;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
27.;05.07.;6;2;3;0;8;6;1;25.022.100,00;JP;;3.614.042,10   ;9 x           ;91 x         ;758 x         ;8.217 x        ;82.957 x    ;825.545 x    ;;1.007.429;;0;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
28.;12.07.;5;4;8;6;3;9;8;23.994.087,50;JP;;5.320.021,70   ;10 x           ;80 x         ;923 x         ;8.929 x        ;88.441 x    ;893.265 x    ;;917.577;;0;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
29.;19.07.;8;4;0;5;0;3;1;24.266.185,00;1 x;6.977.777,00   ;67.570,50   ;9 x           ;69 x         ;798 x         ;8.080 x        ;81.089 x    ;795.862 x    ;;991.648;;6.977.777;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
30.;26.07.;6;9;1;1;2;0;6;24.302.707,50;2 x;877.777,00   ;39.939,00   ;6 x           ;81 x         ;822 x         ;8.321 x        ;83.531 x    ;925.722 x    ;;885.908;;1.755.554;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
