Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2012;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
KW;2012;Ziehung;;;;;;;ziffer;;        ab 177.777,00 Euro;;Euro;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;
1.;04.01.;MI;3;5;0;5;2;7;8;6.593.287,50   ;JP;;1.743.757,40   ;2  x   ;27  x   ;260  x   ;2.472  x   ;25.197  x   ;254.309  x   ;
;07.01.;SA;3;8;8;5;4;0;5;15.335.977,50   ;1  x   ;2.777.777,00   ;56.368,40   ;5  x   ;62  x   ;554  x   ;5.729  x   ;55.650  x   ;688.559  x   ;737224
2.;11.01.;MI;8;0;0;2;6;5;4;6.551.625,00   ;1  x   ;477.777,00   ;44.411,90   ;1  x   ;27  x   ;265  x   ;2.481  x   ;23.481  x   ;222.178  x   ;
;14.01.;SA;2;9;0;5;0;1;3;16.188.952,50   ;1  x   ;1.177.777,00   ;17.669,40   ;4  x   ;86  x   ;647  x   ;6.966  x   ;72.518  x   ;582.168  x   ;
3.;18.01.;MI;3;4;3;6;8;1;9;7.150.492,50   ;JP;;526.069,40   ;4  x   ;19  x   ;232  x   ;2.129  x   ;21.807  x   ;232.614  x   ;
;21.01.;SA;9;6;7;8;2;0;6;16.548.010,00   ;2  x   ;777.777,00   ;147.078,90   ;8  x   ;60  x   ;544  x   ;5.335  x   ;54.179  x   ;631.204  x   ;
4.;25.01.;MI;4;1;1;5;3;0;4;8.460.240,00   ;JP;;748.602,00   ;2  x   ;21  x   ;287  x   ;2.607  x   ;26.602  x   ;295.795  x   ;
;28.01.;SA;0;7;2;8;8;9;4;18.563.485,00   ;JP;;2.068.465,80   ;1  x   ;58  x   ;600  x   ;5.938  x   ;59.912  x   ;640.540  x   ;
5.;01.02.;MI;4;9;3;5;3;1;5;9.615.330,00   ;1  x   ;2.677.777,00   ;74.338,80   ;3  x   ;41  x   ;398  x   ;4.003  x   ;39.398  x   ;398.225  x   ;
;04.02.;SA;9;9;3;3;2;0;7;19.606.872,50   ;1  x   ;1.377.777,00   ;90.610,40   ;11  x   ;54  x   ;712  x   ;7.103  x   ;72.091  x   ;831.116  x   ;
6.;08.02.;MI;7;7;4;6;6;1;7;6.868.917,50   ;JP;;578.990,40   ;2  x   ;23  x   ;251  x   ;2.831  x   ;28.645  x   ;292.379  x   ;
;11.02.;SA;1;6;8;5;8;7;8;15.521.282,50   ;2  x   ;777.777,00   ;126.999,60   ;9  x   ;66  x   ;594  x   ;6.198  x   ;61.980  x   ;608.761  x   ;
7.;15.02.;MI;9;7;2;1;0;4;2;6.688.385,00   ;JP;;602.543,80   ;unbesetzt;19  x   ;213  x   ;1.935  x   ;21.743  x   ;211.324  x   ;
;18.02.;SA;4;4;3;4;7;6;6;15.925.235,00   ;1  x   ;1.677.777,00   ;57.051,00   ;8  x   ;66  x   ;601  x   ;6.190  x   ;64.392  x   ;602.014  x   ;
8.;22.02.;MI;6;5;6;5;7;0;3;6.318.942,50   ;JP;;506.327,80   ;1  x   ;24  x   ;203  x   ;2.065  x   ;20.413  x   ;244.061  x   ;
;25.02.;SA;9;3;5;8;4;4;2;15.316.987,50   ;JP;;1.595.365,60   ;4  x   ;41  x   ;513  x   ;4.845  x   ;50.509  x   ;488.342  x   ;
9.;29.02.;MI;7;5;5;4;7;6;3;6.818.920,00   ;JP;;2.080.190,80   ;unbesetzt;20  x   ;271  x   ;2.595  x   ;25.984  x   ;259.459  x   ;
;03.03.;SA;9;6;4;2;0;9;8;16.265.380,00   ;JP;;3.236.659,30   ;4  x   ;47  x   ;589  x   ;5.744  x   ;61.910  x   ;642.510  x   ;
10.;07.03.;MI;6;3;5;4;3;9;2;7.700.520,00   ;JP;;3.784.166,30   ;1  x   ;18  x   ;269  x   ;2.343  x   ;23.622  x   ;249.426  x   ;
;10.03.;SA;3;0;3;4;5;1;7;15.747.335,00   ;3  x   ;1.577.777,00   ;170.470,80   ;6  x   ;55  x   ;628  x   ;6.392  x   ;65.439  x   ;668.014  x   ;
11.;14.03.;MI;9;4;5;3;6;4;6;6.595.342,50   ;JP;;639.399,70   ;4  x   ;31  x   ;260  x   ;2.710  x   ;26.701  x   ;253.812  x   ;
;17.03.;SA;8;7;4;0;4;5;2;15.557.907,50   ;1  x   ;1.677.777,00   ;67.789,90   ;6  x   ;43  x   ;547  x   ;5.376  x   ;54.909  x   ;503.533  x   ;
12.;21.03.;MI;3;5;2;5;1;6;3;6.182.187,50   ;JP;;507.343,40   ;1  x   ;17  x   ;261  x   ;2.367  x   ;23.925  x   ;235.885  x   ;
;24.03.;SA;7;3;0;8;7;3;2;14.682.072,50   ;JP;;1.551.238,80   ;7  x   ;59  x   ;489  x   ;4.969  x   ;47.857  x   ;484.037  x   ;
13.;28.03.;MI;1;0;0;4;1;1;2;5.961.995,00   ;JP;;1.975.136,60   ;3  x   ;15  x   ;205  x   ;2.016  x   ;19.855  x   ;195.460  x   ;
;31.03.;SA;9;2;5;8;4;2;5;15.068.205,00   ;JP;;3.046.486,00   ;10  x   ;67  x   ;667  x   ;6.904  x   ;67.369  x   ;657.920  x   ;
14.;04.04.;MI;2;6;8;0;9;2;5;6.254.287,50   ;JP;;3.491.165,80   ;2  x   ;14  x   ;288  x   ;2.754  x   ;27.689  x   ;269.754  x   ;
;07.04.;SA;7;2;0;8;7;7;7;15.159.580,00   ;1  x   ;4.477.777,00   ;91.234,90   ;4  x   ;109  x   ;1.009  x   ;11.312  x   ;70.114  x   ;631.348  x   ;
15.;11.04.;MI;9;7;5;6;1;0;7;6.080.825,00   ;JP;;523.581,60   ;3  x   ;31  x   ;200  x   ;2.270  x   ;22.093  x   ;260.242  x   ;
