Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1981;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;;;;;;;;;;;
VA;1981;Gewinnzahl;;;;;;End-;Spieleinsatz;von 177.777,70 DM;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
;;;;;;;;ziffer;DM;bis 1.777.777,70 DM;;DM;DM77.777,70;DM7.777,70;DM777,70;DM77,70;DM7,70;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;03.01.;6;6;0;1;7;6;3;11.911.633,00;2 x;477.777,70   ;150.950,90   ;10 x           ;108 x         ;1.074 x         ;10.668 x        ;107.698 x    ;;;;
2.;10.01.;6;1;1;8;3;1;8;12.271.256,00;1 x;1.077.777,70   ;27.604,20   ;12 x           ;112 x         ;1.146 x         ;11.037 x        ;110.824 x    ;;;;
3.;17.01.;4;3;6;5;4;0;5;12.386.774,00;1 x;977.777,70   ;13.242,20   ;7 x           ;122 x         ;1.134 x         ;10.875 x        ;108.765 x    ;;;;
4.;24.01.;0;6;6;7;5;6;9;12.199.706,00;JP;;962.108,20   ;13 x           ;100 x         ;1.143 x         ;11.103 x        ;110.730 x    ;;;;
5.;31.01.;7;2;1;4;1;4;2;12.448.851,00;2 x;877.777,70   ;174.796,80   ;15 x           ;116 x         ;1.150 x         ;11.257 x        ;112.975 x    ;;;;
6.;07.02.;6;7;5;0;8;4;4;15.416.929,00;2 x;677.777,70   ;18.335,90   ;21 x           ;125 x         ;1.376 x         ;13.509 x        ;134.002 x    ;;;;
7.;14.02.;9;2;8;7;0;9;6;12.638.814,00;2 x;477.777,70   ;45.799,40   ;9 x           ;120 x         ;1.082 x         ;11.046 x        ;113.978 x    ;;;;
8.;21.02.;4;1;6;5;0;0;0;12.392.245,00;JP;;1.009.640,70   ;9 x           ;105 x         ;979 x         ;9.866 x        ;105.451 x    ;;;;
9.;28.02.;4;6;7;4;4;2;5;12.288.696,00;JP;;1.965.428,20   ;7 x           ;101 x         ;1.153 x         ;11.482 x        ;113.133 x    ;;;;
10.;07.03.;2;6;9;4;9;0;1;12.199.026,00;JP;;2.914.241,30   ;12 x           ;103 x         ;1.122 x         ;10.942 x        ;106.372 x    ;;;;
11.;14.03.;7;5;5;6;3;2;0;12.384.046,00;JP;;3.877.444,90   ;11 x           ;102 x         ;1.129 x         ;10.958 x        ;108.882 x    ;;;;
12.;21.03.;2;2;1;4;2;0;2;12.244.798,00;1 x;1.777.777,70   ;3.052.040,40   ;11 x           ;117 x         ;1.060 x         ;10.816 x        ;106.147 x    ;;;;
13.;28.03.;3;1;2;1;4;8;9;12.039.874,00;JP;;3.988.475,00   ;3 x           ;92 x         ;1.076 x         ;10.854 x        ;108.550 x    ;;;;
14.;04.04.;1;6;0;1;2;4;3;11.929.455,00;2 x;1.777.777,70   ;1.360.766,10   ;10 x           ;120 x         ;1.139 x         ;11.134 x        ;110.113 x    ;;;;
15.;11.04.;4;7;5;1;5;2;6;11.674.926,00;JP;;2.268.815,90   ;10 x           ;104 x         ;1.059 x         ;10.443 x        ;105.177 x    ;;;;
16.;18.04.;3;1;7;4;5;1;2;11.469.904,00;2 x;1.577.777,70   ;5.364,10   ;12 x           ;98 x         ;992 x         ;10.347 x        ;103.109 x    ;;;;
17.;25.04.;3;8;6;6;4;3;2;11.519.182,00;2 x;377.777,70   ;145.745,10   ;7 x           ;111 x         ;1.028 x         ;10.294 x        ;102.555 x    ;;;;
18.;02.05.;9;3;0;3;9;0;5;11.420.013,00;JP;;1.033.968,30   ;8 x           ;93 x         ;1.019 x         ;10.557 x        ;103.426 x    ;;;;
19.;09.05.;0;5;7;0;6;2;2;11.887.303,00;1 x;1.777.777,70   ;180.758,60   ;13 x           ;103 x         ;1.067 x         ;10.713 x        ;106.382 x    ;;;;
20.;16.05.;5;2;1;1;5;4;6;11.506.370,00;2 x;477.777,70   ;120.143,10   ;13 x           ;91 x         ;1.060 x         ;10.483 x        ;103.979 x    ;;;;
21.;23.05.;6;5;6;9;3;8;6;11.364.964,00;1 x;977.777,70   ;26.307,00   ;7 x           ;88 x         ;1.022 x         ;10.032 x        ;99.784 x    ;;;;
22.;30.05.;3;1;9;4;9;2;1;11.546.786,00;2 x;377.777,70   ;168.834,90   ;10 x           ;121 x         ;1.080 x         ;10.946 x        ;107.476 x    ;;;;
23.;06.06.;8;6;1;3;4;5;0;14.109.087,00;1 x;1.177.777,70   ;88.430,60   ;12 x           ;136 x         ;1.171 x         ;12.214 x        ;120.705 x    ;;;;
24.;13.06.;9;1;6;7;1;9;9;11.315.038,00;JP;;968.489,10   ;9 x           ;111 x         ;976 x         ;10.592 x        ;105.145 x    ;;;;
25.;20.06.;3;5;8;5;4;7;8;11.157.015,00;2 x;877.777,70   ;80.701,50   ;13 x           ;123 x         ;994 x         ;10.124 x        ;100.780 x    ;;;;
26.;27.06.;5;7;9;0;5;6;9;11.262.445,00;1 x;877.777,70   ;78.891,70   ;12 x           ;95 x         ;1.017 x         ;10.352 x        ;102.654 x    ;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;;;;;;;;;;;
VA;1981;Gewinnzahl;;;;;;End-;Spieleinsatz;von 2 x 177.777,70 DM;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
;;;;;;;;ziffer;DM;bis 2 x 1.777.777,70 DM;;DM;2 x 77.777,70 DM;2 x 7.777,70 DM;2 x 777,70 DM;2 x 77,70 DM;2 x 7,70 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
27.;04.07.;8;6;4;3;2;1;6;14.483.454,00;JP;;1.205.382,60   ;6 x           ;83 x         ;676 x         ;6.863 x        ;66.187 x    ;;;;
28.;11.07.;5;6;3;2;8;7;2;12.918.644,00;JP;;2.210.166,00   ;7 x           ;60 x         ;627 x         ;5.878 x        ;58.219 x    ;;;;
29.;18.07.;7;9;9;2;9;0;8;13.386.421,00;JP;;3.251.332,10   ;6 x           ;56 x         ;552 x         ;5.832 x        ;57.551 x    ;;;;
30.;25.07.;9;2;2;2;2;5;8;13.237.409,00;1 x;3.555.555,40   ;725.352,90   ;7 x           ;66 x         ;556 x         ;5.734 x        ;58.467 x    ;;;;
31.;01.08.;0;1;0;9;6;7;8;13.435.231,00;1 x;1.755.555,40   ;14.759,90   ;6 x           ;67 x         ;603 x         ;6.190 x        ;60.134 x    ;;;;
32.;08.08.;5;7;0;4;6;9;1;13.091.052,00;JP;;1.032.952,80   ;9 x           ;53 x         ;621 x         ;5.920 x        ;58.970 x    ;;;;
33.;15.08.;9;5;2;2;4;4;4;13.524.704,00;JP;;2.084.874,20   ;9 x           ;57 x         ;628 x         ;6.537 x        ;62.348 x    ;;;;
34.;22.08.;4;7;8;7;5;8;6;13.544.056,00;1 x;3.055.555,40   ;82.745,40   ;6 x           ;75 x         ;570 x         ;6.199 x        ;62.199 x    ;;;;
35.;29.08.;4;7;8;8;0;6;4;13.564.414,00;1 x;1.155.555,40   ;82.200,00   ;5 x           ;58 x         ;551 x         ;5.848 x        ;61.647 x    ;;;;
36.;05.09.;6;1;5;9;0;2;2;14.431.440,00;2 x;555.555,40   ;93.534,50   ;7 x           ;71 x         ;621 x         ;6.182 x        ;65.668 x    ;;;;
37.;12.09.;1;9;4;9;8;0;0;15.051.532,00;1 x;1.155.555,40   ;108.653,80   ;4 x           ;77 x         ;688 x         ;6.552 x        ;65.667 x    ;;;;
38.;19.09.;7;9;7;3;1;7;1;18.199.373,00;JP;;1.524.160,60   ;5 x           ;77 x         ;794 x         ;8.073 x        ;81.229 x    ;;;;
39.;26.09.;4;0;3;6;5;7;3;15.436.645,00;3 x;755.555,40   ;458.122,30   ;5 x           ;81 x         ;722 x         ;6.957 x        ;69.192 x    ;;;;
40.;03.10.;9;8;1;6;1;9;8;15.462.612,00;JP;;1.660.769,90   ;11 x           ;70 x         ;778 x         ;7.052 x        ;71.065 x    ;;;;
41.;10.10.;6;0;1;9;1;2;6;15.231.976,00;1 x;2.755.555,40   ;89.923,70   ;10 x           ;75 x         ;748 x         ;6.959 x        ;69.597 x    ;;;;
42.;17.10.;4;8;3;8;0;3;1;15.374.858,00;JP;;1.285.746,00   ;3 x           ;75 x         ;661 x         ;6.713 x        ;70.170 x    ;;;;
43.;24.10.;9;1;5;3;2;1;1;15.272.822,00;1 x;2.355.555,40   ;118.076,70   ;10 x           ;61 x         ;718 x         ;6.838 x        ;68.198 x    ;;;;
44.;31.10.;8;9;1;5;1;8;6;15.877.102,00;JP;;1.352.962,40   ;8 x           ;74 x         ;680 x         ;7.079 x        ;71.833 x    ;;;;
45.;07.11.;3;7;7;6;9;1;8;15.834.340,00;2 x;1.155.555,40   ;273.411,40   ;7 x           ;76 x         ;755 x         ;7.261 x        ;72.027 x    ;;;;
46.;14.11.;2;2;2;1;7;4;9;16.110.030,00;JP;;1.526.413,70   ;7 x           ;69 x         ;763 x         ;7.519 x        ;74.377 x    ;;;;
47.;21.11.;5;3;2;2;1;1;0;15.643.372,00;1 x;2.555.555,40   ;187.565,00   ;7 x           ;86 x         ;657 x         ;6.702 x        ;68.321 x    ;;;;
48.;28.11.;8;8;9;0;0;0;6;16.438.200,00;1 x;1.355.555,40   ;110.536,30   ;5 x           ;69 x         ;640 x         ;6.725 x        ;71.272 x    ;;;;
49.;05.12.;7;3;6;6;4;7;2;23.417.372,00;JP;;1.931.887,40   ;14 x           ;121 x         ;1.101 x         ;10.900 x        ;107.528 x    ;;;;
50.;12.12.;6;9;6;0;2;1;0;17.605.770,00;1 x;3.155.555,40   ;145.669,70   ;6 x           ;81 x         ;771 x         ;7.721 x        ;76.422 x    ;;;;
51.;19.12.;0;8;6;5;6;4;8;17.906.320,00;1 x;1.355.555,40   ;182.828,10   ;9 x           ;85 x         ;793 x         ;8.458 x        ;84.137 x    ;;;;
52.;26.12.;1;4;0;7;3;5;8;13.850.764,00;JP;;1.260.109,70   ;5 x           ;65 x         ;593 x         ;6.180 x        ;62.535 x    ;;;;
;;;;;;;Gewinne Gesamt;;;45 x;;;460 x;4.704 x;46.111 x;461.515 x;4.613.752 x;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
