Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1982;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
15.;10.04.;0;9;1;7;8;0;1;13.788.915,00;1 x;1.155.555,40   ;59.930,50   ;8 x           ;56 x         ;660 x         ;6.132 x        ;58.963 x    ;;;;
16.;17.04.;0;4;6;0;9;9;3;13.722.305,00;JP;;1.127.220,90   ;3 x           ;65 x         ;574 x         ;6.026 x        ;61.911 x    ;;;;
17.;24.04.;8;6;7;6;8;9;2;13.094.857,00;JP;;2.145.709,80   ;9 x           ;55 x         ;578 x         ;5.929 x        ;56.693 x    ;;;;
18.;01.05.;5;8;6;8;9;1;9;12.206.181,00;JP;;3.095.079,40   ;4 x           ;40 x         ;552 x         ;5.676 x        ;56.503 x    ;;;;
19.;08.05.;9;7;0;2;9;1;1;12.133.259,00;JP;;4.037.833,60   ;5 x           ;51 x         ;541 x         ;5.424 x        ;54.754 x    ;;;;
20.;15.05.;4;9;7;1;7;0;9;11.908.033,00;JP;;4.963.087,80   ;8 x           ;45 x         ;548 x         ;5.303 x        ;52.434 x    ;;;;
21.;22.05.;1;8;5;1;9;6;2;11.452.703,00;JP;;5.852.962,80   ;11 x           ;51 x         ;528 x         ;5.350 x        ;51.792 x    ;;;;
22.;29.05.;1;0;5;4;6;4;3;12.269.483,00;1 x;3.555.555,40   ;3.250.746,20   ;2 x           ;49 x         ;591 x         ;5.606 x        ;55.850 x    ;;;;
23.;05.06.;7;7;1;6;5;2;9;12.966.270,00;JP;;4.258.225,40   ;5 x           ;48 x         ;626 x         ;5.952 x        ;60.070 x    ;;;;
24.;12.06.;5;0;1;5;3;9;9;11.320.260,00;JP;;5.137.809,60   ;2 x           ;43 x         ;487 x         ;5.033 x        ;50.540 x    ;;;;
25.;19.06.;4;8;7;4;5;6;6;11.331.452,00;1 x;3.555.555,40   ;2.462.708,00   ;4 x           ;57 x         ;539 x         ;5.008 x        ;51.613 x    ;;;;
26.;26.06.;3;4;0;1;3;4;5;11.221.120,00;1 x;3.155.555,40   ;179.033,60   ;3 x           ;49 x         ;517 x         ;5.033 x        ;51.322 x    ;;;;
27.;03.07.;3;7;4;2;7;2;2;11.426.984,00;JP;;1.066.910,30   ;7 x           ;57 x         ;491 x         ;5.065 x        ;50.396 x    ;;;;
28.;10.07.;8;2;3;1;0;7;9;10.915.702,00;JP;;1.915.060,30   ;7 x           ;52 x         ;494 x         ;4.794 x        ;49.512 x    ;;;;
29.;17.07.;4;8;8;6;4;0;8;10.841.714,00;1 x;2.755.555,40   ;1.906,10   ;4 x           ;49 x         ;488 x         ;4.739 x        ;46.522 x    ;;;;
30.;24.07.;3;1;4;8;7;2;7;10.816.656,00;2 x;355.555,40   ;131.249,50   ;5 x           ;38 x         ;498 x         ;5.055 x        ;49.548 x    ;;;;
31.;31.07.;8;3;4;2;8;7;6;10.885.834,00;JP;;977.078,80   ;5 x           ;60 x         ;508 x         ;5.249 x        ;49.843 x    ;;;;
32.;07.08.;6;4;4;3;0;0;0;10.818.740,00;JP;;1.817.694,90   ;4 x           ;44 x         ;471 x         ;4.462 x        ;47.041 x    ;;;;
33.;14.08.;3;8;1;3;6;1;9;11.137.726,00;1 x;2.555.555,40   ;127.540,80   ;2 x           ;41 x         ;495 x         ;5.144 x        ;50.381 x    ;;;;
34.;21.08.;2;4;9;1;2;7;7;11.279.548,00;2 x;355.555,40   ;292.850,90   ;9 x           ;67 x         ;490 x         ;5.151 x        ;52.454 x    ;;;;
35.;28.08.;0;7;4;1;6;2;8;11.501.476,00;1 x;1.155.555,40   ;30.960,20   ;12 x           ;73 x         ;504 x         ;5.077 x        ;51.006 x    ;;;;
36.;04.09.;0;4;4;7;2;7;8;14.828.966,00;JP;;1.183.170,90   ;5 x           ;77 x         ;675 x         ;6.598 x        ;65.841 x    ;;;;
37.;11.09.;8;4;5;4;2;4;4;12.785.268,00;JP;;2.176.586,20   ;7 x           ;55 x         ;565 x         ;5.695 x        ;57.870 x    ;;;;
38.;18.09.;6;3;0;0;6;2;1;12.708.588,00;1 x;3.155.555,40   ;8.488,10   ;4 x           ;58 x         ;565 x         ;5.774 x        ;57.900 x    ;;;;
39.;25.09.;7;5;0;8;6;8;7;12.729.418,00;JP;;997.563,90   ;6 x           ;51 x         ;595 x         ;5.766 x        ;58.148 x    ;;;;
40.;02.10.;6;9;0;0;1;9;2;12.715.420,00;JP;;1.985.552,00   ;5 x           ;55 x         ;557 x         ;5.729 x        ;57.063 x    ;;;;
41.;09.10.;6;2;0;8;1;0;7;12.754.886,00;JP;;2.976.606,60   ;12 x           ;50 x         ;601 x         ;5.598 x        ;56.380 x    ;;;;
42.;16.10.;0;8;2;8;1;4;9;12.771.730,00;1 x;3.555.555,40   ;413.414,60   ;6 x           ;69 x         ;615 x         ;5.795 x        ;58.937 x    ;;;;
43.;23.10.;5;6;7;0;1;9;0;13.075.322,00;JP;;1.429.367,10   ;3 x           ;59 x         ;560 x         ;5.582 x        ;56.554 x    ;;;;
44.;30.10.;8;3;2;2;6;6;9;13.419.606,00;JP;;2.472.070,50   ;8 x           ;58 x         ;580 x         ;6.159 x        ;61.298 x    ;;;;
45.;06.11.;4;6;6;3;1;4;7;13.437.602,00;JP;;3.516.172,20   ;8 x           ;54 x         ;661 x         ;6.131 x        ;61.709 x    ;;;;
46.;13.11.;0;4;6;9;9;1;1;13.567.438,00;1 x;3.555.555,40   ;1.014.806,70   ;6 x           ;64 x         ;611 x         ;6.191 x        ;61.643 x    ;;;;
47.;20.11.;5;5;0;2;9;1;6;13.546.028,00;JP;;2.067.333,10   ;1 x           ;65 x         ;657 x         ;5.964 x        ;60.571 x    ;;;;
48.;27.11.;8;7;0;0;4;1;8;13.856.468,00;1 x;2.955.555,40   ;188.425,30   ;5 x           ;76 x         ;607 x         ;6.316 x        ;62.534 x    ;;;;
49.;04.12.;9;2;7;3;0;9;2;19.414.498,00;JP;;1.696.931,80   ;4 x           ;70 x         ;893 x         ;8.658 x        ;88.453 x    ;;;;
50.;11.12.;6;9;8;7;0;3;6;14.836.166,00;1 x;2.755.555,40   ;94.146,50   ;8 x           ;52 x         ;660 x         ;6.444 x        ;67.330 x    ;;;;
51.;18.12.;7;5;5;1;2;0;4;14.912.284,00;1 x;1.155.555,40   ;97.275,60   ;4 x           ;77 x         ;664 x         ;6.531 x        ;64.449 x    ;;;;
52.;25.12.;9;8;8;2;3;0;8;11.816.602,00;JP;;1.015.425,60   ;4 x           ;46 x         ;514 x         ;5.103 x        ;51.162 x    ;;;;
53.;01.01.;9;4;0;1;7;7;1;11.467.514,00;JP;;1.906.451,40   ;7 x           ;58 x         ;517 x         ;5.197 x        ;51.842 x    ;;;;
;;;;;;;Gewinne Gesamt;;;26 x;;;296 x;3.119 x;31.679 x;312.154 x;3.127.228 x;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
