Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1982;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;;;;;;;;;;;
VA;1982;Gewinnzahl;;;;;;End-;Spieleinsatz;von 2 x 177.777,70 DM;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
;;;;;;;;ziffer;DM;bis 2 x 1.777.777,70 DM;;DM;2 x 77.777,70 DM;2 x 7.777,70 DM;2 x 777,70 DM;2 x 77,70 DM;2 x 7,70 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;02.01.;1;5;2;9;8;6;2;13.169.739,00;1 x;2.155.555,40   ;128.867,30   ;6 x           ;62 x         ;614 x         ;6.061 x        ;59.479 x    ;;;;
2.;09.01.;1;0;9;8;7;0;8;14.160.025,00;1 x;1.155.555,40   ;74.647,20   ;2 x           ;44 x         ;571 x         ;6.375 x        ;61.960 x    ;;;;
3.;16.01.;1;2;3;2;3;7;5;14.951.093,00;JP;;1.237.510,00   ;2 x           ;65 x         ;719 x         ;6.754 x        ;67.117 x    ;;;;
4.;23.01.;0;6;6;9;6;4;6;14.194.599,00;1 x;2.155.555,40   ;185.979,00   ;4 x           ;73 x         ;698 x         ;6.415 x        ;65.036 x    ;;;;
5.;30.01.;9;6;0;6;0;4;0;14.385.869,00;1 x;1.155.555,40   ;149.324,50   ;3 x           ;65 x         ;613 x         ;5.973 x        ;62.935 x    ;;;;
6.;06.02.;2;8;9;9;2;4;4;14.382.244,00;1 x;1.155.555,40   ;112.388,10   ;3 x           ;62 x         ;632 x         ;6.388 x        ;64.136 x    ;;;;
7.;13.02.;4;2;2;8;5;6;2;14.426.742,00;1 x;1.155.555,40   ;78.912,60   ;5 x           ;62 x         ;713 x         ;6.696 x        ;67.638 x    ;;;;
8.;20.02.;4;9;1;7;2;2;7;14.038.178,00;JP;;1.170.770,90   ;10 x           ;66 x         ;657 x         ;6.283 x        ;64.873 x    ;;;;
9.;27.02.;0;5;3;0;9;1;2;14.262.896,00;1 x;2.155.555,40   ;124.551,80   ;7 x           ;70 x         ;628 x         ;6.561 x        ;65.119 x    ;;;;
10.;06.03.;3;9;6;9;6;3;9;18.875.047,00;JP;;1.592.611,00   ;11 x           ;84 x         ;849 x         ;8.285 x        ;83.037 x    ;;;;
11.;13.03.;4;6;9;0;7;6;0;14.738.269,00;JP;;2.738.920,80   ;6 x           ;63 x         ;683 x         ;6.627 x        ;64.756 x    ;;;;
12.;20.03.;6;9;1;8;8;7;8;14.400.919,00;JP;;3.858.992,30   ;8 x           ;71 x         ;679 x         ;6.632 x        ;65.440 x    ;;;;
13.;27.03.;1;2;7;9;5;1;0;14.119.063,00;1 x;3.555.555,40   ;1.401.586,20   ;3 x           ;78 x         ;665 x         ;6.242 x        ;62.204 x    ;;;;
14.;03.04.;0;8;2;6;5;5;5;14.104.079,00;1 x;2.355.555,40   ;143.014,70   ;4 x           ;70 x         ;681 x         ;6.423 x        ;64.666 x    ;;;;
