Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1983;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;;;;;;;;;;;
VA;1983;Gewinnzahl;;;;;;End-;Spieleinsatz;von 2 x 177.777,70 DM;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
;;;;;;;;ziffer;DM;bis 2 x 1.777.777,70 DM;;DM;2 x 77.777,70 DM;2 x 7.777,70 DM;2 x 777,70 DM;2 x 77,70 DM;2 x 7,70 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;08.01.;8;8;1;2;8;1;0;12.162.340,00;2 x;1.355.555,40   ;140.354,40   ;4 x           ;49 x         ;560 x         ;5.346 x        ;53.712 x    ;;;;
2.;15.01.;7;7;9;6;2;1;8;12.795.432,00;1 x;955.555,40   ;179.004,10   ;2 x           ;65 x         ;585 x         ;5.717 x        ;57.508 x    ;;;;
3.;22.01.;2;4;1;8;9;6;2;12.242.818,00;JP;;1.130.271,10   ;2 x           ;52 x         ;580 x         ;5.496 x        ;54.561 x    ;;;;
4.;29.01.;1;5;3;4;1;3;5;12.257.998,00;2 x;955.555,40   ;171.606,70   ;7 x           ;58 x         ;537 x         ;5.538 x        ;56.198 x    ;;;;
5.;05.02.;9;0;9;8;0;5;4;12.142.747,00;JP;;1.115.098,10   ;6 x           ;55 x         ;545 x         ;5.243 x        ;55.213 x    ;;;;
6.;12.02.;1;8;1;1;5;0;1;11.955.277,00;1 x;1.955.555,40   ;88.467,70   ;6 x           ;45 x         ;475 x         ;4.449 x        ;50.599 x    ;;;;
7.;19.02.;9;2;3;2;6;4;7;11.907.121,00;1 x;955.555,40   ;58.095,60   ;5 x           ;59 x         ;530 x         ;5.524 x        ;54.793 x    ;;;;
8.;26.02.;0;2;6;6;1;2;5;11.985.123,00;JP;;989.339,70   ;6 x           ;52 x         ;572 x         ;5.585 x        ;55.326 x    ;;;;
9.;05.03.;8;8;8;7;0;6;8;16.767.554,00;JP;;2.292.178,60   ;7 x           ;74 x         ;754 x         ;7.614 x        ;77.012 x    ;;;;
10.;12.03.;2;0;2;5;5;7;2;12.484.282,00;1 x;3.155.555,40   ;106.651,90   ;4 x           ;76 x         ;556 x         ;5.628 x        ;56.340 x    ;;;;
11.;19.03.;9;4;7;9;5;0;3;12.191.320,00;1 x;955.555,40   ;98.362,10   ;7 x           ;47 x         ;500 x         ;5.348 x        ;53.730 x    ;;;;
12.;26.03.;9;4;0;7;5;5;1;12.026.550,00;1 x;955.555,40   ;77.269,60   ;2 x           ;46 x         ;521 x         ;5.417 x        ;54.426 x    ;;;;
13.;02.04.;4;3;7;8;6;2;9;11.526.492,00;1 x;955.555,40   ;17.322,60   ;2 x           ;56 x         ;528 x         ;5.161 x        ;52.892 x    ;;;;
14.;09.04.;9;5;5;0;1;9;6;11.657.412,00;JP;;923.103,50   ;4 x           ;50 x         ;511 x         ;5.232 x        ;52.393 x    ;;;;
15.;16.04.;1;9;4;0;4;6;6;12.098.104,00;1 x;1.755.555,40   ;107.570,80   ;7 x           ;46 x         ;490 x         ;5.145 x        ;52.033 x    ;;;;
16.;23.04.;1;5;4;0;5;4;9;11.530.740,00;JP;;1.003.509,30   ;9 x           ;53 x         ;532 x         ;5.275 x        ;53.138 x    ;;;;
17.;30.04.;1;3;8;7;9;7;5;11.667.862,00;JP;;1.910.102,20   ;6 x           ;52 x         ;488 x         ;5.363 x        ;53.188 x    ;;;;
18.;07.05.;9;9;5;3;8;0;8;11.554.548,00;1 x;2.755.555,40   ;52.335,20   ;3 x           ;43 x         ;544 x         ;5.068 x        ;50.704 x    ;;;;
19.;14.05.;2;1;2;3;9;4;1;11.402.982,00;JP;;938.346,90   ;7 x           ;47 x         ;535 x         ;5.272 x        ;51.471 x    ;;;;
20.;21.05.;2;2;3;8;3;5;0;11.342.112,00;1 x;1.755.555,40   ;64.073,60   ;5 x           ;47 x         ;487 x         ;5.132 x        ;50.259 x    ;;;;
21.;28.05.;2;9;8;6;3;0;9;11.378.492,00;2 x;355.555,40   ;237.071,60   ;3 x           ;53 x         ;521 x         ;5.144 x        ;51.840 x    ;;;;
22.;04.06.;1;1;0;4;7;2;2;10.934.414,00;JP;;1.086.675,60   ;4 x           ;43 x         ;455 x         ;4.947 x        ;49.651 x    ;;;;
23.;11.06.;3;9;7;5;9;0;5;10.891.882,00;JP;;1.932.974,80   ;5 x           ;52 x         ;507 x         ;4.739 x        ;47.770 x    ;;;;
24.;18.06.;5;0;8;3;6;7;4;10.410.730,00;JP;;2.741.888,50   ;2 x           ;45 x         ;461 x         ;4.728 x        ;47.091 x    ;;;;
25.;25.06.;6;9;0;1;2;0;3;10.596.010,00;JP;;3.565.198,50   ;6 x           ;54 x         ;467 x         ;4.700 x        ;46.316 x    ;;;;
26.;02.07.;1;5;1;3;8;6;4;10.971.520,00;JP;;4.417.685,60   ;3 x           ;56 x         ;479 x         ;4.903 x        ;50.075 x    ;;;;
27.;09.07.;9;0;7;8;7;0;5;10.922.114,00;JP;;5.266.333,90   ;8 x           ;53 x         ;487 x         ;4.715 x        ;47.067 x    ;;;;
28.;16.07.;1;6;6;0;6;8;1;10.738.210,00;JP;;6.100.692,80   ;6 x           ;63 x         ;462 x         ;4.771 x        ;47.573 x    ;;;;
29.;23.07.;1;1;4;2;7;7;7;12.249.286,00;JP;;7.052.462,30   ;6 x           ;45 x         ;589 x         ;5.832 x        ;55.590 x    ;;;;
30.;30.07.;2;0;8;2;6;0;5;12.786.370,00;2 x;3.555.555,40   ;934.852,40   ;6 x           ;68 x         ;582 x         ;5.570 x        ;55.229 x    ;;;;
31.;06.08.;2;5;6;4;0;2;9;11.453.430,00;1 x;1.755.555,40   ;69.228,50   ;6 x           ;59 x         ;522 x         ;5.131 x        ;52.649 x    ;;;;
32.;13.08.;7;6;3;2;8;4;1;11.407.534,00;1 x;955.555,40   ;38,50   ;3 x           ;44 x         ;484 x         ;5.287 x        ;53.213 x    ;;;;
33.;20.08.;8;4;9;7;1;5;1;11.195.344,00;JP;;869.916,70   ;2 x           ;56 x         ;520 x         ;5.033 x        ;49.954 x    ;;;;
34.;27.08.;0;6;3;0;5;1;7;11.218.398,00;JP;;1.741.586,20   ;7 x           ;60 x         ;497 x         ;5.237 x        ;51.301 x    ;;;;
35.;03.09.;2;6;0;3;2;5;7;16.548.242,00;JP;;3.027.384,60   ;12 x           ;58 x         ;743 x         ;7.335 x        ;72.738 x    ;;;;
36.;10.09.;0;8;8;7;4;3;8;14.295.502,00;JP;;4.138.145,10   ;4 x           ;56 x         ;656 x         ;6.773 x        ;66.712 x    ;;;;
37.;17.09.;3;2;5;3;1;9;3;14.758.750,00;JP;;5.284.900,00   ;5 x           ;74 x         ;661 x         ;6.646 x        ;66.325 x    ;;;;
