Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2008;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2008;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;02.01.;MI;8;1;9;6;3;6;0;5.043.735,00   ;JP;;398.053,80   ;3  x   ;27  x   ;241  x   ;2.421  x   ;23.903  x   ;238.609  x   ;;;;
;05.01.;SA;3;8;5;1;0;5;3;12.306.780,00   ;JP;;1.218.916,00   ;7  x   ;79  x   ;712  x   ;6.979  x   ;76.222  x   ;737.224  x   ;;;;
2.;09.01.;MI;8;5;4;6;6;1;5;5.277.144,00   ;1  x   ;1.570.000,00   ;901,50   ;3  x   ;30  x   ;355  x   ;3.546  x   ;34.729  x   ;375.183  x   ;;;;
;12.01.;SA;6;1;0;9;6;5;4;12.732.528,00   ;JP;;850.161,10   ;7  x   ;77  x   ;775  x   ;7.836  x   ;76.918  x   ;728.188  x   ;;;;
3.;16.01.;MI;0;2;6;4;1;6;6;4.904.226,00   ;JP;;1.177.273,00   ;5  x   ;36  x   ;309  x   ;3.130  x   ;34.019  x   ;307.975  x   ;;;;
;19.01.;SA;3;9;5;9;0;3;0;12.167.274,00   ;JP;;1.988.830,20   ;7  x   ;48  x   ;553  x   ;5.498  x   ;55.031  x   ;561.560  x   ;;;;
4.;23.01.;MI;4;4;7;3;8;7;4;5.110.663,50   ;JP;;2.329.711,50   ;3  x   ;19  x   ;282  x   ;2.990  x   ;29.411  x   ;298.797  x   ;;;;
;26.01.;SA;3;2;4;4;9;2;2;12.462.054,00   ;JP;;3.160.930,50   ;5  x   ;55  x   ;686  x   ;6.649  x   ;67.129  x   ;660.332  x   ;;;;
5.;30.01.;MI;8;6;1;4;6;0;6;5.846.464,50   ;1  x   ;3.470.000,00   ;80.889,70   ;3  x   ;36  x   ;386  x   ;3.558  x   ;33.053  x   ;372.217  x   ;;;;
;02.02.;SA;4;4;0;0;3;9;7;13.481.574,00   ;JP;;980.110,70   ;10  x   ;87  x   ;829  x   ;8.746  x   ;86.211  x   ;902.377  x   ;;;;
6.;06.02.;MI;7;8;7;2;7;5;0;6.631.300,50   ;JP;;1.422.418,40   ;3  x   ;40  x   ;336  x   ;3.221  x   ;32.517  x   ;318.767  x   ;;;;
;09.02.;SA;1;9;7;0;3;6;6;14.454.928,50   ;JP;;2.386.562,10   ;13  x   ;101  x   ;938  x   ;9.281  x   ;93.889  x   ;891.367  x   ;;;;
7.;13.02.;MI;6;6;7;8;7;4;4;5.167.459,50   ;JP;;2.731.231,60   ;2  x   ;33  x   ;303  x   ;3.062  x   ;31.843  x   ;300.721  x   ;;;;
;16.02.;SA;3;9;5;6;1;4;0;12.354.150,00   ;1  x   ;3.470.000,00   ;85.253,40   ;13  x   ;46  x   ;596  x   ;5.573  x   ;57.338  x   ;573.634  x   ;;;;
8.;20.02.;MI;2;4;3;1;5;7;2;4.842.550,50   ;JP;;408.251,50   ;6  x   ;22  x   ;293  x   ;2.503  x   ;25.421  x   ;255.297  x   ;;;;
;23.02.;SA;6;1;4;7;2;2;7;12.070.542,00   ;JP;;1.213.356,70   ;12  x   ;92  x   ;806  x   ;7.736  x   ;84.219  x   ;810.791  x   ;;;;
9.;27.02.;MI;5;4;4;7;2;7;3;5.120.985,00   ;JP;;1.554.926,40   ;1  x   ;44  x   ;316  x   ;3.164  x   ;30.849  x   ;310.812  x   ;;;;
;01.03.;SA;4;2;8;0;2;6;1;12.069.930,00   ;2  x   ;1.170.000,00   ;19.990,70   ;4  x   ;60  x   ;629  x   ;6.572  x   ;64.635  x   ;635.619  x   ;;;;
10.;05.03.;MI;1;2;6;3;6;5;0;4.980.033,00   ;1  x   ;270.000,00   ;82.158,90   ;2  x   ;30  x   ;264  x   ;2.401  x   ;24.467  x   ;237.725  x   ;;;;
;08.03.;SA;6;9;4;2;9;9;9;11.891.700,00   ;JP;;875.335,30   ;7  x   ;85  x   ;809  x   ;8.150  x   ;68.097  x   ;708.440  x   ;;;;
11.;12.03.;MI;1;2;1;9;5;2;7;4.908.853,50   ;1  x   ;1.170.000,00   ;32.755,80   ;6  x   ;35  x   ;345  x   ;3.351  x   ;33.523  x   ;327.694  x   ;;;;
;15.03.;SA;5;8;1;3;2;9;2;12.184.621,50   ;JP;;845.470,10   ;4  x   ;67  x   ;666  x   ;6.283  x   ;62.128  x   ;650.305  x   ;;;;
