Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2011;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
KW;2011;Ziehung;;;;;;;ziffer;;        ab 177.777,00 Euro;;Euro;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;
;16.04.;SA;7;3;4;4;4;3;0;15.883.542,50   ;JP;;1.614.927,60   ;1  x   ;35  x   ;456  x   ;4.382  x   ;43.149  x   ;442.441  x   ;
16.;20.04.;MI;7;7;9;9;5;5;2;6.522.387,50   ;JP;;2.078.669,40   ;2  x   ;24  x   ;204  x   ;2.063  x   ;21.818  x   ;202.227  x   ;
;23.04.;SA;7;9;2;0;5;2;4;15.655.685,00   ;1  x   ;3.177.777,00   ;14.011,60   ;4  x   ;56  x   ;523  x   ;5.727  x   ;54.688  x   ;524.918  x   ;
17.;27.04.;MI;6;8;5;5;5;4;4;6.115.375,00   ;JP;;448.814,80   ;2  x   ;26  x   ;187  x   ;2.145  x   ;22.286  x   ;206.518  x   ;
;30.04.;SA;7;6;7;0;0;3;1;15.594.617,50   ;JP;;1.557.592,10   ;2  x   ;40  x   ;442  x   ;5.022  x   ;52.228  x   ;494.606  x   ;
18.;04.05.;MI;6;5;2;3;3;8;6;6.794.597,50   ;JP;;2.040.688,00   ;2  x   ;25  x   ;240  x   ;2.540  x   ;24.997  x   ;262.240  x   ;
;07.05.;SA;6;9;1;2;5;8;2;16.338.485,00   ;JP;;3.202.354,30   ;5  x   ;46  x   ;474  x   ;5.074  x   ;51.048  x   ;520.767  x   ;
19.;11.05.;MI;4;9;9;1;6;5;3;6.693.130,00   ;JP;;3.678.235,80   ;1  x   ;27  x   ;236  x   ;2.515  x   ;24.775  x   ;246.937  x   ;
;14.05.;SA;6;7;5;8;0;3;9;16.185.560,00   ;1  x   ;4.777.777,00   ;51.252,10   ;4  x   ;67  x   ;516  x   ;5.087  x   ;55.341  x   ;545.012  x   ;
20.;18.05.;MI;3;5;7;5;4;9;7;6.332.867,50   ;JP;;501.519,00   ;1  x   ;22  x   ;226  x   ;2.347  x   ;23.695  x   ;259.341  x   ;
