Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2018;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2018;Ziehung;;;;;;;ziffer;;        ab 177.777,00 Euro;;Euro;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;03.01.;MI;8;9;7;7;1;8;0;5.402.187,50   ;JP;;442.650,80   ;4  x   ;10  x   ;125  x   ;1.372  x   ;14.789  x   ;150.196  x   ;;;;
;06.01.;SA;7;4;3;4;3;5;2;12.844.210,00   ;JP;;1.355.874,10   ;1  x   ;39  x   ;460  x   ;4.538  x   ;44.635  x   ;417.906  x   ;737224;;;
2.;10.01.;MI;2;8;9;9;4;7;1;5.608.427,50   ;JP;;1.754.633,30   ;1  x   ;10  x   ;165  x   ;1.726  x   ;16.741  x   ;172.491  x   ;;;;
;13.01.;SA;8;5;4;7;9;9;8;13.423.817,50   ;JP;;2.709.066,70   ;8  x   ;36  x   ;465  x   ;4.650  x   ;49.333  x   ;515.218  x   ;;;;
3.;17.01.;MI;7;5;4;2;6;8;6;5.872.125,00   ;JP;;3.126.574,80   ;2  x   ;14  x   ;212  x   ;2.158  x   ;21.131  x   ;221.134  x   ;;;;
;20.01.;SA;3;6;8;5;2;0;7;12.803.590,00   ;1  x   ;3.977.777,00   ;0,00   ;5  x   ;52  x   ;490  x   ;4.785  x   ;47.479  x   ;568.405  x   ;;;;
4.;24.01.;MI;7;7;7;0;2;9;1;5.182.767,50   ;JP;;368.494,80   ;unbesetzt;16  x   ;147  x   ;1.467  x   ;14.838  x   ;159.025  x   ;;;;
;27.01.;SA;6;2;8;0;7;9;4;13.161.597,50   ;JP;;1.304.284,40   ;2  x   ;33  x   ;399  x   ;4.134  x   ;41.720  x   ;446.958  x   ;;;;
5.;31.01.;MI;0;0;8;4;0;9;3;5.501.432,50   ;1  x   ;1.677.777,00   ;0,00   ;3  x   ;19  x   ;192  x   ;1.856  x   ;19.990  x   ;219.976  x   ;;;;
;03.02.;SA;6;2;8;4;6;6;6;14.028.080,00   ;JP;;997.396,50   ;8  x   ;61  x   ;694  x   ;7.339  x   ;54.895  x   ;519.574  x   ;;;;
6.;07.02.;MI;2;4;1;8;3;4;4;5.337.325,00   ;JP;;1.376.880,30   ;1  x   ;17  x   ;218  x   ;1.908  x   ;20.006  x   ;182.355  x   ;;;;
;10.02.;SA;5;9;2;7;0;5;5;14.060.520,00   ;1  x   ;2.277.777,00   ;0,00   ;8  x   ;43  x   ;570  x   ;5.751  x   ;62.304  x   ;573.104  x   ;;;;
7.;14.02.;MI;8;7;8;0;2;6;0;5.098.002,50   ;JP;;362.468,00   ;1  x   ;18  x   ;137  x   ;1.418  x   ;14.216  x   ;141.146  x   ;;;;
;17.02.;SA;5;5;5;9;0;1;8;12.317.062,50   ;JP;;1.238.211,10   ;4  x   ;39  x   ;441  x   ;4.388  x   ;45.926  x   ;477.091  x   ;;;;
8.;21.02.;MI;7;4;0;1;2;0;6;5.148.265,00   ;JP;;1.604.252,70   ;4  x   ;22  x   ;166  x   ;1.649  x   ;16.444  x   ;198.820  x   ;;;;
;24.02.;SA;7;9;2;8;4;0;5;12.338.732,50   ;JP;;2.481.536,60   ;3  x   ;44  x   ;404  x   ;4.431  x   ;42.703  x   ;526.934  x   ;;;;
9.;28.02.;MI;8;4;1;7;9;9;7;4.989.515,00   ;JP;;2.836.291,10   ;unbesetzt;15  x   ;203  x   ;1.911  x   ;20.313  x   ;221.170  x   ;;;;
;03.03.;SA;2;0;9;0;6;6;8;12.339.990,00   ;JP;;3.713.664,40   ;4  x   ;36  x   ;493  x   ;4.856  x   ;51.599  x   ;476.828  x   ;;;;
10.;07.03.;MI;8;0;4;6;9;9;8;5.113.225,00   ;JP;;4.077.214,70   ;2  x   ;19  x   ;165  x   ;1.779  x   ;18.050  x   ;195.264  x   ;;;;
;10.03.;SA;3;2;3;0;2;1;0;12.544.652,50   ;JP;;4.969.139,50   ;2  x   ;39  x   ;322  x   ;3.301  x   ;33.757  x   ;334.953  x   ;;;;
11.;14.03.;MI;9;7;7;7;6;5;0;5.277.612,50   ;1  x   ;5.277.777,00   ;0,00   ;unbesetzt;11  x   ;160  x   ;1.525  x   ;15.244  x   ;146.569  x   ;;;;
;17.03.;SA;1;0;3;5;9;3;3;12.415.222,50   ;JP;;882.722,30   ;3  x   ;40  x   ;457  x   ;4.393  x   ;45.432  x   ;462.870  x   ;;;;
12.;21.03.;MI;3;0;4;0;6;8;2;5.434.012,50   ;JP;;1.269.080,60   ;2  x   ;18  x   ;165  x   ;1.777  x   ;16.586  x   ;173.979  x   ;;;;
;24.03.;SA;8;0;4;1;2;4;8;12.058.110,00   ;2  x   ;977.777,00   ;0,00   ;6  x   ;46  x   ;477  x   ;5.024  x   ;48.956  x   ;474.373  x   ;;;;
13.;28.03.;MI;8;5;3;2;3;3;6;5.040.300,00   ;JP;;358.365,30   ;3  x   ;17  x   ;184  x   ;1.823  x   ;19.823  x   ;192.007  x   ;;;;
;31.03.;SA;8;9;7;1;3;7;8;12.229.855,00   ;1  x   ;1.177.777,00   ;0,00   ;5  x   ;56  x   ;515  x   ;4.986  x   ;48.836  x   ;486.029  x   ;;;;
14.;04.04.;MI;8;9;0;9;4;8;7;4.886.422,50   ;JP;;347.424,60   ;unbesetzt;14  x   ;206  x   ;2.017  x   ;20.171  x   ;218.533  x   ;;;;
