Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1985;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;;;;;;;;;;;
VA;1985;Gewinnzahl;;;;;;End-;Spieleinsatz;von 2 x 177.777,70 DM;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
;;;;;;;;ziffer;DM;bis 2 x 1.777.777,70 DM;;DM;2 x 77.777,70 DM;2 x 7.777,70 DM;2 x 777,70 DM;2 x 77,70 DM;2 x 7,70 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;05.01.;0;2;0;6;7;8;5;11.570.178,00;JP;;1.795.344,50   ;6 x           ;50 x         ;541 x         ;5.425 x        ;53.847 x    ;;;;
2.;12.01.;2;5;3;0;6;2;4;12.344.076,00;JP;;2.754.479,20   ;7 x           ;53 x         ;549 x         ;5.884 x        ;56.823 x    ;;;;
3.;19.01.;6;9;8;4;8;0;4;12.484.238,00;1 x;3.555.555,40   ;168.949,10   ;11 x           ;44 x         ;543 x         ;5.464 x        ;54.190 x    ;;;;
4.;26.01.;3;9;4;7;8;1;1;12.243.920,00;1 x;955.555,40   ;164.746,30   ;5 x           ;46 x         ;555 x         ;5.611 x        ;55.133 x    ;;;;
5.;02.02.;5;5;1;5;8;7;7;13.674.122,00;1 x;1.155.555,40   ;71.670,20   ;4 x           ;76 x         ;637 x         ;6.010 x        ;60.988 x    ;;;;
6.;09.02.;8;7;4;5;4;1;2;12.697.758,00;JP;;1.058.286,00   ;5 x           ;64 x         ;512 x         ;5.682 x        ;57.692 x    ;;;;
7.;16.02.;2;2;7;2;2;0;6;12.438.068,00;JP;;2.024.723,90   ;3 x           ;55 x         ;509 x         ;5.521 x        ;54.842 x    ;;;;
8.;23.02.;8;0;8;9;0;1;9;12.428.462,00;JP;;2.990.415,40   ;5 x           ;53 x         ;571 x         ;5.542 x        ;56.583 x    ;;;;
9.;02.03.;3;3;7;2;7;2;2;16.831.446,00;1 x;3.555.555,40   ;742.663,40   ;8 x           ;75 x         ;803 x         ;7.779 x        ;78.348 x    ;;;;
10.;09.03.;4;9;6;4;1;3;9;12.751.276,00;JP;;1.733.437,50   ;5 x           ;57 x         ;574 x         ;5.879 x        ;57.608 x    ;;;;
11.;16.03.;4;8;4;3;0;6;0;12.695.596,00;1 x;2.555.555,40   ;164.329,90   ;8 x           ;59 x         ;563 x         ;5.474 x        ;55.787 x    ;;;;
12.;23.03.;2;7;1;8;8;2;8;12.705.526,00;1 x;955.555,40   ;195.993,90   ;8 x           ;70 x         ;591 x         ;5.952 x        ;58.817 x    ;;;;
13.;30.03.;8;0;9;5;8;3;1;12.732.416,00;JP;;1.185.302,60   ;3 x           ;51 x         ;585 x         ;5.524 x        ;55.817 x    ;;;;
14.;06.04.;3;3;5;3;2;4;7;11.844.854,00;JP;;2.105.647,80   ;3 x           ;52 x         ;557 x         ;5.306 x        ;53.448 x    ;;;;
15.;13.04.;7;0;9;5;0;4;0;12.284.568,00;2 x;1.355.555,40   ;349.047,90   ;7 x           ;58 x         ;518 x         ;5.323 x        ;54.113 x    ;;;;
16.;20.04.;3;8;6;1;0;1;4;12.140.412,00;1 x;1.155.555,40   ;136.802,50   ;5 x           ;52 x         ;541 x         ;5.299 x        ;55.686 x    ;;;;
17.;27.04.;3;8;6;2;7;6;2;12.059.188,00;1 x;955.555,40   ;118.246,00   ;4 x           ;59 x         ;545 x         ;5.558 x        ;54.655 x    ;;;;
18.;04.05.;6;2;8;2;4;6;9;12.164.592,00;JP;;1.063.434,80   ;2 x           ;48 x         ;560 x         ;5.370 x        ;54.036 x    ;;;;
19.;11.05.;5;6;4;2;4;0;6;12.692.344,00;1 x;1.955.555,40   ;94.074,50   ;9 x           ;48 x         ;562 x         ;5.719 x        ;56.951 x    ;;;;
20.;18.05.;2;1;9;7;5;3;9;11.600.730,00;JP;;995.451,20   ;4 x           ;56 x         ;510 x         ;5.321 x        ;52.467 x    ;;;;
21.;25.05.;4;2;5;7;4;9;7;11.950.712,00;1 x;1.755.555,40   ;168.466,10   ;4 x           ;52 x         ;504 x         ;5.352 x        ;54.012 x    ;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
VA;1985;Gewinnzahl;;;;;;End-;Spieleinsatz;Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
;;;;;;;;ziffer;DM;ab 2 x 177.777,70 DM;;DM;2 x 77.777,70 DM;2 x 7.777,70 DM;2 x 777,70 DM;2 x 77,70 DM;2 x 7,70 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
22.;01.06.;0;6;9;1;7;4;1;11.976.094,00;1 x;955.555,40   ;143.453,20   ;9 x           ;66 x         ;539 x         ;5.369 x        ;53.645 x    ;;;;
