Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1999;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
VA;1999;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
;;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;09.01.;0;8;2;9;4;9;9;28.573.750,00;2  x  ;977.777,00   ;140.904,20   ;17  x  ;117  x  ;1.139  x  ;11.414  x  ;114.186  x  ;1.079.898  x  ;;;;
2.;16.01.;8;3;8;9;8;4;0;29.114.977,50;JP;;2.210.979,10   ;14  x  ;85  x  ;879  x  ;8.933  x  ;89.922  x  ;899.732  x  ;;;;
3.;23.01.;3;9;4;6;1;9;3;30.988.862,50;4  x  ;1.077.777,00   ;103.179,20   ;11  x  ;94  x  ;1.059  x  ;10.838  x  ;109.611  x  ;1.112.588  x  ;;;;
4.;30.01.;9;3;5;4;5;6;2;29.198.225,00;2  x  ;1.077.777,00   ;23.619,00   ;9  x  ;109  x  ;1.044  x  ;10.071  x  ;99.146  x  ;982.612  x  ;;;;
5.;06.02.;8;2;3;3;2;6;8;28.981.012,50;3  x  ;677.777,00   ;50.838,00   ;18  x  ;131  x  ;1.166  x  ;11.225  x  ;113.408  x  ;1.112.522  x  ;;;;
6.;13.02.;6;4;8;5;7;7;5;29.972.510,00;2  x  ;1.077.777,00   ;26.329,50   ;11  x  ;107  x  ;1.166  x  ;11.379  x  ;119.282  x  ;1.135.051  x  ;;;;
7.;20.02.;5;0;4;0;5;5;3;28.514.627,50;2  x  ;977.777,00   ;98.165,50   ;10  x  ;93  x  ;987  x  ;10.106  x  ;102.389  x  ;1.027.268  x  ;;;;
8.;27.02.;6;1;0;2;6;1;3;28.684.555,00;2  x  ;977.777,00   ;182.083,40   ;7  x  ;107  x  ;1.192  x  ;11.770  x  ;117.013  x  ;1.015.568  x  ;;;;
9.;06.03.;8;5;1;7;6;5;1;30.181.422,50;1  x  ;2.277.777,00   ;50.205,50   ;10  x  ;109  x  ;955  x  ;9.543  x  ;96.236  x  ;947.740  x  ;;;;
10.;13.03.;0;1;1;4;2;6;1;32.467.152,50;1  x  ;2.277.777,00   ;80.843,00   ;12  x  ;98  x  ;1.022  x  ;10.311  x  ;101.874  x  ;1.027.104  x  ;;;;
11.;20.03.;5;3;1;0;7;3;8;28.813.220,00;3  x  ;677.777,00   ;96.131,90   ;8  x  ;101  x  ;1.128  x  ;11.434  x  ;112.888  x  ;1.101.991  x  ;;;;
12.;27.03.;2;4;3;4;8;4;5;28.078.615,00;3  x  ;677.777,00   ;59.190,40   ;11  x  ;103  x  ;1.102  x  ;11.222  x  ;110.306  x  ;1.069.793  x  ;;;;
13.;03.04.;7;0;8;6;9;1;3;27.945.267,50;2  x  ;977.777,00   ;90.544,90   ;9  x  ;119  x  ;1.180  x  ;11.642  x  ;118.097  x  ;1.010.903  x  ;;;;
14.;10.04.;9;3;4;6;0;4;3;28.849.657,50;1  x  ;2.077.777,00   ;63.978,50   ;6  x  ;98  x  ;1.011  x  ;10.126  x  ;106.474  x  ;1.059.429  x  ;;;;
15.;17.04.;0;6;5;1;4;5;7;28.549.715,00;JP;;2.093.863,20   ;7  x  ;117  x  ;1.099  x  ;11.127  x  ;110.496  x  ;1.102.544  x  ;;;;
16.;24.04.;1;2;6;4;8;4;8;29.752.277,50;JP;;4.209.250,10   ;12  x  ;116  x  ;1.170  x  ;11.751  x  ;117.806  x  ;1.140.365  x  ;;;;
17.;01.05.;5;3;3;9;5;1;9;27.042.160,00;JP;;6.131.947,70   ;9  x  ;85  x  ;975  x  ;10.031  x  ;98.599  x  ;1.013.862  x  ;;;;
18.;08.05.;6;6;0;2;8;8;6;28.206.155,00;1  x  ;8.077.777,00   ;59.628,30   ;7  x  ;91  x  ;1.023  x  ;10.166  x  ;106.760  x  ;1.073.573  x  ;;;;
19.;15.05.;5;8;4;9;9;9;3;27.168.127,50;1  x  ;1.977.777,00   ;13.505,20   ;13  x  ;87  x  ;914  x  ;9.706  x  ;99.708  x  ;1.011.791  x  ;;;;
20.;22.05.;0;0;6;4;6;5;9;27.966.032,50;JP;;2.001.890,10   ;11  x  ;116  x  ;1.010  x  ;10.441  x  ;105.427  x  ;1.041.585  x  ;;;;
21.;29.05.;3;0;0;3;1;1;5;26.977.102,50;JP;;3.919.962,10   ;9  x  ;89  x  ;959  x  ;9.742  x  ;100.457  x  ;1.030.067  x  ;;;;
22.;05.06.;6;0;0;2;5;7;9;29.125.985,00;1  x  ;5.977.777,00   ;13.042,60   ;4  x  ;108  x  ;1.128  x  ;11.016  x  ;108.354  x  ;1.096.122  x  ;;;;
23.;12.06.;6;2;2;5;7;2;6;27.440.310,00;JP;;1.964.048,60   ;7  x  ;111  x  ;1.000  x  ;10.536  x  ;105.179  x  ;1.043.560  x  ;;;;
24.;19.06.;4;8;7;1;3;6;8;27.067.760,00;2  x  ;1.877.777,00   ;133.012,30   ;9  x  ;101  x  ;1.168  x  ;10.904  x  ;108.458  x  ;1.049.236  x  ;;;;
