Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2003;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
KW;2003;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;
1.;01.01.;MI;4;5;2;1;6;4;6;5.171.503,50   ;JP;;359.581,30   ;5  x   ;36  x   ;328  x   ;3.364  x   ;33.903  x   ;325.303  x   ;
;04.01.;SA;8;8;6;7;0;8;9;15.183.951,00   ;4  x   ;270.000,00   ;292.350,80   ;13  x   ;84  x   ;916  x   ;9.012  x   ;93.866  x   ;932.654  x   ;
2.;08.01.;MI;3;7;7;0;0;5;1;4.589.902,50   ;1  x   ;570.000,00   ;28.497,30   ;unbesetzt;14  x   ;252  x   ;2.356  x   ;25.746  x   ;255.077  x   ;
;11.01.;SA;6;6;6;3;7;5;3;14.946.541,50   ;2  x   ;470.000,00   ;85.431,60   ;7  x   ;100  x   ;996  x   ;10.110  x   ;99.147  x   ;969.247  x   ;
3.;15.01.;MI;7;3;8;6;0;0;1;4.787.769,00   ;JP;;404.775,80   ;2  x   ;13  x   ;258  x   ;2.405  x   ;24.433  x   ;267.261  x   ;
;18.01.;SA;0;8;8;9;1;5;4;15.498.954,00   ;1  x   ;1.370.000,00   ;68.556,00   ;8  x   ;90  x   ;954  x   ;9.084  x   ;92.235  x   ;882.159  x   ;
4.;22.01.;MI;2;4;5;8;2;7;1;5.649.474,00   ;JP;;445.375,90   ;2  x   ;31  x   ;357  x   ;3.084  x   ;31.213  x   ;315.891  x   ;
;25.01.;SA;9;3;7;4;4;4;6;17.782.474,50   ;JP;;1.631.466,90   ;8  x   ;110  x   ;981  x   ;10.981  x   ;114.055  x   ;1.114.357  x   ;
5.;29.01.;MI;4;6;5;8;6;0;8;5.436.759,00   ;JP;;1.994.098,70   ;3  x   ;25  x   ;290  x   ;3.099  x   ;31.288  x   ;363.974  x   ;
;01.02.;SA;1;1;1;1;3;0;1;16.600.054,50   ;JP;;3.101.322,30   ;9  x   ;71  x   ;827  x   ;7.893  x   ;80.546  x   ;889.204  x   ;
6.;05.02.;MI;4;1;1;2;3;4;4;5.182.857,00   ;JP;;3.447.018,90   ;3  x   ;32  x   ;322  x   ;3.031  x   ;31.434  x   ;291.990  x   ;
;08.02.;SA;1;4;9;7;8;4;8;15.405.865,50   ;2  x   ;2.170.000,00   ;134.590,10   ;12  x   ;108  x   ;1.123  x   ;11.211  x   ;110.933  x   ;1.053.864  x   ;
7.;12.02.;MI;5;5;0;4;9;4;6;4.930.111,50   ;JP;;463.428,50   ;3  x   ;39  x   ;369  x   ;3.356  x   ;33.814  x   ;311.737  x   ;
;15.02.;SA;0;9;1;8;8;2;0;15.548.740,50   ;1  x   ;1.470.000,00   ;30.529,50   ;9  x   ;75  x   ;662  x   ;7.080  x   ;71.359  x   ;731.832  x   ;
8.;19.02.;MI;3;5;4;1;8;6;3;4.703.661,00   ;JP;;344.263,70   ;2  x   ;39  x   ;328  x   ;3.138  x   ;30.081  x   ;300.505  x   ;
;22.02.;SA;5;4;1;1;1;8;0;15.033.282,00   ;1  x   ;1.270.000,00   ;76.983,60   ;11  x   ;68  x   ;688  x   ;6.920  x   ;69.678  x   ;704.262  x   ;
9.;26.02.;MI;2;3;7;3;6;2;8;4.637.451,00   ;JP;;386.301,60   ;3  x   ;28  x   ;328  x   ;3.128  x   ;32.207  x   ;313.987  x   ;
;01.03.;SA;7;5;1;0;1;1;7;14.970.895,50   ;1  x   ;1.370.000,00   ;14.860,30   ;6  x   ;85  x   ;949  x   ;9.191  x   ;95.694  x   ;953.271  x   ;
10.;05.03.;MI;0;0;5;6;7;0;4;4.631.311,50   ;2  x   ;170.000,00   ;0,00   ;2  x   ;11  x   ;221  x   ;2.275  x   ;23.006  x   ;262.750  x   ;
;08.03.;SA;5;6;1;0;3;6;8;14.898.867,00   ;JP;;993.754,40   ;9  x   ;126  x   ;971  x   ;10.667  x   ;104.719  x   ;1.034.280  x   ;
11.;12.03.;MI;6;8;9;5;6;7;7;4.640.250,00   ;1  x   ;1.270.000,00   ;33.259,10   ;3  x   ;37  x   ;341  x   ;3.368  x   ;36.397  x   ;289.341  x   ;
;15.03.;SA;0;3;9;6;8;4;7;14.803.647,00   ;JP;;1.020.662,40   ;13  x   ;104  x   ;874  x   ;9.628  x   ;97.752  x   ;938.451  x   ;
12.;19.03.;MI;5;0;2;6;1;3;0;4.748.698,50   ;JP;;1.337.400,60   ;3  x   ;26  x   ;232  x   ;2.262  x   ;22.614  x   ;230.704  x   ;
;22.03.;SA;4;8;1;8;4;0;0;14.985.442,50   ;2  x   ;1.070.000,00   ;196.929,60   ;13  x   ;75  x   ;742  x   ;7.248  x   ;74.927  x   ;714.265  x   ;
13.;26.03.;MI;1;6;4;8;0;3;6;5.325.937,50   ;JP;;552.169,60   ;2  x   ;36  x   ;386  x   ;3.265  x   ;35.843  x   ;342.820  x   ;
;29.03.;SA;6;9;0;9;6;3;6;14.623.455,00   ;3  x   ;470.000,00   ;117.554,00   ;10  x   ;93  x   ;1.027  x   ;9.695  x   ;95.980  x   ;919.584  x   ;
14.;02.04.;MI;2;4;3;4;8;6;6;4.983.703,50   ;JP;;449.967,00   ;5  x   ;40  x   ;327  x   ;3.340  x   ;34.454  x   ;320.457  x   ;
;05.04.;SA;4;4;3;4;7;0;1;15.173.716,50   ;JP;;1.462.053,90   ;10  x   ;82  x   ;766  x   ;7.314  x   ;72.908  x   ;794.268  x   ;
15.;09.04.;MI;6;1;1;4;3;5;5;4.699.920,00   ;2  x   ;870.000,00   ;35.538,60   ;1  x   ;36  x   ;359  x   ;3.512  x   ;36.137  x   ;312.045  x   ;
;12.04.;SA;9;6;8;8;8;5;7;14.604.483,00   ;1  x   ;970.000,00   ;39.657,60   ;6  x   ;84  x   ;934  x   ;9.619  x   ;95.138  x   ;940.275  x   ;
16.;16.04.;MI;6;1;3;1;5;8;1;4.597.060,50   ;JP;;346.281,50   ;4  x   ;20  x   ;220  x   ;2.407  x   ;24.092  x   ;250.592  x   ;
;19.04.;SA;6;3;4;6;7;4;6;14.478.054,00   ;1  x   ;1.270.000,00   ;41.967,70   ;8  x   ;101  x   ;965  x   ;9.819  x   ;95.538  x   ;914.627  x   ;
