Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 53. Veranstaltung 1992;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
VA;1992;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
;;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;04.01.;5;0;7;2;3;9;3;24.955.675,00;JP;;7.598.682,90   ;13 x           ;108 x         ;901 x         ;8.925 x        ;89.774 x    ;903.134 x    ;;;;
2.;11.01.;0;2;7;5;8;1;1;29.390.317,50;1 x;9.677.777,00   ;10.557,50   ;14 x           ;113 x         ;1.052 x         ;10.386 x        ;103.901 x    ;1.024.658 x    ;;;;
3.;18.01.;2;4;0;2;5;3;9;25.103.502,50;2 x;877.777,00   ;39.862,50   ;11 x           ;97 x         ;966 x         ;9.327 x        ;92.206 x    ;912.279 x    ;;;;
4.;25.01.;0;9;0;1;5;5;6;24.614.400,00;2 x;877.777,00   ;34.392,30   ;9 x           ;95 x         ;858 x         ;8.934 x        ;90.961 x    ;904.940 x    ;;;;
5.;01.02.;8;7;5;3;7;4;9;24.892.545,00;4 x;377.777,00   ;293.144,20   ;10 x           ;103 x         ;926 x         ;9.260 x        ;91.348 x    ;901.272 x    ;;;;
6.;08.02.;2;8;4;9;4;5;5;25.636.530,00;JP;;2.115.901,50   ;12 x           ;84 x         ;920 x         ;9.364 x        ;93.884 x    ;934.115 x    ;;;;
7.;15.02.;8;8;1;6;4;2;7;24.774.172,50;1 x;3.777.777,00   ;99.568,20   ;10 x           ;109 x         ;1.003 x         ;9.298 x        ;93.111 x    ;925.409 x    ;;;;
8.;22.02.;8;6;0;0;6;4;6;24.580.652,00;JP;;1.847.252,60   ;6 x           ;78 x         ;918 x         ;9.242 x        ;90.768 x    ;893.742 x    ;;;;
9.;29.02.;0;6;1;4;4;0;7;24.461.402,50;JP;;3.586.458,30   ;3 x           ;93 x         ;817 x         ;8.643 x        ;86.166 x    ;903.956 x    ;;;;
10.;07.03.;2;4;2;7;4;5;3;24.133.915,00;JP;;5.302.379,70   ;8 x           ;101 x         ;883 x         ;8.710 x        ;88.141 x    ;878.646 x    ;;;;
11.;14.03.;4;6;5;4;2;2;8;26.192.737,50;1 x;7.077.777,00   ;86.906,30   ;6 x           ;84 x         ;979 x         ;9.587 x        ;97.872 x    ;964.549 x    ;;;;
12.;21.03.;3;2;7;7;5;4;8;30.961.617,50;1 x;2.277.777,00   ;10.500,30   ;13 x           ;102 x         ;1.121 x         ;11.004 x        ;111.373 x    ;1.095.579 x    ;;;;
13.;28.03.;8;4;9;3;3;2;2;29.094.652,50;1 x;2.077.777,00   ;1.353,10   ;8 x           ;99 x         ;1.078 x         ;10.258 x        ;103.543 x    ;1.038.857 x    ;;;;
14.;04.04.;4;9;2;3;3;8;1;26.662.527,50;1 x;1.877.777,00   ;97.951,80   ;6 x           ;89 x         ;896 x         ;9.230 x        ;93.422 x    ;938.930 x    ;;;;
15.;11.04.;1;8;1;0;6;1;6;24.346.987,50;1 x;1.777.777,00   ;51.245,60   ;7 x           ;96 x         ;861 x         ;9.139 x        ;88.989 x    ;891.026 x    ;;;;
16.;18.04.;0;3;3;8;6;8;6;23.386.825,00;JP;;1.714.048,90   ;8 x           ;73 x         ;797 x         ;8.196 x        ;82.801 x    ;821.163 x    ;;;;
17.;25.04.;0;5;5;1;3;8;1;22.992.017,50;2 x;1.577.777,00   ;193.227,30   ;9 x           ;85 x         ;776 x         ;8.035 x        ;80.062 x    ;810.042 x    ;;;;
18.;02.05.;2;8;7;7;1;7;8;22.146.297,50;JP;;1.767.829,10   ;10 x           ;96 x         ;877 x         ;8.115 x        ;81.951 x    ;814.574 x    ;;;;
19.;09.05.;0;2;5;0;8;1;8;26.594.220,00;1 x;3.577.777,00   ;80.901,10   ;5 x           ;91 x         ;922 x         ;9.233 x        ;95.199 x    ;944.751 x    ;;;;
20.;16.05.;6;7;5;5;8;0;6;22.805.457,50;JP;;1.702.369,10   ;9 x           ;90 x         ;831 x         ;7.965 x        ;80.370 x    ;843.213 x    ;;;;
21.;23.05.;4;4;1;3;0;2;9;21.879.950,00;3 x;1.077.777,00   ;24.702,50   ;6 x           ;76 x         ;806 x         ;7.718 x        ;80.872 x    ;797.401 x    ;;;;
22.;30.05.;0;1;8;9;7;0;9;21.284.745,00;1 x;1.477.777,00   ;60.270,90   ;8 x           ;73 x         ;717 x         ;7.363 x        ;71.626 x    ;750.381 x    ;;;;
23.;06.06.;4;0;3;4;8;3;0;22.278.325,00;1 x;1.577.777,00   ;66.482,80   ;10 x           ;72 x         ;754 x         ;7.569 x        ;75.580 x    ;756.953 x    ;;;;
24.;13.06.;5;1;9;7;3;7;8;21.495.152,50;JP;;1.594.788,10   ;8 x           ;67 x         ;767 x         ;7.790 x        ;79.738 x    ;794.614 x    ;;;;
25.;20.06.;1;4;7;9;8;1;5;21.066.662,50;2 x;1.477.777,00   ;137.073,80   ;6 x           ;57 x         ;771 x         ;7.759 x        ;76.623 x    ;767.852 x    ;;;;
