Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1988;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
VA;1988;Gewinnzahl;;;;;;End-;Spieleinsatz;Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
;;;;;;;;ziffer;DM;ab 2 x 177.777,70 DM;;DM;2 x 77.777,70 DM;2 x 7.777,70 DM;2 x 777,70 DM;2 x 77,70 DM;2 x 7,70 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;09.01.;4;3;9;0;8;9;9;15.191.294,00;JP;;1.557.853,10   ;5 x           ;56 x         ;688 x         ;6.831 x        ;67.945 x    ;;;;
2.;16.01.;4;8;8;9;6;7;4;15.214.478,00;2 x;1.355.555,40   ;28.907,20   ;3 x           ;68 x         ;719 x         ;6.904 x        ;69.023 x    ;;;;
3.;23.01.;4;6;5;6;3;4;5;24.027.896,00;1 x;1.755.555,40   ;140.319,30   ;10 x           ;106 x         ;1.082 x         ;10.821 x        ;107.129 x    ;;;;
4.;30.01.;0;0;2;3;1;2;6;17.256.000,00;1 x;1.355.555,40   ;125.555,10   ;9 x           ;99 x         ;813 x         ;8.091 x        ;79.956 x    ;;;;
5.;06.02.;0;5;5;5;7;5;0;17.063.050,00;JP;;1.451.354,10   ;7 x           ;72 x         ;794 x         ;7.734 x        ;75.434 x    ;;;;
6.;13.02.;8;0;0;4;6;5;3;20.638.802,00;2 x;1.355.555,40   ;343.878,20   ;12 x           ;87 x         ;942 x         ;9.169 x        ;91.067 x    ;;;;
7.;20.02.;7;0;5;5;7;0;3;16.338.000,00;JP;;1.613.340,80   ;10 x           ;64 x         ;692 x         ;7.005 x        ;69.509 x    ;;;;
8.;27.02.;0;8;6;9;2;0;6;15.958.582,00;JP;;2.853.322,60   ;3 x           ;76 x         ;684 x         ;7.118 x        ;68.624 x    ;;;;
