Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 53. Veranstaltung 1998;;;;;Spiel 77 Samstag;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;Alle Zahlenangaben ohne Gewähr;
;;;;;;;;;;;;;;;;;;;;;;;;
VA;1998;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;;VA;
;;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;;
26.;27.06.;7;5;9;0;8;7;4;26.194.152,50;JP;;1.918.059,60   ;9  x  ;101  x  ;935  x  ;9.251  x  ;92.016  x  ;925.669  x  ;;;;;26.;
27.;04.07.;7;2;1;0;3;2;8;26.818.365,00;1  x  ;3.777.777,00   ;47.068,40   ;10  x  ;90  x  ;1.016  x  ;10.415  x  ;102.845  x  ;1.019.671  x  ;;;;;27.;3.777.777,00
28.;11.07.;4;8;4;7;0;1;8;27.806.702,50;2  x  ;977.777,00   ;68.570,90   ;5  x  ;96  x  ;1.027  x  ;10.111  x  ;103.409  x  ;1.056.929  x  ;;;;;28.;1.955.554,00
29.;18.07.;4;7;4;1;6;7;5;28.533.755,00;1  x  ;2.077.777,00   ;19.543,90   ;6  x  ;132  x  ;1.114  x  ;11.060  x  ;109.242  x  ;1.068.691  x  ;;;;;29.;2.077.777,00
30.;25.07.;3;9;3;2;0;2;9;30.742.280,00;JP;;2.205.320,00   ;12  x  ;100  x  ;1.039  x  ;10.814  x  ;111.259  x  ;1.101.216  x  ;;;;;30.;
31.;01.08.;0;9;8;6;2;7;4;39.289.787,50;1  x  ;4.977.777,00   ;21.046,90   ;12  x  ;148  x  ;1.406  x  ;14.038  x  ;139.015  x  ;1.392.328  x  ;;;;;31.;4.977.777,00
32.;08.08.;9;4;2;4;8;1;4;52.754.145,00;4  x  ;877.777,00   ;260.758,60   ;20  x  ;176  x  ;1.816  x  ;18.772  x  ;184.775  x  ;1.880.367  x  ;;;;;32.;3.511.108,00
33.;15.08.;1;9;1;9;9;9;3;30.124.472,50;1  x  ;2.377.777,00   ;24.831,60   ;8  x  ;86  x  ;948  x  ;10.328  x  ;107.265  x  ;1.088.987  x  ;;;;;33.;2.377.777,00
34.;22.08.;7;9;1;7;1;8;8;28.930.877,50;1  x  ;2.077.777,00   ;4.040,00   ;11  x  ;103  x  ;1.067  x  ;11.151  x  ;113.306  x  ;1.132.261  x  ;;;;;34.;2.077.777,00
35.;29.08.;2;5;1;7;6;4;4;29.224.605,00;3  x  ;677.777,00   ;48.578,40   ;18  x  ;105  x  ;1.082  x  ;10.466  x  ;106.835  x  ;1.044.580  x  ;;;;;35.;2.033.331,00
36.;05.09.;2;8;7;1;3;8;0;32.684.617,50;1  x  ;2.277.777,00   ;94.677,70   ;8  x  ;103  x  ;1.033  x  ;10.086  x  ;99.865  x  ;1.017.432  x  ;;;;;36.;2.277.777,00
37.;12.09.;8;8;5;0;8;3;0;29.020.602,50;1  x  ;2.077.777,00   ;80.265,50   ;5  x  ;78  x  ;910  x  ;8.820  x  ;90.100  x  ;897.567  x  ;;;;;37.;2.077.777,00
38.;19.09.;6;1;8;1;3;4;5;29.310.435,00;3  x  ;677.777,00   ;130.906,40   ;8  x  ;111  x  ;1.154  x  ;11.283  x  ;111.558  x  ;1.087.175  x  ;;;;;38.;2.033.331,00
39.;26.09.;8;1;3;1;3;3;8;30.462.215,00;JP;;2.296.769,90   ;6  x  ;92  x  ;1.202  x  ;11.805  x  ;122.101  x  ;1.195.936  x  ;;;;;39.;
40.;03.10.;7;0;6;5;4;0;9;27.492.135,00;JP;;4.251.460,70   ;10  x  ;84  x  ;819  x  ;8.875  x  ;87.012  x  ;994.965  x  ;;;;;40.;
