Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2004;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
5.;28.01.;MI;4;0;7;1;4;0;6;5.274.448,50   ;JP;;449.169,90   ;3  x   ;28  x   ;318  x   ;3.026  x   ;31.451  x   ;354.944  x   ;;;;
;31.01.;SA;4;5;4;0;5;5;6;15.175.033,50   ;1  x   ;1.370.000,00   ;91.344,60   ;12  x   ;97  x   ;962  x   ;9.580  x   ;102.060  x   ;975.169  x   ;;;;
6.;04.02.;MI;5;0;3;6;6;4;5;5.506.641,00   ;JP;;458.637,60   ;4  x   ;57  x   ;358  x   ;3.804  x   ;37.302  x   ;361.809  x   ;;;;
;07.02.;SA;8;2;5;9;1;7;8;15.948.439,50   ;JP;;1.522.398,50   ;16  x   ;116  x   ;1.095  x   ;11.352  x   ;111.111  x   ;1.091.693  x   ;;;;
7.;11.02.;MI;5;0;5;5;0;4;5;5.124.295,50   ;1  x   ;1.770.000,00   ;94.189,00   ;unbesetzt;28  x   ;356  x   ;3.275  x   ;35.647  x   ;335.960  x   ;;;;
;14.02.;SA;2;0;7;1;5;4;7;15.195.384,00   ;1  x   ;1.070.000,00   ;37.721,10   ;12  x   ;102  x   ;1.027  x   ;10.445  x   ;102.238  x   ;991.984  x   ;;;;
8.;18.02.;MI;9;6;2;0;0;7;6;4.959.274,50   ;1  x   ;270.000,00   ;98.504,70   ;5  x   ;32  x   ;292  x   ;3.194  x   ;33.209  x   ;338.142  x   ;;;;
;21.02.;SA;2;0;3;1;9;4;0;14.436.000,00   ;JP;;1.061.385,90   ;7  x   ;79  x   ;711  x   ;6.786  x   ;67.674  x   ;679.883  x   ;;;;
9.;25.02.;MI;7;8;8;4;0;0;6;4.925.242,50   ;JP;;1.389.899,60   ;4  x   ;25  x   ;305  x   ;2.958  x   ;30.218  x   ;341.808  x   ;;;;
;28.02.;SA;5;2;2;6;5;1;5;14.612.902,50   ;1  x   ;2.270.000,00   ;94.580,20   ;9  x   ;96  x   ;952  x   ;9.914  x   ;95.529  x   ;990.314  x   ;;;;
10.;03.03.;MI;9;1;4;5;6;2;6;5.449.818,00   ;JP;;458.083,10   ;2  x   ;37  x   ;383  x   ;3.751  x   ;37.052  x   ;374.307  x   ;;;;
;06.03.;SA;6;0;4;9;0;0;5;15.627.078,00   ;1  x   ;1.470.000,00   ;30.409,20   ;3  x   ;82  x   ;766  x   ;7.977  x   ;91.256  x   ;1.063.559  x   ;;;;
11.;10.03.;MI;3;1;0;7;5;7;8;4.945.233,00   ;JP;;360.256,20   ;2  x   ;40  x   ;327  x   ;3.359  x   ;33.423  x   ;331.024  x   ;;;;
;13.03.;SA;3;4;5;1;2;3;0;14.783.881,50   ;3  x   ;370.000,00   ;236.341,10   ;4  x   ;68  x   ;675  x   ;7.044  x   ;69.444  x   ;699.097  x   ;;;;
12.;17.03.;MI;9;5;6;5;1;5;8;5.178.895,50   ;JP;;581.773,40   ;3  x   ;28  x   ;376  x   ;3.421  x   ;35.273  x   ;345.492  x   ;;;;
;20.03.;SA;7;9;6;1;7;5;2;15.598.596,00   ;1  x   ;1.570.000,00   ;52.199,80   ;10  x   ;76  x   ;825  x   ;8.526  x   ;83.953  x   ;815.041  x   ;;;;
13.;24.03.;MI;5;5;0;1;9;9;5;4.891.606,50   ;JP;;378.470,00   ;5  x   ;24  x   ;311  x   ;3.019  x   ;31.520  x   ;333.633  x   ;;;;
;27.03.;SA;7;9;5;5;2;6;6;14.427.318,00   ;1  x   ;1.270.000,00   ;70.772,10   ;11  x   ;98  x   ;880  x   ;9.797  x   ;99.533  x   ;938.327  x   ;;;;
14.;31.03.;MI;8;7;1;8;9;0;0;4.755.934,50   ;1  x   ;370.000,00   ;17.992,90   ;1  x   ;21  x   ;237  x   ;2.499  x   ;26.683  x   ;224.716  x   ;;;;
;03.04.;SA;3;9;2;4;8;4;7;14.265.159,00   ;3  x   ;270.000,00   ;159.479,00   ;8  x   ;97  x   ;1.022  x   ;9.652  x   ;97.027  x   ;929.415  x   ;;;;
15.;07.04.;MI;2;9;7;6;8;7;1;5.153.053,50   ;JP;;503.187,70   ;2  x   ;33  x   ;276  x   ;2.785  x   ;27.118  x   ;275.322  x   ;;;;
;10.04.;SA;4;4;7;1;2;5;5;15.153.538,50   ;3  x   ;470.000,00   ;103.928,70   ;6  x   ;128  x   ;1.147  x   ;11.016  x   ;110.322  x   ;1.025.519  x   ;;;;
16.;14.04.;MI;4;7;5;4;7;7;0;4.694.527,50   ;JP;;417.053,70   ;3  x   ;21  x   ;214  x   ;2.317  x   ;22.529  x   ;229.441  x   ;;;;
;17.04.;SA;8;0;4;3;0;6;2;14.092.339,50   ;JP;;1.357.012,70   ;11  x   ;60  x   ;681  x   ;7.205  x   ;74.664  x   ;731.633  x   ;;;;
17.;21.04.;MI;3;8;6;1;4;4;3;4.629.045,00   ;1  x   ;1.570.000,00   ;95.770,00   ;2  x   ;40  x   ;275  x   ;2.781  x   ;28.604  x   ;282.762  x   ;;;;
;24.04.;SA;2;3;4;5;2;3;7;13.973.625,00   ;1  x   ;970.000,00   ;57.810,80   ;5  x   ;93  x   ;893  x   ;9.151  x   ;90.794  x   ;915.774  x   ;;;;
18.;28.04.;MI;3;4;4;6;4;5;4;4.947.939,00   ;1  x   ;370.000,00   ;17.838,30   ;unbesetzt;33  x   ;318  x   ;3.037  x   ;30.456  x   ;282.140  x   ;;;;
;01.05.;SA;1;7;8;9;9;7;2;14.075.499,00   ;1  x   ;870.000,00   ;86.674,10   ;3  x   ;74  x   ;694  x   ;7.609  x   ;73.631  x   ;734.015  x   ;;;;
19.;05.05.;MI;5;1;0;5;7;1;1;4.667.902,50   ;1  x   ;370.000,00   ;28.023,20   ;4  x   ;28  x   ;272  x   ;2.600  x   ;26.845  x   ;243.490  x   ;;;;
;08.05.;SA;8;8;9;3;9;3;8;14.280.108,00   ;1  x   ;970.000,00   ;10.506,40   ;11  x   ;108  x   ;1.030  x   ;10.217  x   ;100.908  x   ;968.669  x   ;;;;
20.;12.05.;MI;4;0;3;5;1;6;9;4.977.468,00   ;JP;;342.503,50   ;4  x   ;28  x   ;281  x   ;2.916  x   ;29.283  x   ;286.919  x   ;;;;
;15.05.;SA;9;0;2;2;3;8;0;14.060.920,50   ;JP;;1.280.366,90   ;7  x   ;73  x   ;702  x   ;6.758  x   ;66.482  x   ;672.823  x   ;;;;
21.;19.05.;MI;5;3;1;7;5;5;7;4.893.690,00   ;1  x   ;1.570.000,00   ;36.776,00   ;2  x   ;28  x   ;324  x   ;3.123  x   ;32.524  x   ;319.449  x   ;;;;
;22.05.;SA;9;4;3;5;8;6;7;13.893.334,50   ;1  x   ;870.000,00   ;93.461,40   ;9  x   ;108  x   ;928  x   ;9.107  x   ;89.750  x   ;916.077  x   ;;;;
22.;26.05.;MI;7;4;0;0;8;7;8;5.410.318,50   ;JP;;454.329,60   ;2  x   ;33  x   ;356  x   ;3.722  x   ;36.243  x   ;356.266  x   ;;;;
;29.05.;SA;0;2;6;6;7;8;8;16.131.612,00   ;1  x   ;1.470.000,00   ;60.308,10   ;6  x   ;93  x   ;1.060  x   ;10.661  x   ;108.290  x   ;1.087.852  x   ;;;;
23.;02.06.;MI;3;4;8;3;8;3;5;4.765.267,50   ;JP;;378.151,40   ;1  x   ;35  x   ;303  x   ;3.353  x   ;34.189  x   ;330.099  x   ;;;;
;05.06.;SA;2;8;1;6;3;4;6;14.096.940,00   ;1  x   ;1.270.000,00   ;48.417,30   ;14  x   ;98  x   ;928  x   ;9.462  x   ;94.072  x   ;905.690  x   ;;;;
24.;09.06.;MI;5;3;7;8;7;7;4;4.664.154,00   ;JP;;359.516,40   ;4  x   ;26  x   ;244  x   ;2.443  x   ;26.041  x   ;262.591  x   ;;;;
;12.06.;SA;5;6;8;3;8;6;7;13.591.450,50   ;JP;;1.266.066,10   ;9  x   ;89  x   ;905  x   ;9.104  x   ;89.398  x   ;904.483  x   ;;;;
25.;16.06.;MI;0;3;6;4;0;3;5;4.548.615,00   ;2  x   ;770.000,00   ;29.458,70   ;3  x   ;34  x   ;345  x   ;3.029  x   ;33.213  x   ;315.663  x   ;;;;
;19.06.;SA;9;1;4;4;9;2;4;14.222.820,00   ;1  x   ;970.000,00   ;8.120,80   ;8  x   ;71  x   ;863  x   ;8.153  x   ;82.204  x   ;806.176  x   ;;;;
26.;23.06.;MI;1;4;5;0;8;1;1;4.909.134,00   ;JP;;335.560,00   ;2  x   ;25  x   ;278  x   ;2.665  x   ;28.257  x   ;257.869  x   ;;;;
;26.06.;SA;7;3;9;2;1;6;7;14.698.417,50   ;JP;;1.315.944,40   ;13  x   ;100  x   ;963  x   ;9.831  x   ;98.226  x   ;982.019  x   ;;;;
;;;;;;;;Gewinne Gesamt;;;39   ;;;307   ;3.265   ;32.180   ;323.963   ;3.245.326   ;32.134.033   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 53. Kalenderwoche 2004;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2004;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
27.;30.06.;MI;2;6;7;1;0;6;8;4.693.831,50   ;1  x   ;1.570.000,00   ;59.023,00   ;1  x   ;31  x   ;317  x   ;2.979  x   ;32.037  x   ;316.363  x   ;;;;
;03.07.;SA;0;7;4;9;9;5;2;14.095.839,00   ;2  x   ;470.000,00   ;59.215,50   ;9  x   ;84  x   ;757  x   ;7.791  x   ;76.388  x   ;734.986  x   ;;;;
28.;07.07.;MI;9;6;7;7;6;7;8;4.966.417,50   ;JP;;390.475,50   ;3  x   ;49  x   ;341  x   ;3.570  x   ;34.071  x   ;332.640  x   ;;;;
;10.07.;SA;7;1;9;9;2;7;1;14.947.068,00   ;2  x   ;670.000,00   ;47.444,90   ;7  x   ;82  x   ;808  x   ;7.803  x   ;78.173  x   ;777.435  x   ;;;;
29.;14.07.;MI;2;3;1;2;4;4;7;4.705.585,50   ;JP;;361.307,50   ;3  x   ;40  x   ;310  x   ;3.201  x   ;32.290  x   ;312.952  x   ;;;;
;17.07.;SA;1;3;4;5;4;0;7;13.863.681,00   ;2  x   ;570.000,00   ;146.015,00   ;6  x   ;68  x   ;851  x   ;7.983  x   ;80.387  x   ;948.310  x   ;;;;
30.;21.07.;MI;4;7;9;8;3;4;7;4.512.820,50   ;JP;;447.020,10   ;4  x   ;42  x   ;312  x   ;3.095  x   ;31.257  x   ;300.620  x   ;;;;
;24.07.;SA;1;1;3;8;3;4;1;13.635.874,50   ;JP;;1.356.532,90   ;5  x   ;60  x   ;709  x   ;7.287  x   ;70.027  x   ;709.189  x   ;;;;
31.;28.07.;MI;2;7;5;6;8;2;9;4.476.699,00   ;JP;;1.655.128,70   ;4  x   ;28  x   ;258  x   ;2.561  x   ;25.533  x   ;254.602  x   ;;;;
;31.07.;SA;7;5;7;3;8;6;9;13.763.254,50   ;1  x   ;2.570.000,00   ;3.137,80   ;6  x   ;93  x   ;858  x   ;8.437  x   ;85.193  x   ;816.656  x   ;;;;
32.;04.08.;MI;8;8;7;7;1;3;0;4.516.378,50   ;JP;;304.380,20   ;2  x   ;19  x   ;200  x   ;2.242  x   ;21.302  x   ;217.913  x   ;;;;
;07.08.;SA;6;4;1;6;7;2;7;13.496.971,50   ;2  x   ;570.000,00   ;64.628,20   ;7  x   ;81  x   ;1.022  x   ;9.423  x   ;91.457  x   ;915.949  x   ;;;;
33.;11.08.;MI;7;7;7;2;8;5;8;4.782.720,00   ;JP;;383.635,60   ;1  x   ;42  x   ;344  x   ;3.365  x   ;33.104  x   ;323.658  x   ;;;;
;14.08.;SA;1;7;9;2;6;8;7;14.887.828,50   ;1  x   ;1.370.000,00   ;6.653,80   ;11  x   ;95  x   ;986  x   ;9.920  x   ;96.109  x   ;1.012.884  x   ;;;;
34.;18.08.;MI;1;8;6;8;6;7;7;5.862.184,50   ;1  x   ;370.000,00   ;27.661,50   ;3  x   ;40  x   ;449  x   ;4.574  x   ;46.778  x   ;388.133  x   ;;;;
;21.08.;SA;1;4;1;0;9;1;3;13.792.950,00   ;JP;;947.651,30   ;11  x   ;83  x   ;927  x   ;9.905  x   ;98.891  x   ;818.191  x   ;;;;
35.;25.08.;MI;2;3;6;0;0;7;3;4.794.373,50   ;JP;;1.267.436,00   ;4  x   ;17  x   ;218  x   ;2.684  x   ;28.859  x   ;291.069  x   ;;;;
;28.08.;SA;7;6;4;0;8;8;4;13.510.153,50   ;2  x   ;1.070.000,00   ;28.563,20   ;9  x   ;74  x   ;716  x   ;7.264  x   ;75.231  x   ;764.150  x   ;;;;
36.;01.09.;MI;4;4;1;4;3;9;4;4.601.181,00   ;JP;;335.462,00   ;1  x   ;24  x   ;265  x   ;2.380  x   ;24.315  x   ;259.882  x   ;;;;
;04.09.;SA;8;3;8;2;3;5;0;13.718.386,50   ;1  x   ;1.170.000,00   ;80.478,40   ;7  x   ;78  x   ;695  x   ;6.520  x   ;66.518  x   ;644.012  x   ;;;;
37.;08.09.;MI;1;6;5;5;4;8;0;4.926.466,50   ;JP;;409.073,70   ;4  x   ;22  x   ;211  x   ;2.244  x   ;23.260  x   ;236.884  x   ;;;;
;11.09.;SA;1;3;0;3;3;7;0;14.717.400,00   ;1  x   ;1.370.000,00   ;20.724,30   ;5  x   ;62  x   ;700  x   ;6.832  x   ;69.281  x   ;700.249  x   ;;;;
38.;15.09.;MI;6;9;3;4;0;4;0;5.192.016,00   ;JP;;367.031,80   ;3  x   ;19  x   ;257  x   ;2.419  x   ;25.298  x   ;253.733  x   ;;;;
;18.09.;SA;9;8;9;3;6;5;5;14.948.634,00   ;1  x   ;1.270.000,00   ;94.105,70   ;10  x   ;97  x   ;1.114  x   ;10.416  x   ;108.994  x   ;1.008.247  x   ;;;;
39.;22.09.;MI;4;1;7;0;7;3;8;4.622.383,50   ;JP;;402.418,70   ;3  x   ;40  x   ;295  x   ;3.227  x   ;31.951  x   ;310.396  x   ;;;;
;25.09.;SA;2;6;4;9;2;7;8;13.815.349,50   ;1  x   ;1.270.000,00   ;53.902,50   ;18  x   ;91  x   ;958  x   ;9.572  x   ;97.617  x   ;936.810  x   ;;;;
40.;29.09.;MI;2;4;0;1;0;3;6;4.897.320,00   ;JP;;380.553,70   ;9  x   ;27  x   ;341  x   ;3.177  x   ;32.779  x   ;317.791  x   ;;;;
;02.10.;SA;1;4;9;9;2;9;9;14.948.296,50   ;1  x   ;1.370.000,00   ;7.605,10   ;9  x   ;82  x   ;856  x   ;8.766  x   ;90.246  x   ;897.391  x   ;;;;
41.;06.10.;MI;2;8;5;8;7;5;7;6.234.286,50   ;2  x   ;170.000,00   ;83.432,00   ;5  x   ;42  x   ;456  x   ;4.310  x   ;42.612  x   ;420.684  x   ;;;;
;09.10.;SA;9;6;8;3;0;2;2;17.409.610,50   ;1  x   ;1.170.000,00   ;74.653,00   ;9  x   ;100  x   ;863  x   ;9.254  x   ;94.021  x   ;939.064  x   ;;;;
42.;13.10.;MI;4;9;6;5;4;3;4;5.052.207,00   ;2  x   ;170.000,00   ;71.635,20   ;2  x   ;37  x   ;315  x   ;2.946  x   ;28.922  x   ;286.764  x   ;;;;
;16.10.;SA;6;1;7;5;6;3;1;14.241.952,50   ;1  x   ;970.000,00   ;51.573,40   ;12  x   ;86  x   ;718  x   ;7.649  x   ;75.667  x   ;749.878  x   ;;;;
43.;20.10.;MI;4;4;8;8;3;7;2;4.668.205,50   ;JP;;362.942,70   ;1  x   ;32  x   ;239  x   ;2.477  x   ;24.641  x   ;249.376  x   ;;;;
;23.10.;SA;5;4;0;1;0;4;3;13.842.429,00   ;1  x   ;1.270.000,00   ;16.232,70   ;14  x   ;78  x   ;806  x   ;7.915  x   ;84.666  x   ;835.555  x   ;;;;
44.;27.10.;MI;4;5;5;3;0;2;6;4.556.875,50   ;1  x   ;270.000,00   ;50.176,30   ;2  x   ;39  x   ;316  x   ;2.774  x   ;29.985  x   ;298.998  x   ;;;;
;30.10.;SA;2;3;6;3;7;8;0;14.060.529,00   ;2  x   ;470.000,00   ;48.013,60   ;7  x   ;56  x   ;701  x   ;6.579  x   ;66.920  x   ;672.210  x   ;;;;
45.;03.11.;MI;3;2;0;6;0;8;3;4.596.444,00   ;1  x   ;270.000,00   ;84.596,40   ;1  x   ;37  x   ;249  x   ;2.401  x   ;26.342  x   ;281.042  x   ;;;;
;06.11.;SA;7;3;9;0;3;7;6;13.910.794,50   ;JP;;1.012.446,40   ;8  x   ;81  x   ;856  x   ;9.023  x   ;89.474  x   ;904.226  x   ;;;;
46.;10.11.;MI;7;2;0;1;1;1;1;4.551.051,00   ;2  x   ;570.000,00   ;176.001,50   ;5  x   ;38  x   ;460  x   ;2.976  x   ;26.319  x   ;241.774  x   ;;;;
;13.11.;SA;3;4;9;3;5;5;1;13.790.505,00   ;JP;;1.095.808,20   ;6  x   ;67  x   ;754  x   ;7.498  x   ;74.885  x   ;721.892  x   ;;;;
47.;17.11.;MI;5;6;7;6;9;3;5;4.846.809,00   ;1  x   ;1.370.000,00   ;49.110,40   ;8  x   ;44  x   ;343  x   ;3.391  x   ;34.034  x   ;323.205  x   ;;;;
;20.11.;SA;9;8;7;1;1;1;4;13.424.700,00   ;1  x   ;870.000,00   ;74.537,90   ;6  x   ;71  x   ;682  x   ;6.987  x   ;74.082  x   ;764.178  x   ;;;;
48.;24.11.;MI;8;3;8;8;2;5;4;4.638.265,50   ;JP;;383.910,20   ;4  x   ;31  x   ;258  x   ;2.792  x   ;28.275  x   ;260.574  x   ;;;;
;27.11.;SA;9;8;1;1;3;4;8;14.076.892,50   ;1  x   ;1.270.000,00   ;52.838,90   ;8  x   ;79  x   ;1.081  x   ;9.949  x   ;100.639  x   ;948.732  x   ;;;;
49.;01.12.;MI;2;0;0;9;6;7;3;6.490.006,50   ;JP;;485.722,30   ;4  x   ;37  x   ;388  x   ;4.006  x   ;39.533  x   ;398.957  x   ;;;;
;04.12.;SA;3;6;7;3;6;6;9;18.010.761,00   ;JP;;1.687.040,10   ;9  x   ;123  x   ;1.103  x   ;11.162  x   ;112.440  x   ;1.079.053  x   ;;;;
50.;08.12.;MI;6;5;8;5;3;0;5;8.269.161,00   ;1  x   ;2.170.000,00   ;68.593,10   ;4  x   ;53  x   ;481  x   ;4.732  x   ;47.705  x   ;545.611  x   ;;;;
;11.12.;SA;1;9;8;6;0;0;1;22.370.070,00   ;3  x   ;470.000,00   ;150.676,80   ;4  x   ;121  x   ;1.054  x   ;10.991  x   ;114.249  x   ;1.227.590  x   ;;;;
51.;15.12.;MI;5;6;5;0;0;2;4;17.943.270,00   ;;;1.347.492,90   ;10  x   ;100  x   ;995  x   ;10.814  x   ;110.805  x   ;1.078.833  x   ;;;;
;18.12.;SA;3;4;9;5;8;3;5;17.104.807,50   ;;;2.488.383,60   ;17  x   ;112  x   ;1.186  x   ;11.816  x   ;116.975  x   ;1.140.113  x   ;;;;
52.;22.12.;MI;7;8;7;8;7;7;6;5.832.948,00   ;2  x   ;1.370.000,00   ;137.441,20   ;1  x   ;34  x   ;362  x   ;3.652  x   ;37.672  x   ;378.487  x   ;;;;
;25.12.;SA;7;4;0;9;0;9;8;14.715.189,00   ;JP;;1.118.944,30   ;8  x   ;103  x   ;926  x   ;8.979  x   ;96.992  x   ;993.729  x   ;;;;
53.;29.12.;MI;3;6;9;7;9;5;4;5.649.532,50   ;JP;;1.495.768,10   ;3  x   ;40  x   ;372  x   ;3.355  x   ;35.000  x   ;325.887  x   ;;;;
;01.01.;SA;6;0;1;3;8;4;7;14.907.439,50   ;3  x   ;770.000,00   ;180.094,30   ;9  x   ;91  x   ;1.108  x   ;10.700  x   ;104.183  x   ;994.962  x   ;;;;
;;;;;;;;Gewinne Gesamt;;;44   ;;;332   ;3.302   ;33.147   ;328.765   ;3.324.384   ;32.862.469   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;
