Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2004;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2004;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;31.12.;MI;7;1;5;8;2;2;7;6.504.427,50   ;JP;;2.085.795,50   ;3  x   ;46  x   ;428  x   ;4.050  x   ;42.657  x   ;423.126  x   ;;;;
;03.01.;SA;4;5;9;5;1;9;4;15.229.822,00   ;1  x   ;3.070.000,00   ;31.624,60   ;9  x   ;89  x   ;891  x   ;8.649  x   ;86.468  x   ;880.953  x   ;;;;
2.;07.01.;MI;4;8;7;8;1;5;4;4.842.595,50   ;JP;;354.625,70   ;1  x   ;22  x   ;306  x   ;2.928  x   ;29.642  x   ;277.766  x   ;;;;
;10.01.;SA;2;3;7;0;5;1;6;14.605.849,50   ;2  x   ;570.000,00   ;188.835,90   ;11  x   ;101  x   ;856  x   ;9.363  x   ;89.955  x   ;936.213  x   ;;;;
3.;14.01.;MI;3;0;0;4;6;6;6;5.740.450,50   ;JP;;571.723,90   ;4  x   ;56  x   ;529  x   ;5.628  x   ;39.584  x   ;370.515  x   ;;;;
;17.01.;SA;5;5;0;6;0;5;4;16.674.732,00   ;2  x   ;770.000,00   ;143.928,50   ;8  x   ;106  x   ;1.018  x   ;9.795  x   ;102.585  x   ;970.903  x   ;;;;
4.;21.01.;MI;4;3;0;1;2;4;6;6.656.544,00   ;2  x   ;270.000,00   ;47.920,00   ;2  x   ;42  x   ;476  x   ;4.689  x   ;44.752  x   ;431.027  x   ;;;;
;24.01.;SA;6;3;8;0;4;7;8;18.282.522,00   ;1  x   ;1.170.000,00   ;97.364,20   ;17  x   ;113  x   ;1.218  x   ;12.437  x   ;124.037  x   ;1.234.472  x   ;;;;
