Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1978;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;;;;;;;;;;;
VA;1978;Gewinnzahl;;;;;;End-;Spieleinsatz;von 177.777,70 DM;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
;;;;;;;;ziffer;DM;bis 1.777.777,70 DM;;DM;77.777,70 DM;7.777,70 DM;777,70 DM;77,70 DM;7,70 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;07.01.;8;0;2;6;2;4;5;9.680.621,00     ;1 x;1.777.777,70   ;561.066,80   ;9 x           ;97 x         ;932 x         ;8.864 x        ;89.261 x    ;;;;
2.;14.01.;1;5;4;3;4;6;7;10.158.466,00     ;1 x;1.277.777,70   ;73.392,00   ;9 x           ;105 x         ;928 x         ;9.225 x        ;92.691 x    ;;;;
3.;21.01.;3;3;3;9;1;9;6;10.100.796,00     ;1 x;777.777,70   ;81.231,80   ;7 x           ;88 x         ;925 x         ;8.995 x        ;89.246 x    ;;;;
4.;28.01.;8;1;6;3;7;2;0;9.967.972,00     ;JP;;856.518,50   ;12 x           ;102 x         ;867 x         ;8.533 x        ;85.164 x    ;;;;
5.;04.02.;4;1;1;7;4;6;1;9.711.421,00     ;1 x;1.577.777,70   ;34.073,50   ;14 x           ;87 x         ;880 x         ;8.797 x        ;87.959 x    ;;;;
6.;11.02.;6;4;2;4;8;4;7;9.632.948,00     ;JP;;783.302,80   ;8 x           ;79 x         ;863 x         ;8.809 x        ;89.376 x    ;;;;
7.;18.02.;4;1;6;8;4;4;8;9.728.278,00     ;2 x;677.777,70   ;184.391,20   ;10 x           ;97 x         ;884 x         ;8.537 x        ;86.641 x    ;;;;
8.;25.02.;7;6;4;3;2;5;6;9.835.415,00     ;1 x;877.777,70   ;71.590,20   ;8 x           ;92 x         ;897 x         ;9.071 x        ;89.393 x    ;;;;
9.;04.03.;9;0;7;0;5;9;6;10.071.011,00     ;2 x;377.777,70   ;99.335,60   ;9 x           ;104 x         ;865 x         ;8.996 x        ;88.894 x    ;;;;
10.;11.03.;3;1;2;1;7;0;1;9.783.976,00     ;2 x;377.777,70   ;104.756,10   ;10 x           ;84 x         ;836 x         ;8.566 x        ;84.465 x    ;;;;
11.;18.03.;9;3;3;2;4;6;5;9.698.935,00     ;JP;;859.117,70   ;10 x           ;92 x         ;849 x         ;8.858 x        ;87.761 x    ;;;;
12.;25.03.;0;4;7;9;7;9;1;9.609.547,00     ;1 x;1.577.777,70   ;28.749,20   ;10 x           ;75 x         ;891 x         ;8.557 x        ;85.604 x    ;;;;
13.;01.04.;8;0;6;7;9;1;3;9.653.005,00     ;2 x;377.777,70   ;23.983,10   ;9 x           ;79 x         ;914 x         ;9.103 x        ;89.422 x    ;;;;
14.;08.04.;8;1;2;9;1;6;3;10.766.932,00     ;JP;;861.411,10   ;6 x           ;91 x         ;964 x         ;9.747 x        ;97.208 x    ;;;;
15.;15.04.;9;4;6;3;4;1;5;9.792.456,00     ;JP;;1.623.046,60   ;9 x           ;102 x         ;863 x         ;9.065 x        ;89.069 x    ;;;;
16.;22.04.;2;9;3;1;0;5;8;9.685.955,00     ;2 x;1.177.777,70   ;20.843,20   ;3 x           ;86 x         ;854 x         ;8.457 x        ;87.965 x    ;;;;
17.;29.04.;8;8;4;7;4;8;0;9.688.595,00     ;JP;;774.400,60   ;5 x           ;86 x         ;799 x         ;8.227 x        ;82.927 x    ;;;;
18.;06.05.;3;8;7;8;5;7;1;9.053.909,00     ;JP;;1.478.593,50   ;12 x           ;84 x         ;777 x         ;8.373 x        ;82.721 x    ;;;;
19.;13.05.;0;8;1;7;6;7;3;9.430.530,00     ;JP;;2.212.079,20   ;11 x           ;75 x         ;830 x         ;8.574 x        ;84.777 x    ;;;;
20.;20.05.;1;8;9;3;3;7;8;9.758.773,00     ;1 x;1.777.777,70   ;1.193.317,20   ;6 x           ;72 x         ;912 x         ;8.934 x        ;87.640 x    ;;;;
21.;27.05.;2;2;9;9;4;7;7;9.660.025,00     ;2 x;877.777,70   ;189.097,10   ;13 x           ;86 x         ;874 x         ;8.904 x        ;87.959 x    ;;;;
22.;03.06.;6;2;8;1;4;1;1;9.091.718,00     ;3 x;277.777,70   ;62.897,60   ;11 x           ;90 x         ;855 x         ;8.045 x        ;81.778 x    ;;;;
23.;10.06.;1;3;9;8;1;1;0;9.219.498,00     ;1 x;777.777,70   ;2.192,00   ;7 x           ;77 x         ;787 x         ;7.970 x        ;78.706 x    ;;;;
24.;17.06.;9;2;3;7;1;1;3;9.340.353,00     ;1 x;677.777,70   ;50.886,20   ;10 x           ;95 x         ;881 x         ;8.799 x        ;87.728 x    ;;;;
25.;24.06.;0;8;1;6;5;1;4;9.374.706,00     ;2 x;377.777,70   ;24.474,60   ;15 x           ;80 x         ;865 x         ;8.517 x        ;84.861 x    ;;;;
26.;01.07.;1;9;1;2;8;0;2;9.455.251,00     ;JP;;759.883,00   ;11 x           ;80 x         ;849 x         ;8.029 x        ;81.029 x    ;;;;
27.;08.07.;2;9;0;7;2;5;4;9.387.779,00     ;2 x;677.777,70   ;134.488,20   ;9 x           ;89 x         ;816 x         ;8.427 x        ;83.423 x    ;;;;
28.;15.07.;5;6;8;8;0;5;3;9.250.614,00     ;JP;;853.980,40   ;9 x           ;86 x         ;810 x         ;8.132 x        ;83.614 x    ;;;;
29.;22.07.;4;6;8;1;4;6;0;9.342.501,00     ;1 x;1.577.777,70   ;2.841,70   ;9 x           ;92 x         ;861 x         ;8.569 x        ;84.413 x    ;;;;
30.;29.07.;9;4;9;6;0;4;0;9.286.784,00     ;1 x;677.777,70   ;47.369,40   ;9 x           ;79 x         ;814 x         ;7.813 x        ;81.015 x    ;;;;
31.;05.08.;7;4;7;4;9;6;3;9.409.175,00     ;JP;;779.194,10   ;8 x           ;89 x         ;890 x         ;8.764 x        ;85.197 x    ;;;;
32.;12.08.;7;7;8;8;6;3;4;9.540.467,00     ;1 x;1.477.777,70   ;43.452,70   ;8 x           ;92 x         ;885 x         ;8.599 x        ;85.656 x    ;;;;
33.;19.08.;5;9;8;3;3;4;5;9.540.985,00     ;JP;;785.529,30   ;8 x           ;82 x         ;871 x         ;8.935 x        ;86.910 x    ;;;;
34.;26.08.;1;9;7;2;6;7;9;9.530.673,00     ;1 x;1.477.777,70   ;49.026,20   ;8 x           ;85 x         ;873 x         ;8.631 x        ;86.751 x    ;;;;
35.;02.09.;0;2;0;3;2;9;1;9.717.846,00     ;1 x;777.777,70   ;27.081,00   ;10 x           ;79 x         ;909 x         ;8.438 x        ;84.952 x    ;;;;
36.;09.09.;6;7;2;5;6;1;6;9.637.926,00     ;JP;;776.697,50   ;11 x           ;87 x         ;809 x         ;8.780 x        ;87.943 x    ;;;;
37.;16.09.;4;7;1;9;6;1;6;9.906.782,00     ;1 x;1.477.777,70   ;69.447,30   ;10 x           ;106 x         ;803 x         ;8.244 x        ;85.783 x    ;;;;
38.;23.09.;9;2;7;1;1;1;9;12.440.206,00     ;JP;;1.037.018,90   ;10 x           ;124 x         ;1.092 x         ;11.345 x        ;114.014 x    ;;;;
39.;30.09.;9;9;1;4;1;2;7;11.292.205,00     ;JP;;1.915.301,50   ;9 x           ;110 x         ;1.031 x         ;10.389 x        ;104.317 x    ;;;;
40.;07.10.;9;7;4;4;4;6;0;11.412.414,00     ;JP;;2.802.933,70   ;13 x           ;78 x         ;998 x         ;10.167 x        ;99.871 x    ;;;;
41.;14.10.;5;6;1;5;3;5;4;11.450.036,00     ;1 x;1.777.777,70   ;1.915.714,30   ;9 x           ;104 x         ;1.096 x         ;10.591 x        ;103.840 x    ;;;;
42.;21.10.;0;6;3;3;9;5;8;11.391.276,00     ;JP;;2.801.702,40   ;8 x           ;110 x         ;974 x         ;10.121 x        ;102.573 x    ;;;;
43.;28.10.;0;7;6;0;1;5;9;11.414.778,00     ;1 x;1.777.777,70   ;1.911.740,80   ;8 x           ;99 x         ;1.039 x         ;10.199 x        ;101.059 x    ;;;;
44.;04.11.;6;6;1;0;5;9;9;11.507.152,00     ;JP;;2.806.741,50   ;12 x           ;110 x         ;977 x         ;10.032 x        ;101.736 x    ;;;;
45.;11.11.;1;0;5;4;0;2;2;11.582.809,00     ;3 x;1.177.777,70   ;174.293,50   ;5 x           ;93 x         ;971 x         ;10.305 x        ;104.427 x    ;;;;
46.;18.11.;8;2;7;2;8;5;4;11.840.273,00     ;1 x;1.077.777,70   ;17.425,90   ;7 x           ;79 x         ;1.082 x         ;10.774 x        ;107.579 x    ;;;;
47.;25.11.;9;4;5;8;2;6;8;11.634.206,00     ;3 x;277.777,70   ;88.975,50   ;9 x           ;110 x         ;1.087 x         ;10.505 x        ;105.013 x    ;;;;
48.;02.12.;0;3;1;5;9;0;4;17.757.525,00     ;3 x;477.777,70   ;36.783,20   ;17 x           ;147 x         ;1.468 x         ;15.364 x        ;152.390 x    ;;;;
49.;09.12.;1;6;2;3;3;9;3;12.225.351,00     ;2 x;477.777,70   ;32.088,40   ;11 x           ;117 x         ;1.162 x         ;10.988 x        ;111.092 x    ;;;;
50.;16.12.;3;6;8;5;3;8;6;13.821.617,00     ;2 x;477.777,70   ;151.547,60   ;14 x           ;115 x         ;1.236 x         ;12.308 x        ;125.238 x    ;;;;
51.;23.12.;0;2;9;3;9;0;7;11.038.623,00     ;1 x;977.777,70   ;32.329,50   ;7 x           ;90 x         ;981 x         ;10.027 x        ;98.083 x    ;;;;
52.;30.12.;6;1;5;0;2;4;7;10.668.299,00     ;JP;;862.086,10   ;10 x           ;107 x         ;893 x         ;9.515 x        ;93.158 x    ;;;;
;;;;;;;Gewinne Gesamt;;;51 x;;;492 x;4.844 x;48.069 x;482.514 x;4.820.292 x;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
