Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1993
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;;   Gewinnklasse VII;
19.;15.05.;8;48;31;30;26;22;25;3;121.444.816,25 ;JP;2.428.896,30  ;1  x  ;7.286.688,90 ;21  x;173.492,50 ;934  x;13.002,60 ;66.598  x;182,30 ;83.597  x;101,60 ;1.340.605  x;10,80 
20.;22.05.;42;6;1;29;28;7;38;4;117.352.245,00 ;JP;4.775.941,20  ;2  x  ;3.520.567,30 ;25  x;140.822,60 ;1.525  x;7.695,20 ;82.588  x;142,00 ;90.035  x;91,20 ;1.551.544  x;9,00 
21.;29.05.;29;14;40;24;26;30;13;4;121.193.738,75 ;JP;7.199.815,90  ;1  x  ;7.271.624,30 ;31  x;117.284,20 ;1.042  x;11.630,80 ;73.453  x;164,90 ;103.138  x;82,20 ;1.405.521  x;10,30 
22.;05.06.;25;33;5;43;20;41;35;9;123.818.033,75 ;1  x;9.676.176,50  ;12  x  ;619.090,10 ;154  x;24.120,30 ;2.795  x;4.429,90 ;128.196  x;96,50 ;193.508  x;44,70 ;1.818.730  x;8,10 
23.;12.06.;43;22;10;34;18;35;20;6;117.632.106,25 ;JP;2.352.642,10  ;3  x  ;2.352.642,10 ;20  x;176.448,10 ;1.176  x;10.002,70 ;73.590  x;159,80 ;82.395  x;99,90 ;1.356.430  x;10,40 
24.;19.06.;24;37;30;33;8;7;27;7;120.853.727,50 ;JP;4.769.716,60  ;2  x  ;3.625.611,80 ;22  x;164.800,50 ;1.226  x;9.857,50 ;85.687  x;141,00 ;124.899  x;67,70 ;1.626.775  x;8,90 
25.;26.06.;49;41;11;14;6;8;40;4;121.872.510,00 ;2  x;4.839.839,10  ;1  x  ;4.839.839,10 ;20  x;182.808,70 ;1.102  x;11.059,20 ;68.936  x;176,70 ;86.740  x;98,30 ;1.399.638  x;10,40 
26.;03.07.;3;27;29;32;36;18;40;4;120.200.190,00 ;JP;2.404.003,80  ;3  x  ;2.404.003,80 ;53  x;68.037,80 ;2.006  x;5.992,00 ;121.786  x;98,60 ;122.363  x;68,70 ;1.828.558  x;7,80 
27.;10.07.;41;17;15;40;27;26;29;3;117.903.865,00 ;2  x;2.381.040,50  ;8  x  ;884.278,90 ;25  x;141.484,60 ;1.298  x;9.083,50 ;73.829  x;159,60 ;90.991  x;90,70 ;1.491.026  x;9,40 
28.;17.07.;13;4;11;15;46;47;38;8;118.511.132,50 ;JP;2.370.222,60  ;2  x  ;3.555.333,90 ;23  x;154.579,70 ;1.075  x;11.024,20 ;70.471  x;168,10 ;122.861  x;67,50 ;1.347.074  x;10,50 
29.;24.07.;32;6;46;25;18;41;36;6;118.655.416,25 ;JP;4.743.330,90  ;13  x  ;547.640,30 ;60  x;59.327,70 ;3.265  x;3.634,10 ;142.736  x;83,10 ;124.534  x;66,60 ;1.848.819  x;7,70 
30.;31.07.;2;3;21;22;44;6;4;3;118.987.826,25 ;JP;7.123.087,40  ;3  x  ;2.379.756,50 ;34  x;104.989,20 ;1.117  x;10.652,40 ;78.116  x;152,30 ;146.136  x;56,90 ;1.499.178  x;9,50 
31.;07.08.;20;25;17;46;41;13;15;4;121.166.247,50 ;2  x;4.773.206,10  ;2  x  ;3.634.987,40 ;25  x;145.399,40 ;1.690  x;7.169,60 ;95.882  x;126,30 ;88.848  x;95,40 ;1.673.683  x;8,60 
32.;14.08.;44;20;35;15;38;17;3;8;120.793.545,00 ;JP;2.415.870,90  ;1  x  ;7.247.612,70 ;24  x;150.991,90 ;909  x;13.288,60 ;58.869  x;205,10 ;103.259  x;81,80 ;1.177.530  x;12,30 
33.;21.08.;44;31;6;8;29;9;41;8;118.267.020,00 ;1  x;4.781.211,30  ;4  x  ;1.774.005,30 ;46  x;77.130,60 ;1.227  x;9.638,70 ;79.593  x;148,50 ;104.022  x;79,50 ;1.501.836  x;9,40 
34.;28.08.;20;14;5;26;41;30;34;5;118.905.827,50 ;JP;2.378.116,50  ;5  x  ;1.426.869,90 ;53  x;67.305,10 ;1.803  x;6.594,80 ;91.592  x;129,80 ;97.072  x;85,70 ;1.526.072  x;9,30 
35.;04.09.;26;19;2;25;39;14;31;8;131.717.005,00 ;JP;5.012.456,60  ;5  x  ;1.580.604,00 ;49  x;80.643,00 ;2.234  x;5.896,00 ;108.571  x;121,30 ;157.265  x;58,60 ;1.847.772  x;8,50 
36.;11.09.;1;26;44;8;27;29;2;1;120.906.663,75 ;JP;7.430.589,80  ;3  x  ;2.418.133,20 ;16  x;226.699,90 ;934  x;12.945,00 ;64.028  x;188,80 ;95.572  x;88,50 ;1.267.190  x;11,40 
37.;18.09.;23;47;5;22;14;37;15;8;125.079.553,75 ;JP;9.932.180,80  ;3  x  ;2.501.591,00 ;24  x;156.349,40 ;1.426  x;8.771,30 ;80.424  x;155,50 ;88.811  x;98,50 ;1.435.030  x;10,40 
38.;25.09.;40;24;36;12;32;42;31;1;129.513.950,00 ;2  x;6.261.229,90  ;15  x  ;518.055,80 ;30  x;129.513,90 ;4.348  x;2.978,70 ;172.064  x;75,20 ;123.212  x;73,50 ;2.209.484  x;7,00 
39.;02.10.;6;34;39;30;25;27;33;6;127.728.372,50 ;1  x;2.554.567,40  ;3  x  ;2.554.567,40 ;19  x;201.676,30 ;1.958  x;6.523,40 ;111.339  x;114,70 ;117.572  x;76,00 ;1.779.007  x;8,60 
40.;09.10.;34;49;5;27;35;37;30;0;122.660.738,75 ;JP;2.453.214,70  ;1  x  ;7.359.644,30 ;15  x;245.321,40 ;717  x;17.107,40 ;62.998  x;194,70 ;78.169  x;109,80 ;1.386.623  x;10,60 
41.;16.10.;6;14;20;34;46;12;29;5;127.382.698,75 ;JP;5.000.868,60  ;1  x  ;7.642.961,90 ;42  x;90.987,60 ;1.477  x;8.624,40 ;87.459  x;145,60 ;96.896  x;92,00 ;1.505.463  x;10,10 
42.;23.10.;45;12;31;36;47;25;13;6;122.195.992,50 ;JP;7.444.788,40  ;2  x  ;3.665.879,70 ;21  x;174.565,70 ;1.477  x;8.273,20 ;85.787  x;142,40 ;100.139  x;85,40 ;1.512.886  x;9,60 
43.;30.10.;28;27;20;18;12;1;7;5;128.546.322,50 ;1  x;10.015.714,80  ;6  x  ;1.285.463,20 ;57  x;67.655,90 ;1.258  x;10.218,30 ;81.921  x;156,90 ;168.686  x;53,30 ;1.513.333  x;10,10 
44.;06.11.;19;48;29;39;49;42;8;9;127.242.686,25 ;2  x;1.272.426,80  ;12  x  ;636.213,40 ;61  x;62.578,30 ;4.104  x;3.100,40 ;129.208  x;98,40 ;116.947  x;76,10 ;1.630.444  x;9,30 
45.;13.11.;21;3;46;38;1;26;42;2;124.074.613,75 ;JP;2.481.492,20  ;2  x  ;3.722.238,40 ;42  x;88.624,70 ;1.665  x;7.451,90 ;95.514  x;129,90 ;108.099  x;80,30 ;1.660.757  x;8,90 
46.;20.11.;10;37;21;4;31;35;19;4;122.053.076,25 ;1  x;12.245.738,30  ;unbesetzt;;55  x;66.574,40 ;1.518  x;8.040,30 ;88.379  x;138,10 ;165.290  x;51,60 ;1.536.270  x;9,50 
47.;27.11.;24;6;5;22;8;2;39;5;123.201.601,25 ;1  x;2.464.032,00  ;19  x  ;389.057,60 ;24  x;154.002,00 ;2.956  x;4.167,80 ;130.298  x;94,50 ;114.165  x;75,50 ;1.931.395  x;7,60 
48.;04.12.;24;9;39;29;49;26;23;0;143.954.900,00 ;2  x;1.439.549,00  ;13  x  ;664.407,20 ;30  x;143.954,90 ;4.164  x;3.457,10 ;167.422  x;85,90 ;123.210  x;81,70 ;2.040.908  x;8,40 
49.;11.12.;36;33;30;9;48;27;35;5;127.872.348,75 ;1  x;2.557.446,90  ;3  x  ;2.557.446,90 ;21  x;182.674,70 ;1.382  x;9.252,70 ;91.997  x;138,90 ;96.279  x;92,90 ;1.673.274  x;9,10 
50.;18.12.;36;30;39;18;47;2;25;6;132.666.155,00 ;JP;2.653.323,10  ;3  x  ;2.653.323,10 ;23  x;173.042,80 ;1.572  x;8.439,30 ;90.351  x;146,80 ;126.702  x;73,20 ;1.553.503  x;10,20 
51.;25.12.;18;34;32;22;29;44;38;3;127.783.262,50 ;1  x;5.208.988,30  ;4  x  ;1.916.748,90 ;38  x;100.881,50 ;1.512  x;8.451,20 ;84.133  x;151,80 ;130.944  x;68,30 ;1.504.046  x;10,10 
52.;01.01.;38;15;49;42;41;5;30;9;127.815.606,25 ;JP;2.556.312,10  ;2  x  ;3.834.468,10 ;17  x;225.556,90 ;1.106  x;11.556,50 ;77.158  x;165,60 ;96.676  x;92,50 ;1.488.538  x;10,30 
