LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2010
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi))
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;
VA;2010;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro
39.;29.09.;MI;23;4;16;41;32;9;33;7;23.167.465,50;JP;1.158.373,20;10  x  ;92.669,80;17  x  ;34.069,80;992  x  ;1.518,00;1.729  x  ;133,9;40.892  x  ;28,3;43.967  x  ;21;616.938  x  ;8,2
;02.10.;SA;28;27;15;5;17;29;16;2;51.778.023,75;1  x  ;3.747.274,30;5  x  ;414.224,10;68  x  ;19.036,00;1.240  x  ;2.714,10;3.246  x  ;159,5;63.610  x  ;40,6;70.270  x  ;29,4;1.142.269  x  ;9,9
40.;06.10.;MI;3;11;2;30;19;43;12;3;21.669.061,50;JP;1.083.453,00;JP;866.762,40;19  x  ;28.511,90;629  x  ;2.239,20;1.871  x  ;115,8;33.470  x  ;32,3;47.187  x  ;18,3;555.206  x  ;8,5
;09.10.;SA;11;19;22;15;12;21;32;9;48.392.454,75;JP;3.503.075,70;5  x  ;560.492,10;10  x  ;120.981,10;1.164  x  ;2.702,30;2.533  x  ;191;57.333  x  ;42,2;82.215  x  ;23,5;1.033.574  x  ;10,3
41.;13.10.;MI;33;3;16;21;40;32;24;5;22.528.445,25;JP;4.629.497,90;1  x  ;901.137,80;8  x  ;70.401,30;555  x  ;2.638,40;1.773  x  ;127;28.331  x  ;39,7;53.094  x  ;16,9;511.863  x  ;9,6
;16.10.;SA;13;47;8;45;19;33;31;7;52.115.970,75;JP;7.235.296,40;1  x  ;2.084.638,80;48  x  ;27.143,70;1.141  x  ;2.968,90;5.056  x  ;103;66.014  x  ;39,4;109.034  x  ;19,1;1.176.696  x  ;9,7
42.;20.10.;MI;22;7;33;19;15;1;9;0;24.991.350,75;JP;8.484.863,90;3  x  ;333.218,00;24  x  ;26.032,60;705  x  ;2.304,10;2.458  x  ;101,6;34.924  x  ;35,7;63.135  x  ;15,8;592.112  x  ;9,2
;23.10.;SA;34;43;29;8;9;23;35;8;53.953.370,25;JP;11.182.532,40;3  x  ;719.378,20;19  x  ;70.991,20;935  x  ;3.750,70;2.349  x  ;229,6;55.754  x  ;48,3;65.904  x  ;32,7;1.088.984  x  ;10,8
43.;27.10.;MI;13;44;28;12;25;18;49;3;29.393.420,25;JP;12.652.203,40;JP;1.175.736,80;5  x  ;146.967,10;451  x  ;4.236,30;1.208  x  ;243,3;30.321  x  ;48,4;40.811  x  ;28,8;631.904  x  ;10,2
;30.10.;SA;49;11;12;30;15;39;29;2;61.460.847,00;JP;15.725.245,70;6  x  ;605.695,10;35  x  ;43.900,60;1.230  x  ;3.247,90;2.881  x  ;213,3;68.622  x  ;44,7;85.664  x  ;28,6;1.313.146  x  ;10,2
44.;03.11.;MI;1;45;39;5;9;47;10;0;35.633.177,25;JP;17.506.904,50;1  x  ;1.425.327,00;13  x  ;68.525,30;758  x  ;3.055,60;1.801  x  ;197,8;38.220  x  ;46,6;61.286  x  ;23,2;762.612  x  ;10,2
;06.11.;SA;33;14;34;17;18;4;7;3;68.660.006,25;2  x  ;10.469.952,40;13  x  ;211.261,50;66  x  ;26.007,50;1.952  x  ;2.286,30;5.850  x  ;117,3;94.115  x  ;36,4;150.496  x  ;18,2;1.601.473  x  ;9,4
45.;10.11.;MI;21;8;11;49;22;12;29;0;23.187.789,75;JP;1.159.389,40;1  x  ;927.511,50;10  x  ;57.969,40;573  x  ;2.630,30;1.349  x  ;171,8;31.730  x  ;36,5;35.842  x  ;25,8;527.153  x  ;9,6
;13.11.;SA;13;43;8;24;19;17;31;8;49.655.991,75;1  x  ;3.642.188,90;2  x  ;993.119,80;36  x  ;34.483,30;1.073  x  ;3.008,00;3.918  x  ;126,7;62.430  x  ;39,7;123.015  x  ;16,1;1.167.861  x  ;9,3
46.;17.11.;MI;28;16;1;18;24;47;49;8;21.694.278,75;JP;1.084.713,90;2  x  ;433.885,50;JP   ;542.356,90;270  x  ;5.222,60;914  x  ;237,3;18.528  x  ;58,5;31.474  x  ;27,5;400.998  x  ;11,9
;20.11.;SA;32;4;34;17;29;33;46;5;48.919.315,50;JP;3.530.679,60;2  x  ;978.386,30;43  x  ;41.054,40;1.152  x  ;2.760,20;4.068  x  ;120,2;72.574  x  ;33,7;95.529  x  ;20,4;1.156.169  x  ;9,3
47.;24.11.;MI;33;5;8;26;35;46;40;1;22.811.078,25;1  x  ;4.671.233,50;1  x  ;912.443,10;4  x  ;142.569,20;363  x  ;4.084,60;907  x  ;251,5;22.170  x  ;51,4;31.623  x  ;28,8;451.872  x  ;11,1
;27.11.;SA;1;8;4;35;45;10;2;7;47.963.509,50;JP;2.398.175,40;4  x  ;479.635,00;13  x  ;92.237,50;787  x  ;3.961,40;2.806  x  ;170,9;49.712  x  ;48,2;88.059  x  ;21,7;967.527  x  ;10,9
48.;01.12.;MI;41;15;32;39;20;25;31;2;23.936.844,75;JP;3.595.017,60;JP;957.473,70;9  x  ;66.491,20;493  x  ;3.155,90;1.221  x  ;196;26.427  x  ;45,2;38.795  x  ;24,6;505.827  x  ;10,4
;04.12.;SA;37;18;41;24;48;13;9;2;52.911.654,00;2  x  ;3.120.300,10;7  x  ;439.134,20;102  x  ;12.968,50;1.489  x  ;2.309,70;9.598  x  ;55,1;70.998  x  ;37,2;145.375  x  ;14,5;1.171.646  x  ;9,9
49.;08.12.;MI;18;16;14;7;26;2;12;5;21.832.720,50;JP;1.091.636,00;5  x  ;174.661,70;37  x  ;14.751,80;658  x  ;2.156,70;2.260  x  ;96,6;30.122  x  ;36,2;50.663  x  ;17,2;516.810  x  ;9,2
;11.12.;SA;5;16;7;43;31;27;2;0;48.869.655,00;1  x  ;3.535.118,70;7  x  ;279.255,10;46  x  ;26.559,50;1.767  x  ;1.797,60;4.301  x  ;113,6;79.698  x  ;30,6;103.587  x  ;18,8;1.249.340  x  ;8,6
50.;15.12.;MI;28;14;45;43;3;9;49;0;21.438.519,00;JP;1.071.925,90;JP;857.540,70;10  x  ;53.596,20;394  x  ;3.536,80;1.010  x  ;212,2;22.189  x  ;48,3;30.620  x  ;28;424.088  x  ;11,1
;18.12.;SA;39;42;16;4;21;40;31;3;48.858.625,50;JP;3.514.857,10;1  x  ;2.811.885,70;29  x  ;42.119,50;941  x  ;3.374,90;3.409  x  ;143,3;51.725  x  ;47,2;89.202  x  ;21,9;964.512  x  ;11,1
51.;22.12.;MI;6;36;45;26;35;18;31;4;23.718.850,50;JP;4.700.799,60;4  x  ;237.188,50;15  x  ;39.531,40;510  x  ;3.022,90;1.406  x  ;168,6;25.712  x  ;46,1;36.981  x  ;25,6;463.958  x  ;11,2
;25.12.;SA;46;9;29;2;10;11;14;7;65.137.487,25;1  x  ;7.957.673,90;5  x  ;521.099,80;29  x  ;56.153,00;1.620  x  ;2.613,50;3.580  x  ;181,9;87.089  x  ;37,3;97.723  x  ;26,6;1.544.964  x  ;9,2
52.;29.12.;MI;15;20;37;14;48;42;1;2;22.768.413,75;JP;1.138.420,60;2  x  ;455.368,20;8  x  ;71.151,20;271  x  ;5.461,00;740  x  ;307,6;17.300  x  ;65,8;22.237  x  ;40,9;355.113  x  ;14,1
;01.01.;SA;14;2;18;36;26;35;8;1;51.326.778,75;3  x  ;1.234.919,80;3  x  ;684.357,00;33  x  ;38.883,90;1.021  x  ;3.267,60;2.793  x  ;183,7;55.106  x  ;46,5;78.434  x  ;26,1;949.130  x  ;11,8
