Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1991
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;;   Gewinnklasse VII;
;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;(6 Treffer und Superzahl);;(6 Treffer);;(5 Treffer + Zusatzzahl);;(5 Treffer);;(4 Treffer);;(3 Treffer u. Zusatzzahl);;(3 Treffer);
VA;1991;gezogener Reihenfolge;;;;;;satz-;per-;;Einführung 49. VA 1991;;bis zur 49. VA 1991 Gewinnklasse 1;;bis zur 49. VA 1991 Gewinnklasse 2;;bis zur 49. VA Gewinnklasse 3;;bis zur 49. VA Gewinnklasse 4;;Einführung 49. VA 1991;;bis zur 49. VA 1991 Gewinnklasse 5;
;;;;;;;;zahl;zahl;DM;Gewinne;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM
22.;01.06.;40 ;11 ;9 ;13 ;7 ;32 ;30 ;;99.067.343,00 ;;;12  x  ;619.170,80 ;56  x;66.339,70 ;2.224  x     ;5.011,20 ;132.890  x    ;83,80 ;;;2.223.369  x;7,20  
23.;08.06.;4 ;28 ;36 ;16 ;22 ;30 ;5 ;;110.158.925,00 ;;;9  x  ;917.991,00 ;31  x;133.256,70 ;2.323  x     ;5.334,80 ;114.748  x    ;108,00 ;;;1.709.781  x;10,40  
24.;15.06.;34 ;28 ;26 ;1 ;48 ;25 ;6 ;;102.015.967,00 ;;;4  x  ;1.912.799,30 ;17  x;225.035,20 ;605  x     ;18.969,90 ;58.129  x    ;197,40 ;;;1.417.483  x;11,60  
25.;22.06.;32 ;42 ;39 ;3 ;21 ;48 ;2 ;;101.141.105,00 ;;;8  x  ;948.197,80 ;44  x;86.199,80 ;2.507  x     ;4.538,60 ;117.495  x    ;96,80 ;;;1.927.028  x;8,50  
26.;29.06.;5 ;4 ;27 ;47 ;24 ;42 ;45 ;;101.642.258,00 ;;;4  x  ;1.905.792,30 ;23  x;165.721,00 ;1.760  x     ;6.497,00 ;97.398  x    ;117,40 ;;;1.826.781  x;9,00  
27.;06.07.;3 ;41 ;5 ;10 ;13 ;38 ;27 ;;100.624.828,00 ;;;9  x  ;838.540,20 ;84  x;44.921,70 ;1.637  x     ;6.915,20 ;102.337  x    ;110,60 ;;;1.941.639  x;8,40  
28.;13.07.;19 ;1 ;15 ;31 ;32 ;43 ;26 ;;97.321.659,00 ;;;4  x  ;1.824.781,10 ;24  x;152.065,00 ;1.408  x     ;7.776,00 ;86.795  x    ;126,10 ;;;1.720.999  x;9,10  
29.;20.07.;1 ;33 ;4 ;26 ;47 ;22 ;44 ;;98.547.500,00 ;;;2  x  ;3.695.531,20 ;24  x;153.980,40 ;931  x     ;11.908,20 ;68.401  x    ;162,00 ;;;1.482.108  x;10,80  
30.;27.07.;12 ;46 ;39 ;41 ;5 ;37 ;45 ;;97.966.416,00 ;;;5  x  ;1.469.496,20 ;21  x;174.940,00 ;1.325  x     ;8.317,90 ;87.388  x    ;126,10 ;;;1.686.946  x;9,40  
31.;03.08.;48 ;2 ;27 ;31 ;40 ;38 ;11 ;;98.776.458,00 ;;;2  x  ;3.704.117,10 ;77  x;48.105,40 ;1.325  x     ;8.386,60 ;91.492  x    ;121,40 ;;;1.760.456  x;9,10  
32.;10.08.;23 ;10 ;41 ;22 ;25 ;7 ;40 ;;98.257.970,00 ;;;3  x  ;2.456.449,20 ;37  x;99.585,70 ;1.593  x     ;6.939,10 ;97.814  x    ;113,00 ;;;1.886.373  x;8,40  
33.;17.08.;8 ;47 ;7 ;29 ;10 ;39 ;40 ;;98.028.920,00 ;;;4  x  ;1.838.042,20 ;20  x;183.804,20 ;1.107  x     ;9.962,20 ;72.811  x    ;151,40 ;;;1.545.542  x;10,30  
