Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1995;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;;   Gewinnklasse VII;;
;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer u. Zusatzzahl ;;3 Treffer;;
VA;1995;gezogener Reihenfolge;;;;;;satz-;per-;;;;;;Zusatzzahl;;;;;;;;;;
;;;;;;;;zahl;zahl;DM;Gewinne;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;
1.;07.01.;2 ;48 ;12 ;47 ;41 ;19 ;26 ;5 ;130.945.721,25 ;1  x;2.618.914,40  ;4  x  ;1.964.185,80 ;39  x;100.727,40 ;1.405  x     ;9.319,90 ;90.142  x    ;145,20 ;133.774  x  ;68,50 ;1.674.806  x;9,30  ;
2.;14.01.;8 ;45 ;42 ;40 ;28 ;23 ;14 ;8 ;148.900.770,00 ;JP;2.978.015,40  ;5  x  ;1.786.809,20 ;49  x;91.163,70 ;1.493  x     ;9.973,20 ;88.918  x    ;167,40 ;124.011  x  ;84,00 ;1.645.821  x;10,80  ;
3.;21.01.;44 ;27 ;21 ;12 ;41 ;18 ;29 ;6 ;133.912.446,25 ;JP;5.656.264,30  ;9  x  ;892.749,60 ;36  x;111.593,70 ;1.800  x     ;7.439,50 ;106.696  x    ;125,50 ;123.343  x  ;75,90 ;1.896.268  x;8,40  ;
4.;28.01.;17 ;33 ;49 ;45 ;39 ;37 ;26 ;9 ;133.213.588,75 ;2  x;4.160.268,00  ;12  x  ;666.067,90 ;46  x;86.878,40 ;2.996  x     ;4.446,30 ;159.579  x    ;83,40 ;156.592  x  ;59,50 ;2.191.320  x;7,20  ;
5.;04.02.;8 ;2 ;4 ;31 ;6 ;44 ;36 ;5 ;135.784.252,50 ;JP;2.715.685,00  ;9  x  ;905.228,30 ;20  x;203.676,30 ;2.019  x     ;6.725,30 ;123.891  x    ;109,50 ;99.519  x  ;95,50 ;1.917.319  x;8,40  ;
6.;11.02.;41 ;13 ;11 ;38 ;42 ;35 ;8 ;0 ;133.159.043,75 ;1  x;13.368.408,50  ;unbesetzt;0,00 ;31  x;128.863,50 ;1.092  x     ;12.194,00 ;77.216  x    ;172,40 ;93.748  x  ;99,40 ;1.619.621  x;9,80  ;
7.;18.02.;9 ;1 ;38 ;12 ;24 ;31 ;28 ;1 ;132.065.193,75 ;2  x;1.320.651,90  ;10  x  ;792.391,10 ;38  x;104.261,90 ;2.773  x     ;4.762,50 ;136.890  x    ;96,40 ;139.131  x  ;66,40 ;2.116.337  x;7,40  ;
