Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1995;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;;   Gewinnklasse VII;;
8.;25.02.;47 ;37 ;3 ;34 ;26 ;6 ;41 ;1 ;130.303.891,25 ;1  x;2.606.077,80  ;6  x  ;1.303.038,90 ;39  x;100.233,70 ;2.020  x     ;6.450,60 ;106.765  x    ;122,00 ;122.809  x  ;74,20 ;1.755.471  x;8,90  ;
9.;04.03.;36 ;37 ;49 ;41 ;47 ;27 ;42 ;6 ;133.447.982,50 ;1  x;2.668.959,60  ;9  x  ;889.653,20 ;47  x;85.179,50 ;1.763  x     ;7.569,30 ;108.689  x    ;122,70 ;119.480  x  ;78,10 ;1.655.101  x;9,60  ;
10.;11.03.;4 ;31 ;25 ;21 ;26 ;18 ;5 ;6 ;130.529.183,75 ;1  x;2.610.583,60  ;7  x  ;1.118.821,50 ;42  x;93.235,10 ;1.630  x     ;8.007,90 ;108.919  x    ;119,80 ;157.502  x  ;58,00 ;1.927.901  x;8,10  ;
11.;18.03.;13 ;33 ;7 ;43 ;8 ;32 ;40 ;0 ;130.499.220,00 ;1  x;2.609.984,40  ;3  x  ;2.609.984,40 ;24  x;163.124,00 ;1.976  x     ;6.604,20 ;116.077  x    ;112,40 ;116.906  x  ;78,10 ;1.970.749  x;7,90  ;
12.;25.03.;5 ;43 ;32 ;28 ;13 ;10 ;35 ;3 ;129.326.010,00 ;1  x;2.586.520,20  ;4  x  ;1.939.890,10 ;38  x;102.099,40 ;2.002  x     ;6.459,80 ;102.145  x    ;126,60 ;112.198  x  ;80,60 ;1.735.075  x;8,90  ;
13.;01.04.;4 ;11 ;33 ;48 ;32 ;20 ;30 ;2 ;145.475.440,00 ;JP;2.909.508,80  ;7  x  ;1.246.932,30 ;50  x;87.285,20 ;2.225  x     ;6.538,20 ;122.386  x    ;118,80 ;145.210  x  ;70,10 ;2.024.647  x;8,60  ;
14.;08.04.;24 ;32 ;49 ;36 ;15 ;13 ;26 ;5 ;130.548.426,25 ;1  x;5.520.477,30  ;7  x  ;1.118.986,50 ;34  x;115.189,70 ;1.664  x     ;7.845,40 ;87.050  x    ;149,90 ;112.986  x  ;80,80 ;1.548.217  x;10,10  ;
15.;15.04.;38 ;10 ;33 ;23 ;45 ;26 ;6 ;6 ;127.108.328,75 ;1  x;2.542.166,50  ;9  x  ;847.388,80 ;86  x;44.340,10 ;2.681  x     ;4.741,00 ;121.092  x    ;104,90 ;143.407  x  ;62,00 ;1.754.564  x;8,60  ;
16.;22.04.;25 ;22 ;20 ;26 ;33 ;37 ;31 ;6 ;126.963.410,00 ;JP;2.539.268,20  ;3  x  ;2.539.268,20 ;51  x;74.684,30 ;1.040  x     ;12.208,00 ;72.056  x    ;176,20 ;119.355  x  ;74,40 ;1.444.940  x;10,50  ;
17.;29.04.;13 ;21 ;31 ;4 ;25 ;26 ;46 ;8 ;129.910.176,25 ;JP;5.137.471,70  ;11  x  ;708.600,90 ;35  x;111.351,50 ;7.326  x     ;1.773,20 ;120.271  x    ;108,00 ;124.302  x  ;73,10 ;2.004.025  x;7,70  ;
18.;06.05.;27 ;39 ;2 ;31 ;18 ;38 ;29 ;2 ;128.427.362,50 ;JP;7.706.018,90  ;4  x  ;1.926.410,40 ;19  x;202.780,00 ;2.020  x     ;6.357,70 ;118.475  x    ;108,40 ;118.738  x  ;75,70 ;1.963.164  x;7,80  ;
19.;13.05.;34 ;16 ;28 ;30 ;48 ;1 ;7 ;3 ;134.596.033,75 ;JP;10.397.939,50  ;8  x  ;1.009.470,20 ;49  x;82.405,70 ;1.453  x     ;9.263,30 ;81.005  x    ;166,10 ;130.746  x  ;72,00 ;1.443.592  x;11,10  ;
20.;20.05.;16 ;39 ;20 ;12 ;41 ;6 ;46 ;0 ;144.253.106,25 ;JP;13.283.001,60  ;7  x  ;1.236.455,10 ;34  x;127.282,10 ;1.928  x     ;7.482,00 ;111.048  x    ;129,90 ;127.841  x  ;78,90 ;1.940.210  x;8,90  ;
21.;27.05.;28 ;1 ;13 ;25 ;30 ;18 ;32 ;0 ;143.225.295,00 ;JP;16.147.507,50  ;6  x  ;1.432.252,90 ;41  x;104.798,90 ;1.947  x     ;7.356,20 ;107.064  x    ;133,70 ;135.404  x  ;74,00 ;1.855.356  x;9,20  ;
22.;03.06.;11 ;29 ;10 ;26 ;32 ;45 ;6 ;1 ;169.908.232,50 ;JP;19.545.672,10  ;5  x  ;2.038.898,70 ;55  x;92.677,20 ;2.121  x     ;8.010,70 ;127.488  x    ;133,20 ;184.560  x  ;64,40 ;2.274.977  x;8,90  ;
23.;10.06.;18 ;3 ;20 ;21 ;40 ;30 ;9 ;0 ;181.429.750,00 ;5  x;4.634.853,40  ;7  x  ;1.555.112,10 ;143  x;38.062,10 ;3.860  x     ;4.700,20 ;179.479  x    ;101,00 ;288.739  x  ;43,90 ;2.569.056  x;8,40  ;
24.;17.06.;11 ;40 ;42 ;14 ;48 ;25 ;27 ;1 ;137.478.343,75 ;JP;2.749.566,80  ;6  x  ;1.374.783,40 ;44  x;93.735,20 ;1.383  x     ;9.940,50 ;84.002  x    ;163,60 ;122.566  x  ;78,50 ;1.555.710  x;10,60  ;
25.;24.06.;30 ;28 ;33 ;3 ;37 ;7 ;45 ;0 ;133.139.296,25 ;JP;5.412.352,70  ;6  x  ;1.331.392,90 ;33  x;121.035,70 ;1.780  x     ;7.479,70 ;108.057  x    ;123,20 ;123.059  x  ;75,70 ;1.914.997  x;8,30  ;
26.;01.07.;23 ;47 ;29 ;44 ;28 ;2 ;9 ;8 ;131.644.175,00 ;1  x;8.045.236,20  ;3  x  ;2.632.883,50 ;35  x;112.837,80 ;1.043  x     ;12.621,60 ;70.888  x    ;185,70 ;129.500  x  ;71,10 ;1.333.789  x;11,80  ;
27.;08.07.;21 ;44 ;24 ;22 ;10 ;9 ;43 ;0 ;128.736.820,00 ;JP;2.574.736,40  ;1  x  ;7.724.209,20 ;29  x;133.176,00 ;1.175  x     ;10.956,30 ;81.443  x    ;158,00 ;87.431  x  ;103,00 ;1.651.668  x;9,30  ;
28.;15.07.;44 ;3 ;46 ;5 ;34 ;25 ;16 ;9 ;124.976.746,25 ;1  x;5.074.271,30  ;4  x  ;1.874.651,10 ;58  x;64.643,10 ;1.478  x     ;8.455,80 ;87.925  x    ;142,10 ;139.372  x  ;62,70 ;1.586.722  x;9,40  ;
29.;22.07.;12 ;47 ;32 ;26 ;13 ;16 ;33 ;1 ;123.374.010,00 ;JP;2.467.480,20  ;7  x  ;1.057.491,50 ;51  x;72.572,90 ;2.015  x     ;6.122,70 ;110.762  x    ;111,30 ;132.935  x  ;64,90 ;1.810.784  x;8,10  ;
30.;29.07.;41 ;45 ;12 ;43 ;11 ;39 ;18 ;5 ;125.507.038,75 ;JP;4.977.620,90  ;2  x  ;3.765.211,10 ;13  x;289.631,60 ;1.064  x     ;11.795,70 ;80.042  x    ;156,80 ;111.664  x  ;78,60 ;1.484.675  x;10,10  ;
31.;05.08.;47 ;9 ;23 ;17 ;36 ;5 ;2 ;6 ;124.672.775,00 ;1  x;7.471.076,40  ;12  x  ;623.363,80 ;48  x;77.920,40 ;2.742  x     ;4.546,70 ;119.625  x    ;104,20 ;138.507  x  ;63,00 ;1.859.322  x;8,00  ;
32.;12.08.;49 ;20 ;48 ;26 ;44 ;13 ;37 ;3 ;123.565.575,00 ;JP;2.471.311,50  ;3  x  ;2.471.311,50 ;29  x;127.826,40 ;1.097  x     ;11.263,90 ;67.957  x    ;181,80 ;106.904  x  ;80,90 ;1.375.917  x;10,70  ;
33.;19.08.;32 ;36 ;23 ;49 ;42 ;4 ;37 ;3 ;124.338.933,75 ;JP;4.958.090,10  ;9  x  ;828.926,20 ;17  x;219.421,60 ;1.696  x     ;7.331,30 ;91.966  x    ;135,20 ;103.140  x  ;84,30 ;1.564.331  x;9,50  ;
34.;26.08.;20 ;13 ;27 ;17 ;48 ;33 ;23 ;5 ;125.343.512,50 ;JP;7.464.960,30  ;1  x  ;7.520.610,70 ;40  x;94.007,60 ;2.040  x     ;6.144,20 ;113.786  x    ;110,10 ;150.992  x  ;58,10 ;1.779.535  x;8,40  ;
35.;02.09.;11 ;37 ;6 ;25 ;32 ;42 ;30 ;2 ;142.854.088,75 ;2  x;5.161.021,00  ;8  x  ;1.071.405,60 ;49  x;87.461,60 ;3.029  x     ;4.716,20 ;138.780  x    ;102,90 ;125.375  x  ;79,70 ;2.215.011  x;7,70  ;
36.;09.09.;7 ;23 ;16 ;41 ;37 ;42 ;1 ;9 ;128.569.278,75 ;2  x;1.469.363,10  ;5  x  ;1.469.363,10 ;35  x;110.202,20 ;1.866  x     ;6.890,10 ;100.476  x    ;127,90 ;102.708  x  ;87,60 ;1.735.693  x;8,80  ;
37.;16.09.;40 ;29 ;19 ;43 ;21 ;37 ;15 ;7 ;127.966.103,75 ;JP;2.559.322,00  ;5  x  ;1.535.593,20 ;34  x;112.911,20 ;1.352  x     ;9.464,90 ;84.493  x    ;151,40 ;114.486  x  ;78,20 ;1.607.523  x;9,50  ;
38.;23.09.;40 ;28 ;38 ;24 ;27 ;20 ;1 ;4 ;127.641.125,00 ;JP;5.112.144,50  ;5  x  ;1.531.693,50 ;20  x;191.461,60 ;1.327  x     ;9.618,70 ;84.748  x    ;150,60 ;91.607  x  ;97,50 ;1.604.380  x;9,50  ;
39.;30.09.;14 ;11 ;15 ;25 ;6 ;46 ;12 ;2 ;130.398.196,25 ;1  x;7.720.108,40  ;3  x  ;2.607.963,90 ;21  x;186.283,10 ;1.478  x     ;8.822,60 ;89.797  x    ;145,20 ;118.084  x  ;77,20 ;1.639.156  x;9,50  ;
40.;07.10.;37 ;3 ;9 ;18 ;39 ;10 ;4 ;4 ;130.154.186,25 ;1  x;2.603.083,70  ;9  x  ;867.694,50 ;54  x;72.307,80 ;2.498  x     ;5.210,30 ;142.063  x    ;91,60 ;153.935  x  ;59,10 ;2.283.615  x;6,80  ;
41.;14.10.;31 ;5 ;42 ;21 ;47 ;3 ;32 ;4 ;138.749.672,50 ;JP;2.774.993,40  ;5  x  ;1.664.996,00 ;46  x;90.488,90 ;2.029  x     ;6.838,30 ;113.363  x    ;122,30 ;155.045  x  ;62,60 ;1.894.056  x;8,70  ;
42.;21.10.;37 ;15 ;10 ;32 ;39 ;36 ;18 ;1 ;128.869.597,50 ;JP;5.358.140,00  ;2  x  ;3.866.087,90 ;28  x;138.074,50 ;1.057  x     ;12.192,00 ;71.723  x    ;179,60 ;139.727  x  ;64,50 ;1.452.891  x;10,60  ;
43.;28.10.;11 ;13 ;36 ;2 ;40 ;20 ;14 ;8 ;130.201.152,50 ;JP;7.962.163,00  ;JP;7.812.069,10 ;18  x;217.001,90 ;1.395  x     ;9.333,40 ;81.164  x    ;160,40 ;81.901  x  ;111,20 ;1.564.970  x;9,90  ;
44.;04.11.;33 ;44 ;29 ;37 ;18 ;23 ;4 ;0 ;160.350.343,75 ;JP;11.169.169,80  ;7  x  ;2.490.441,30 ;69  x;69.717,50 ;2.553  x     ;6.280,80 ;135.679  x    ;118,10 ;179.295  x  ;62,60 ;2.145.802  x;8,90  ;
45.;11.11.;21 ;38 ;33 ;24 ;15 ;39 ;40 ;9 ;152.386.297,50 ;JP;14.216.895,70  ;5  x  ;1.828.635,50 ;24  x;190.482,80 ;2.011  x     ;7.577,60 ;115.855  x    ;131,50 ;117.298  x  ;90,90 ;2.039.176  x;8,90  ;
46.;18.11.;1 ;43 ;32 ;23 ;13 ;25 ;28 ;9 ;158.335.036,25 ;JP;17.383.596,40  ;4  x  ;2.375.025,50 ;29  x;163.794,80 ;1.981  x     ;7.992,60 ;129.112  x    ;122,60 ;142.139  x  ;77,90 ;2.230.580  x;8,50  ;
47.;25.11.;42 ;32 ;49 ;44 ;39 ;48 ;23 ;0 ;170.312.810,00 ;3  x;6.929.950,80  ;25  x  ;408.750,70 ;65  x;78.605,90 ;4.735  x     ;3.596,80 ;155.751  x    ;109,30 ;164.742  x  ;72,30 ;2.141.364  x;9,50  ;
48.;02.12.;37 ;39 ;2 ;25 ;16 ;26 ;34 ;4 ;153.467.242,50 ;JP;3.069.344,80  ;16  x  ;575.502,10 ;63  x;73.079,60 ;3.055  x     ;5.023,40 ;147.645  x    ;103,90 ;183.369  x  ;58,50 ;2.268.243  x;8,10  ;
49.;09.12.;12 ;39 ;2 ;38 ;9 ;15 ;20 ;6 ;138.710.090,00 ;JP;5.843.546,60  ;7  x  ;1.188.943,60 ;28  x;148.617,90 ;1.641  x     ;8.452,70 ;101.630  x    ;136,40 ;117.728  x  ;82,40 ;1.886.481  x;8,80  ;
50.;16.12.;33 ;21 ;47 ;39 ;28 ;13 ;18 ;3 ;139.743.865,00 ;2  x;4.319.211,90  ;17  x  ;493.213,60 ;65  x;64.497,10 ;2.700  x     ;5.175,60 ;113.898  x    ;122,60 ;151.831  x  ;64,40 ;1.809.853  x;9,20  ;
51.;23.12.;44 ;47 ;35 ;6 ;20 ;7 ;42 ;8 ;145.685.033,75 ;2  x;1.664.971,80  ;5  x  ;1.664.971,80 ;18  x;242.808,30 ;1.144  x     ;12.734,70 ;75.606  x    ;192,60 ;98.757  x  ;103,20 ;1.532.559  x;11,40  ;
52.;30.12.;24 ;8 ;49 ;32 ;21 ;43 ;9 ;6 ;140.224.068,75 ;1  x;2.804.481,30  ;12  x  ;701.120,30 ;52  x;80.898,50 ;2.505  x     ;5.597,70 ;118.289  x    ;118,50 ;156.699  x  ;62,60 ;1.913.220  x;8,70  ;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
