Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1985
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Gewinnklasse II;;Gewinnklasse III;; Gewinnklasse IV;;   Gewinnklasse V;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1985;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
25.;22.06.;9 ;7 ;49 ;29 ;46 ;42 ;5 ;91.996.464,00 ;3  x  ;2.299.911,60 ;25  x  ;137.994,60 ;1.145  x     ;9.038,90 ;73.276  x    ;141,20 ;1.493.377  x;10,00  
26.;29.06.;8 ;4 ;15 ;39 ;36 ;5 ;45 ;92.949.479,00 ;1  x  ;6.971.210,90 ;17  x  ;205.035,60 ;1.333  x     ;7.844,50 ;84.075  x    ;124,30 ;1.625.265  x;9,20  
27.;06.07.;10 ;4 ;11 ;20 ;15 ;25 ;46 ;91.977.400,00 ;14  x  ;492.736,00 ;15  x  ;229.943,50 ;2.238  x     ;4.623,50 ;118.760  x    ;87,10 ;1.830.537  x;8,10  
28.;13.07.;3 ;32 ;42 ;10 ;31 ;2 ;43 ;91.321.918,00 ;JP;6.849.143,80 ;46  x  ;74.447,20 ;1.155  x     ;8.894,90 ;78.700  x    ;130,50 ;1.674.638  x;8,80  
29.;20.07.;2 ;15 ;30 ;22 ;16 ;35 ;7 ;111.359.019,00 ;5  x  ;3.040.214,00 ;27  x  ;154.665,30 ;1.123  x     ;11.155,70 ;76.820  x    ;163,00 ;1.552.206  x;11,60  
30.;27.07.;20 ;33 ;39 ;26 ;40 ;4 ;10 ;93.318.292,00 ;5  x  ;1.399.774,30 ;73  x  ;47.937,40 ;1.509  x     ;6.957,10 ;85.964  x    ;122,10 ;1.628.435  x;9,30  
31.;03.08.;38 ;1 ;21 ;30 ;23 ;2 ;10 ;92.163.284,00 ;2  x  ;3.456.123,10 ;35  x  ;98.746,30 ;965  x     ;10.744,40 ;74.111  x    ;139,90 ;1.642.064  x;9,10  
32.;10.08.;13 ;29 ;39 ;22 ;46 ;20 ;4 ;90.246.411,00 ;14  x  ;483.462,90 ;29  x  ;116.697,90 ;873  x     ;11.629,60 ;52.837  x    ;192,10 ;1.163.510  x;12,60  
33.;17.08.;5 ;9 ;18 ;19 ;11 ;48 ;13 ;88.586.020,00 ;10  x  ;664.395,10 ;42  x  ;79.094,60 ;2.505  x     ;3.978,40 ;130.444  x    ;76,40 ;2.206.661  x;6,50  
34.;24.08.;30 ;2 ;42 ;26 ;38 ;24 ;37 ;88.623.758,00 ;21  x  ;316.513,40 ;15  x  ;221.559,30 ;1.522  x     ;6.550,70 ;89.629  x    ;111,20 ;1.613.886  x;8,90  
35.;31.08.;1 ;21 ;3 ;24 ;13 ;49 ;4 ;89.262.734,00 ;13  x  ;514.977,30 ;34  x  ;98.451,50 ;2.196  x     ;4.572,80 ;108.176  x    ;92,80 ;1.817.290  x;7,90  
36.;07.09.;18 ;3 ;7 ;43 ;38 ;26 ;8 ;92.655.905,00 ;16  x  ;434.324,50 ;37  x  ;93.908,00 ;2.620  x     ;3.978,50 ;116.497  x    ;89,40 ;1.921.712  x;7,80  
37.;14.09.;35 ;14 ;34 ;7 ;33 ;45 ;40 ;89.864.848,00 ;3  x  ;2.246.621,20 ;25  x  ;134.797,20 ;1.246  x     ;8.113,80 ;75.324  x    ;134,20 ;1.530.524  x;9,50  
38.;21.09.;24 ;19 ;38 ;12 ;9 ;37 ;2 ;89.862.399,00 ;11  x  ;612.698,10 ;83  x  ;40.600,40 ;2.772  x     ;3.647,00 ;144.788  x    ;69,80 ;2.169.645  x;6,70  
39.;28.09.;34 ;5 ;48 ;3 ;7 ;16 ;32 ;89.376.300,00 ;2  x  ;3.351.611,20 ;53  x  ;63.237,90 ;1.311  x     ;7.669,50 ;88.627  x    ;113,40 ;1.700.398  x;8,50  
40.;05.10.;38 ;45 ;37 ;30 ;31 ;48 ;9 ;93.197.819,00 ;6  x  ;1.164.972,70 ;13  x  ;268.839,80 ;1.196  x     ;8.766,50 ;55.796  x    ;187,90 ;1.191.435  x;12,70  
