"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1975
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Gewinnklasse II;;Gewinnklasse III;; Gewinnklasse IV;;   Gewinnklasse V;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1975;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
25.;21.06.;31 ;26 ;35 ;25 ;38 ;19 ;46 ;59.712.622,50 ;4  x  ;1.119.611,65 ;24  x  ;93.300,95 ;1.947  x     ;3.450,25 ;117.164  x    ;57,30 ;2.328.507  x;4,15  
26.;28.06.;1 ;3 ;13 ;11 ;44 ;9 ;47 ;60.401.259,00 ;2  x  ;1.500.000,00 ;38  x  ;99.872,10 ;3.236  x     ;2.099,85 ;135.464  x    ;50,15 ;2.311.292  x;4,20  
27.;05.07.;3 ;38 ;25 ;29 ;30 ;9 ;32 ;61.159.285,00 ;6  x  ;764.491,05 ;23  x  ;99.716,20 ;1.766  x     ;3.896,00 ;114.637  x    ;60,00 ;2.212.550  x;4,45  
28.;12.07.;26 ;15 ;17 ;29 ;42 ;9 ;39 ;59.510.452,00 ;4  x  ;1.115.820,95 ;53  x  ;42.106,45 ;1.493  x     ;4.484,20 ;99.484  x    ;67,25 ;1.967.532  x;4,90  
29.;19.07.;47 ;4 ;2 ;13 ;49 ;26 ;28 ;59.316.356,50 ;9  x  ;494.302,95 ;71  x  ;31.329,05 ;1.925  x     ;3.466,50 ;107.980  x    ;61,75 ;2.030.245  x;4,70  
30.;26.07.;48 ;28 ;36 ;40 ;39 ;3 ;6 ;59.037.186,00 ;2  x  ;1.500.000,00 ;39  x  ;93.376,45 ;1.547  x     ;4.293,25 ;112.342  x    ;59,10 ;2.135.817  x;4,45  
31.;02.08.;36 ;49 ;28 ;19 ;48 ;17 ;35 ;58.558.038,50 ;23  x  ;190.950,10 ;58  x  ;37.860,80 ;3.084  x     ;2.136,10 ;147.632  x    ;44,60 ;2.496.609  x;3,80  
32.;09.08.;33 ;25 ;38 ;15 ;9 ;49 ;3 ;58.179.501,50 ;6  x  ;727.243,75 ;122  x  ;17.883,00 ;2.856  x     ;2.291,70 ;155.545  x    ;42,05 ;2.409.003  x;3,90  
33.;16.08.;17 ;2 ;32 ;45 ;3 ;46 ;5 ;59.138.566,00 ;7  x  ;633.627,45 ;26  x  ;85.296,00 ;1.969  x     ;3.378,90 ;109.704  x    ;60,60 ;2.041.541  x;4,70  
34.;23.08.;31 ;43 ;27 ;32 ;7 ;3 ;21 ;59.954.839,00 ;8  x  ;562.076,60 ;65  x  ;34.589,30 ;2.432  x     ;2.773,40 ;137.052  x    ;49,20 ;2.475.256  x;3,90  
