LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2009
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi))
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;
VA;2009;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro
1.;31.12.;MI;36;49;29;30;6;24;42;2;32.489.247,75;JP;6.383.704,20;3  x  ;433.189,90;10  x  ;81.223,10;436  x  ;4.843,50;1.376  x  ;236,1;36.402  x  ;44,6;39.577  x  ;32,8;597.343  x  ;11,9
;03.01.;SA;21;14;46;40;6;10;42;0;57.129.681,75;JP;9.240.188,20;1  x  ;2.285.187,20;14  x  ;102.017,20;1.003  x  ;3.702,30;2.408  x  ;237,2;59.049  x  ;48,3;72.675  x  ;31,4;1.151.657  x  ;10,9
2.;07.01.;MI;26;23;20;3;37;6;46;7;28.260.457,50;JP;10.653.211,00;4  x  ;282.604,50;22  x  ;32.114,10;726  x  ;2.530,20;1.890  x  ;149,5;37.737  x  ;37,4;47.267  x  ;23,9;674.107  x  ;9,2
;10.01.;SA;18;17;6;49;41;37;26;4;59.868.432,75;JP;13.646.632,60;6  x  ;399.122,80;49  x  ;30.545,10;1.423  x  ;2.734,60;4.998  x  ;119,7;75.772  x  ;39,5;125.064  x  ;19,1;1.396.210  x  ;9,4
3.;14.01.;MI;29;9;7;1;22;32;48;1;33.134.694,75;JP;15.303.367,30;3  x  ;441.795,90;18  x  ;46.020,40;784  x  ;2.747,10;1.659  x  ;199,7;44.278  x  ;37,4;47.801  x  ;27,7;810.762  x  ;8,9
;17.01.;SA;38;4;12;32;42;46;47;1;66.975.659,25;JP;18.652.150,20;5  x  ;535.805,20;20  x  ;83.719,50;2.260  x  ;1.926,20;3.302  x  ;202,8;101.519  x  ;32,9;102.027  x  ;26,2;1.625.312  x  ;9
4.;21.01.;MI;10;40;7;5;8;38;36;0;43.885.842,75;JP;20.846.442,30;4  x  ;438.858,40;18  x  ;60.952,50;1.172  x  ;2.433,90;2.061  x  ;212,9;63.876  x  ;34,3;56.546  x  ;31;1.141.341  x  ;8,4
