;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2015;;;;;;;;;;;;;;;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahlen in;;;;;;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Superzahl;;5 Treffer;; 4 Treffer + Superzahl;;4 Treffer;; 3 Treffer + Superzahl;;3 Treffer;; 2 Treffer + Superzahl;;;;;;;;;;;;;;;;;;;;;;;;;
KW;2015;Ziehung;gezogener Reihenfolge;;;;;;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;Festquote 5,- Euro;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;;;;;;;;;;;;;;;;;;;;;;;;;
;14.02.;SA;42;36;29;21;41;23;3;53.810.663,00  ;JP;14.331.880,70  ;3  x  ;675.091,80  ;57  x  ;17.765,50  ;461  x  ;6.589,80  ;3.644  x  ;277,80  ;30.664  x  ;66,00  ;76.757  x  ;26,30  ;642.791  x  ;14,10  ;641.739  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
8.;18.02.;MI;44;24;31;46;42;27;6;27.524.446,00  ;JP;16.093.445,20  ;1  x  ;1.014.228,80  ;39  x  ;13.002,90  ;348  x  ;4.371,60  ;2.451  x  ;206,90  ;20.378  x  ;49,70  ;47.927  x  ;21,10  ;399.734  x  ;11,40  ;371.674  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
;21.02.;SA;41;18;3;31;35;42;1;55.852.291,00  ;2  x  ;9.833.995,90  ;2  x  ;1.056.081,10  ;122  x  ;8.656,40  ;842  x  ;3.762,70  ;5.068  x  ;208,30  ;48.419  x  ;43,60  ;86.004  x  ;24,50  ;887.353  x  ;10,70  ;645.995  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
9.;25.02.;MI;20;38;43;25;30;27;0;22.249.397,00  ;JP;1.423.961,40  ;2  x  ;429.159,10  ;19  x  ;22.587,30  ;241  x  ;5.342,20  ;1.482  x  ;289,50  ;17.841  x  ;48,10  ;28.105  x  ;30,50  ;335.051  x  ;11,50  ;223.511  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
;28.02.;SA;2;45;41;49;20;25;0;50.216.337,00  ;JP;4.637.806,90  ;JP;1.943.344,20  ;45  x  ;21.592,70  ;653  x  ;4.464,00  ;3.150  x  ;308,40  ;36.986  x  ;52,50  ;63.914  x  ;30,40  ;750.352  x  ;11,60  ;492.176  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
10.;04.03.;MI;3;16;48;22;46;36;7;24.257.225,00  ;1  x  ;6.190.269,30  ;2  x  ;1.417.675,10  ;33  x  ;13.515,20  ;254  x  ;5.267,70  ;2.149  x  ;207,50  ;16.259  x  ;54,80  ;39.862  x  ;22,30  ;316.067  x  ;12,60  ;331.218  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
;07.03.;SA;6;19;41;16;7;1;5;49.140.879,00  ;JP;3.145.016,20  ;5  x  ;344.956,30  ;164  x  ;5.258,40  ;1.283  x  ;2.016,50  ;7.636  x  ;112,90  ;60.501  x  ;28,50  ;124.036  x  ;13,90  ;964.297  x  ;8,00  ;835.521  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
11.;11.03.;MI;4;8;42;10;32;28;6;22.830.935,00  ;JP;4.606.196,00  ;2  x  ;413.542,60  ;38  x  ;10.882,70  ;373  x  ;3.326,00  ;2.559  x  ;161,60  ;20.997  x  ;39,30  ;47.606  x  ;17,30  ;390.103  x  ;9,50  ;336.687  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
;14.03.;SA;15;43;48;39;21;23;1;51.055.416,00  ;1  x  ;7.873.742,60  ;1  x  ;1.968.057,10  ;57  x  ;17.263,60  ;635  x  ;4.648,90  ;3.303  x  ;297,90  ;34.927  x  ;56,30  ;63.853  x  ;30,80  ;676.784  x  ;13,00  ;515.918  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
12.;18.03.;MI;40;6;23;25;46;12;9;21.510.601,00  ;JP;1.376.678,40  ;2  x  ;397.949,60  ;59  x  ;6.744,90  ;477  x  ;2.502,80  ;2.166  x  ;183,70  ;21.743  x  ;36,60  ;39.062  x  ;20,30  ;376.484  x  ;9,50  ;283.926  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
