LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2016;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;
;;;Gewinnzahlen in;;;;;;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Superzahl;;5 Treffer;; 4 Treffer + Superzahl;;4 Treffer;; 3 Treffer + Superzahl;;3 Treffer;; 2 Treffer + Superzahl;;;;
KW;2016;Ziehung;gezogener Reihenfolge;;;;;;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;Festquote 5,- Euro;;;;
;;;;;;;;;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;;;;
9.;02.03.;MI;16;40;8;10;17;1;9;22.120.801,00  ;JP;1.415.731,20  ;JP;822.100,40  ;30  x  ;13.701,60  ;285  x  ;4.326,80  ;1.901  x  ;216,20  ;18.672  x  ;44,00  ;37.627  x  ;21,80  ;369.954  x  ;9,90  ;284.733  x  ;;;;
;05.03.;SA;43;10;46;33;7;37;3;48.483.495,00  ;JP;4.518.674,80  ;1  x  ;2.591.547,70  ;93  x  ;9.513,10  ;668  x  ;3.973,30  ;4.879  x  ;181,30  ;42.060  x  ;42,00  ;91.426  x  ;19,30  ;781.837  x  ;10,10  ;688.866  x  ;;;;
10.;09.03.;MI;48;32;37;13;46;10;7;23.455.028,00  ;1  x  ;6.019.796,50  ;2  x  ;423.817,60  ;59  x  ;7.183,30  ;514  x  ;2.473,60  ;2.968  x  ;142,70  ;22.953  x  ;36,90  ;48.604  x  ;17,40  ;375.318  x  ;10,10  ;350.008  x  ;;;;
;12.03.;SA;39;49;30;26;20;47;4;48.034.330,00  ;JP;3.074.197,10  ;3  x  ;603.184,70  ;94  x  ;9.625,20  ;815  x  ;3.330,40  ;4.092  x  ;221,10  ;40.507  x  ;44,60  ;75.013  x  ;24,10  ;723.967  x  ;11,20  ;569.485  x  ;;;;
11.;16.03.;MI;26;9;29;35;11;46;6;22.383.851,00  ;JP;4.506.763,50  ;2  x  ;408.269,70  ;56  x  ;7.290,50  ;333  x  ;3.678,10  ;2.409  x  ;169,40  ;18.992  x  ;42,90  ;42.490  x  ;19,20  ;350.129  x  ;10,40  ;318.793  x  ;;;;
;19.03.;SA;37;4;15;49;44;10;5;48.170.345,00  ;JP;7.589.665,50  ;2  x  ;878.147,70  ;72  x  ;12.196,40  ;459  x  ;5.739,50  ;4.057  x  ;216,40  ;31.710  x  ;55,30  ;81.208  x  ;21,60  ;631.074  x  ;12,50  ;687.863  x  ;;;;
12.;23.03.;MI;44;16;31;22;10;9;0;23.698.638,00  ;1  x  ;9.106.378,30  ;2  x  ;450.664,80  ;31  x  ;14.537,50  ;341  x  ;3.964,70  ;1.616  x  ;278,80  ;19.907  x  ;45,20  ;34.215  x  ;26,30  ;391.762  x  ;10,30  ;263.862  x  ;;;;
;26.03.;SA;31;1;41;40;3;33;5;49.351.753,00  ;JP;3.158.512,10  ;2  x  ;882.184,70  ;92  x  ;9.588,90  ;681  x  ;3.886,20  ;5.068  x  ;174,00  ;40.872  x  ;43,10  ;102.485  x  ;17,20  ;813.007  x  ;9,70  ;774.734  x  ;;;;
13.;30.03.;MI;13;5;1;41;9;26;1;21.347.637,00  ;1  x  ;5.319.643,80  ;unbesetzt;;59  x  ;6.736,20  ;502  x  ;2.375,10  ;2.613  x  ;152,10  ;26.140  x  ;30,40  ;41.764  x  ;19,00  ;426.025  x  ;8,30  ;271.748  x  ;;;;
;02.04.;SA;38;1;23;28;17;10;6;46.620.510,00  ;JP;2.983.712,60  ;4  x  ;424.412,30  ;77  x  ;11.023,60  ;671  x  ;3.795,00  ;4.619  x  ;183,70  ;41.681  x  ;40,70  ;90.093  x  ;18,80  ;786.564  x  ;9,70  ;670.010  x  ;;;;
14.;06.04.;MI;6;30;33;42;25;19;4;22.129.886,00  ;JP;4.400.025,30  ;1  x  ;813.329,00  ;49  x  ;8.299,20  ;422  x  ;2.890,90  ;2.575  x  ;157,90  ;23.533  x  ;34,50  ;43.036  x  ;18,80  ;407.464  x  ;8,90  ;303.068  x  ;;;;
;09.04.;SA;1;4;47;39;38;46;2;47.714.308,00  ;JP;7.453.741,00  ;3  x  ;599.822,90  ;37  x  ;24.317,10  ;431  x  ;6.262,60  ;2.700  x  ;333,20  ;25.962  x  ;69,30  ;62.219  x  ;28,90  ;591.681  x  ;13,60  ;561.750  x  ;;;;
