LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2003;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));;;;;
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;;;;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;;;;;
KW;2003;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;;;;;
9.;26.02.;MI;10;11;39;17;14;19;25;9;25.185.525,75  ;JP;755.565,70  ;3  x  ;335.807,00  ;12  x  ;52.469,80  ;620  x  ;2.640,40  ;2.179  x  ;115,50  ;32.005  x  ;43,20  ;63.824  x  ;21,70  ;595.662  x  ;9,30  ;;;;;
;01.03.;SA;18;45;14;10;40;30;39;8;74.629.248,00  ;3  x  ;998.147,70  ;14  x  ;213.226,40  ;24  x  ;77.738,80  ;3.050  x  ;1.590,40  ;4.173  x  ;178,80  ;117.537  x  ;34,90  ;119.566  x  ;34,30  ;1.687.193  x  ;9,70  ;;;;;
10.;05.03.;MI;20;26;43;4;49;36;12;0;25.128.126,75  ;JP;753.843,80  ;2  x  ;502.562,50  ;13  x  ;48.323,30  ;325  x  ;5.025,60  ;1.147  x  ;219,00  ;20.238  x  ;68,20  ;35.167  x  ;39,20  ;437.712  x  ;12,60  ;;;;;
;08.03.;SA;39;12;46;45;14;17;26;7;74.079.824,25  ;1  x  ;5.939.431,50  ;unbesetzt;;30  x  ;61.733,10  ;993  x  ;4.849,10  ;4.121  x  ;179,70  ;62.958  x  ;64,70  ;129.634  x  ;31,40  ;1.321.537  x  ;12,30  ;;;;;
11.;12.03.;MI;7;33;6;37;19;34;30;5;25.176.258,00  ;JP;755.287,70  ;1  x  ;1.007.050,30  ;19  x  ;33.126,60  ;665  x  ;2.460,80  ;1.413  x  ;178,10  ;37.124  x  ;37,20  ;44.837  x  ;30,80  ;664.431  x  ;8,30  ;;;;;
;15.03.;SA;47;7;33;46;42;13;49;6;73.702.567,50  ;JP;2.966.364,70  ;2  x  ;1.474.051,30  ;31  x  ;59.437,50  ;1.713  x  ;2.796,60  ;4.521  x  ;163,00  ;92.687  x  ;43,70  ;135.982  x  ;29,80  ;1.632.893  x  ;9,90  ;;;;;
12.;19.03.;MI;37;33;9;16;23;20;13;1;25.960.047,00  ;JP;3.745.166,10  ;1  x  ;1.038.401,80  ;21  x  ;30.904,80  ;874  x  ;1.930,60  ;2.060  x  ;126,00  ;41.458  x  ;34,40  ;50.405  x  ;28,30  ;596.513  x  ;9,50  ;;;;;
;22.03.;SA;45;36;47;28;17;44;33;7;74.834.136,75  ;JP;5.990.190,20  ;2  x  ;1.496.682,70  ;29  x  ;64.512,10  ;995  x  ;4.888,60  ;4.472  x  ;167,30  ;68.214  x  ;60,30  ;128.571  x  ;32,00  ;1.357.980  x  ;12,10  ;;;;;
13.;26.03.;MI;15;32;16;44;37;25;47;7;29.437.146,00  ;1  x  ;6.873.304,50  ;4  x  ;294.371,40  ;18  x  ;40.884,90  ;645  x  ;2.966,50  ;1.711  x  ;172,00  ;34.830  x  ;46,40  ;51.119  x  ;31,60  ;654.373  x  ;9,80  ;;;;;
;29.03.;SA;14;22;43;46;16;18;9;5;73.180.437,75  ;JP;2.195.413,10  ;JP;2.927.217,50  ;17  x  ;107.618,20  ;831  x  ;5.724,10  ;2.361  x  ;309,90  ;56.799  x  ;70,80  ;89.382  x  ;45,00  ;1.169.763  x  ;13,70  ;;;;;
14.;02.04.;MI;1;21;19;16;14;17;41;9;27.581.466,75  ;JP;3.022.857,10  ;2  x  ;2.015.238,00  ;8  x  ;86.192,00  ;644  x  ;2.783,80  ;995  x  ;277,20  ;34.085  x  ;44,50  ;35.974  x  ;42,10  ;563.517  x  ;10,70  ;;;;;
;05.04.;SA;9;3;1;19;47;42;44;1;75.888.930,00  ;2  x  ;2.649.762,50  ;6  x  ;505.926,20  ;38  x  ;49.926,90  ;2.165  x  ;2.278,40  ;4.355  x  ;174,20  ;117.205  x  ;36,10  ;113.647  x  ;36,10  ;1.991.973  x  ;8,30  ;;;;;
15.;09.04.;MI;39;5;11;17;48;20;44;3;32.964.273,00  ;JP;988.928,10  ;2  x  ;659.285,40  ;14  x  ;58.864,70  ;884  x  ;2.423,80  ;2.190  x  ;150,50  ;44.974  x  ;40,30  ;52.666  x  ;34,40  ;767.249  x  ;9,40  ;;;;;
;12.04.;SA;27;32;34;40;14;13;20;1;72.882.963,00  ;1  x  ;3.175.416,90  ;6  x  ;485.886,40  ;42  x  ;43.382,70  ;1.239  x  ;3.823,50  ;3.881  x  ;187,70  ;72.654  x  ;55,10  ;104.724  x  ;38,20  ;1.505.216  x  ;10,60  ;;;;;
16.;16.04.;MI;42;5;4;8;35;34;49;6;25.008.371,25  ;JP;750.251,10  ;JP;1.000.334,80  ;20  x  ;31.260,40  ;388  x  ;4.189,50  ;1.065  x  ;234,80  ;23.110  x  ;59,50  ;32.886  x  ;41,80  ;476.876  x  ;11,50  ;;;;;
;19.04.;SA;10;31;4;46;3;16;43;1;72.198.424,50  ;JP;2.916.203,80  ;13  x  ;299.097,80  ;25  x  ;72.198,40  ;1.699  x  ;2.762,10  ;3.756  x  ;192,20  ;100.995  x  ;40,10  ;96.766  x  ;40,10  ;1.760.794  x  ;9,00  ;;;;;
17.;23.04.;MI;25;14;46;9;6;5;42;7;24.579.793,50  ;JP;3.653.597,60  ;JP;983.191,70  ;13  x  ;47.268,80  ;549  x  ;2.910,10  ;1.343  x  ;183,00  ;32.290  x  ;41,80  ;34.409  x  ;39,20  ;587.118  x  ;9,20  ;;;;;
;26.04.;SA;45;26;17;31;8;24;6;9;73.924.533,00  ;JP;5.871.333,50  ;6  x  ;656.695,50  ;47  x  ;39.321,50  ;1.810  x  ;2.654,70  ;4.998  x  ;147,90  ;109.506  x  ;37,10  ;137.908  x  ;29,40  ;1.726.194  x  ;9,40  ;;;;;
18.;30.04.;MI;26;30;22;17;23;45;10;7;30.804.039,75  ;JP;6.795.454,60  ;1  x  ;1.232.161,50  ;12  x  ;64.175,00  ;475  x  ;4.215,20  ;1.699  x  ;181,30  ;32.005  x  ;52,90  ;52.315  x  ;32,30  ;653.851  x  ;10,30  ;;;;;
;03.05.;SA;41;32;5;14;48;23;27;3;77.871.872,25  ;16  x  ;570.725,60  ;117  x  ;26.622,80  ;121  x  ;16.089,20  ;4.965  x  ;1.019,40  ;6.209  x  ;125,40  ;94.856  x  ;45,10  ;153.710  x  ;27,80  ;1.605.679  x  ;10,60  ;;;;;
19.;07.05.;MI;13;12;25;9;29;33;31;2;25.199.939,25  ;2  x  ;377.999,00  ;6  x  ;167.999,50  ;15  x  ;41.999,80  ;714  x  ;2.294,10  ;1.962  x  ;128,40  ;38.082  x  ;36,30  ;51.384  x  ;26,90  ;682.762  x  ;8,10  ;;;;;
;10.05.;SA;9;20;13;38;11;7;2;4;71.203.663,50  ;JP;2.136.109,90  ;6  x  ;474.691,00  ;53  x  ;33.586,60  ;1.943  x  ;2.382,00  ;7.422  x  ;95,90  ;115.262  x  ;33,90  ;174.364  x  ;22,40  ;1.913.481  x  ;8,10  ;;;;;
20.;14.05.;MI;15;45;25;38;28;40;47;6;25.479.837,00  ;JP;2.900.505,00  ;3  x  ;339.731,10  ;10  x  ;63.699,50  ;512  x  ;3.234,70  ;1.170  x  ;217,70  ;28.708  x  ;48,80  ;38.159  x  ;36,70  ;527.271  x  ;10,60  ;;;;;
;17.05.;SA;22;10;44;37;35;1;3;3;73.218.318,75  ;JP;5.097.054,50  ;8  x  ;366.091,50  ;18  x  ;101.692,10  ;1.248  x  ;3.813,40  ;3.115  x  ;235,00  ;67.274  x  ;59,80  ;97.127  x  ;41,40  ;1.284.033  x  ;12,50  ;;;;;
21.;21.05.;MI;19;35;29;10;28;33;43;2;28.595.750,25  ;JP;5.954.927,00  ;1  x  ;1.143.830,00  ;12  x  ;59.574,40  ;643  x  ;2.890,70  ;1.333  x  ;214,50  ;33.461  x  ;47,00  ;37.866  x  ;41,50  ;615.021  x  ;10,20  ;;;;;
;24.05.;SA;33;3;28;46;14;15;4;5;77.098.881,75  ;1  x  ;8.267.893,40  ;7  x  ;440.565,00  ;21  x  ;91.784,30  ;1.584  x  ;3.163,70  ;3.116  x  ;247,40  ;78.328  x  ;54,10  ;100.029  x  ;42,30  ;1.446.556  x  ;11,70  ;;;;;
22.;28.05.;MI;20;31;8;39;46;40;37;5;25.158.641,25  ;1  x  ;754.759,20  ;2  x  ;503.172,80  ;10  x  ;62.896,60  ;378  x  ;4.326,20  ;1.090  x  ;230,80  ;24.432  x  ;56,60  ;35.893  x  ;38,50  ;484.845  x  ;11,40  ;;;;;
;31.05.;SA;38;24;26;12;21;29;10;1;69.746.460,00  ;1  x  ;2.092.393,80  ;4  x  ;697.464,60  ;74  x  ;23.562,90  ;1.869  x  ;2.425,60  ;9.759  x  ;71,40  ;99.792  x  ;38,40  ;146.919  x  ;26,10  ;1.689.645  x  ;9,00  ;;;;;
23.;04.06.;MI;11;32;3;34;36;43;46;5;43.505.253,75  ;JP;1.305.157,60  ;1  x  ;1.740.210,10  ;27  x  ;40.282,60  ;1.020  x  ;2.772,30  ;2.609  x  ;166,70  ;56.525  x  ;42,30  ;70.498  x  ;33,90  ;990.241  x  ;9,60  ;;;;;
;07.06.;SA;44;2;37;34;38;41;11;7;70.895.484,75  ;JP;3.432.022,10  ;2  x  ;1.417.909,60  ;21  x  ;84.399,30  ;1.137  x  ;4.052,90  ;3.436  x  ;206,30  ;67.499  x  ;57,70  ;118.522  x  ;32,80  ;1.376.897  x  ;11,30  ;;;;;
24.;11.06.;MI;38;6;31;49;20;22;47;9;24.687.024,00  ;JP;4.172.632,80  ;JP;987.480,90  ;9  x  ;68.575,00  ;366  x  ;4.384,30  ;1.153  x  ;214,10  ;22.433  x  ;60,50  ;34.122  x  ;39,70  ;458.009  x  ;11,80  ;;;;;
