LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2004;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));;;;;;
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;;;;;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;;;;;;
KW;2004;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;;;;;;
9.;25.02.;MI;28;49;5;11;21;13;30;4;26.165.491,50  ;1  x  ;4.806.494,70  ;2  x  ;523.309,80  ;12  x  ;54.511,40  ;696  x  ;2.443,60  ;1.499  x  ;174,50  ;34.146  x  ;38,30  ;41.029  x  ;25,50  ;602.625  x  ;9,50  ;;;;;;
;28.02.;SA;24;6;38;18;29;1;41;5;70.691.586,00  ;2  x  ;3.181.121,30  ;unbesetzt;;47  x  ;37.601,90  ;1.762  x  ;2.607,80  ;4.308  x  ;164,00  ;95.302  x  ;37,00  ;109.034  x  ;25,90  ;1.678.158  x  ;9,20  ;;;;;;
10.;03.03.;MI;22;29;49;20;44;46;5;7;27.647.736,00  ;1  x  ;2.488.296,20  ;unbesetzt;;8  x  ;86.399,10  ;363  x  ;4.950,60  ;1.129  x  ;244,80  ;20.958  x  ;65,90  ;36.462  x  ;30,30  ;450.620  x  ;13,40  ;;;;;;
;06.03.;SA;38;46;24;1;37;3;20;4;72.777.135,00  ;1  x  ;3.638.856,70  ;5  x  ;582.217,00  ;33  x  ;55.134,10  ;1.272  x  ;3.718,90  ;3.416  x  ;213,00  ;76.982  x  ;47,20  ;101.224  x  ;28,70  ;1.550.975  x  ;10,30  ;;;;;;
11.;10.03.;MI;40;47;38;4;8;17;45;2;25.846.128,00  ;JP;1.292.306,40  ;JP;1.033.845,10  ;9  x  ;71.794,80  ;598  x  ;2.809,30  ;1.087  x  ;237,70  ;33.385  x  ;38,70  ;37.354  x  ;27,60  ;591.590  x  ;9,60  ;;;;;;
;13.03.;SA;28;32;6;48;21;20;30;9;71.004.135,00  ;JP;4.842.513,10  ;5  x  ;774.802,10  ;21  x  ;84.528,70  ;1.143  x  ;4.037,80  ;3.045  x  ;233,10  ;75.892  x  ;46,70  ;95.521  x  ;29,70  ;1.468.571  x  ;10,60  ;;;;;;
12.;17.03.;MI;1;29;15;21;12;34;23;4;27.498.800,25  ;JP;6.217.453,10  ;JP;1.099.952,00  ;15  x  ;45.831,30  ;414  x  ;4.317,40  ;1.091  x  ;252,00  ;26.235  x  ;52,40  ;36.869  x  ;29,80  ;490.623  x  ;12,30  ;;;;;;
;20.03.;SA;16;27;24;32;10;3;11;4;75.827.949,00  ;2  x  ;5.004.425,20  ;13  x  ;317.928,40  ;75  x  ;25.275,90  ;3.301  x  ;1.493,10  ;8.889  x  ;85,30  ;141.475  x  ;26,70  ;199.541  x  ;15,20  ;2.160.079  x  ;7,70  ;;;;;;
13.;24.03.;MI;9;31;3;11;44;8;41;6;25.594.463,25  ;JP;1.279.723,10  ;1  x  ;1.023.778,50  ;13  x  ;49.220,10  ;635  x  ;2.619,90  ;1.814  x  ;141,00  ;38.560  x  ;33,10  ;50.237  x  ;20,30  ;679.392  x  ;8,20  ;;;;;;
;27.03.;SA;26;40;49;47;30;28;13;0;69.796.656,00  ;1  x  ;4.769.555,90  ;10  x  ;279.186,60  ;15  x  ;116.327,70  ;1.506  x  ;3.012,40  ;3.685  x  ;189,40  ;76.780  x  ;45,40  ;108.956  x  ;25,60  ;1.432.145  x  ;10,70  ;;;;;;
