;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2014;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;
;;;Gewinnzahlen in;;;;;;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Superzahl;;5 Treffer;; 4 Treffer + Superzahl;;4 Treffer;; 3 Treffer + Superzahl;;3 Treffer;; 2 Treffer + Superzahl;;;;
KW;2014;Ziehung;gezogener Reihenfolge;;;;;;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;Festquote 5,- Euro;;;;
;;;;;;;;;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;;;;
9.;26.02.;MI;19;31;9;8;48;11;7;34.602.432,00  ;JP;22.596.423,40  ;3  x  ;399.448,80  ;93  x  ;6.442,70  ;682  x  ;2.635,60  ;5.292  x  ;113,20  ;39.910  x  ;30,00  ;92.560  x  ;12,90  ;690.008  x  ;7,80  ;620.639  x  ;;;;
;01.03.;SA;5;47;13;24;28;38;1;67.560.725,00  ;1  x  ;26.920.309,80  ;14  x  ;181.774,80  ;165  x  ;7.711,60  ;1.826  x  ;2.090,50  ;6.926  x  ;183,70  ;73.820  x  ;34,40  ;111.454  x  ;22,80  ;1.179.989  x  ;9,70  ;801.599  x  ;;;;
10.;05.03.;MI;33;44;5;34;13;16;3;25.044.081,00  ;JP;1.602.821,10  ;1  x  ;913.262,40  ;44  x  ;10.377,90  ;374  x  ;3.662,80  ;2.513  x  ;181,70  ;20.541  x  ;44,40  ;46.715  x  ;19,50  ;388.576  x  ;10,50  ;357.319  x  ;;;;
;08.03.;SA;32;45;10;16;24;43;9;53.547.517,00  ;JP;5.029.862,10  ;4  x  ;501.614,90  ;83  x  ;12.087,10  ;800  x  ;3.762,10  ;4.681  x  ;214,30  ;46.317  x  ;43,30  ;88.962  x  ;22,50  ;863.040  x  ;10,40  ;656.424  x  ;;;;
11.;12.03.;MI;12;27;4;38;7;31;4;25.508.865,00  ;JP;6.662.429,40  ;3  x  ;306.937,10  ;84  x  ;5.481,00  ;603  x  ;2.290,50  ;3.566  x  ;129,10  ;30.289  x  ;30,40  ;56.807  x  ;16,20  ;513.588  x  ;8,00  ;382.750  x  ;;;;
;15.03.;SA;33;3;23;36;12;41;9;54.951.014,00  ;JP;10.179.294,20  ;17  x  ;119.974,60  ;156  x  ;6.537,00  ;1.536  x  ;1.991,70  ;6.597  x  ;154,50  ;64.173  x  ;31,70  ;104.159  x  ;19,50  ;1.026.083  x  ;8,90  ;712.590  x  ;;;;
12.;19.03.;MI;23;7;1;40;25;10;3;27.612.793,00  ;1  x  ;11.946.512,90  ;7  x  ;141.422,30  ;94  x  ;5.265,70  ;779  x  ;1.906,20  ;4.073  x  ;121,50  ;35.643  x  ;27,70  ;66.151  x  ;14,90  ;565.886  x  ;7,80  ;427.923  x  ;;;;
;22.03.;SA;7;46;34;29;30;10;6;51.893.284,00  ;1  x  ;5.241.791,30  ;unbesetzt;;111  x  ;8.651,40  ;987  x  ;2.918,80  ;4.913  x  ;195,40  ;44.265  x  ;43,30  ;89.728  x  ;21,40  ;797.721  x  ;10,80  ;683.852  x  ;;;;
13.;26.03.;MI;22;38;3;43;30;36;4;22.867.155,00  ;JP;1.463.497,90  ;1  x  ;863.547,40  ;33  x  ;13.084,00  ;248  x  ;5.223,00  ;1.598  x  ;270,10  ;14.065  x  ;61,30  ;32.294  x  ;26,70  ;297.333  x  ;13,00  ;266.921  x  ;;;;
;29.03.;SA;24;20;11;8;7;5;1;51.330.778,00  ;JP;4.748.667,60  ;12  x  ;157.633,40  ;220  x  ;4.299,00  ;2.106  x  ;1.347,20  ;7.929  x  ;119,20  ;80.373  x  ;23,50  ;111.779  x  ;16,90  ;1.139.855  x  ;7,40  ;692.840  x  ;;;;
14.;02.04.;MI;28;48;42;20;4;6;0;24.366.155,00  ;1  x  ;6.308.101,50  ;2  x  ;466.147,90  ;32  x  ;14.567,10  ;307  x  ;4.555,10  ;1.740  x  ;267,90  ;17.940  x  ;51,90  ;32.699  x  ;28,50  ;353.208  x  ;11,80  ;260.137  x  ;;;;
;05.04.;SA;37;14;21;17;42;47;4;57.792.444,00  ;1  x  ;3.698.716,40  ;2  x  ;1.088.804,20  ;95  x  ;11.461,00  ;1.066  x  ;3.064,10  ;5.381  x  ;202,30  ;51.928  x  ;41,90  ;94.763  x  ;22,90  ;898.134  x  ;10,90  ;684.284  x  ;;;;
15.;09.04.;MI;39;32;46;43;12;6;9;22.547.832,00  ;JP;1.443.061,20  ;JP;843.479,90  ;34  x  ;12.404,10  ;326  x  ;3.881,00  ;1.763  x  ;239,20  ;17.996  x  ;46,80  ;35.479  x  ;23,70  ;352.087  x  ;10,70  ;279.211  x  ;;;;
;12.04.;SA;48;28;38;16;13;49;1;50.337.730,00  ;1  x  ;4.664.675,90  ;2  x  ;1.377.722,20  ;123  x  ;7.772,20  ;870  x  ;3.296,40  ;4.453  x  ;214,60  ;46.096  x  ;41,40  ;75.770  x  ;25,20  ;789.341  x  ;10,90  ;565.521  x  ;;;;
16.;16.04.;MI;24;18;35;49;30;28;8;22.500.628,00  ;JP;1.440.040,10  ;1  x  ;825.037,30  ;25  x  ;16.500,70  ;226  x  ;5.475,90  ;1.884  x  ;218,90  ;14.286  x  ;57,70  ;39.825  x  ;20,70  ;312.633  x  ;11,80  ;311.980  x  ;;;;
;19.04.;SA;48;46;25;3;47;4;4;52.701.342,00  ;1  x  ;4.812.925,90  ;6  x  ;325.426,10  ;95  x  ;10.276,60  ;941  x  ;3.112,40  ;4.194  x  ;232,70  ;37.811  x  ;51,60  ;84.416  x  ;23,10  ;770.465  x  ;11,40  ;690.443  x  ;;;;
17.;23.04.;MI;22;40;44;23;12;13;3;21.355.010,00  ;JP;1.366.720,60  ;1  x  ;774.676,40  ;50  x  ;7.746,70  ;378  x  ;3.074,10  ;2.216  x  ;174,70  ;17.096  x  ;45,30  ;40.945  x  ;18,90  ;311.376  x  ;11,10  ;312.804  x  ;;;;
;26.04.;SA;35;23;34;3;48;7;1;48.917.980,00  ;JP;4.497.471,30  ;3  x  ;612.539,60  ;93  x  ;9.879,60  ;801  x  ;3.441,20  ;4.319  x  ;212,70  ;44.764  x  ;41,00  ;77.530  x  ;23,70  ;808.283  x  ;10,20  ;590.410  x  ;;;;
18.;30.04.;MI;35;48;38;6;10;30;6;24.138.581,00  ;1  x  ;6.042.340,40  ;1  x  ;888.791,10  ;52  x  ;8.546,00  ;366  x  ;3.642,50  ;2.249  x  ;197,50  ;19.241  x  ;46,10  ;43.212  x  ;20,50  ;369.648  x  ;10,80  ;327.302  x  ;;;;
;03.05.;SA;35;41;14;40;34;2;3;49.773.573,00  ;JP;3.185.508,60  ;2  x  ;939.237,30  ;39  x  ;24.083,00  ;438  x  ;6.433,10  ;2.991  x  ;314,00  ;26.329  x  ;71,30  ;64.011  x  ;29,30  ;563.208  x  ;15,00  ;583.306  x  ;;;;
19.;07.05.;MI;25;1;23;30;28;19;9;23.079.230,00  ;JP;4.662.579,30  ;JP;861.212,40  ;27  x  ;15.948,30  ;292  x  ;4.424,00  ;1.799  x  ;239,30  ;17.529  x  ;49,10  ;36.820  x  ;23,30  ;353.511  x  ;10,90  ;290.084  x  ;;;;
;10.05.;SA;26;21;42;9;11;20;1;50.914.794,00  ;JP;7.921.126,10  ;JP;2.763.388,40  ;61  x  ;15.591,60  ;694  x  ;4.111,30  ;4.301  x  ;221,10  ;45.046  x  ;42,20  ;84.884  x  ;22,40  ;865.964  x  ;9,80  ;635.418  x  ;;;;
20.;14.05.;MI;2;32;39;22;30;7;8;24.794.506,00  ;JP;9.507.974,40  ;1  x  ;3.667.344,80  ;23  x  ;19.651,20  ;258  x  ;5.255,50  ;2.066  x  ;218,70  ;18.286  x  ;49,40  ;44.574  x  ;20,20  ;385.857  x  ;10,50  ;354.168  x  ;;;;
;17.05.;SA;39;9;37;21;42;24;9;53.045.228,00  ;JP;12.902.868,90  ;3  x  ;658.637,80  ;140  x  ;7.056,80  ;1.218  x  ;2.433,30  ;6.136  x  ;161,00  ;56.734  x  ;34,80  ;95.142  x  ;20,70  ;904.148  x  ;9,80  ;673.717  x  ;;;;
21.;21.05.;MI;6;21;2;16;5;31;4;26.074.172,00  ;JP;14.571.615,90  ;3  x  ;318.958,90  ;57  x  ;8.393,60  ;622  x  ;2.307,50  ;2.959  x  ;161,60  ;28.321  x  ;33,70  ;51.289  x  ;18,60  ;481.209  x  ;8,90  ;359.914  x  ;;;;
;24.05.;SA;2;34;7;16;27;13;9;55.016.826,00  ;JP;18.092.692,70  ;1  x  ;2.034.373,60  ;104  x  ;9.780,60  ;1.050  x  ;2.906,20  ;5.950  x  ;170,90  ;57.408  x  ;35,40  ;103.869  x  ;19,50  ;1.013.588  x  ;9,00  ;728.720  x  ;;;;
22.;28.05.;MI;16;29;13;44;40;10;0;30.511.638,00  ;JP;20.045.437,50  ;JP;1.174.747,40  ;40  x  ;14.684,30  ;412  x  ;4.276,90  ;2.044  x  ;287,30  ;24.263  x  ;48,40  ;39.608  x  ;29,60  ;454.274  x  ;11,60  ;311.120  x  ;;;;
;31.05.;SA;17;31;19;13;41;5;5;57.992.426,00  ;1  x  ;23.756.952,70  ;5  x  ;638.846,90  ;290  x  ;3.481,80  ;2.251  x  ;1.345,70  ;12.101  x  ;83,40  ;89.107  x  ;22,60  ;168.969  x  ;11,90  ;1.278.394  x  ;7,10  ;1.017.965  x  ;;;;
23.;04.06.;MI;27;24;20;21;43;28;0;23.106.035,00  ;JP;1.478.786,20  ;1  x  ;903.314,10  ;29  x  ;15.574,30  ;295  x  ;4.593,10  ;1.071  x  ;421,70  ;12.769  x  ;70,70  ;22.634  x  ;39,90  ;274.191  x  ;14,80  ;208.218  x  ;;;;
;07.06.;SA;42;12;47;35;27;23;2;50.565.483,00  ;JP;4.714.977,10  ;2  x  ;948.871,20  ;79  x  ;12.011,00  ;817  x  ;3.484,20  ;4.457  x  ;212,80  ;42.577  x  ;44,50  ;79.944  x  ;23,70  ;757.838  x  ;11,20  ;613.825  x  ;;;;
24.;11.06.;MI;43;11;3;6;44;21;1;22.783.092,00  ;JP;6.173.094,90  ;JP;848.365,30  ;38  x  ;11.162,70  ;359  x  ;3.544,70  ;2.158  x  ;196,50  ;20.181  x  ;42,00  ;39.669  x  ;21,30  ;384.704  x  ;9,90  ;289.955  x  ;;;;
;14.06.;SA;17;42;6;11;12;47;5;51.481.875,00  ;1  x  ;9.467.934,90  ;4  x  ;667.059,20  ;105  x  ;8.666,00  ;735  x  ;3.714,00  ;5.702  x  ;159,50  ;44.684  x  ;40,70  ;113.743  x  ;15,90  ;892.105  x  ;9,10  ;849.476  x  ;;;;
25.;18.06.;MI;6;20;43;33;38;28;5;22.217.048,00  ;JP;1.421.891,00  ;2  x  ;406.901,10  ;42  x  ;9.688,10  ;324  x  ;3.767,60  ;2.389  x  ;170,30  ;18.076  x  ;45,00  ;40.365  x  ;20,10  ;328.483  x  ;11,10  ;309.722  x  ;;;;
;21.06.;SA;41;30;12;32;44;21;5;49.027.506,00  ;JP;4.559.651,30  ;1  x  ;1.778.465,70  ;130  x  ;6.840,20  ;892  x  ;2.990,60  ;5.480  x  ;162,20  ;43.196  x  ;41,10  ;95.432  x  ;18,60  ;744.422  x  ;10,70  ;718.267  x  ;;;;
26.;25.06.;MI;34;1;7;6;13;28;4;23.094.326,00  ;JP;6.037.688,10  ;1  x  ;848.699,10  ;44  x  ;9.644,30  ;428  x  ;2.974,40  ;2.418  x  ;175,40  ;22.645  x  ;37,40  ;43.916  x  ;19,30  ;407.855  x  ;9,30  ;316.427  x  ;;;;
;28.06.;SA;36;39;2;32;18;26;3;50.872.639,00  ;JP;9.293.536,90  ;2  x  ;932.178,70  ;98  x  ;9.512,00  ;814  x  ;3.435,50  ;5.410  x  ;172,30  ;47.087  x  ;39,50  ;97.467  x  ;19,10  ;857.867  x  ;9,70  ;707.379  x  ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2014;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;
;;;Gewinnzahlen in;;;;;;Su-;Spieleinsatz;6 Treffer + Superzahl;;6 Treffer;; 5 Treffer + Superzahl;;5 Treffer;; 4 Treffer + Superzahl;;4 Treffer;; 3 Treffer + Superzahl;;3 Treffer;; 2 Treffer + Superzahl;;;;
KW;2014;Ziehung;gezogener Reihenfolge;;;;;;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;Festquote 5,- Euro;;;;
;;;;;;;;;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;;;;
27.;02.07.;MI;18;15;10;41;44;6;8;25.589.401,00  ;1  x  ;11.871.609,90  ;unbesetzt;;45  x  ;10.448,30  ;387  x  ;3.644,70  ;2.298  x  ;204,60  ;19.461  x  ;48,30  ;44.577  x  ;21,00  ;377.981  x  ;11,10  ;350.693  x  ;;;;
;05.07.;SA;38;22;41;6;24;10;0;49.203.141,00  ;JP;3.149.001,00  ;5  x  ;376.218,60  ;106  x  ;8.873,00  ;1.431  x  ;1.971,70  ;4.958  x  ;189,70  ;58.784  x  ;32,00  ;77.217  x  ;24,30  ;929.222  x  ;9,10  ;528.327  x  ;;;;
28.;09.07.;MI;26;3;45;25;4;18;3;22.827.057,00  ;JP;4.609.932,60  ;JP;812.783,10  ;39  x  ;10.420,20  ;436  x  ;2.796,20  ;2.572  x  ;158,00  ;20.952  x  ;38,70  ;48.555  x  ;16,70  ;396.269  x  ;9,20  ;364.953  x  ;;;;
;12.07.;SA;39;26;17;5;29;37;2;50.383.836,00  ;1  x  ;7.834.498,10  ;5  x  ;538.671,60  ;141  x  ;6.668,70  ;1.417  x  ;1.990,70  ;5.927  x  ;158,60  ;58.827  x  ;31,90  ;91.222  x  ;20,60  ;898.910  x  ;9,40  ;632.320  x  ;;;;
29.;16.07.;MI;29;26;41;17;31;3;5;21.638.208,00  ;JP;1.384.845,30  ;4  x  ;192.628,20  ;94  x  ;4.098,40  ;759  x  ;1.522,70  ;3.764  x  ;102,30  ;29.103  x  ;26,40  ;53.278  x  ;14,40  ;415.201  x  ;8,30  ;345.826  x  ;;;;
;21.07.;SA;41;19;49;5;34;6;0;47.967.052,00  ;JP;4.454.736,60  ;4  x  ;457.348,20  ;70  x  ;13.067,00  ;851  x  ;3.224,50  ;3.737  x  ;244,70  ;46.077  x  ;39,70  ;70.898  x  ;25,80  ;851.165  x  ;9,60  ;523.941  x  ;;;;
30.;23.07.;MI;33;25;15;9;38;20;5;22.426.324,00  ;1  x  ;5.890.021,30  ;4  x  ;201.407,00  ;74  x  ;5.443,40  ;514  x  ;2.351,00  ;3.016  x  ;133,50  ;22.912  x  ;35,10  ;50.635  x  ;15,90  ;388.192  x  ;9,30  ;344.319  x  ;;;;
;26.07.;SA;26;33;38;30;14;28;7;47.747.022,00  ;JP;3.055.809,40  ;1  x  ;1.722.087,10  ;50  x  ;17.220,80  ;567  x  ;4.555,70  ;4.576  x  ;188,10  ;33.982  x  ;50,60  ;92.274  x  ;18,60  ;695.891  x  ;11,10  ;719.366  x  ;;;;
31.;30.07.;MI;9;37;13;12;10;11;3;22.378.699,00  ;JP;4.488.046,10  ;3  x  ;262.713,90  ;159  x  ;2.478,40  ;1.165  x  ;1.014,70  ;2.860  x  ;137,70  ;22.328  x  ;35,20  ;50.482  x  ;15,60  ;407.456  x  ;8,70  ;375.139  x  ;;;;
;02.08.;SA;11;6;41;8;20;40;7;50.086.841,00  ;JP;7.693.603,90  ;3  x  ;598.903,20  ;92  x  ;9.764,70  ;854  x  ;3.155,80  ;5.621  x  ;159,80  ;46.127  x  ;38,90  ;105.597  x  ;17,00  ;834.357  x  ;9,60  ;774.153  x  ;;;;
32.;06.08.;MI;6;31;45;21;5;7;1;24.249.816,00  ;JP;9.245.592,10  ;1  x  ;895.129,40  ;27  x  ;16.576,40  ;377  x  ;3.561,50  ;2.541  x  ;176,10  ;23.110  x  ;38,70  ;44.298  x  ;20,20  ;427.268  x  ;9,40  ;324.325  x  ;;;;
;09.08.;SA;15;22;3;40;11;37;5;52.010.663,00  ;1  x  ;12.574.274,50  ;6  x  ;312.481,00  ;89  x  ;10.533,00  ;731  x  ;3.847,20  ;5.456  x  ;171,80  ;41.271  x  ;45,40  ;101.342  x  ;18,50  ;778.650  x  ;10,80  ;785.557  x  ;;;;
33.;13.08.;MI;36;41;46;3;30;24;6;21.833.680,00  ;JP;1.397.355,50  ;JP;810.498,40  ;34  x  ;11.919,00  ;298  x  ;4.079,60  ;1.882  x  ;215,30  ;16.115  x  ;50,20  ;36.138  x  ;22,40  ;314.144  x  ;11,60  ;282.900  x  ;;;;
;16.08.;SA;10;49;29;2;15;5;8;48.517.926,00  ;JP;4.502.502,70  ;2  x  ;1.289.416,90  ;116  x  ;7.622,10  ;959  x  ;2.765,90  ;5.656  x  ;156,30  ;46.671  x  ;37,80  ;97.427  x  ;18,10  ;791.765  x  ;10,00  ;694.092  x  ;;;;
34.;20.08.;MI;35;3;28;1;22;31;4;22.656.692,00  ;JP;5.952.530,90  ;1  x  ;843.809,20  ;23  x  ;18.343,60  ;232  x  ;5.455,60  ;1.709  x  ;246,80  ;15.434  x  ;54,60  ;35.011  x  ;24,10  ;322.809  x  ;11,70  ;288.045  x  ;;;;
;23.08.;SA;7;9;23;10;18;36;7;49.885.934,00  ;1  x  ;9.145.230,60  ;2  x  ;867.085,30  ;115  x  ;7.539,80  ;999  x  ;2.603,80  ;7.447  x  ;116,40  ;53.205  x  ;32,50  ;128.849  x  ;13,40  ;951.377  x  ;8,20  ;881.712  x  ;;;;
35.;27.08.;MI;25;29;14;15;47;16;5;21.277.848,00  ;1  x  ;2.147.061,90  ;unbesetzt;;43  x  ;9.131,10  ;206  x  ;5.718,00  ;1.612  x  ;243,50  ;13.133  x  ;59,70  ;34.503  x  ;22,70  ;269.754  x  ;13,00  ;284.869  x  ;;;;
;30.08.;SA;21;14;25;18;43;39;3;48.617.738,00  ;JP;3.111.535,20  ;2  x  ;902.605,10  ;69  x  ;13.081,20  ;514  x  ;5.268,10  ;3.704  x  ;243,60  ;31.017  x  ;58,20  ;77.206  x  ;23,30  ;656.198  x  ;12,30  ;629.046  x  ;;;;
36.;03.09.;MI;23;40;19;18;47;39;2;22.614.048,00  ;1  x  ;4.558.834,20  ;2  x  ;420.596,70  ;38  x  ;11.068,30  ;380  x  ;3.320,50  ;2.263  x  ;185,80  ;19.780  x  ;42,50  ;40.977  x  ;20,50  ;372.996  x  ;10,10  ;289.558  x  ;;;;
;06.09.;SA;17;6;33;18;11;32;6;48.568.250,00  ;JP;3.108.368,00  ;5  x  ;345.548,10  ;163  x  ;5.299,80  ;1.344  x  ;1.928,20  ;7.288  x  ;118,50  ;65.506  x  ;26,30  ;121.049  x  ;14,20  ;1.082.292  x  ;7,10  ;779.670  x  ;;;;
37.;10.09.;MI;45;8;32;24;38;23;3;22.304.607,00  ;JP;4.535.862,80  ;2  x  ;403.566,60  ;34  x  ;11.869,60  ;354  x  ;3.420,00  ;2.409  x  ;167,50  ;18.590  x  ;43,40  ;44.796  x  ;18,00  ;361.704  x  ;10,00  ;330.695  x  ;;;;
;13.09.;SA;25;11;33;39;7;27;3;49.943.881,00  ;1  x  ;7.732.271,10  ;8  x  ;221.378,50  ;215  x  ;4.118,60  ;1.780  x  ;1.492,40  ;9.157  x  ;96,70  ;79.065  x  ;22,30  ;131.371  x  ;13,40  ;1.137.131  x  ;7,00  ;813.050  x  ;;;;
38.;17.09.;MI;32;38;49;44;16;43;9;21.376.169,00  ;JP;1.368.074,80  ;1  x  ;802.675,40  ;35  x  ;11.466,70  ;440  x  ;2.736,30  ;2.543  x  ;157,80  ;24.437  x  ;32,80  ;38.689  x  ;20,70  ;358.716  x  ;10,00  ;258.651  x  ;;;;
;20.09.;SA;42;47;1;14;6;40;6;47.935.773,00  ;JP;4.435.964,20  ;2  x  ;904.322,30  ;34  x  ;26.597,70  ;389  x  ;6.974,20  ;2.641  x  ;342,40  ;24.131  x  ;74,90  ;61.801  x  ;29,20  ;561.650  x  ;14,40  ;562.710  x  ;;;;
