LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2008;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));;;;;;
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;;;;;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;;;;;;
KW;2008;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;;;;;;
1.;02.01.;MI;10;27;2;30;7;49;45;2;26.359.802,25  ;JP;1.317.990,10  ;8  x  ;131.799,00  ;25  x  ;26.359,80  ;1.081  x  ;1.585,00  ;1.750  x  ;150,60  ;45.144  x  ;29,10  ;43.003  x  ;24,50  ;714.810  x  ;8,10  ;;;;;;
;05.01.;SA;10;33;37;9;17;45;18;7;59.427.936,00  ;JP;4.289.386,90  ;9  x  ;264.124,10  ;28  x  ;53.060,60  ;1.963  x  ;1.967,80  ;4.290  x  ;138,50  ;100.249  x  ;29,60  ;121.506  x  ;19,50  ;1.603.629  x  ;8,10  ;;;;;;
2.;09.01.;MI;28;30;40;38;41;26;43;2;27.868.224,75  ;JP;5.682.798,10  ;4  x  ;278.682,20  ;18  x  ;38.705,80  ;885  x  ;2.046,80  ;1.468  x  ;189,80  ;36.794  x  ;37,80  ;41.415  x  ;26,90  ;636.071  x  ;9,60  ;;;;;;
;12.01.;SA;10;4;11;45;3;47;12;7;61.930.659,75  ;2  x  ;4.389.665,50  ;7  x  ;353.889,40  ;39  x  ;39.699,10  ;1.255  x  ;3.207,50  ;4.464  x  ;138,70  ;69.417  x  ;44,60  ;114.378  x  ;21,60  ;1.364.109  x  ;9,90  ;;;;;;
3.;16.01.;MI;48;16;19;8;27;47;6;0;25.642.387,50  ;JP;1.282.119,30  ;1  x  ;1.025.695,50  ;10  x  ;64.105,90  ;472  x  ;3.531,20  ;1.574  x  ;162,90  ;27.432  x  ;46,70  ;47.000  x  ;21,80  ;542.840  x  ;10,30  ;;;;;;
;19.01.;SA;30;31;20;7;23;22;5;2;58.795.242,75  ;JP;4.221.881,40  ;3  x  ;783.936,50  ;27  x  ;54.440,00  ;942  x  ;4.056,90  ;3.552  x  ;165,50  ;56.331  x  ;52,10  ;105.978  x  ;22,10  ;1.154.575  x  ;11,20  ;;;;;;
4.;23.01.;MI;10;11;37;28;15;16;44;1;27.037.107,00  ;JP;5.573.736,70  ;JP;1.081.484,20  ;5  x  ;135.185,50  ;352  x  ;4.992,60  ;1.017  x  ;265,80  ;26.016  x  ;51,90  ;31.309  x  ;34,50  ;535.982  x  ;11,00  ;;;;;;
;26.01.;SA;20;10;37;6;4;26;39;8;60.855.409,50  ;JP;8.616.507,10  ;4  x  ;878.925,10  ;43  x  ;35.381,00  ;2.010  x  ;1.967,90  ;4.361  x  ;139,50  ;93.804  x  ;32,40  ;108.345  x  ;22,40  ;1.508.875  x  ;8,80  ;;;;;;
5.;30.01.;MI;46;6;12;48;7;27;9;8;31.325.940,75  ;JP;10.182.804,10  ;4  x  ;313.259,40  ;26  x  ;30.121,00  ;682  x  ;2.985,60  ;2.270  x  ;137,90  ;37.481  x  ;41,70  ;69.679  x  ;17,90  ;707.510  x  ;9,70  ;;;;;;
;02.02.;SA;39;14;27;9;6;28;23;2;66.545.490,00  ;JP;13.510.078,60  ;4  x  ;665.454,90  ;66  x  ;25.206,60  ;1.906  x  ;2.269,30  ;6.157  x  ;108,00  ;92.602  x  ;35,90  ;143.421  x  ;18,50  ;1.572.826  x  ;9,30  ;;;;;;
6.;06.02.;MI;25;41;4;6;49;26;32;9;36.082.422,00  ;JP;15.314.199,70  ;2  x  ;721.648,40  ;118  x  ;7.644,50  ;789  x  ;2.972,50  ;2.450  x  ;147,20  ;46.153  x  ;39,00  ;63.680  x  ;22,60  ;859.635  x  ;9,20  ;;;;;;
;09.02.;SA;1;13;25;27;10;45;9;2;72.242.998,50  ;1  x  ;18.926.349,60  ;6  x  ;481.619,90  ;42  x  ;43.001,70  ;1.893  x  ;2.480,60  ;5.762  x  ;125,30  ;99.954  x  ;36,10  ;168.013  x  ;17,10  ;1.690.963  x  ;9,30  ;;;;;;
7.;13.02.;MI;20;25;42;1;7;33;6;0;26.580.168,00  ;JP;1.329.008,40  ;1  x  ;1.063.206,70  ;6  x  ;110.750,70  ;562  x  ;3.074,20  ;1.383  x  ;192,10  ;31.749  x  ;41,80  ;44.384  x  ;23,90  ;610.621  x  ;9,50  ;;;;;;
;16.02.;SA;7;22;11;43;44;6;4;6;59.410.702,50  ;2  x  ;2.149.771,70  ;14  x  ;169.744,80  ;50  x  ;29.705,30  ;1.421  x  ;2.717,50  ;3.915  x  ;151,70  ;71.175  x  ;41,70  ;103.779  x  ;22,80  ;1.253.582  x  ;10,40  ;;;;;;
8.;20.02.;MI;1;22;42;23;37;18;46;7;25.146.527,25  ;JP;1.257.326,30  ;4  x  ;251.465,20  ;10  x  ;62.866,30  ;398  x  ;4.106,80  ;1.039  x  ;242,00  ;21.239  x  ;59,10  ;32.128  x  ;31,30  ;444.782  x  ;12,40  ;;;;;;
;23.02.;SA;44;39;12;40;13;1;24;7;58.239.106,50  ;JP;4.169.281,60  ;4  x  ;582.391,00  ;33  x  ;44.120,50  ;897  x  ;4.220,20  ;4.174  x  ;139,50  ;50.474  x  ;57,60  ;115.347  x  ;20,10  ;1.049.805  x  ;12,20  ;;;;;;
9.;27.02.;MI;34;21;9;18;39;36;47;0;26.991.237,00  ;1  x  ;5.518.843,40  ;3  x  ;359.883,10  ;20  x  ;33.739,00  ;954  x  ;1.839,00  ;1.817  x  ;148,50  ;39.338  x  ;34,30  ;46.518  x  ;23,20  ;621.324  x  ;9,50  ;;;;;;
;01.03.;SA;39;20;22;19;5;4;40;2;58.120.359,75  ;JP;2.906.017,90  ;6  x  ;387.469,00  ;55  x  ;26.418,30  ;1.423  x  ;2.654,80  ;4.191  x  ;138,60  ;74.044  x  ;39,20  ;97.565  x  ;23,80  ;1.321.329  x  ;9,60  ;;;;;;
10.;05.03.;MI;16;6;34;18;44;12;1;7;26.272.987,50  ;1  x  ;5.270.586,70  ;unbesetzt;;8  x  ;82.103,00  ;612  x  ;2.790,40  ;1.271  x  ;206,70  ;35.613  x  ;36,80  ;39.678  x  ;26,40  ;609.204  x  ;9,40  ;;;;;;
;08.03.;SA;35;9;6;22;37;12;2;8;57.348.948,00  ;JP;2.867.447,40  ;8  x  ;286.744,70  ;35  x  ;40.963,50  ;1.563  x  ;2.384,90  ;3.781  x  ;151,60  ;74.431  x  ;38,50  ;108.987  x  ;21,00  ;1.294.286  x  ;9,70  ;;;;;;
11.;12.03.;MI;24;37;9;2;22;44;1;8;25.887.552,75  ;JP;4.161.825,00  ;6  x  ;172.583,60  ;8  x  ;80.898,60  ;676  x  ;2.489,10  ;1.176  x  ;220,10  ;30.677  x  ;42,10  ;36.265  x  ;28,50  ;562.874  x  ;10,10  ;;;;;;
;15.03.;SA;40;26;5;7;42;33;38;6;59.412.130,50  ;1  x  ;7.132.431,50  ;6  x  ;396.080,80  ;32  x  ;46.415,70  ;1.411  x  ;2.736,90  ;3.274  x  ;181,40  ;76.240  x  ;38,90  ;108.163  x  ;21,90  ;1.345.047  x  ;9,70  ;;;;;;
12.;19.03.;MI;21;48;4;34;22;43;47;4;24.871.910,25  ;JP;1.243.595,50  ;2  x  ;497.438,20  ;12  x  ;51.816,40  ;489  x  ;3.306,00  ;968  x  ;256,90  ;22.884  x  ;54,30  ;29.323  x  ;33,90  ;434.460  x  ;12,50  ;;;;;;
;22.03.;SA;34;43;31;11;6;42;46;5;57.593.510,25  ;JP;4.123.271,00  ;6  x  ;383.956,70  ;24  x  ;59.993,20  ;1.146  x  ;3.266,60  ;3.038  x  ;189,50  ;62.962  x  ;45,70  ;86.091  x  ;26,70  ;1.183.713  x  ;10,70  ;;;;;;
13.;26.03.;MI;28;34;10;36;29;17;25;4;25.439.610,75  ;JP;5.395.251,50  ;JP;1.017.584,40  ;2  x  ;317.995,10  ;465  x  ;3.556,00  ;1.244  x  ;204,40  ;25.719  x  ;49,40  ;39.774  x  ;25,50  ;483.178  x  ;11,50  ;;;;;;
;29.03.;SA;23;37;21;29;10;31;49;8;61.100.646,00  ;1  x  ;8.450.283,80  ;4  x  ;865.402,50  ;20  x  ;76.375,80  ;947  x  ;4.193,80  ;2.391  x  ;255,50  ;62.469  x  ;48,90  ;80.138  x  ;30,40  ;1.236.065  x  ;10,80  ;;;;;;
14.;02.04.;MI;14;48;1;31;33;36;21;2;24.790.592,25  ;JP;1.239.529,60  ;2  x  ;495.811,80  ;6  x  ;103.294,10  ;382  x  ;4.218,20  ;984  x  ;251,90  ;21.733  x  ;57,00  ;32.223  x  ;30,70  ;437.731  x  ;12,40  ;;;;;;
;05.04.;SA;5;3;34;27;9;48;26;1;57.925.078,50  ;JP;4.135.783,50  ;6  x  ;386.167,10  ;32  x  ;45.253,90  ;1.615  x  ;2.331,30  ;3.951  x  ;146,60  ;85.899  x  ;33,70  ;111.054  x  ;20,80  ;1.548.733  x  ;8,20  ;;;;;;
15.;09.04.;MI;27;35;31;42;8;2;29;4;26.292.413,25  ;1  x  ;5.450.404,10  ;1  x  ;1.051.696,50  ;8  x  ;82.163,70  ;535  x  ;3.194,40  ;1.025  x  ;256,50  ;28.095  x  ;46,70  ;32.218  x  ;32,60  ;533.139  x  ;10,80  ;;;;;;
;12.04.;SA;41;22;23;42;5;34;6;2;57.532.110,00  ;JP;2.876.605,50  ;3  x  ;767.094,80  ;34  x  ;42.303,00  ;1.157  x  ;3.232,10  ;2.532  x  ;227,20  ;51.481  x  ;55,80  ;73.105  x  ;31,40  ;1.041.630  x  ;12,10  ;;;;;;
16.;16.04.;MI;40;9;28;46;10;11;18;1;25.298.463,75  ;1  x  ;4.141.528,60  ;1  x  ;1.011.938,50  ;12  x  ;52.705,10  ;502  x  ;3.275,60  ;1.343  x  ;188,30  ;31.321  x  ;40,30  ;44.819  x  ;22,50  ;590.760  x  ;9,40  ;;;;;;
;19.04.;SA;24;23;38;13;10;48;1;7;55.677.916,50  ;5  x  ;556.779,10  ;6  x  ;371.186,10  ;31  x  ;44.901,50  ;1.995  x  ;1.814,00  ;3.552  x  ;156,70  ;87.238  x  ;31,90  ;91.726  x  ;24,20  ;1.370.415  x  ;8,90  ;;;;;;
17.;23.04.;MI;26;39;32;8;35;2;20;9;23.343.731,25  ;JP;1.167.186,50  ;JP;933.749,20  ;11  x  ;53.053,90  ;356  x  ;4.262,10  ;1.107  x  ;210,80  ;23.960  x  ;48,70  ;32.375  x  ;28,80  ;480.871  x  ;10,60  ;;;;;;
;26.04.;SA;43;33;8;14;3;25;17;3;55.411.388,25  ;1  x  ;3.937.755,90  ;3  x  ;1.050.068,20  ;53  x  ;26.137,40  ;1.395  x  ;2.581,80  ;4.191  x  ;132,20  ;64.107  x  ;43,20  ;112.612  x  ;19,60  ;1.171.570  x  ;10,40  ;;;;;;
18.;30.04.;MI;5;40;4;39;45;37;7;3;32.301.743,25  ;JP;1.615.087,10  ;JP;1.292.069,70  ;17  x  ;47.502,50  ;575  x  ;3.651,50  ;1.582  x  ;204,10  ;33.892  x  ;47,60  ;48.830  x  ;26,40  ;668.566  x  ;10,60  ;;;;;;
;03.05.;SA;44;10;30;8;29;20;24;7;55.356.000,75  ;JP;4.382.887,10  ;2  x  ;1.753.154,80  ;15  x  ;92.260,00  ;1.092  x  ;3.295,00  ;2.842  x  ;194,70  ;68.188  x  ;40,50  ;87.696  x  ;25,20  ;1.168.365  x  ;10,40  ;;;;;;
19.;07.05.;MI;36;30;16;49;31;24;46;9;25.631.580,75  ;JP;5.664.466,10  ;3  x  ;341.754,40  ;11  x  ;58.253,50  ;312  x  ;5.339,90  ;1.124  x  ;228,00  ;22.698  x  ;56,40  ;35.741  x  ;28,60  ;482.556  x  ;11,60  ;;;;;;
;10.05.;SA;9;31;12;24;11;23;2;2;58.758.502,50  ;JP;8.602.391,20  ;11  x  ;213.667,20  ;73  x  ;20.122,70  ;2.112  x  ;1.808,30  ;5.887  x  ;99,80  ;98.288  x  ;29,80  ;144.437  x  ;16,20  ;1.679.480  x  ;7,60  ;;;;;;
20.;14.05.;MI;41;13;29;38;8;18;22;1;28.515.765,75  ;1  x  ;10.028.179,40  ;7  x  ;162.947,20  ;14  x  ;50.921,00  ;773  x  ;2.397,80  ;1.495  x  ;190,70  ;35.253  x  ;40,40  ;39.655  x  ;28,70  ;609.277  x  ;10,20  ;;;;;;
;17.05.;SA;22;35;8;20;25;34;44;7;57.190.057,50  ;JP;2.859.502,80  ;3  x  ;762.534,10  ;25  x  ;57.190,00  ;795  x  ;4.675,90  ;2.309  x  ;247,60  ;49.950  x  ;57,20  ;69.404  x  ;32,90  ;1.015.778  x  ;12,30  ;;;;;;
21.;21.05.;MI;2;10;21;48;16;45;37;0;25.121.728,50  ;JP;4.115.589,20  ;1  x  ;1.004.869,10  ;6  x  ;104.673,80  ;410  x  ;3.982,70  ;1.300  x  ;193,20  ;24.190  x  ;51,90  ;35.577  x  ;28,20  ;484.098  x  ;11,40  ;;;;;;
;24.05.;SA;6;34;37;2;9;46;16;5;56.404.689,00  ;JP;6.935.823,60  ;8  x  ;282.023,40  ;37  x  ;38.111,20  ;1.724  x  ;2.126,60  ;3.816  x  ;147,80  ;77.023  x  ;36,60  ;106.966  x  ;21,00  ;1.308.981  x  ;9,40  ;;;;;;
22.;28.05.;MI;9;34;3;31;32;24;13;6;27.230.836,50  ;1  x  ;9.386.598,80  ;unbesetzt;;17  x  ;40.045,30  ;720  x  ;2.458,30  ;2.457  x  ;110,80  ;41.468  x  ;32,80  ;63.025  x  ;17,20  ;735.614  x  ;8,10  ;;;;;;
;31.05.;SA;7;17;22;12;41;27;19;6;55.013.961,75  ;2  x  ;1.375.349,00  ;8  x  ;275.069,80  ;39  x  ;35.265,30  ;2.721  x  ;1.314,10  ;4.735  x  ;116,10  ;100.097  x  ;27,40  ;126.606  x  ;17,30  ;1.511.795  x  ;8,00  ;;;;;;
23.;04.06.;MI;7;47;27;30;43;8;41;4;23.447.464,50  ;JP;1.172.373,20  ;6  x  ;156.316,40  ;14  x  ;41.870,40  ;599  x  ;2.544,30  ;1.297  x  ;180,70  ;28.314  x  ;41,40  ;35.552  x  ;26,30  ;522.115  x  ;9,80  ;;;;;;
;07.06.;SA;17;42;19;7;20;47;24;4;55.214.510,25  ;JP;3.933.098,70  ;JP;2.208.580,40  ;20  x  ;69.018,10  ;1.139  x  ;3.150,90  ;2.746  x  ;201,00  ;68.393  x  ;40,30  ;89.183  x  ;24,70  ;1.329.683  x  ;9,10  ;;;;;;
24.;11.06.;MI;47;44;24;31;16;41;10;2;25.747.949,25  ;JP;5.220.496,10  ;1  x  ;3.238.498,30  ;11  x  ;58.518,00  ;752  x  ;2.225,50  ;1.548  x  ;166,30  ;32.107  x  ;40,00  ;44.364  x  ;23,20  ;549.168  x  ;10,30  ;;;;;;
;14.06.;SA;32;30;24;44;36;21;41;1;64.963.215,75  ;1  x  ;8.468.656,80  ;3  x  ;866.176,20  ;28  x  ;58.002,80  ;1.065  x  ;3.964,80  ;3.338  x  ;194,60  ;63.243  x  ;51,30  ;98.230  x  ;26,40  ;1.273.653  x  ;11,20  ;;;;;;
25.;18.06.;MI;32;39;43;4;3;40;35;5;23.578.863,75  ;JP;1.178.943,10  ;2  x  ;471.577,20  ;5  x  ;117.894,30  ;317  x  ;4.834,70  ;727  x  ;324,30  ;21.669  x  ;54,40  ;27.561  x  ;34,20  ;474.893  x  ;10,90  ;;;;;;
;21.06.;SA;2;30;32;45;43;15;7;5;54.734.193,75  ;1  x  ;6.105.020,50  ;unbesetzt;;18  x  ;76.019,70  ;872  x  ;4.079,90  ;2.769  x  ;197,60  ;46.534  x  ;58,80  ;81.075  x  ;27,00  ;927.849  x  ;12,90  ;;;;;;
26.;25.06.;MI;20;13;47;30;32;37;11;4;22.963.658,25  ;JP;1.148.182,90  ;2  x  ;459.273,10  ;4  x  ;143.522,80  ;380  x  ;3.927,90  ;1.252  x  ;183,40  ;24.595  x  ;46,60  ;37.064  x  ;24,70  ;459.147  x  ;11,00  ;;;;;;
