Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1996
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;;   Gewinnklasse VII;
;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer u. Zusatzzahl ;;3 Treffer;
VA;1996;gezogener Reihenfolge;;;;;;satz-;per-;;;;;;Zusatzzahl;;;;;;;;;
;;;;;;;;zahl;zahl;DM;Gewinne;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM
19.;11.05.;41 ;49 ;18 ;4 ;6 ;39 ;34 ;9 ;127.288.586,25 ;1  x;5.041.417,10  ;4  x  ;1.909.328,70 ;26  x;146.871,40 ;1.525  x     ;8.346,70 ;91.166  x    ;139,60 ;114.004  x  ;78,10 ;1.734.972  x;8,80  
20.;18.05.;17 ;48 ;6 ;44 ;35 ;29 ;15 ;5 ;121.876.470,00 ;1  x;2.437.529,40  ;7  x  ;1.044.655,40 ;30  x;121.876,40 ;1.779  x     ;6.850,80 ;81.159  x    ;150,10 ;80.303  x  ;106,20 ;1.377.780  x;10,60  
21.;25.05.;6 ;28 ;27 ;18 ;36 ;21 ;4 ;6 ;123.434.116,25 ;JP;2.468.682,30  ;4  x  ;1.851.511,70 ;39  x;94.949,30 ;1.542  x     ;8.004,80 ;94.205  x    ;131,00 ;126.972  x  ;68,00 ;1.639.765  x;9,00  
22.;01.06.;43 ;47 ;29 ;8 ;23 ;27 ;31 ;2 ;122.688.456,25 ;JP;4.922.451,40  ;3  x  ;2.453.769,10 ;27  x;136.320,50 ;1.226  x     ;10.007,20 ;76.648  x    ;160,00 ;112.834  x  ;76,10 ;1.371.967  x;10,70  
23.;08.06.;16 ;12 ;28 ;20 ;41 ;8 ;22 ;3 ;120.582.998,75 ;JP;7.334.111,30  ;6  x  ;1.205.829,90 ;24  x;150.728,70 ;2.064  x     ;5.842,10 ;94.743  x    ;127,20 ;102.090  x  ;82,60 ;1.491.405  x;9,70  
24.;15.06.;32 ;37 ;36 ;30 ;15 ;33 ;40 ;5 ;135.548.345,00 ;JP;10.045.078,20  ;6  x  ;1.355.483,40 ;47  x;86.520,20 ;2.034  x     ;6.664,10 ;88.007  x    ;154,00 ;131.676  x  ;72,00 ;1.536.661  x;10,50  
25.;22.06.;17 ;12 ;34 ;11 ;23 ;41 ;37 ;0 ;134.002.546,25 ;1  x;12.725.129,10  ;9  x  ;893.350,30 ;98  x;41.021,10 ;2.585  x     ;5.183,80 ;128.618  x    ;104,10 ;178.973  x  ;52,40 ;2.024.360  x;7,90  
26.;29.06.;11 ;2 ;26 ;47 ;1 ;3 ;35 ;3 ;125.913.035,00 ;JP;2.518.260,70  ;3  x  ;2.518.260,70 ;15  x;251.826,00 ;1.495  x     ;8.422,20 ;112.302  x    ;112,10 ;96.264  x  ;91,50 ;1.813.327  x;8,30  
27.;06.07.;33 ;9 ;15 ;18 ;11 ;46 ;10 ;1 ;127.448.935,00 ;1  x;5.067.239,40  ;5  x  ;1.529.387,20 ;17  x;224.909,80 ;1.359  x     ;9.378,10 ;93.494  x    ;136,30 ;118.091  x  ;75,50 ;1.771.520  x;8,60  
28.;13.07.;40 ;37 ;10 ;41 ;33 ;28 ;18 ;2 ;124.307.405,00 ;1  x;3.314.864,10  ;2  x  ;3.314.864,10 ;35  x;106.549,20 ;1.099  x     ;11.310,90 ;81.862  x    ;151,80 ;143.773  x  ;60,50 ;1.543.734  x;9,60  
29.;20.07.;13 ;48 ;47 ;33 ;45 ;18 ;6 ;3 ;122.744.762,50 ;JP;2.454.895,20  ;2  x  ;3.682.342,80 ;24  x;153.430,90 ;1.413  x     ;8.686,80 ;88.892  x    ;138,00 ;115.170  x  ;74,60 ;1.559.301  x;9,40  
30.;27.07.;6 ;2 ;13 ;26 ;32 ;34 ;16 ;7 ;122.376.376,25 ;JP;4.902.422,70  ;7  x  ;1.048.940,30 ;48  x;76.485,20 ;2.061  x     ;5.937,70 ;106.050  x    ;115,30 ;162.331  x  ;52,70 ;1.731.074  x;8,40  
31.;03.08.;43 ;23 ;39 ;45 ;2 ;37 ;7 ;9 ;123.030.400,00 ;JP;7.363.030,70  ;2  x  ;3.690.912,00 ;28  x;131.818,20 ;1.353  x     ;9.093,10 ;86.822  x    ;141,70 ;121.204  x  ;71,00 ;1.442.725  x;10,20  
